Name,Status,"Population
Census
1981-05-12","Population
Census
1991-05-15","Population
Census
2001-05-15","Population
Census
2011-10-31","Population
Estimate
2015-01-01",
Eisenstadt (Stadt),District,10102,10349,11332,13101,13664,→
Eisenstadt-Umgebung,District,34119,36096,38751,40936,41649,→
Güssing,District,28960,27977,27193,26624,26272,→
Jennersdorf,District,18937,18045,17934,17573,17215,→
Mattersburg,District,34408,35075,37445,39050,39364,→
Neusiedl am See,District,48458,49397,51726,55337,57031,→
Oberpullendorf,District,39447,38462,38092,37583,37622,→
Oberwart,District,53647,53783,53371,53585,53610,→
Rust (Stadt),District,1693,1696,1714,1896,1929,→
Feldkirchen,District,27268,28632,30272,30285,30074,→
Hermagor,District,20092,20245,19752,18718,18477,→
Klagenfurt Land,District,49572,52874,56384,58499,58684,→
Klagenfurt (Stadt),District,87321,89415,90145,94483,97880,→
Sankt Veit an der Glan,District,59209,58850,58733,56061,55366,→
Spittal an der Drau,District,79710,80802,81706,78043,76787,→
Villach Land,District,60642,62596,64685,64499,64331,→
Villach (Stadt),District,52692,54640,57492,59324,60500,→
Völkermarkt,District,43236,43441,43570,42237,42078,→
Wolfsberg,District,56437,56303,56607,54024,53464,→
Amstetten,District,101409,105143,109182,112355,113505,→
Baden,District,108373,115425,126906,139039,141750,→
Bruck an der Leitha,District,36948,38503,40009,42910,44047,→
Gänserndorf,District,75288,80687,88472,95841,98645,→
Gmünd,District,43733,41314,40045,37761,37348,→
Hollabrunn,District,50262,49066,50062,50301,50232,→
Horn,District,34599,32465,32397,31429,31229,→
Korneuburg,District,56106,61013,67981,75281,76900,→
Krems an der Donau (Stadt),District,23076,22783,23713,24032,24011,→
Krems (Land),District,52352,52589,54409,55874,56277,→
Lilienfeld,District,27677,27072,27083,26369,26074,→
Melk,District,72191,73319,75279,76344,76808,→
Mistelbach,District,70744,70922,72723,73962,74447,→
Mödling,District,92183,100456,106379,114086,116878,→
Neunkirchen,District,85914,85503,85769,85460,85745,→
Sankt Pölten (Land),District,81324,87482,93317,96522,97910,→
Sankt Pölten (Stadt),District,50419,50026,49117,51955,52747,→
Scheibbs,District,40175,40528,41320,41020,41070,→
Tulln,District,53205,57631,64600,70963,72924,→
Waidhofen an der Thaya,District,30391,28607,28192,26738,26322,→
Waidhofen an der Ybbs (Stadt),District,11337,11435,11662,11455,11306,→
Wiener Neustadt (Land),District,61727,66462,71907,75064,75968,→
Wiener Neustadt (Stadt),District,35006,35134,37626,41305,43002,→
Wien Umgebung,District,85072,94001,102013,114920,118691,→
Zwettl,District,48338,46247,45631,43707,42942,→
Braunau am Inn,District,87061,91463,95166,97826,99903,→
Eferding,District,27163,28726,30711,31741,32209,→
Freistadt,District,57770,61101,63988,65113,65261,→
Gmunden,District,90502,95949,99331,99403,99924,→
Grieskirchen,District,57092,59744,61951,62555,63378,→
Kirchdorf an der Krems,District,49605,51608,55161,55557,55793,→
Linz-Land,District,109163,119341,129036,139116,142903,→
Linz (Stadt),District,199910,203044,183614,189889,197427,→
Perg,District,55808,59056,63944,65738,66652,→
Ried im Innkreis,District,53936,55722,58186,58553,59100,→
Rohrbach,District,54938,56547,57811,56688,56414,→
Schärding,District,54900,56334,56985,56426,56528,→
Steyr-Land,District,52858,54590,57604,58700,58917,→
