,name,pop,
0,"Ānqìng Shì, Ānhuī Shĕng",5311379,
1,"Bèngbù Shì, Ānhuī Shĕng",3164467,
2,"Bózhōu Shì, Ānhuī Shĕng",4850657,
3,"Chízhōu Shì, Ānhuī Shĕng",1402518,
4,"Chúzhōu Shì, Ānhuī Shĕng",3937868,
5,"Fùyáng Shì, Ānhuī Shĕng",7599913,
6,"Héféi Shì, Ānhuī Shĕng",7457027,
7,"Huáibĕi Shì, Ānhuī Shĕng",2114276,
8,"Huáinán Shì, Ānhuī Shĕng",2333896,
9,"Huángshān Shì, Ānhuī Shĕng",1358980,
10,"Lù'ān Shì, Ānhuī Shĕng",5611701,
11,"Mă'ānshān Shì, Ānhuī Shĕng",2202899,
12,"Sùzhōu Shì, Ānhuī Shĕng",5352924,
13,"Tónglíng Shì, Ānhuī Shĕng",723958,
14,"Wúhú Shì, Ānhuī Shĕng",3545067,
15,"Xuānchéng Shì, Ānhuī Shĕng",2532938,
16,"Bĕijīng Shì, Bĕijīng Shì",19612368,
17,"Chóngqìng Shì, Chóngqìng Shì",28846170,
18,"Fúzhōu Shì, Fújiàn Shĕng",7115369,
19,"Lóngyán Shì, Fújiàn Shĕng",2559545,
20,"Nánpíng Shì, Fújiàn Shĕng",2645548,
21,"Níngdé Shì, Fújiàn Shĕng",2821996,
22,"Pútián Shì, Fújiàn Shĕng",2778508,
23,"Quánzhōu Shì, Fújiàn Shĕng",8128533,
24,"Sānmíng Shì, Fújiàn Shĕng",2503388,
25,"Xiàmén Shì, Fújiàn Shĕng",3531347,
26,"Zhāngzhōu Shì, Fújiàn Shĕng",4809983,
27,"Báiyín Shì, Gānsù Shĕng",1708752,
28,"Dìngxī Shì, Gānsù Shĕng",2698624,
29,"Gānnán Zàngzú Zìzhìzhōu, Gānsù Shĕng",689132,
30,"Jiāyùguān Shì, Gānsù Shĕng",231853,
31,"Jīnchāng Shì, Gānsù Shĕng",464050,
32,"Jiŭquán Shì, Gānsù Shĕng",1095947,
33,"Lánzhōu Shì, Gānsù Shĕng",3616163,
34,"Línxià Huízú Zìzhìzhōu, Gānsù Shĕng",1946677,
35,"Lŏngnán Shì, Gānsù Shĕng",2567718,
36,"Píngliáng Shì, Gānsù Shĕng",2068033,
37,"Qìngyáng Shì, Gānsù Shĕng",2211191,
38,"Tiānshuĭ Shì, Gānsù Shĕng",3262549,
39,"Wŭwēi Shì, Gānsù Shĕng",1815059,
40,"Zhāngyè Shì, Gānsù Shĕng",1199515,
41,"Cháozhōu Shì, Guăngdōng Shĕng",2669466,
42,"Dōngguān Shì, Guăngdōng Shĕng",8220207,
43,"Fóshān Shì, Guăngdōng Shĕng",7197394,
44,"Guăngzhōu Shì, Guăngdōng Shĕng",12701948,
45,"Héyuán Shì, Guăngdōng Shĕng",2950195,
46,"Huìzhōu Shì, Guăngdōng Shĕng",4598402,
47,"Jiāngmén Shì, Guăngdōng Shĕng",4450703,
48,"Jiēyáng Shì, Guăngdōng Shĕng",5884347,
49,"Màomíng Shì, Guăngdōng Shĕng",5817494,
50,"Méizhōu Shì, Guăngdōng Shĕng",4238461,
51,"Qīngyuăn Shì, Guăngdōng Shĕng",3698412,
52,"Shàntóu Shì, Guăngdōng Shĕng",5389328,
53,"Shànwĕi Shì, Guăngdōng Shĕng",2935469,
54,"Sháoguān Shì, Guăngdōng Shĕng",2826246,
55,"Shēnzhèn Shì, Guăngdōng Shĕng",10358381,
56,"Yángjiāng Shì, Guăngdōng Shĕng",2421748,
57,"Yúnfú Shì, Guăngdōng Shĕng",2367154,
58,"Zhànjiāng Shì, Guăngdōng Shĕng",6994832,
59,"Zhàoqìng Shì, Guăngdōng Shĕng",3916467,
60,"Zhōngshān Shì, Guăngdōng Shĕng",3121275,
