,name,pop,lat,lon,
0,"Ānqìng Shì, Ānhuī Shĕng",5311379,30.5119718,117.0429659,
1,"Bèngbù Shì, Ānhuī Shĕng",3164467,33.10505665,117.410684768,
2,"Bózhōu Shì, Ānhuī Shĕng",4850657,33.47036095,116.159252268,
3,"Chízhōu Shì, Ānhuī Shĕng",1402518,30.6607025,117.4792615,
4,"Chúzhōu Shì, Ānhuī Shĕng",3937868,32.2427198,118.3292813,
5,"Fùyáng Shì, Ānhuī Shĕng",7599913,32.8926763,115.8090001,
6,"Héféi Shì, Ānhuī Shĕng",7457027,31.8228094,117.2218033,
7,"Huáibĕi Shì, Ānhuī Shĕng",2114276,33.9575437,116.7928328,
8,"Huáinán Shì, Ānhuī Shĕng",2333896,32.6604304,117.0250917,
9,"Huángshān Shì, Ānhuī Shĕng",1358980,29.7125012,118.3215698,
10,"Lù'ān Shì, Ānhuī Shĕng",5611701,31.7383487,116.5142252,
11,"Mă'ānshān Shì, Ānhuī Shĕng",2202899,31.669966,118.502048,
12,"Sùzhōu Shì, Ānhuī Shĕng",5352924,33.96523775,117.324791601,
13,"Tónglíng Shì, Ānhuī Shĕng",723958,30.9345628,117.8089039,
14,"Wúhú Shì, Ānhuī Shĕng",3545067,31.09339165,118.292831522,
15,"Xuānchéng Shì, Ānhuī Shĕng",2532938,30.9470283,118.7577244,
16,"Bĕijīng Shì, Bĕijīng Shì",19612368,39.9059631,116.391248,
17,"Chóngqìng Shì, Chóngqìng Shì",28846170,29.5585712,106.5492822,
18,"Fúzhōu Shì, Fújiàn Shĕng",7115369,26.0771539,119.2914774,
19,"Lóngyán Shì, Fújiàn Shĕng",2559545,25.0982166,117.0306623,
20,"Nánpíng Shì, Fújiàn Shĕng",2645548,26.6417374,118.173639,
21,"Níngdé Shì, Fújiàn Shĕng",2821996,26.6655699,119.5224895,
22,"Pútián Shì, Fújiàn Shĕng",2778508,25.4342199,119.0074625,
23,"Quánzhōu Shì, Fújiàn Shĕng",8128533,24.9038801,118.5851458,
24,"Sānmíng Shì, Fújiàn Shĕng",2503388,26.2570893,117.6198243,
25,"Xiàmén Shì, Fújiàn Shĕng",3531347,24.497442,118.1355644,
26,"Zhāngzhōu Shì, Fújiàn Shĕng",4809983,24.5174597,117.6586363,
27,"Báiyín Shì, Gānsù Shĕng",1708752,36.5519459,104.1466384,
28,"Dìngxī Shì, Gānsù Shĕng",2698624,35.5815951,104.6199648,
29,"Gānnán Zàngzú Zìzhìzhōu, Gānsù Shĕng",689132,34.5177861,102.6590876,
30,"Jiāyùguān Shì, Gānsù Shĕng",231853,39.8236617,98.2420920073,
31,"Jīnchāng Shì, Gānsù Shĕng",464050,38.5206719,102.185973,
32,"Jiŭquán Shì, Gānsù Shĕng",1095947,40.47572065,96.5446733286,
33,"Lánzhōu Shì, Gānsù Shĕng",3616163,36.282929,103.544543491,
34,"Línxià Huízú Zìzhìzhōu, Gānsù Shĕng",1946677,35.6659679,103.240798,
35,"Lŏngnán Shì, Gānsù Shĕng",2567718,33.387124,104.9313723,
36,"Píngliáng Shì, Gānsù Shĕng",2068033,35.5410175,106.6798544,
37,"Qìngyáng Shì, Gānsù Shĕng",2211191,36.1928329,107.770220686,
38,"Tiānshuĭ Shì, Gānsù Shĕng",3262549,34.5797531,105.7062921,
39,"Wŭwēi Shì, Gānsù Shĕng",1815059,37.928881,102.6359886,
40,"Zhāngyè Shì, Gānsù Shĕng",1199515,38.9243532,100.4483826,
41,"Cháozhōu Shì, Guăngdōng Shĕng",2669466,23.6566146,116.6205482,
42,"Dōngguān Shì, Guăngdōng Shĕng",8220207,23.0449275,113.7524781,
43,"Fóshān Shì, Guăngdōng Shĕng",7197394,23.0249168,113.1146174,
44,"Guăngzhōu Shì, Guăngdōng Shĕng",12701948,23.1300037,113.259001,
45,"Héyuán Shì, Guăngdōng Shĕng",2950195,23.7379776,114.692015,
46,"Huìzhōu Shì, Guăngdōng Shĕng",4598402,23.1060862,114.4141105,
47,"Jiāngmén Shì, Guăngdōng Shĕng",4450703,22.5766294,113.079047,
48,"Jiēyáng Shì, Guăngdōng Shĕng",5884347,23.33239835,116.058870544,
49,"Màomíng Shì, Guăngdōng Shĕng",5817494,21.6729946,110.9100185,
50,"Méizhōu Shì, Guăngdōng Shĕng",4238461,24.3053552,116.1177436,
51,"Qīngyuăn Shì, Guăngdōng Shĕng",3698412,23.6832977,113.0507495,
52,"Shàntóu Shì, Guăngdōng Shĕng",5389328,23.34189025,116.567257609,
53,"Shànwĕi Shì, Guăngdōng Shĕng",2935469,22.7752816,115.3541259,
54,"Sháoguān Shì, Guăngdōng Shĕng",2826246,24.8134099,113.5923564,
55,"Shēnzhèn Shì, Guăngdōng Shĕng",10358381,22.5442673,114.0545327,
56,"Yángjiāng Shì, Guăngdōng Shĕng",2421748,21.8526328,111.95935,
57,"Yúnfú Shì, Guăngdōng Shĕng",2367154,22.8715833,111.8061758,
58,"Zhànjiāng Shì, Guăngdōng Shĕng",6994832,21.2021916,110.4045975,
