Name,Status,"Population
Census
1975-02-20","Population
Census
1982-03-04","Population
Census
1990-03-05","Population
Census
1999-03-08","Population
Estimate
2007-01-01","Population
Estimate
2012-01-01"
Ain,Department,376477,418516,471019,515270,574377,612191
Belley,Arrondissement,67712,70542,75020,79656,89791,96121
Bourg-en-Bresse,Arrondissement,210043,237987,267656,295351,328684,346620
Gex,Arrondissement,34494,40826,52200,59336,71494,84742
Nantua,Arrondissement,64228,69161,76143,80927,84408,84708
Aisne,Department,533862,533970,537259,535489,537820,540888
Château-Thierry,Arrondissement,55924,60366,66077,68570,71527,72638
Laon,Arrondissement,164118,163698,163625,162873,166114,166248
Saint-Quentin,Arrondissement,141742,139269,137621,134597,131321,131621
Soissons,Arrondissement,95148,97017,99362,100627,101634,103510
Vervins,Arrondissement,76930,73620,70574,68822,67224,66871
Allier,Department,378406,369580,357710,344721,343114,342911
Montluçon,Arrondissement,135688,129658,123162,117852,116768,115585
Moulins,Arrondissement,114908,113250,110475,106705,105804,105288
Vichy,Arrondissement,127810,126672,124073,120164,120542,122038
Alpes-de-Haute-Provence,Department,112178,119068,130883,139561,156067,161241
Barcelonnette,Arrondissement,6335,6692,7248,7569,8013,8021
Castellane,Arrondissement,7023,7584,7970,8125,9347,9528
Digne-les-Bains,Arrondissement,37111,39975,44723,48128,54478,56077
Forcalquier,Arrondissement,61709,64817,70942,75739,84229,87615
Alpes-Maritimes,Department,816681,881198,971829,1011326,1082465,1082014
Grasse,Arrondissement,343605,405132,470488,504632,556365,559723
Nice,Arrondissement,473076,476066,501341,506694,526100,522291
Ardèche,Department,257065,267970,277581,286023,309456,318407
Largentière,Arrondissement,77479,79248,81083,84091,93353,96941
Privas,Arrondissement,67699,72488,75276,78201,83446,86717
Tournon-sur-Rhône,Arrondissement,111887,116234,121222,123731,132657,134749
Ardennes,Department,309306,302338,296357,290130,284749,282778
Charleville-Mézières,Arrondissement,180435,177160,175374,171608,165034,163155
Rethel,Arrondissement,34744,34261,34213,33951,35331,36864
Sedan,Arrondissement,68240,66837,63614,62096,62024,60478
Vouziers,Arrondissement,25887,24080,23156,22475,22360,22281
Ariège,Department,137857,135725,136455,137205,148568,152366
Foix,Arrondissement,52016,51856,51790,50114,51978,51961
Pamiers,Arrondissement,55699,55905,58442,61058,69233,72829
Saint-Girons,Arrondissement,30142,27964,26223,26033,27357,27576
Aube,Department,284823,289300,289207,292131,300840,305606
Bar-sur-Aube,Arrondissement,33606,33211,31979,30396,29764,28986
Nogent-sur-Seine,Arrondissement,48530,49031,50584,51441,52662,54519
Troyes,Arrondissement,202687,207058,206644,210294,218414,222101
Aude,Department,272366,280686,298712,309770,345779,362339
Carcassonne,Arrondissement,125001,129821,137221,141890,155106,161254
Limoux,Arrondissement,44321,43189,42247,41489,43742,44712
Narbonne,Arrondissement,103044,107676,119244,126391,146931,156373
Aveyron,Department,278306,278654,270141,263808,274425,276229
Millau,Arrondissement,72462,71622,68972,67612,70690,70742
Rodez,Arrondissement,131707,135051,133969,132566,139719,141635
Villefranche-de-Rouergue,Arrondissement,74137,71981,67200,63630,64016,63852
Bas-Rhin,Department,882121,915676,953053,1026120,1084840,1104667
Haguenau,Arrondissement,102925,108601,111201,120445,129154,130835
Molsheim,Arrondissement,71470,75908,80255,89604,96311,99024
Saverne,Arrondissement,84164,85000,85436,88251,92323,93471
Sélestat-Erstein,Arrondissement,114843,119625,123128,134907,148273,153829
Strasbourg-Campagne,Arrondissement,198838,219763,240621,264424,279045,284815
Strasbourg-Ville,Arrondissement,253384,248712,252338,264115,272123,274394
Wissembourg,Arrondissement,56497,58067,60074,64374,67611,68299
Bouches-du-Rhône,Department,1632974,1724199,1759371,1835719,1958926,1984784
Aix-en-Provence,Arrondissement,259949,304841,347431,381986,413932,422892
Arles,Arrondissement,146732,160374,171807,180948,193435,201473
Istres,Arrondissement,192766,238679,274815,292703,306677,309836
Marseille,Arrondissement,1033527,1020305,965318,980082,1044882,1050583
Calvados,Department,560967,589559,618478,648385,673667,687854
Bayeux,Arrondissement,57428,60435,62280,63022,65422,67775
Caen,Arrondissement,317638,340984,366169,389973,405418,415237
Lisieux,Arrondissement,130529,132608,136081,140504,146254,147544
Vire,Arrondissement,55372,55532,53948,54886,56573,57298
Cantal,Department,166549,162838,158723,150778,149057,147415
Aurillac,Arrondissement,82245,83281,83715,82116,82758,82620
Mauriac,Arrondissement,35035,32899,31094,28649,27275,26547
Saint-Flour,Arrondissement,49269,46658,43914,40013,39024,38248
Charente,Department,337064,340770,341993,339628,349535,353657
Angoulême,Arrondissement,173209,180369,184108,185150,193710,196895
Cognac,Arrondissement,93154,91874,91497,90108,91174,91933
Confolens,Arrondissement,70701,68527,66388,64370,64651,64829
Charente-Maritime,Department,497859,513220,527146,557024,605410,628733
Jonzac,Arrondissement,54883,53724,52269,51675,54122,56749
La Rochelle,Arrondissement,150007,159924,166011,184728,199332,205719
Rochefort,Arrondissement,142794,147331,153256,161340,178676,185356
Saintes,Arrondissement,96078,99486,104486,108989,121172,127317
Saint-Jean-d'Angély,Arrondissement,54097,52755,51124,50292,52108,53592
Cher,Department,316350,320174,321559,314428,314599,311897
Bourges,Arrondissement,166666,172216,176631,174031,175470,173748
Saint-Amand-Montrond,Arrondissement,74114,71227,69233,67344,67305,66638
Vierzon,Arrondissement,75570,76731,75695,73053,71824,71511
Corrèze,Department,240363,241448,237908,232576,242038,241247
Brive-la-Gaillarde,Arrondissement,115323,119150,120140,121150,128495,129754
Tulle,Arrondissement,86636,84291,80995,76997,79445,78401
Ussel,Arrondissement,38404,38007,36773,34429,34098,33092
Corse-du-Sud,Department,100278,108604,118808,118593,139362,145429
Ajaccio,Arrondissement,70441,78206,86487,84921,102514,107320
Sartène,Arrondissement,29837,30398,32321,33672,36848,38109
Côte-d'Or,Department,456070,473548,493866,506755,519143,527403
Beaune,Arrondissement,84024,87729,90377,92131,95008,97399
Dijon,Arrondissement,301973,316325,336458,350448,361882,368677
Montbard,Arrondissement,70073,69494,67031,64176,62253,61327
Côtes-d'Armor,Department,525556,538869,538395,542373,576049,595531
Dinan,Arrondissement,111381,113541,113332,112076,122077,128604
Guingamp,Arrondissement,92430,90839,86626,84588,86416,87804
Lannion,Arrondissement,88338,91295,91357,93105,99047,100057
Saint-Brieuc,Arrondissement,233407,243194,247080,252604,268509,279066
Creuse,Department,146214,139968,131349,124470,123861,121517
Aubusson,Arrondissement,49826,46402,43078,39993,38825,37552
Guéret,Arrondissement,96388,93566,88271,84477,85036,83965
Deux-Sèvres,Department,335829,342812,345965,344392,362944,371583
Bressuire,Arrondissement,89582,92179,93153,91673,93965,96191
Niort,Arrondissement,179613,184109,188614,190708,205498,210947
Parthenay,Arrondissement,66634,66524,64198,62011,63481,64445
Dordogne,Department,373179,377356,386365,388293,406793,416384
Bergerac,Arrondissement,95590,97226,102282,103105,108673,111727
Nontron,Arrondissement,48104,45628,43749,41782,41787,41106
Périgueux,Arrondissement,164239,167586,171912,173821,182932,188523
Sarlat-la-Canéda,Arrondissement,65246,66916,68422,69585,73401,75028
Doubs,Department,471082,477163,484770,499062,520133,531062
Besançon,Arrondissement,199287,204887,216500,229712,242173,245791
Montbéliard,Arrondissement,192756,191130,181696,177604,176982,178123
Pontarlier,Arrondissement,79039,81146,86574,91746,100978,107148
Drôme,Department,361847,389781,414072,437778,473428,491334
Die,Arrondissement,32168,33572,35207,37733,40863,42241
Nyons,Arrondissement,92649,105119,113185,120700,133403,138564
Valence,Arrondissement,237030,251090,265680,279345,299162,310529
Essonne,Department,923063,988000,1084824,1134238,1201994,1237507
Étampes,Arrondissement,87573,99316,116331,125148,134012,139843
Évry,Arrondissement,379606,411301,456033,471435,501283,515487
Palaiseau,Arrondissement,455884,477383,512460,537655,566699,582177
Eure,Department,422952,462254,513818,541054,572105,591616
Bernay,Arrondissement,123745,134456,139769,144580,155194,165189
Évreux,Arrondissement,180953,193374,217633,229505,242160,245410
Les Andelys,Arrondissement,118254,134424,156416,166969,174751,181017
Eure-et-Loir,Department,335151,362813,396073,407665,422411,432107
Chartres,Arrondissement,149585,165226,184687,194340,200131,206582
