,name,pop,lat,lon
0,Alb-Donau-Kreis,-808,48.4011324,9.8362713
1,Baden-Baden,-770,48.7580777,8.2415239
2,Biberach,2896,48.6085862,8.212817
3,Böblingen,-3880,48.684969,9.0113444
4,Bodenseekreis,3135,47.7145053,9.3789822
5,Breisgau-Hochschwarzwald,4238,47.941164,7.8471664
6,Calw,-9067,48.7153344,8.7381796
7,Emmendingen,3500,48.1206565,7.850993
8,Enzkreis,-2519,48.9099929,8.7397318
9,Esslingen,-2448,48.7427584,9.3071685
10,Freiburg im Breisgau,1334,48.0021322,7.823903
11,Freudenstadt,-5709,48.4637727,8.4111727
12,Göppingen,-10243,48.7052936,9.6607959
13,Heidelberg,5242,49.4093608,8.6948125
14,Heidenheim,-9239,48.6767637,10.152923
15,Heilbronn,-1232,49.1422908,9.2186549
16,Heilbronn Stadt,-4104,49.1422908,9.2186549
17,Hohenlohekreis,-1641,49.2725125,9.6057331
18,Karlsruhe,1170,49.0140679,8.4044366
19,Karlsruhe Stadt,9595,49.01585255,8.4097980563
20,Konstanz,-1895,47.659216,9.1750718
21,Lörrach,-147,47.6120896,7.6607218
22,Ludwigsburg,6642,48.8956194,9.1895147
23,Main-Tauber-Kreis,-6884,49.5712667,9.7000589
24,Mannheim,-18268,49.4895914,8.4672361
25,Neckar-Odenwald-Kreis,-7281,49.4221407,9.2186222
26,Ortenaukreis,-1289,48.4111059,8.0062094
27,Ostalbkreis,-8815,48.8777738,10.0337317
28,Pforzheim,-3591,48.8908846,8.7029532
29,Rastatt,-1985,48.8574209,8.2088088
30,Ravensburg,-977,47.7811014,9.612468
31,Rems-Murr-Kreis,-6085,48.8934,9.4672129
32,Reutlingen,-5825,48.4919508,9.2114144
33,Rhein-Neckar-Kreis,-3756,49.3684797,8.7352403
34,Rottweil,-5282,48.165531,8.6251283
35,Schwäbisch Hall,-612,49.1123963,9.7369047
36,Schwarzwald-Baar-Kreis,-7354,48.048325,8.396666
37,Sigmaringen,-6070,48.0854402,9.2179178
38,Stuttgart,-1262,48.7784485,9.1800132
39,Tübingen,893,48.5236164,9.0535531
40,Tuttlingen,-1652,47.9844382,8.818666
41,Ulm,-1586,48.398312,9.9910464
42,Waldshut,-2979,47.6221367,8.2170582
43,Zollernalbkreis,-7636,48.247988,8.8893344
44,Aichach-Friedberg,1886,48.4335,11.0772281
45,Altötting,-3000,48.2268085,12.6757914
46,Amberg,-2306,49.4454211,11.858728
47,Amberg-Sulzbach,-5182,49.4801852,11.7836407
48,Ansbach,-5315,49.3027671,10.5722194
49,Ansbach Stadt,-921,49.3027671,10.5722194
50,Aschaffenburg,-1965,49.9740542,9.1493636
51,Aschaffenburg Stadt,-1002,49.9740542,9.1493636
52,Augsburg,-1441,48.3668041,10.8986971
53,Augsburg Stadt,9931,48.34336385,10.8951546142
54,Bad Kissingen,-5478,50.1996726,10.0780665
55,Bad Tölz-Wolfratshausen,1762,47.7825524,11.4873095
56,Bamberg,503,49.8926723,10.8876149
57,Bamberg Stadt,1239,49.8926723,10.8876149
58,Bayreuth,-3854,49.9427202,11.5763079
