,name,pop
0,Alb-Donau-Kreis,-808
1,Baden-Baden,-770
2,Biberach,2896
3,Böblingen,-3880
4,Bodenseekreis,3135
5,Breisgau-Hochschwarzwald,4238
6,Calw,-9067
7,Emmendingen,3500
8,Enzkreis,-2519
9,Esslingen,-2448
10,Freiburg im Breisgau,1334
11,Freudenstadt,-5709
12,Göppingen,-10243
13,Heidelberg,5242
14,Heidenheim,-9239
15,Heilbronn,-1232
16,Heilbronn Stadt,-4104
17,Hohenlohekreis,-1641
18,Karlsruhe,1170
19,Karlsruhe Stadt,9595
20,Konstanz,-1895
21,Lörrach,-147
22,Ludwigsburg,6642
23,Main-Tauber-Kreis,-6884
24,Mannheim,-18268
25,Neckar-Odenwald-Kreis,-7281
26,Ortenaukreis,-1289
27,Ostalbkreis,-8815
28,Pforzheim,-3591
29,Rastatt,-1985
30,Ravensburg,-977
31,Rems-Murr-Kreis,-6085
32,Reutlingen,-5825
33,Rhein-Neckar-Kreis,-3756
34,Rottweil,-5282
35,Schwäbisch Hall,-612
36,Schwarzwald-Baar-Kreis,-7354
37,Sigmaringen,-6070
38,Stuttgart,-1262
39,Tübingen,893
40,Tuttlingen,-1652
41,Ulm,-1586
42,Waldshut,-2979
43,Zollernalbkreis,-7636
44,Aichach-Friedberg,1886
45,Altötting,-3000
46,Amberg,-2306
47,Amberg-Sulzbach,-5182
48,Ansbach,-5315
49,Ansbach Stadt,-921
50,Aschaffenburg,-1965
51,Aschaffenburg Stadt,-1002
52,Augsburg,-1441
53,Augsburg Stadt,9931
54,Bad Kissingen,-5478
55,Bad Tölz-Wolfratshausen,1762
56,Bamberg,503
57,Bamberg Stadt,1239
58,Bayreuth,-3854
59,Bayreuth Stadt,-3711
60,Berchtesgadener Land,201
61,Cham,-5727
62,Coburg,-4424
63,Coburg Stadt,-1775
64,Dachau,7352
65,Deggendorf,-2104
66,Dillingen an der Donau,-1127
67,Dingolfing-Landau,-1062
68,Donau-Ries,-2415
69,Ebersberg,7152
70,Eichstätt,2390
71,Erding,7757
72,Erlangen,1807
73,Erlangen-Höchstadt,644
74,Forchheim,-100
75,Freising,7422
76,Freyung-Grafenau,-4381
