,name,Status,"Population
Census
1987-05-25","Population
Estimate
1995-12-31","Population
Estimate
2001-12-31","Population
Census
2011-05-09","Population
Estimate
2014-12-31",Change2001-2011
0,Alb-Donau-Kreis,County,160244,180309,187000,186192,189129,-808
1,Baden-Baden,City with County Rights,50127,52745,53084,52314,53342,-770
2,Biberach,County,153900,175622,184548,187444,190438,2896
3,Böblingen,County,315677,351027,367830,363950,374279,-3880
4,Bodenseekreis,County,172776,192947,200948,204083,209386,3135
5,Breisgau-Hochschwarzwald,County,203111,230839,243043,247281,252749,4238
6,Calw,County,133321,157177,160115,151048,152766,-9067
7,Emmendingen,County,132508,146418,152953,156453,159708,3500
8,Enzkreis,County,164639,186812,193873,191354,193728,-2519
9,Esslingen,County,460429,490169,505340,502892,516779,-2448
10,Freiburg im Breisgau,City with County Rights,178672,199273,208294,209628,222203,1334
11,Freudenstadt,County,101957,119166,121682,115973,115147,-5709
12,Göppingen,County,230379,255203,257651,247408,250117,-10243
13,Heidelberg,City with County Rights,127768,138781,141509,146751,154715,5242
14,Heidenheim,County,125340,137315,137055,127816,128894,-9239
15,Heilbronn,County,252458,303513,324043,322811,329250,-1232
16,Heilbronn Stadt,City with County Rights,110970,121509,120163,116059,119841,-4104
17,Hohenlohekreis,County,86103,104347,108920,107279,108816,-1641
18,Karlsruhe,County,364798,405795,422952,424122,431315,1170
19,Karlsruhe Stadt,City with County Rights,260591,275690,279578,289173,300051,9595
20,Konstanz,County,231898,258668,268859,266964,275785,-1895
21,Lörrach,County,191004,212122,219149,219002,223692,-147
22,Ludwigsburg,County,442389,485831,503229,509871,526377,6642
23,Main-Tauber-Kreis,County,121891,136919,137508,130624,130299,-6884
24,Mannheim,City with County Rights,295191,311292,308385,290117,299844,-18268
25,Neckar-Odenwald-Kreis,County,130656,146782,150091,142810,141651,-7281
26,Ortenaukreis,County,354655,399133,411491,410202,415639,-1289
27,Ostalbkreis,County,279572,311110,315345,306530,308205,-8815
28,Pforzheim,City with County Rights,106530,118763,118002,114411,119291,-3591
29,Rastatt,County,194603,218982,224309,222324,224687,-1985
30,Ravensburg,County,233635,261446,270572,269595,275339,-977
31,Rems-Murr-Kreis,County,360634,399116,412959,406874,414016,-6085
32,Reutlingen,County,244246,272057,279177,273352,278031,-5825
33,Rhein-Neckar-Kreis,County,465342,512445,527796,524040,534729,-3756
34,Rottweil,County,126796,138944,141761,136479,135912,-5282
35,Schwäbisch Hall,County,154041,180648,186967,186355,188974,-612
36,Schwarzwald-Baar-Kreis,County,192620,208828,211321,203967,206116,-7354
37,Sigmaringen,County,113650,130652,133671,127601,127716,-6070
38,Stuttgart,City with County Rights,551904,585604,587152,585890,612441,-1262
