Name,Native,Status,"Population
Census
2002-10-09","Population
Census
2010-10-14","Population
Estimate
2015-01-01"
Čečenija [Chechnya],Чеченская Республика,Republic,1103686,1268989,1370268
Ačchoj-Martanovskij Rajon [Achkhoy-Martanovsky Raion],Ачхой-Мартановский район,District,64839,78505,84715
Argun,г. Аргун,City,25698,29525,34078
Groznenskij Rajon [Groznensky Raion],Грозненский район,District,126940,118347,124936
Groznyj [Grozny],г. Грозный,City,210720,271573,283659
Gudermesskij Rajon [Gudermessky Raion],Гудермесский район,District,104838,123739,138349
Itum-Kalinskij Rajon [Itum-Kalinsky Raion],Итум-Калинский район,District,6083,5483,6031
Kurčalojevskij Rajon [Kurchaloyevsky Raion],Курчалоевский район,District,101625,114039,122708
Nadterečnyj Rajon [Nadterechny Raion],Надтеречный район,District,51755,55782,61173
Naurskij Rajon [Naursky Raion],Наурский район,District,51143,54752,57915
Nožaj-Jurtovskij Rajon [Nozhay-Yurtovsky Raion],Ножай-Юртовский район,District,40542,49445,54980
Šalinskij Rajon [Shalinsky Raion],Шалинский район,District,109218,115970,126036
Šarojskij Rajon [Sharoysky Raion],Шаройский район,District,2236,3094,3071
Šatojskij Rajon [Shatoysky Raion],Шатойский район,District,13155,16812,17939
Šelkovskoj Rajon [Shelkovskoy Raion],Шелковской район,District,50233,53548,58900
Sunženskij Rajon [Sunzhensky Raion],Сунженский район,District,20108,20989,22477
Urus-Martanovskij Rajon [Urus-Martanovsky Raion],Урус-Мартановский район,District,101163,120585,134411
Vedenskij Rajon [Vedensky Raion],Веденский район,District,23390,36801,38890
Dagestan,Республика Дагестан,Republic,2576531,2910249,2990371
Achtynskij Rajon [Akhtynsky Raion],Ахтынский район,District,31592,32604,32049
Achvachskij Rajon [Akhvakhsky Raion],Ахвахский район,District,20373,22014,23302
Agul'skij Rajon [Agulsky Raion],Агульский район,District,11290,11204,10513
Akušinskij Rajon [Akushinsky Raion],Акушинский район,District,52455,53558,53060
Babajurtovskij Rajon [Babayurtovsky Raion],Бабаюртовский район,District,41331,45701,47552
Botlichskij Rajon [Botlikhsky Raion],Ботлихский район,District,50469,54322,56399
Bujnaksk [Buynaksk],г. Буйнакск,City,61437,62623,63312
Bujnakskij Rajon [Buynaksky Raion],Буйнакский район,District,65018,73402,78407
Čarodinskij Rajon [Charodinsky Raion],Чародинский район,District,11792,11777,12149
Chasavjurt [Khasavyurt],г. Хасавюрт,City,121817,131187,136789
Chasavjurtovskij Rajon [Khasavyurtovsky Raion],Хасавюртовский район,District,125454,141232,149293
Chivskij Rajon [Khivsky Raion],Хивский район,District,20747,22753,21532
Chunzachskij Rajon [Khunzakhsky Raion],Хунзахский район,District,30203,31691,31908
Cumadinskij Rajon [Tsumadinsky Raion],Цумадинский район,District,20632,23345,24500
Cuntinskij Rajon [Tsuntinsky Raion],Цунтинский район,District,17466,18282,19093
Dachadajevskij Rajon [Dakhadayevsky Raion],Дахадаевский район,District,38359,36709,36367
Dagestanskije Ogni [Dagestanskiye Ogni],г. Дагестанские Огни,City,26346,27923,28669
Derbent,г. Дербент,City,101031,119200,121251
Derbentskij Rajon [Derbentsky Raion],Дербентский район,District,86494,99054,102018
Dokuzparinskij Rajon [Dokuzparinsky Raion],Докузпаринский район,District,14330,15357,15512
Gergebil'skij Rajon [Gergebilsky Raion],Гергебильский район,District,18366,19910,20700
Gumbetovskij Rajon [Gumbetovsky Raion],Гумбетовский район,District,18177,22046,22388
Gunibskij Rajon [Gunibsky Raion],Гунибский район,District,25106,25303,26196
Izberbaš [Izberbash],г. Избербаш,City,40987,55646,56914
Južno-Suchokumsk [Yuzhno-Sukhokumsk],г. Южно-Сухокумск,City,9777,10035,10359
Kajakentskij Rajon [Kayakentsky Raion],Каякентский район,District,52739,54089,54186
Kajtagskij Rajon [Kaytagsky Raion],Кайтагский район,District,26870,31368,32372
Karabudachkentskij Rajon [Karabudakhkentsky Raion],Карабудахкентский район,District,60620,73016,79161
Kaspíjsk [Kaspiysk],г. Каспи́йск,City,77650,100129,107329
Kazbekovskij Rajon [Kazbekovsky Raion],Казбековский район,District,33140,42752,45772
Kiziljurt [Kizilyurt],г. Кизилюрт,City with Environs,47679,43421,45625
Kiziljurtovskij Rajon [Kizilyurtovsky Raion],Кизилюртовский район,District,70440,61876,67871
Kizljar [Kizlyar],г. Кизляр,City with Environs,51024,51707,50751
Kizljarskij Rajon [Kizlyarsky Raion],Кизлярский район,District,57748,67287,71121
Kulinskij Rajon [Kulinsky Raion],Кулинский район,District,10760,11174,11239
Kumtorkalinskij Rajon [Kumtorkalinsky Raion],Кумторкалинский район,District,21053,24848,26068
Kurachskij Rajon [Kurakhsky Raion],Курахский район,District,15206,15434,15139
Lakskij Rajon [Laksky Raion],Лакский район,District,12382,12161,11984
Levašinskij Rajon [Levashinsky Raion],Левашинский район,District,64371,70704,74044
Machačkala [Makhachkala],г. Махачкала,City with Environs,545258,696885,710880
Magaramkentskij Rajon [Magaramkentsky Raion],Магарамкентский район,District,58694,62195,62081
Nogajskij Rajon [Nogaysky Raion],Ногайский район,District,21685,22472,20148
Novolakskij Rajon [Novolaksky Raion],Новолакский район,District,22019,28556,32367
