Name,Native,Status,"Population
Census
2002-10-09","Population
Census
2010-10-14","Population
Estimate
2015-01-01"
Belgorod,Белгородская область,Province (Oblast),1511620,1532526,1547936
Aleksejevskij Rajon [Alexeyevsky Raion],Алексеевский район,District,66805,64451,62742
Belgorod,г. Белгород,City,337030,356402,384425
Belgorodskij Rajon [Belgorodsky Raion],Белгородский район,District,90430,108778,114487
Borisovskij Rajon [Borisovsky Raion],Борисовский район,District,26282,26252,25638
Černjanskij Rajon [Chernyansky Raion],Чернянский район,District,33899,32647,31613
Grajvoronskij Rajon [Grayvoronsky Raion],Грайворонский район,District,31567,29137,29544
Gubkin [Gubkinsky Urban Okrug],Губкинский городской округ,City with Environs,120057,122121,119817
Ivnjanskij Rajon [Ivnyansky Raion],Ивнянский район,District,24468,23570,22531
Jakovlevskij Rajon [Yakovlevsky Raion],Яковлевский район,District,51409,57774,57432
Koročanskij Rajon [Korochansky Raion],Корочанский район,District,39722,38695,38967
Krasnenskij Rajon [Krasnensky Raion],Красненский район,District,15337,13371,12345
Krasnogvardejskij Rajon [Krasnogvardeysky Raion],Красногвардейский район,District,44156,40636,37994
Krasnojaružskij Rajon [Krasnoyaruzhsky Raion],Краснояружский район,District,15128,14891,14505
Novooskol'skij Rajon [Novooskolsky Raion],Новооскольский район,District,47380,43396,42180
Prochorovskij Rajon [Prokhorovsky Raion],Прохоровский район,District,31847,30094,27684
Rakitjanskij Rajon [Rakityansky Raion],Ракитянский район,District,35031,33935,34842
Roven'skij Rajon [Rovensky Raion],Ровеньский район,District,25085,24060,23786
Šebekinskij Rajon [Shebekinsky Raion],Шебекинский район,District,92464,92168,91123
Staryj Oskol [Starooskolsky Urban Okrug],Старооскольский городской округ,City with Environs,250961,256542,257948
Valujskij Rajon [Valuysky Raion],Валуйский район,District,72391,69167,67009
Vejdelevskij Rajon [Veydelevsky Raion],Вейделевский район,District,24555,21670,19942
