Name,Native,Status,"Population
Census
2002-10-09","Population
Census
2010-10-14","Population
Estimate
2015-01-01"
Amur,Амурская область,Province (Oblast),902844,830103,809873
Archarinskij Rajon [Arkharinsky Raion],Архаринский район,District,21068,17186,15496
Belogorsk,г. Белогорск,City with Environs,67933,68716,67687
Belogorskij Rajon [Belogorsky Raion],Белогорский район,District,23848,20052,18362
Blagoveščensk [Blagoveshchensk],г. Благовещенск,City with Environs,222629,219847,229561
Blagoveščenskij Rajon [Blagoveshchensky Raion],Благовещенский район,District,18673,19641,23332
Burejskij Rajon [Bureysky Raion],Бурейский район,District,28211,24021,21761
Ivanovskij Rajon [Ivanovsky Raion],Ивановский район,District,29496,26509,24402
Konstantinovskij Rajon [Konstantinovsky Raion],Константиновский район,District,14847,12986,12628
Magdagačinskij Rajon [Magdagachinsky Raion],Магдагачинский район,District,26427,22671,20530
Mazanovskij Rajon [Mazanovsky Raion],Мазановский район,District,16028,14803,13609
Michajlovskij Rajon [Mikhaylovsky Raion],Михайловский район,District,17081,14850,14199
Oktjabr'skij Rajon [Oktyabrsky Raion],Октябрьский район,District,22761,19679,18673
Progress,пгт. Прогресс,Settlement with Environs,14345,13316,12336
Rajčichinsk [Raychikhinsk],г. Райчихинск,City with Environs,27887,21933,20592
Romnenskij Rajon [Romnensky Raion],Ромненский район,District,11822,9401,8607
Selemdžinskij Rajon [Selemdzhinsky Raion],Селемджинский район,District,11808,11639,10666
Seryševskij Rajon [Seryshevsky Raion],Серышевский район,District,29440,25725,24540
Šimanovsk [Shimanovsk],г. Шимановск,City,22267,19815,18941
Šimanovskij Rajon [Shimanovsky Raion],Шимановский район,District,7275,5956,5643
Skovorodinskij Rajon [Skovorodinsky Raion],Сковородинский район,District,34269,29558,27757
Svobodnenskij Rajon [Svobodnensky Raion],Свободненский район,District,14568,14315,14803
Svobodnyj [Svobodny],г. Свободный,City,64256,58778,55159
Tambovskij Rajon [Tambovsky Raion],Тамбовский район,District,25049,22671,21860
Tynda,г. Тында,City,40285,36275,33819
Tyndinskij Rajon [Tyndinsky Raion],Тындинский район,District,16701,16065,14209
Uglegorsk,пгт. Углегорск,Urban Settlement,5050,5892,6208
Zavitinskij Rajon [Zavitinsky Raion],Завитинский район,District,20198,15970,14808
Zeja [Zeya],г. Зея,City,27795,24986,23966
Zejskij Rajon [Zeysky Raion],Зейский район,District,20827,16847,15719
Chabarovsk [Khabarovsk],Хабаровский край,Province (Oblast),1436570,1343869,1338305
Ajano-Majskij Rajon [Ayano-Maysky Raion],Аяно-Майский район,District,3271,2292,2009
Amurskij Rajon [Amursky Raion],Амурский район,District,75032,65639,61864
Bikinskij Rajon [Bikinsky Raion],Бикинский район,District,28271,24418,22858
Chabarovsk [Khabarovsk],г. Хабаровск,City,583072,577441,607216
Chabarovskij Rajon [Khabarovsky Raion],Хабаровский район,District,90179,85404,89379
Komsomol'skij Rajon [Komsomolsky Raion],Комсомольский район,District,31563,29072,28618
Komsomol'sk-na-Amure [Komsomolsk-on-Amur],г. Комсомольск-на-Амуре,City,281035,263906,253030
Nanajskij Rajon [Nanaysky Raion],Нанайский район,District,19377,17491,16506
Nikolajevskij Rajon [Nikolayevsky Raion],Николаевский район,District,42342,32694,29326
Ochotskij Rajon [Okhotsky Raion],Охотский район,District,12017,8197,6988
Rajon Imeni Lazo [Imeni Lazo Raion],Район имени Лазо,District,52568,46185,42929
Rajon Imeni Poliny Osipenko [Imeni Poliny Osipenko Raion],Район имени Полины Осипенко,District,6568,5198,4682
Solnečnyj Rajon [Solnechny Raion],Солнечный район,District,36006,33701,31238
Sovetsko-Gavanskij Rajon [Sovetsko-Gavansky Raion],Советско-Гаванский район,District,47115,43506,40831
Tuguro-Čumikanskij Rajon [Tuguro-Chumikansky Raion],Тугуро-Чумиканский район,District,2860,2255,2029
Ul'čskij Rajon [Ulchsky Raion],Ульчский район,District,23930,18729,16583
Vaninskij Rajon [Vaninsky Raion],Ванинский район,District,42235,37310,34873
Verchnebureinskij Rajon [Verkhnebureinsky Raion],Верхнебуреинский район,District,33250,27457,25763
Vjazemskij Rajon [Vyazemsky Raion],Вяземский район,District,25879,22974,21583
Čukotskij Avtonomnyj Okrug [Chukotka Autonomous Okrug],Чукотский автономный округ,Province (Oblast),53824,50526,50540
Anadyr' [Anadyr],г. Анадырь,City with Environs,11038,13517,14784
Anadyrskij Rajon [Anadyrsky Raion],Анадырский район,District,11169,9436,8788
Bilibinskij Rajon [Bilibinsky Raion],Билибинский район,District,8820,7866,7825
Čaunskij Rajon [Chaunsky Raion],Чаунский район,District,6962,5359,5774
Čukotskij Rajon [Chukotsky Raion],Чукотский район,District,4541,4838,4510
Iul'tinskij Rajon [Iultinsky Raion],Иультинский район,District,6634,5587,5122
Providenskij Rajon [Providensky Raion],Провиденский район,District,4660,3923,3737
Jevrejskaja Avtonomnaja Oblast' [Jewish Autonomous Oblast],Еврейская автономная область,Province (Oblast),190915,176558,168368
Birobidžan [Birobidzhan],г. Биробиджан,City,77250,75413,74777
Birobidžanskij Rajon [Birobidzhansky Raion],Биробиджанский район,District,13018,11907,11853
Leninskij Rajon [Leninsky Raion],Ленинский район,District,22844,20684,19030
Oblučenskij Rajon [Obluchensky Raion],Облученский район,District,36515,29035,26575
Oktjabr'skij Rajon [Oktyabrsky Raion],Октябрьский район,District,13095,11354,10289
Smidovičskij Rajon [Smidovichsky Raion],Смидовичский район,District,28193,28165,25844
Kamčatka [Kamchatka],Камчатский край,Province (Oblast),358801,322079,317269
