Name,Native,Status,"Population
Census
2002-10-09","Population
Census
2010-10-14","Population
Estimate
2015-01-01"
Archangel'sk [Arkhangelsk],Архангельская область,Province (Oblast),1336539,1227626,1183323
Archangel'sk [Arkhangelsk],г. Архангельск,City with Environs,362327,355781,358054
Cholmogorskij Rajon [Kholmogorsky Raion],Холмогорский район,District,30797,25061,22143
Kargopol'skij Rajon [Kargopolsky Raion],Каргопольский район,District,21514,18466,17610
Konošskij Rajon [Konoshsky Raion],Коношский район,District,31067,26106,23138
Korjažma [Koryazhma],г. Коряжма,City,42811,39641,37587
Kotlas,г. Котлас,City with Environs,74194,73517,73937
Kotlasskij Rajon [Kotlassky Raion],Котласский район,District,24964,21005,19855
Krasnoborskij Rajon [Krasnoborsky Raion],Красноборский район,District,17144,13815,12593
Lenskij Rajon [Lensky Raion],Ленский район,District,16071,13362,11955
Lešukonskij Rajon [Leshukonsky Raion],Лешуконский район,District,10708,7979,6871
Mezenskij Rajon [Mezensky Raion],Мезенский район,District,13124,10330,9482
Mirnyj [Mirny],г. Мирный,City,30502,30280,32066
Nar'jan-Mar [Naryan-Mar],г. Нарьян-Мар,City,25592,21658,23939
Njandomskij Rajon [Nyandomsky Raion],Няндомский район,District,33465,30244,27678
Novaja Zemlja [Novaya Zemlya],пгт. Новая Земля,Settlement with Environs,2716,2429,2841
Novodvinsk,г. Новодвинск,City,43383,40615,39222
Onežskij Rajon [Onezhsky Raion],Онежский район,District,40360,35376,32272
Pinežskij Rajon [Pinezhsky Raion],Пинежский район,District,33516,26978,23799
Pleseckij Rajon [Plesetsky Raion],Плесецкий район,District,58257,49077,43121
Primorskij Rajon [Primorsky Raion],Приморский район,District,30333,26327,25952
Šenkurskij Rajon [Shenkursky Raion],Шенкурский район,District,18680,15196,13530
Severodvinsk,г. Северодвинск,City with Environs,203377,193607,187277
Ust'janskij Rajon [Ustyansky Raion],Устьянский район,District,37131,30581,27797
Vel'skij Rajon [Velsky Raion],Вельский район,District,61819,54792,51565
Verchnetojemskij Rajon [Verkhnetoyemsky Raion],Верхнетоемский район,District,22630,17060,14481
Vilegodskij Rajon [Vilegodsky Raion],Вилегодский район,District,13241,11158,10116
Vinogradovskij Rajon [Vinogradovsky Raion],Виноградовский район,District,20862,16753,15008
Zapoljarnyj Rajon [Zapolyarny Raion],Заполярный район,District,15304,20432,19434
Gorod Sankt-Peterburg [St. Petersburg],г. Санкт-Петербург,Province (Oblast),4661219,4879566,5191690
Admiraltejskij Rajon [Admiralteysky Raion],Адмиралтейский,Administrative District,187837,157897,170361
Central'nyj Rajon [Tsentralny Raion],Центральный,Administrative District,236856,214625,226674
Frunzenskij Rajon [Frunzensky Raion],Фрунзенский,Administrative District,405274,401779,407570
Kalininskij Rajon [Kalininsky Raion],Калининский,Administrative District,469409,504641,526876
Kirovskij Rajon [Kirovsky Raion],Кировский,Administrative District,338820,334746,338593
Kolpinskij Rajon [Kolpinsky Raion],Колпинский,Administrative District,175396,177448,186973
Krasnogvardejskij Rajon [Krasnogvardeysky Raion],Красногвардейский,Administrative District,336342,337091,347545
Krasnosel'skij Rajon [Krasnoselsky Raion],Красносельский,Administrative District,305129,330546,357091
Kronštadtskij Rajon [Kronstadt],Кронштадтский,Administrative District,43385,43005,44074
Kurortnyj Rajon [Kurortny Raion],Курортный,Administrative District,67511,70589,73846
Moskovskij Rajon [Moskovsky Raion],Московский,Administrative District,275884,288744,332596
Nevskij Rajon [Nevsky Raion],Невский,Administrative District,438061,466013,497509
Petrodvorcovyj Rajon [Petrodvortsovy Raion],Петродворцовый,Administrative District,115318,128156,133668
Petrogradskij Rajon [Petrogradsky Raion],Петроградский,Administrative District,134607,130455,139107
Primorskij Rajon [Primorsky Raion],Приморский,Administrative District,393960,507238,544032
Puškinskij Rajon [Pushkinsky Raion],Пушкинский,Administrative District,118171,135973,171593
Vasileostrovskij Rajon [Vasilyevsky Island],Василеостровский,Administrative District,199692,203058,211132
Vyborgskij Rajon [Vyborgsky Raion],Выборгский,Administrative District,419567,447562,482450
Kaliningrad,Калининградская область,Province (Oblast),955281,941873,968944
Bagrationovskij Rajon [Bagrationovsky Raion],Багратионовский район,District,34203,32352,33116
Baltijskij Rajon [Baltiysky Raion],Балтийский район,District,36216,36047,36464
Černjachovskij Rajon [Chernyakhovsky Raion],Черняховский район,District,57521,51936,48819
Gurjevsk [Guryevsky Urban Okrug],Гурьевский городской округ,City with Environs,47330,52988,58988
Gusev [Gusevsky Urban Okrug],Гусевский городской округ,City with Environs,37461,37142,37725
Gvardejskij Rajon [Gvardeysky Raion],Гвардейский район,District,32101,29926,29299
Jantarnyj [Yantarny],Янтарный городской округ,Settlement with Environs,6211,6410,6498
Kaliningrad,г. Калининград,City,430003,431902,453461
Krasnoznamenskij Rajon [Krasnoznamensky Raion],Краснознаменский район,District,12961,12905,12332
Laduškin [Ladushkin],Ладушкинский городской округ,City with Environs,3849,3877,4149
Mamonovo,Мамоновский городской округ,City with Environs,7620,7957,8274
Nemanskij Rajon [Nemansky Raion],Неманский район,District,22536,20132,19699
Nesterovskij Rajon [Nesterovsky Raion],Нестеровский район,District,17250,16213,15657
Ozërskij Rajon [Ozyorsky Raion],Озёрский район,District,17239,15316,14438
Pionerskij [Pionersky],г. Пионерский,City,11816,11016,11475
Polesskij Rajon [Polessky Raion],Полесский район,District,19018,19205,18746
Pravdinskij Rajon [Pravdinsky Raion],Правдинский район,District,21076,19061,19334
Slavskij Rajon [Slavsky Raion],Славский район,District,21918,21015,20274
Sovetsk,г. Советск,City,43224,41705,41212
