,name,pop,lat,lon
0,"Ачхой-Мартановский район, Чеченская Республика",78505,43.10109995,45.2669806411
1,"Аргун, Чеченская Республика",29525,42.8186511,45.6321192
2,"Грозненский район, Чеченская Республика",118347,43.26669775,45.5290126755
3,"Грозный, Чеченская Республика",271573,43.3168453,45.6989683
4,"Гудермесский район, Чеченская Республика",123739,43.31822565,46.1757724267
5,"Итум-Калинский район, Чеченская Республика",5483,42.6934845,45.4588370858
6,"Курчалоевский район, Чеченская Республика",114039,43.17844725,46.1961740028
7,"Надтеречный район, Чеченская Республика",55782,43.59181615,45.1515554326
8,"Наурский район, Чеченская Республика",54752,43.77770105,45.4467168293
9,"Ножай-Юртовский район, Чеченская Республика",49445,43.0222033,46.3570909927
10,"Шалинский район, Чеченская Республика",115970,43.13599255,45.9151988694
11,"Шаройский район, Чеченская Республика",3094,42.59452205,45.7952554344
12,"Шатойский район, Чеченская Республика",16812,42.853259,45.7454083138
13,"Шелковской район, Чеченская Республика",53548,43.7090784,46.1678474677
14,"Сунженский район, Чеченская Республика",20989,43.3190487,45.168838666
15,"Урус-Мартановский район, Чеченская Республика",120585,43.09507015,45.5060870072
16,"Веденский район, Чеченская Республика",36801,42.8883319,46.0427116464
17,"Ахтынский район, Республика Дагестан",32604,41.39899265,47.6562047977
18,"Ахвахский район, Республика Дагестан",22014,42.5388636,46.354520421
19,"Агульский район, Республика Дагестан",11204,41.82661565,47.5507005801
20,"Акушинский район, Республика Дагестан",53558,42.17538345,47.3616571073
21,"Бабаюртовский район, Республика Дагестан",45701,43.5441691,46.9738301271
22,"Ботлихский район, Республика Дагестан",54322,42.7410441,46.2815251264
23,"Буйнакск, Республика Дагестан",62623,42.8231634,47.1286143
24,"Буйнакский район, Республика Дагестан",73402,42.8510283,47.2906886153
25,"Чародинский район, Республика Дагестан",11777,42.1148691,46.8005082144
26,"Хасавюрт, Республика Дагестан",131187,43.2427461,46.5808469
27,"Хасавюртовский район, Республика Дагестан",141232,43.32463655,46.6326807591
