,name,pop,lat,lon,
0,Алексеевский район,62742,55.81104385,37.6489978089,
1,"г. Белгород, Белгородская область",384425,51.2991635,37.8875891,
2,"Белгородский район, Белгородская область",114487,50.52267975,36.3823897105,
3,"Борисовский район, Белгородская область",25638,50.5951942,36.0116819877,
4,"Чернянский район, Белгородская область",31613,50.9821216,37.8753291295,
5,"Грайворонский район, Белгородская область",29544,50.53232905,35.6584133144,
6,"Губкинский городской округ, Белгородская область",119817,51.17069335,37.3808081561,
7,"Ивнянский район, Белгородская область",22531,51.0201731,36.2197072533,
8,"Яковлевский район, Белгородская область",57432,50.73210225,36.2290154373,
9,"Корочанский район, Белгородская область",38967,50.80325615,37.191716364,
10,"Красненский район, Белгородская область",12345,50.94358735,38.5813761285,
11,"Красногвардейский район, Белгородская область",37994,50.5996826,38.3062998888,
12,"Краснояружский район, Белгородская область",14505,50.817772,35.5717713209,
13,"Новооскольский район, Белгородская область",42180,50.74402725,37.7897272235,
14,"Прохоровский район, Белгородская область",27684,50.99904335,36.8122273537,
15,"Ракитянский район, Белгородская область",34842,50.83803255,35.9006133869,
16,"Ровеньский район, Белгородская область",23786,50.0501569,39.014060258,
17,"Шебекинский район, Белгородская область",91123,50.438988,36.8728034,
18,"Старооскольский городской округ, Белгородская область",257948,51.22585385,38.0707119657,
19,"Валуйский район, Белгородская область",67009,50.1622,37.9646614759,
20,"Вейделевский район, Белгородская область",19942,50.1834343,38.5863472949,
21,"Волоконовский район, Белгородская область",31382,50.4498517,37.7987247234,
22,"Брасовский район, Брянская область",20190,52.63265295,34.7134910981,
23,"г. Брянск, Брянская область",426060,53.3682061,34.248664,
24,"Брянский район, Брянская область",57544,53.3010122,34.6498053303,
25,"Дятьковский район, Брянская область",61372,53.64723575,34.2385788067,
26,"Дубровский район, Брянская область",18316,53.64350195,33.3911624038,
27,"Фокино, Брянская область",13238,53.4526625,34.4154587,
28,"Гордеевский район, Брянская область",10940,52.91552845,31.8970750394,
29,"Карачевский район, Брянская область",33964,53.12237525,34.8876323846,
30,"Клетнянский район, Брянская область",19066,53.38914055,33.0938406477,
31,"Климовский район, Брянская область",27707,52.27770975,32.166662423,
32,"Клинцовский район, Брянская область",18458,52.70612375,32.0310117652,
33,"г. Клинцы, Брянская область",69181,52.7480341,32.2371955,
34,"Комаричский район, Брянская область",17275,52.3575464,34.6559722179,
35,"Красногорский район, Брянская область",12407,52.99221075,31.5143047094,
36,"Мглинский район, Брянская область",18293,53.1168797,32.870959631,
37,"Навлинский район, Брянская область",27434,52.8910027,34.4096754262,
38,"г. Новозыбков, Брянская область",40765,52.5130419,31.9910355,
39,"Новозыбковский район, Брянская область",11368,52.5876236,31.9009880238,
40,"Почепский район, Брянская область",39606,52.92625975,33.4934360299,
41,"Погарский район, Брянская область",25751,52.5207056,33.2053407647,
42,"Рогнединский район, Брянская область",6704,53.85075645,33.5418628949,
43,"г. Сельцо, Брянская область",16957,53.37020605,34.10923375,
44,"Севский район, Брянская область",15551,52.09227125,34.4202384299,
45,"Стародуб, Брянская область",18868,52.5844459,32.7600983,
46,"Стародубский район, Брянская область",19839,52.5153759,32.7150091723,
47,"Суражский район, Брянская область",23608,53.1024687,32.4193118105,
48,"Суземский район, Брянская область",15800,52.41094255,34.0616248255,
49,"Трубчевский район, Брянская область",35314,52.58677755,33.7892580307,
50,"Унечский район, Брянская область",37064,52.83138185,32.8245377405,
51,"Выгоничский район, Брянская область",19960,53.0368833,33.9702279665,
52,"Жирятинский район, Брянская область",7089,53.22065455,33.6461441342,
53,"Злынковский район, Брянская область",12142,52.36545445,31.8135057707,
54,"Жуковский район, Брянская область",35109,53.5423863,33.7923599314,
55,Центральный,760690,53.2202173,83.6146953,
56,Юго-Восточный,1363859,58.5413719,57.8574142,
57,Юго-Западный,1414510,56.8103131,60.5683913,
58,Южный,1760813,62.4283545,88.2931373,
59,Новомосковский,183591,50.4361646,39.1987022,
60,Северный,1151160,73.5145557,80.4827153667,
61,Северо-Восточный,1402928,51.6946397,39.2645812,
62,Северо-Западный,979614,56.1447208,47.1859197,
63,Троицкий,108063,44.5300175,41.4532428,
64,Восточный,1495835,55.8188903,37.8675117,
65,Западный,1344044,58.5273426,125.4259686,
66,Зеленоградский,232489,56.10546,37.9184292,
67,"Фурмановский район, Ивановская область",41478,57.22533975,41.0074006615,
68,"Гаврилово-Посадский район, Ивановская область",16589,56.6386181,40.1074567831,
69,"Ильинский район, Ивановская область",8821,56.97802255,39.853660088,
70,"г. Иваново, Ивановская область",409285,56.99474315,40.9805001941,
71,"Ивановский район, Ивановская область",37225,57.01092595,41.2184414707,
72,"Юрьевецкий район, Ивановская область",13957,57.3462522,42.9443947699,
73,"Южский район, Ивановская область",24088,56.5535263,42.0323627671,
74,"Кинешемский район, Ивановская область",22295,57.39245295,42.3102956236,
75,"Кинешма, Ивановская область",85344,57.4431,42.1400999,
76,"Кохма, Ивановская область",29258,56.9315448,41.0939402,
77,"Комсомольский район, Ивановская область",20390,57.10752935,40.3594881359,
78,"Лежневский район, Ивановская область",19088,56.75530835,40.9258428449,
79,"Лухский район, Ивановская область",8584,57.02723475,42.4032414174,
80,"Палехский район, Ивановская область",9998,56.83349985,41.9646071266,
81,"Пестяковский район, Ивановская область",6386,56.60551875,42.6856477658,
82,"Приволжский район, Ивановская область",24976,57.32207175,41.3684857763,
83,"Пучежский район, Ивановская область",12067,56.96733375,42.9916440265,
84,"Родниковский район, Ивановская область",34143,57.098793,41.7035781167,
85,"Савинский район, Ивановская область",11312,56.59335625,41.2788571649,
86,"г. Шуя, Ивановская область",58795,56.8206698,41.4194933,
87,"Шуйский район, Ивановская область",22011,56.85627765,41.563992071,
88,"Тейково, Ивановская область",33276,56.8554753,40.5405863,
89,"Тейковский район, Ивановская область",11732,56.77687575,40.4594017906,
90,"Верхнеландеховский район, Ивановская область",4918,56.82354055,42.5749504029,
91,"Вичуга, Ивановская область",35792,57.220222,41.9245606,
92,"Вичугский район, Ивановская область",18655,57.24551845,41.8929578123,
93,"Заволжский район, Ивановская область",16446,57.5734137,41.8676818268,
94,"Большесельский район, Ярославская область",9530,57.71692715,39.0085436673,
95,"Борисоглебский район, Ярославская область",12495,57.324608,39.0258876939,
96,"Брейтовский район, Ярославская область",6669,58.3994583,37.853137134,
97,"Даниловский район, Ярославская область",25628,58.1361491,40.0944857946,
98,"Гаврилов-Ямский район, Ярославская область",26669,57.33556185,40.0109368626,
99,"г. Ярославль, Ярославская область",603961,57.63760375,39.8738323508,
100,"Ярославский район, Ярославская область",58523,57.6662625,39.6256662802,
101,"Любимский район, Ярославская область",11083,58.28785615,40.7163966895,
102,"Мышкинский район, Ярославская область",9967,57.78246855,38.3076720234,
103,"Некоузский район, Ярославская область",14884,57.95008,37.8978845036,
104,"Некрасовский район, Ярославская область",20176,57.61888165,40.4130278597,
105,"г. Переславль-Залесский, Ярославская область",40028,56.72046,38.8311752421,
106,"Переславский район, Ярославская область",20704,56.84432205,38.6902944093,
107,"Первомайский район, Ярославская область",10303,58.56529205,39.7898059139,
108,"Пошехонский район, Ярославская область",13625,58.57539535,38.7770194448,
109,"Ростовский район, Ярославская область",64451,57.0841753,39.3737324822,
110,"г. Рыбинск, Ярославская область",193341,58.04173775,38.8609542092,
111,"Рыбинский район, Ярославская область",27339,58.1025869,39.0470043251,
112,"Тутаевский район, Ярославская область",56579,57.9389121,39.6083220188,
113,"Угличский район, Ярославская область",45674,57.4021856,38.2824391978,
114,"Бабынинский район, Калужская область",19044,54.4017825,35.7914784609,
115,"Барятинский район, Калужская область",6041,54.3256512,34.5647720519,
116,"Боровский район, Калужская область",60516,55.2074832,36.5327881244,
117,"Хвастовичский район, Калужская область",10485,53.49823745,35.1820467631,
118,"Думиничский район, Калужская область",14540,53.93590005,35.0597588282,
119,"Дзержинский район, Калужская область",54299,54.7265502,35.8404474713,
120,"Ферзиковский район, Калужская область",17153,54.5032104,36.6086786592,
121,"Износковский район, Калужская область",6683,55.03617935,35.3550716095,
