,name,pop,lat,lon
0,"Архаринский район, Амурская область",15496,49.5588593,130.532147871
1,"Белогорск, Амурская область",67687,50.921325,128.4728733
2,"Белогорский район, Амурская область",18362,50.80348965,128.458752356
3,"Благовещенск, Амурская область",229561,50.2905287,127.527158
4,"Благовещенский район, Амурская область",23332,50.67361365,127.510628924
5,"Бурейский район, Амурская область",21761,50.0380999,130.075140119
6,"Ивановский район, Амурская область",24402,50.5025589,128.122863656
7,"Константиновский район, Амурская область",12628,49.7522058,128.011781065
8,"Магдагачинский район, Амурская область",20530,53.21691575,125.683777815
9,"Мазановский район, Амурская область",13609,52.2106911,129.380969801
10,"Михайловский район, Амурская область",14199,49.72409085,128.663126839
11,"Октябрьский район, Амурская область",18673,50.2533683,128.918468467
12,"Прогресс, Амурская область",12336,49.7478841,129.6746474
13,"Райчихинск, Амурская область",20592,49.7968919,129.4033689
14,"Ромненский район, Амурская область",8607,50.8722383,129.954642985
15,"Селемджинский район, Амурская область",10666,52.7094364,132.383182647
16,"Серышевский район, Амурская область",24540,51.15824205,128.622388037
17,"Шимановск, Амурская область",18941,52.0005682,127.6715642
18,"Шимановский район, Амурская область",5643,52.0811295,127.537643718
19,"Сковородинский район, Амурская область",27757,53.8702182,123.361817409
20,"Свободненский район, Амурская область",14803,51.41610375,127.576354706
21,"Свободный, Амурская область",55159,51.377353,128.1347455
22,"Тамбовский район, Амурская область",21860,50.02452635,128.045947001
23,"Тында, Амурская область",33819,55.1499809,124.7372096
24,"Тындинский район, Амурская область",14209,55.45881995,124.99751151
25,"Углегорск, Амурская область",6208,51.7649734,128.1234336
26,"Завитинский район, Амурская область",14808,50.21629715,129.617813639
27,"Зея, Амурская область",23966,52.5271321,128.104197
28,"Зейский район, Амурская область",15719,54.2261372,128.180828421
29,"Аяно-Майский район, Хабаровский край",2009,57.44882735,135.901014323
30,"Амурский район, Хабаровский край",61864,49.5704209,135.384840223
31,"Бикинский район, Хабаровский край",22858,46.9678485,134.246272003
32,"Хабаровск, Хабаровский край",607216,48.481402,135.07694
33,"Хабаровский район, Хабаровский край",89379,49.60419775,133.767218869
34,"Комсомольский район, Хабаровский край",28618,50.4209856,137.879021798
35,"Комсомольск-на-Амуре, Хабаровский край",253030,50.5508776,137.0207752
36,"Нанайский район, Хабаровский край",16506,49.09720285,136.926406254
37,"Николаевский район, Хабаровский край",29326,53.0936919,140.795246592
38,"Охотский район, Хабаровский край",6988,60.216207,141.970678151
39,"Район имени Лазо, Хабаровский край",42929,47.8556896,136.071588236
40,"Район имени Полины Осипенко, Хабаровский край",4682,52.4940133,136.64984186
41,"Солнечный район, Хабаровский край",31238,51.3695258,135.961147474
42,"Советско-Гаванский район, Хабаровский край",40831,48.21033795,139.488229244
43,"Тугуро-Чумиканский район, Хабаровский край",2029,54.23183245,135.158569771
44,"Ульчский район, Хабаровский край",16583,52.196421,139.219441191
45,"Ванинский район, Хабаровский край",34873,49.96202075,140.175522667
46,"Верхнебуреинский район, Хабаровский край",25763,50.9466576,132.51410959
47,"Вяземский район, Хабаровский край",21583,47.47190585,134.971331807
48,"Анадырь, Чукотский автономный округ",14784,64.7316875,177.5060925
49,"Анадырский район, Чукотский автономный округ",8788,64.88658505,172.676295892
50,"Билибинский район, Чукотский автономный округ",7825,67.30625705,164.113058619
51,"Чаунский район, Чукотский автономный округ",5774,68.7414685,170.607751893
52,"Чукотский район, Чукотский автономный округ",4510,66.43067635,-172.540193472
53,"Иультинский район, Чукотский автономный округ",5122,66.99598195,-177.312418839
54,"Провиденский район, Чукотский автономный округ",3737,65.47949105,-175.173590613
55,"Биробиджан, Еврейская автономная область",74777,48.7881668,132.9282082
56,"Биробиджанский район, Еврейская автономная область",11853,48.5275105,132.773608898
57,"Ленинский район, Еврейская автономная область",19030,48.11281225,132.392382259
58,"Облученский район, Еврейская автономная область",26575,48.9493772,131.942399899
59,"Октябрьский район, Еврейская автономная область",10289,48.1505368,131.200338792
60,"Смидовичский район, Еврейская автономная область",25844,48.53062865,134.112255301
61,"Алеутский район, Камчатский край",637,55.02359175,166.257955792
62,"Быстринский район, Камчатский край",2425,55.7651926,158.61254278
63,"Елизовский район, Камчатский край",63533,52.95127165,159.100775326
64,"Карагинский район, Камчатский край",3818,59.30825815,163.413025631
65,"Мильковский район, Камчатский край",9921,54.8696435,158.915445119
66,"Олюторский район, Камчатский край",4209,60.97322865,169.201801108
67,"Палана, Камчатский край",3007,59.0827605,159.9512943
68,"Пенжинский район, Камчатский край",2230,62.72365095,166.126658563
69,"Петропавловск-Камчатский, Камчатский край",181015,53.0199693,158.6472187
70,"Соболевский район, Камчатский край",2523,54.6578782,156.414443506
71,"Тигильский район, Камчатский край",3897,57.9113381,158.633909271
72,"Усть-Большерецкий район, Камчатский край",7944,52.27639165,156.879071781
73,"Усть-Камчатский район, Камчатский край",10362,56.2863581,161.552838157
74,"Вилючинск, Камчатский край",21748,52.9318049,158.4051952
75,"Хасынский район, Магаданская область",7243,60.960303,151.974534161
76,"Ягоднинский район, Магаданская область",8455,62.47807385,150.504607693
77,"Магадан, Магаданская область",99740,59.5604768,150.7988617
78,"Ольский район, Магаданская область",10008,59.9711616,153.029943992
79,"Омсукчанский район, Магаданская область",5315,62.96359,156.435401622
80,"Северо-Эвенский район, Магаданская область",2221,62.9702823,160.026144512
81,"Среднеканский район, Магаданская область",2583,64.12184745,153.694182345
82,"Сусуманский район, Магаданская область",7911,63.2539539,146.814700207
83,"Тенькинский район, Магаданская область",4595,61.4538916,148.474212997
84,"Анучинский район, Приморский край",13362,43.93526175,133.042409226
85,"Арсеньев, Приморский край",53543,44.1608008,133.2889113
86,"Артемовский городской округ, Приморский край",113451,43.3708741,132.3183379
87,"Большой Камень, Приморский край",39879,43.1121194,132.3509104
88,"Черниговский район, Приморский край",34081,44.2811817,132.571227334
89,"Ханкайский район, Приморский край",22992,44.94306115,131.826867311
90,"Хасанский район, Приморский край",32541,42.87519695,131.208383718
91,"Хорольский район, Приморский край",28261,44.3456291,132.026703608
92,"Чугуевский район, Приморский край",23120,44.29384735,134.271787402
93,"Дальнегорский городской округ, Приморский край",43961,44.69274925,135.505619714
94,"Дальнереченский городской округ, Приморский край",29314,45.9225207,133.741725063
95,"Дальнереченский район, Приморский край",10180,45.59514775,134.276639
96,"Фокино, Приморский край",31379,42.9772084,132.404905
97,"Яковлевский район, Приморский край",14834,44.4435143,133.530088543
98,"Кавалеровский район, Приморский край",24657,44.3126843,135.180139598
99,"Кировский район, Приморский край",19611,44.97049765,133.645642908
100,"Красноармейский район, Приморский край",17254,45.7695933,135.464528354
101,"Лазовский район, Приморский край",13164,43.2043888,134.074915737
102,"Лесозаводский городской округ, Приморский край",44221,45.51163065,133.655740527
103,"Михайловский район, Приморский край",31428,43.9436127,132.311976013
104,"Находкинский городской округ, Приморский край",156649,42.9104078,132.653537052
105,"Надеждинский район, Приморский край",38209,43.46735325,131.758106123
106,"Октябрьский район, Приморский край",28238,44.08986165,131.554600935
107,"Ольгинский район, Приморский край",9954,43.69758255,134.803629775
108,"Партизанский городской округ, Приморский край",45564,43.2536601,133.057302479
109,"Партизанский район, Приморский край",29427,43.25322695,133.484536682
110,"Пограничный район, Приморский край",22733,44.59738555,131.498061923
111,"Пожарский район, Приморский край",29284,46.6811392,136.13498958
112,"Шкотовский район, Приморский край",24281,43.34202605,132.62917144
113,"Спасск-Дальний, Приморский край",42020,44.5980135,132.815701
114,"Спасский район, Приморский край",28446,44.74297905,133.096026396
115,"Тернейский район, Приморский край",11633,46.496347,137.970136927
116,"Уссурийский городской округ, Приморский край",194250,43.726514,131.823353725
117,"Владивостокский городской округ, Приморский край",631387,43.18829015,132.010356087
118,"Абыйский район, Республика Саха",4125,68.1634534,144.434044817
119,"Алданский район, Республика Саха",41038,58.9182218,127.574834929
120,"Аллаиховский район, Республика Саха",2733,70.9995709,147.534390813
121,"Амгинский район, Республика Саха",16677,60.6449996,130.836281744
122,"Анабарский район, Республика Саха",3387,72.82206635,114.715518726
123,"Булунский район, Республика Саха",8404,71.4575585,126.280472568
124,"Хангаласский район, Республика Саха",32352,61.2776762,127.719533422
125,"Чурапчинский район, Республика Саха",20640,61.8891308,132.257149993
126,"Эвено-Бытантайский национальный район, Республика Саха",2798,67.82192885,129.51521791
127,"Горный район, Республика Саха",11790,62.3018038,125.351025034
128,"Якутск, Республика Саха",315951,62.0272867,129.732089
129,"Кобяйский район, Республика Саха",12880,64.8921595,128.518191157
130,"Ленский район, Республика Саха",37944,60.41383935,112.518588988
131,"Мегино-Кангаласский район, Республика Саха",30529,61.57570895,130.463541888
132,"Мирнинский район, Республика Саха",70866,63.85834085,111.311719685
133,"Момский район, Республика Саха",4218,65.91603735,143.717661074
134,"Намский район, Республика Саха",23888,62.9330927,129.055426508
135,"Нерюнгринский район, Республика Саха",77128,57.02404125,124.888112798
136,"Нижнеколымский район, Республика Саха",4426,69.66250155,157.226894361
137,"Нюрбинский район, Республика Саха",24383,64.27325875,116.726697116
138,"Оймяконский район, Республика Саха",9241,63.65128595,143.14293496
139,"Олёкминский район, Республика Саха",25466,59.46274865,121.002186464
140,"Оленёкский район, Республика Саха",3967,68.4608957,113.537314585
141,"Среднеколымский район, Республика Саха",7497,67.79591895,153.372190292
142,"Сунтарский район, Республика Саха",23890,62.5079239,117.116539075
143,"Таттинский район, Республика Саха",16393,62.3961298,133.898084703
144,"Томпонский район, Республика Саха",13467,63.8941015,136.565024242
145,"Усть-Алданский район, Республика Саха",21016,63.0017265,131.310268111
146,"Усть-Янский район, Республика Саха",7244,70.32549745,137.09531361
147,"Усть-Майский район, Республика Саха",7638,60.7753338,135.707948894
148,"Верхнеколымский район, Республика Саха",4287,65.9305246,150.493307785
149,"Верхневилюйский район, Республика Саха",20916,64.0663051,120.404632541
150,"Верхоянский район, Республика Саха",11528,67.29844245,135.000052975
151,"Вилюйский район, Республика Саха",24653,64.648702,122.471882119
152,"Жатай, Республика Саха",9290,62.1641058,129.843109
153,"Жиганский район, Республика Саха",4246,67.09663175,122.767247323
154,"Александровск-Сахалинский район, Сахалинская область",11659,51.0727547,142.169765879
155,"Анивский городской округ, Сахалинская область",18370,46.3445616,142.347967081
156,"Холмский городской округ, Сахалинская область",38789,47.2400598,142.027674607
157,"Долинский городской округ, Сахалинская область",24331,47.55338095,142.649382063
158,"Южно-Курильский городской округ, Сахалинская область",10922,43.9484191,146.240377858
159,"Южно-Сахалинск, Сахалинская область",199767,46.9574273,142.727438
160,"Корсаковский городской округ, Сахалинская область",40144,46.50767785,143.294396659
161,"Курильский городской округ, Сахалинская область",5906,45.44640165,148.693880261
162,"Макаровский городской округ, Сахалинская область",8252,48.4795459,142.751112952
163,"Невельский городской округ, Сахалинская область",15782,46.2568775,141.240786195
164,"Городской округ Ногликский, Сахалинская область",11435,51.3585518,141.9494888
165,"Охинский городской округ, Сахалинская область",23458,53.2578108,142.629224996
166,"Поронайский городской округ, Сахалинская область",22210,49.24886305,143.569549232
167,"Северо-Курильск, Сахалинская область",2448,50.6683048,156.1154399
168,"Смирныховский городской округ, Сахалинская область",12389,50.14070305,143.052932119
169,"Томаринский городской округ, Сахалинская область",8403,48.14190575,142.14287063
170,"Тымовский городской округ, Сахалинская область",14956,50.91225495,142.762163386
171,"Углегорский район, Сахалинская область",19170,49.1681724,142.106734172
