,name,pop,lat,lon
0,"Архангельск, Архангельская область",355781,64.5430227,40.5371212
1,"Холмогорский район, Архангельская область",25061,63.8159099,42.0762912471
2,"Каргопольский район, Архангельская область",18466,61.38804645,38.8755227686
3,"Коношский район, Архангельская область",26106,61.0623548,40.0469302766
4,"Коряжма, Архангельская область",39641,61.3151659,47.1607626
5,"Котлас, Архангельская область",73517,61.2521524,46.6476294
6,"Котласский район, Архангельская область",21005,61.32389375,46.5107391606
7,"Красноборский район, Архангельская область",13815,61.81350605,46.2987352594
8,"Ленский район, Архангельская область",13362,62.11498925,48.667644721
9,"Лешуконский район, Архангельская область",7979,64.8206996,47.59835932
10,"Мезенский район, Архангельская область",10330,66.82520795,42.8532198703
11,"Мирный, Архангельская область",30280,62.7623509,40.3286423
12,"Нарьян-Мар, Архангельская область",21658,67.6568997,53.0235954
13,"Няндомский район, Архангельская область",30244,61.9689515,40.6451411105
14,"Новая Земля, Архангельская область",2429,74,55.9978113
15,"Новодвинск, Архангельская область",40615,64.4192119,40.7937941
16,"Онежский район, Архангельская область",35376,63.68117145,38.1595954433
17,"Пинежский район, Архангельская область",26978,64.155835,44.4718266324
18,"Плесецкий район, Архангельская область",49077,62.94566635,39.4700976891
19,"Приморский район, Архангельская область",26327,80.8132475,55.6714071756
20,"Шенкурский район, Архангельская область",15196,62.1585518,42.6138601968
21,"Северодвинск, Архангельская область",193607,64.5633236,39.8243248
22,"Устьянский район, Архангельская область",30581,61.2966137,44.1411206979
23,"Вельский район, Архангельская область",54792,61.34300005,41.9927924408
24,"Верхнетоемский район, Архангельская область",17060,62.43019235,45.649967102
25,"Вилегодский район, Архангельская область",11158,61.18317825,48.3781433642
26,"Виноградовский район, Архангельская область",16753,62.9337315,43.5418013167
27,"Заполярный район, Архангельская область",20432,68.0835739,49.9952203
28,"Адмиралтейский, Санкт-Петербург",157897,59.9183229,30.30278262
29,"Центральный, Санкт-Петербург",214625,60.198398,29.7058023
30,"Фрунзенский, Санкт-Петербург",401779,59.86620335,30.3921876512
31,"Калининский, Санкт-Петербург",504641,59.9698321,30.3854021
32,"Кировский, Санкт-Петербург",334746,59.8999245,30.272031581
