,name,pop,lat,lon
0,"Чемальский район, Республика Алтай",9441,51.3122021,86.3102811344
1,"Чойский район, Республика Алтай",8348,51.6447599,86.6566981226
2,"Горно-Алтайск, Республика Алтай",56933,51.9577738,85.9641795
3,"Кош-Агачский район, Республика Алтай",18263,49.7161278,88.2261777188
4,"Майминский район, Республика Алтай",28642,51.86990085,85.9991711753
5,"Онгудайский район, Республика Алтай",15046,50.74112365,86.3687137823
6,"Шебалинский район, Республика Алтай",13596,51.35548075,85.4490176845
7,"Турочакский район, Республика Алтай",12484,51.9409355,87.4843653037
8,"Улаганский район, Республика Алтай",11388,50.836405,88.3901591969
9,"Усть-Канский район, Республика Алтай",15007,50.86036045,84.8692994191
10,"Усть-Коксинский район, Республика Алтай",17020,50.08797775,85.8339139962
11,"Алейск, Алтайский край",29510,52.4949124,82.7813297
12,"Алейский район, Алтайский край",16800,52.47869465,82.4165336894
13,"Алтайский район, Алтайский край",25645,51.8125693,85.3401256406
14,"Баевский район, Алтайский край",10979,53.31422885,80.6223525154
15,"Барнаул, Алтайский край",670332,53.3473762,83.7784101
16,"Белокуриха, Алтайский край",14661,51.9991958,84.9932092
17,"Бийск, Алтайский край",219328,52.5394905,85.2148673
18,"Бийский район, Алтайский край",34067,52.60491745,85.5598451548
19,"Благовещенский район, Алтайский край",30783,52.89226595,80.0257597448
20,"Бурлинский район, Алтайский край",12042,53.31443775,78.3064187922
21,"Быстроистокский район, Алтайский край",10150,52.3290599,84.3232048127
22,"Чарышский район, Алтайский край",12337,51.23714235,83.7240995162
23,"Целинный район, Алтайский край",16403,52.9639197,85.7717791761
24,"Хабарский район, Алтайский край",16431,53.55981535,79.4645405038
25,"Яровое, Алтайский край",18604,52.9195913,78.5636651
26,"Егорьевский район, Алтайский край",14170,51.71470935,80.9528423687
27,"Ельцовский район, Алтайский край",6339,53.24958685,86.219510018
28,"Калманский район, Алтайский край",14331,53.02527245,83.4070623893
29,"Камень-на-Оби, Алтайский край",44648,53.7897515,81.3485022
30,"Каменский район, Алтайский край",12025,53.73023125,81.2964742466
31,"Ключевский район, Алтайский край",18267,52.2451263,79.4275627956
32,"Косихинский район, Алтайский край",17927,53.3342475,84.6449101674
33,"Красногорский район, Алтайский край",16228,52.32422245,86.2455006121
34,"Краснощёковский район, Алтайский край",19251,51.52822375,82.9073102536
35,"Крутихинский район, Алтайский край",11301,54.0621767,80.962417881
36,"Кулундинский район, Алтайский край",23000,52.59806895,79.0983491572
37,"Курьинский район, Алтайский край",11079,51.47243845,82.2725042158
38,"Кытмановский район, Алтайский край",13896,53.4901958,85.3230361754
39,"Локтевский район, Алтайский край",29658,51.0328411,81.480137566
40,"Мамонтовский район, Алтайский край",23412,52.706443,81.8267608584
41,"Михайловский район, Алтайский край",21211,51.83890285,79.6258463567
42,"Немецкий национальный район, Алтайский край",17668,53.3273816,79.0994527705
