,name,pop,lat,lon
0,"Адыгейск, Республика Адыгея",14659,44.8833775,39.1909625
1,"Гиагинский район, Республика Адыгея",31766,44.8462637,40.1891323149
2,"Кошехабльский район, Республика Адыгея",30422,44.75856945,40.577595883
3,"Красногвардейский район, Республика Адыгея",30868,45.0843132,39.6765968577
4,"Майкоп, Республика Адыгея",166540,44.6062079,40.104053
5,"Майкопский район, Республика Адыгея",58439,44.25311865,40.224168605
6,"Шовгеновский район, Республика Адыгея",16997,45.01654535,40.163393172
7,"Тахтамукайский район, Республика Адыгея",69662,44.9416227,38.9634269139
8,"Теучежский район, Республика Адыгея",20643,44.9176626,39.3615166938
9,"Ахтубинский район, Астраханская область",71249,48.14248495,46.6427321384
10,"Астрахань, Астраханская область",520339,46.3498548,48.0315682
11,"Черноярский район, Астраханская область",20220,48.11487135,45.7381607062
12,"Харабалинский район, Астраханская область",41176,47.3385849,47.7247527995
13,"Икрянинский район, Астраханская область",47759,45.83631135,47.6939444761
14,"Енотаевский район, Астраханская область",26786,47.66282485,46.3241455284
15,"Камызякский район, Астраханская область",48647,45.86133715,48.2193173807
16,"Красноярский район, Астраханская область",35615,46.98760365,48.3805579458
17,"Лиманский район, Астраханская область",31952,45.8418254,46.9647992378
18,"Наримановский район, Астраханская область",45457,46.4727559,47.4789945084
19,"Приволжский район, Астраханская область",43647,46.31446545,48.2252817145
20,"Володарский район, Астраханская область",47825,46.0834812,48.8707616486
21,"Знаменск, Астраханская область",29401,48.5888308,45.7256323
22,"Целинный район, Республика Калмыкия",20051,46.5247288,44.4570504817
23,"Черноземельский район, Республика Калмыкия",13258,45.417002,46.0797721897
24,"Элиста, Республика Калмыкия",108289,46.3069981,44.2701877
25,"Городовиковский район, Республика Калмыкия",17295,46.1161323,41.9281223367
26,"Ики-Бурульский район, Республика Калмыкия",11424,45.7227826,44.7584098414
27,"Яшалтинский район, Республика Калмыкия",17178,46.2574754,42.5266009406
28,"Яшкульский район, Республика Калмыкия",15270,46.3701637,45.6451840326
29,"Юстинский район, Республика Калмыкия",10585,47.07987585,46.2645127677
30,"Кетченеровский район, Республика Калмыкия",10622,47.16639585,45.0628418849
31,"Лаганский район, Республика Калмыкия",20089,45.1680985,47.1641964355
32,"Малодербетовский район, Республика Калмыкия",10528,47.90246225,44.7645993463
33,"Октябрьский район, Республика Калмыкия",9438,47.5803175,45.491536876
34,"Приютненский район, Республика Калмыкия",11658,46.11721805,43.7037981055
35,"Сарпинский район, Республика Калмыкия",13796,47.57620925,44.2826072587
36,"Абинский район, Краснодарский край",91909,44.88521415,38.2882139508
37,"Анапа, Краснодарский край",147184,44.8942722,37.3168873
38,"Апшеронский район, Краснодарский край",98891,44.3009427,39.7355843018
39,"Армавир, Краснодарский край",208103,44.9986975,41.1252241
40,"Белоглинский район, Краснодарский край",31303,45.9874083,40.9885432288
41,"Белореченский район, Краснодарский край",105788,44.78270965,39.7785884645
42,"Брюховецкий район, Краснодарский край",53028,45.84915325,39.0701893803
43,"Динской район, Краснодарский край",126871,45.25230205,39.023473303
44,"Геленджик, Краснодарский край",91126,44.5610248,38.0767599
45,"Горячий Ключ, Краснодарский край",57289,44.6342324,39.1363455
46,"Гулькевичский район, Краснодарский край",101521,45.2512569,40.7184785
47,"Ейский район, Краснодарский край",141245,46.44125155,38.1793877186
48,"Калининский район, Краснодарский край",50691,45.53091705,38.5835002214
49,"Каневской район, Краснодарский край",102624,46.1363695,38.8698768625
50,"Кавказский район, Краснодарский край",125210,45.52528495,40.6063455211
51,"Кореновский район, Краснодарский край",85264,45.55805685,39.3529201908
52,"Красноармейский район, Краснодарский край",102508,45.32731195,38.339977045
53,"Краснодар, Краснодарский край",832532,45.0354329,38.9757116
54,"Крыловский район, Краснодарский край",35930,46.399142,40.0856482977
55,"Крымский район, Краснодарский край",132143,44.9624541,37.8968019992
56,"Курганинский район, Краснодарский край",103036,44.95860405,40.6331594549
57,"Кущёвский район, Краснодарский край",67164,46.56931185,39.6431428126
58,"Лабинский район, Краснодарский край",101837,44.44092225,40.9850382688
59,"Ленинградский район, Краснодарский край",63505,46.22582865,39.4032550908
60,"Мостовский район, Краснодарский край",71178,44.1464384,40.6608744331
61,"Новокубанский район, Краснодарский край",86311,44.8930113,41.0263622145
62,"Новопокровский район, Краснодарский край",44116,45.9694486,40.6522173165
63,"Новоросси́йск, Краснодарский край",298253,44.7239578,37.7690711
64,"Отрадненский район, Краснодарский край",64862,44.3069545,41.3823683163
65,"Павловский район, Краснодарский край",67521,46.07908465,39.8574831176
66,"Приморско-Ахтарский район, Краснодарский край",60327,45.965822,38.4114706486
67,"Щербиновский район, Краснодарский край",37301,46.61842615,38.6737413125
68,"Северский район, Краснодарский край",112942,44.7879793,38.7079404949
69,"Славянский район, Краснодарский край",129553,45.43237295,37.8218601432
70,"Сочи, Краснодарский край",420589,43.5854823,39.723109
71,"Староминский район, Краснодарский край",40755,46.49589485,39.0459950055
72,"Тбилисский район, Краснодарский край",48536,45.38689425,40.1811507355
73,"Темрюкский район, Краснодарский край",117904,45.2642735,37.2940500815
74,"Тихорецкий район, Краснодарский край",122401,45.8331936,40.1703311376
75,"Тимашёвский район, Краснодарский край",106130,45.57565375,38.8775473629
76,"Туапсинский район, Краснодарский край",126822,44.26806815,39.1885927265
77,"Успенский район, Краснодарский край",41273,44.83194895,41.4186164704
78,"Усть-Лабинский район, Краснодарский край",112900,45.2697228,39.7180562385
79,"Выселковский район, Краснодарский край",60271,45.66482295,39.8454945783
80,"Аксайский район, Ростовская область",102369,47.2665465,39.9877005455
81,"Азов, Ростовская область",82937,47.1065585,39.4176939
82,"Азовский район, Ростовская область",93579,46.89957435,39.2766894003
83,"Багаевский район, Ростовская область",34813,47.2721193,40.377579733
84,"Батайск, Ростовская область",111843,47.1385277,39.7423473
85,"Белокалитвинский район, Ростовская область",102039,48.2580227,40.841368875
86,"Боковский район, Ростовская область",15085,49.2816236,41.7309119212
87,"Целинский район, Ростовская область",33690,46.5730213,41.0272228955
88,"Чертковский район, Ростовская область",36680,49.3989484,40.6183333019
89,"Цимлянский район, Ростовская область",34222,47.78863205,42.2447065454
90,"Донецк, Ростовская область",50098,48.3382864,39.9509488
91,"Дубовский район, Ростовская область",22983,47.31520575,43.0731953293
92,"Гуково, Ростовская область",67278,48.0530303,39.9441925
93,"Егорлыкский район, Ростовская область",35733,46.4961984,40.6315583259
94,"Кагальницкий район, Ростовская область",30489,46.9299197,40.0169134303
95,"Каменский район, Ростовская область",47696,48.36888345,40.5059058372
96,"Каменск-Шахтинский, Ростовская область",95296,48.3210807,40.2650679
97,"Кашарский район, Ростовская область",25355,49.03930745,41.3935140267
98,"Константиновский район, Ростовская область",33159,47.76251095,41.4062772573
99,"Красносулинский район, Ростовская область",81825,47.959355,40.1889658078
100,"Куйбышевский район, Ростовская область",14800,47.75079405,39.0787248793
101,"Мартыновский район, Ростовская область",36545,47.28159305,41.6676189231
102,"Матвеево-Курганский район, Ростовская область",43446,47.5697959,38.7695226952
103,"Милютинский район, Ростовская область",15082,48.72802215,41.6400802005
104,"Миллеровский район, Ростовская область",68360,49.0253995,40.2652041223
105,"Мясниковский район, Ростовская область",39631,47.3705349,39.4659768495
106,"Морозовский район, Ростовская область",42404,48.1781031,41.8703095838
107,"Неклиновский район, Ростовская область",84915,47.3413792,38.7288626945
108,"Новочеркасск, Ростовская область",168746,47.4106593,40.1019865
109,"Новошахтинск, Ростовская область",111075,47.7558886,39.935987
110,"Обливский район, Ростовская область",18872,48.68466235,42.3149783288
111,"Октябрьский район, Ростовская область",73224,47.29026455,39.6674073275
112,"Орловский район, Ростовская область",40894,46.7622902,42.2755195554
113,"Песчанокопский район, Ростовская область",31619,46.1703564,41.2940725254
114,"Пролетарский район, Ростовская область",36510,46.85791825,41.652412311
115,"Ремонтненский район, Ростовская область",19152,46.4681888,43.4448132684
116,"Родионово-Несветайский район, Ростовская область",23632,47.64576275,39.5979687434
117,"Ростов-на-Дону, Ростовская область",1089261,47.2248606,39.7022857
118,"Шахты, Ростовская область",239987,47.7119167,40.2115699
119,"Сальский район, Ростовская область",107795,46.5925275,41.4544602976
120,"Семикаракорский район, Ростовская область",52833,47.38863755,40.9146308131
121,"Шолоховский район, Ростовская область",27294,49.6422518,41.8156478096
122,"Советский район, Ростовская область",6692,47.21411665,39.6078958093
123,"Тацинский район, Ростовская область",38464,48.2026705,41.3368725987
124,"Таганрог, Ростовская область",257681,47.2136896,38.903365
125,"Тарасовский район, Ростовская область",29802,48.68239915,40.4968532469
126,"Усть-Донецкий район, Ростовская область",33647,47.67720475,40.8030412635
127,"Верхнедонской район, Ростовская область",20441,49.79911145,41.2630915922
128,"Весёловский район, Ростовская область",26165,47.1441927,40.7319868292
129,"Волгодонск, Ростовская область",170841,47.5290851,42.1388281
130,"Волгодонской район, Ростовская область",33779,47.4610835,41.8535569985
131,"Заветинский район, Ростовская область",17250,47.1305479,43.9044007537
132,"Зерноградский район, Ростовская область",58757,46.7908925,40.4948732028
133,"Зимовниковский район, Ростовская область",37092,47.0384928,42.7599716168
134,"Зверево, Ростовская область",24119,48.0206462,40.1185597
135,"Алексеевский район, Волгоградская область",18166,50.2225943,42.3203313323
136,"Быковский район, Волгоградская область",27055,49.52247715,45.39347679
137,"Чернышковский район, Волгоградская область",16873,48.1449303,42.5571060005
138,"Даниловский район, Волгоградская область",16908,50.38165335,44.1307372967
139,"Дубовский район, Волгоградская область",30108,49.35742255,44.6852651475
140,"Фролово, Волгоградская область",39449,49.7645711,43.6539516
141,"Фроловский район, Волгоградская область",14631,49.85992215,43.80828059
142,"Городищенский район, Волгоградская область",60188,48.86912855,44.2025150237
143,"Иловлинский район, Волгоградская область",33168,49.2944158,43.8783175151
144,"Еланский район, Волгоградская область",33064,50.818739,43.7250370316
145,"Калачёвский район, Волгоградская область",58524,48.69083855,43.5843815024
146,"Камышин, Волгоградская область",119565,50.0808422,45.4048003
147,"Камышинский район, Волгоградская область",42893,50.19115795,45.3759156886
148,"Киквидзенский район, Волгоградская область",17669,50.80586055,43.1215897919
149,"Клетский район, Волгоградская область",17858,49.18879315,42.9190941593
150,"Котельниковский район, Волгоградская область",37584,47.73573875,43.2485677538
151,"Котовский район, Волгоградская область",34477,50.3693256,44.8652951872
152,"Кумылженский район, Волгоградская область",21425,49.85599615,42.4469881029
153,"Ленинский район, Волгоградская область",30375,48.85530495,45.3320697628
154,"Михайловка, Волгоградская область",90003,50.0796329,43.2343877
155,"Нехаевский район, Волгоградская область",15588,50.32239815,41.7408502129
156,"Николаевский район, Волгоградская область",32034,50.02295205,45.9678357654
157,"Новоаннинский район, Волгоградская область",37306,50.54146665,42.550821659
158,"Новониколаевский район, Волгоградская область",22618,50.9757749,42.6612160742
159,"Октябрьский район, Волгоградская область",21760,48.03470095,43.8175856468
160,"Ольховский район, Волгоградская область",17626,49.81959805,44.7088983004
161,"Палласовский район, Волгоградская область",43293,49.465587,46.2412081407
162,"Руднянский район, Волгоградская область",17437,50.8126007,44.3518682931
163,"Серафимовичский район, Волгоградская область",25378,49.4953466,42.7517541825
164,"Среднеахтубинский район, Волгоградская область",58435,48.83022415,44.9475846825
165,"Старополтавский район, Волгоградская область",20363,50.4441035,46.5478399297
166,"Суровикинский район, Волгоградская область",37104,48.55853095,43.0033240426
167,"Светлоярский район, Волгоградская область",38355,48.319256,44.4641859869
168,"Урюпинск, Волгоградская область",41590,50.7970972,42.0051866
169,"Урюпинский район, Волгоградская область",28775,50.7957994,41.6079736073
170,"Волгоград, Волгоградская область",1021215,48.7106765,44.5168022
171,"Волжский, Волгоградская область",327616,48.782102,44.7779843
172,"Жирновский район, Волгоградская область",43685,50.8882647,44.9840049558
