,name,pop,lat,lon
0,"Абзелиловский район, Республика Башкортостан",45551,53.3684233,58.5392247236
1,"Агидель, Республика Башкортостан",16370,55.899276,53.9374202
2,"Альшеевский район, Республика Башкортостан",43647,53.97801065,55.0028740648
3,"Архангельский район, Республика Башкортостан",18514,54.5041126,56.8902218427
4,"Аскинский район, Республика Башкортостан",21272,56.1422395,56.5057123483
5,"Аургазинский район, Республика Башкортостан",36970,54.0244945,55.8726769954
6,"Баймакский район, Республика Башкортостан",58572,52.7344849,58.1452466584
7,"Бакалинский район, Республика Башкортостан",28776,55.12710765,53.6630381289
8,"Балтачевский район, Республика Башкортостан",21623,55.9316701,56.0091543016
9,"Белебеевский район, Республика Башкортостан",101896,54.1497633,54.1883325157
10,"Белокатайский район, Республика Башкортостан",20169,55.80411735,58.8275736723
11,"Белорецкий район, Республика Башкортостан",107248,54.04238115,58.2428978229
12,"Бирский район, Республика Башкортостан",61496,55.3714454,55.5502675798
13,"Бижбулякский район, Республика Башкортостан",26080,53.67660285,54.1619415195
14,"Благоварский район, Республика Башкортостан",26004,54.7057863,54.8963434541
15,"Благовещенский район, Республика Башкортостан",49736,55.2301265,56.2504143813
16,"Бураевский район, Республика Башкортостан",25154,55.81539335,55.3374054212
17,"Бурзянский район, Республика Башкортостан",16698,53.2127969,57.4945375983
18,"Буздякский район, Республика Башкортостан",30688,54.651289,54.5023688734
19,"Чекмагушевский район, Республика Башкортостан",30780,55.129877,54.6328711061
20,"Хайбуллинский район, Республика Башкортостан",33398,52.04992445,58.2603782227
21,"Чишминский район, Республика Башкортостан",52344,54.54969545,55.4130259802
22,"Давлекановский район, Республика Башкортостан",42465,54.2480893,55.0419260129
23,"Дюртюлинский район, Республика Башкортостан",64426,55.4945773,54.899165243
24,"Дуванский район, Республика Башкортостан",31068,55.77183505,57.9170872041
25,"Фёдоровский район, Республика Башкортостан",18650,53.1236733,55.2820958324
26,"Гафурийский район, Республика Башкортостан",33869,53.9854674,56.6562993169
27,"Иглинский район, Республика Башкортостан",49675,54.79389875,56.7913682933
28,"Илишевский район, Республика Башкортостан",34654,55.51776045,54.2305373708
29,"Ишимбайский район, Республика Башкортостан",91301,53.4800337,56.5619114719
30,"Янаульский район, Республика Башкортостан",48134,56.2631526,55.0133216523
31,"Ермекеевский район, Республика Башкортостан",17162,54.01729715,53.7020533246
32,"Калтасинский район, Республика Башкортостан",26268,55.94022835,54.8165165381
33,"Караидельский район, Республика Башкортостан",27945,55.76899005,56.9276673181
34,"Кармаскалинский район, Республика Башкортостан",51504,54.3659119,56.0663014797
35,"Кигинский район, Республика Башкортостан",19137,55.4087326,58.8280972657
36,"Краснокамский район, Республика Башкортостан",27986,55.96698855,54.07346094
37,"Кугарчинский район, Республика Башкортостан",31444,52.6167441,56.528296884
38,"Куюргазинский район, Республика Башкортостан",25125,52.65430525,55.808799765
39,"Кумертау, Республика Башкортостан",67078,52.7609767,55.7964823
40,"Кушнаренковский район, Республика Башкортостан",27491,55.0420747,55.3325075188
41,"Мечетлинский район, Республика Башкортостан",25032,55.89310215,58.2825325547
42,"Мелеузовский район, Республика Башкортостан",88549,53.10158605,56.2394920111
43,"Межгорье, Республика Башкортостан",17352,54.235206,57.9584894
44,"Миякинский район, Республика Башкортостан",28224,53.60971985,54.820861907
45,"Мишкинский район, Республика Башкортостан",25318,55.5578529,55.9020803326
46,"Нефтекамск, Республика Башкортостан",133535,56.09923,54.2615113
47,"Нуримановский район, Республика Башкортостан",20824,55.2674791,56.8903050975
48,"Октябрьский, Республика Башкортостан",109474,54.4809722,53.4660062
49,"Салават, Республика Башкортостан",156095,53.3616876,55.9246416
50,"Салаватский район, Республика Башкортостан",26566,55.21838835,58.3358330839
51,"Шаранский район, Республика Башкортостан",22514,54.8598284,53.9585841418
52,"Сибай, Республика Башкортостан",63838,52.7204246,58.6654658
53,"Стерлибашевский район, Республика Башкортостан",20217,53.40619115,55.1799363145
54,"Стерлитамак, Республика Башкортостан",273486,53.6323734,55.9522577
55,"Стерлитамакский район, Республика Башкортостан",40325,53.65529435,55.5824481514
56,"Татышлинский район, Республика Башкортостан",25159,56.26334955,55.777233397
57,"Туймазинский район, Республика Башкортостан",131225,54.5313559,53.9318077995
58,"Учалинский район, Республика Башкортостан",73268,54.37996075,59.3602615389
59,"Уфа, Республика Башкортостан",1071640,54.7262869,55.9477285
60,"Уфимский район, Республика Башкортостан",67067,54.72163465,55.7074276862
61,"Зианчуринский район, Республика Башкортостан",27626,52.005562,56.9032029322
62,"Зилаирский район, Республика Башкортостан",16590,52.49144075,57.2339387372
63,"Алатырь, Чувашская Республика",38203,54.8419041,46.5878356
64,"Алатырский район, Чувашская Республика",17244,54.8660003,46.8781389889
65,"Аликовский район, Чувашская Республика",18282,55.7504382,46.7425969362
66,"Батыревский район, Чувашская Республика",38620,55.0502143,47.4064813516
67,"Чебоксарский район, Чувашская Республика",62920,56.09209495,47.0305239157
68,"Чебоксары, Чувашская Республика",464208,56.1311738,47.2454815
69,"Цивильский район, Чувашская Республика",36772,55.81850745,47.5239843802
70,"Ибресинский район, Чувашская Республика",26192,55.2602042,47.0545535973
71,"Ядринский район, Чувашская Республика",29965,55.9454615,46.3012474893
72,"Яльчикский район, Чувашская Республика",20452,55.1324643,47.8989220027
73,"Янтиковский район, Чувашская Республика",16421,55.4846278,47.8108633442
74,"Канаш, Чувашская Республика",45607,55.5172795,47.4978232
75,"Канашский район, Чувашская Республика",39708,55.52506515,47.3451463453
76,"Комсомольский район, Чувашская Республика",26951,55.23568765,47.5067779524
77,"Козловский район, Чувашская Республика",21649,55.817448,48.086350904
78,"Красноармейский район, Чувашская Республика",16036,55.7749723,47.1768983017
79,"Красночетайский район, Чувашская Республика",16941,55.6687426,46.1143468406
80,"Мариинско-Посадский район, Чувашская Республика",23895,55.9897901,47.7898543342
81,"Моргаушский район, Чувашская Республика",34884,56.02309095,46.7598656744
