Name,Native,Status,"Population
Census
2002-10-09","Population
Census
2010-10-14","Population
Estimate
2015-01-01"
Altaj [Altai Republic],Республика Алтай,Republic,202947,206168,213703
Čemal'skij Rajon [Chemalsky Raion],Чемальский район,District,9023,9441,10027
Čojskij Rajon [Choysky Raion],Чойский район,District,8986,8348,8525
Gorno-Altajsk [Gorno-Altaysk],г. Горно-Алтайск,City,53538,56933,62309
Koš-Agačskij Rajon [Kosh-Agachsky Raion],Кош-Агачский район,District,17353,18263,18765
Majminskij Rajon [Mayminsky Raion],Майминский район,District,26306,28642,31113
Ongudajskij Rajon [Ongudaysky Raion],Онгудайский район,District,15642,15046,14442
Šebalinskij Rajon [Shebalinsky Raion],Шебалинский район,District,14387,13596,13620
Turočakskij Rajon [Turochaksky Raion],Турочакский район,District,13168,12484,12366
Ulaganskij Rajon [Ulagansky Raion],Улаганский район,District,11581,11388,11361
Ust'-Kanskij Rajon [Ust-Kansky Raion],Усть-Канский район,District,15482,15007,14590
Ust'-Koksinskij Rajon [Ust-Koksinsky Raion],Усть-Коксинский район,District,17481,17020,16585
Altajskij Kraj [Altai],Алтайский край,Territory (Kraj),2607426,2419755,2384812
Alejsk [Aleysk],г. Алейск,City,28551,29510,28372
Alejskij Rajon [Aleysky Raion],Алейский район,District,20474,16800,14961
Altajskij Rajon [Altaysky Raion],Алтайский район,District,26984,25645,26171
Bajevskij Rajon [Bayevsky Raion],Баевский район,District,13601,10979,9698
Barnaul,г. Барнаул,City with Environs,667646,670332,699577
Belokuricha [Belokurikha],г. Белокуриха,City,14533,14661,14877
Bijsk [Biysk],г. Бийск,City with Environs,232932,219328,213846
Bijskij Rajon [Biysky Raion],Бийский район,District,35740,34067,32764
Blagoveščenskij Rajon [Blagoveshchensky Raion],Благовещенский район,District,34878,30783,29128
Burlinskij Rajon [Burlinsky Raion],Бурлинский район,District,15005,12042,10783
Bystroistokskij Rajon [Bystroistoksky Raion],Быстроистокский район,District,12484,10150,9378
Čaryšskij Rajon [Charyshsky Raion],Чарышский район,District,14898,12337,11543
Celinnyj Rajon [Tselinny Raion],Целинный район,District,19888,16403,15674
Chabarskij Rajon [Khabarsky Raion],Хабарский район,District,19913,16431,15129
Jarovoje [Yarovoye],г. Яровое,City,21363,18604,18175
Jegorjevskij Rajon [Yegoryevsky Raion],Егорьевский район,District,16024,14170,13497
Jel'covskij Rajon [Yeltsovsky Raion],Ельцовский район,District,7923,6339,6101
Kalmanskij Rajon [Kalmansky Raion],Калманский район,District,14871,14331,13635
Kamen'-na-Obi [Kamen-na-Obi],г. Камень-на-Оби,City with Environs,45250,44648,42648
Kamenskij Rajon [Kamensky Raion],Каменский район,District,16600,12025,10730
Ključevskij Rajon [Klyuchevsky Raion],Ключевский район,District,20113,18267,17214
Kosichinskij Rajon [Kosikhinsky Raion],Косихинский район,District,20494,17927,16430
Krasnogorskij Rajon [Krasnogorsky Raion],Красногорский район,District,19036,16228,15578
Krasnoščëkovskij Rajon [Krasnoshchyokovsky Raion],Краснощёковский район,District,22483,19251,17518
Krutichinskij Rajon [Krutikhinsky Raion],Крутихинский район,District,13944,11301,10640
Kulundinskij Rajon [Kulundinsky Raion],Кулундинский район,District,25034,23000,22255
