Name,Native,Status,"Population
Census
2002-10-09","Population
Census
2010-10-14","Population
Estimate
2015-01-01"
Baškortostan [Bashkortostan],Республика Башкортостан,Republic,4104336,4072292,4071987
Abzelilovskij Rajon [Abzelilovsky Raion],Абзелиловский район,District,43262,45551,44795
Agidel' [Agidel],г. Агидель,City,18721,16370,15749
Al'šejevskij Rajon [Alsheyevsky Raion],Альшеевский район,District,48398,43647,39880
Archangel'skij Rajon [Arkhangelsky Raion],Архангельский район,District,20165,18514,17801
Askinskij Rajon [Askinsky Raion],Аскинский район,District,23928,21272,19343
Aurgazinskij Rajon [Aurgazinsky Raion],Аургазинский район,District,38996,36970,34141
Bajmakskij Rajon [Baymaksky Raion],Баймакский район,District,61437,58572,57226
Bakalinskij Rajon [Bakalinsky Raion],Бакалинский район,District,32327,28776,27227
Baltačevskij Rajon [Baltachevsky Raion],Балтачевский район,District,24695,21623,19521
Belebejevskij Rajon [Belebeyevsky Raion],Белебеевский район,District,103196,101896,98751
Belokatajskij Rajon [Belokataysky Raion],Белокатайский район,District,22623,20169,18722
Beloreckij Rajon [Beloretsky Raion],Белорецкий район,District,114334,107248,103708
Birskij Rajon [Birsky Raion],Бирский район,District,59875,61496,64324
Bižbuljakskij Rajon [Bizhbulyaksky Raion],Бижбулякский район,District,27999,26080,23653
Blagovarskij Rajon [Blagovarsky Raion],Благоварский район,District,25770,26004,25629
Blagoveščenskij Rajon [Blagoveshchensky Raion],Благовещенский район,District,48850,49736,49754
Burajevskij Rajon [Burayevsky Raion],Бураевский район,District,28320,25154,22961
Burzjanskij Rajon [Burzyansky Raion],Бурзянский район,District,16839,16698,16465
Buzdjakskij Rajon [Buzdyaksky Raion],Буздякский район,District,31178,30688,28263
Čekmaguševskij Rajon [Chekmagushevsky Raion],Чекмагушевский район,District,33031,30780,29073
Chajbullinskij Rajon [Khaybullinsky Raion],Хайбуллинский район,District,33072,33398,31735
Čišminskij Rajon [Chishminsky Raion],Чишминский район,District,52663,52344,53071
Davlekanovskij Rajon [Davlekanovsky Raion],Давлекановский район,District,42138,42465,40890
Djurtjulinskij Rajon [Dyurtyulinsky Raion],Дюртюлинский район,District,62972,64426,62533
Duvanskij Rajon [Duvansky Raion],Дуванский район,District,32016,31068,30813
Fëdorovskij Rajon [Fyodorovsky Raion],Фёдоровский район,District,19675,18650,17426
Gafurijskij Rajon [Gafuriysky Raion],Гафурийский район,District,36761,33869,32091
Iglinskij Rajon [Iglinsky Raion],Иглинский район,District,45392,49675,55968
Iliševskij Rajon [Ilishevsky Raion],Илишевский район,District,36281,34654,32799
Išimbajskij Rajon [Ishimbaysky Raion],Ишимбайский район,District,95805,91301,89673
Janaul'skij Rajon [Yanaulsky Raion],Янаульский район,District,50770,48134,45856
Jermekejevskij Rajon [Yermekeyevsky Raion],Ермекеевский район,District,18205,17162,16046
Kaltasinskij Rajon [Kaltasinsky Raion],Калтасинский район,District,28881,26268,24391
Karaidel'skij Rajon [Karaidelsky Raion],Караидельский район,District,28294,27945,26049
Karmaskalinskij Rajon [Karmaskalinsky Raion],Кармаскалинский район,District,54585,51504,50190
Kiginskij Rajon [Kiginsky Raion],Кигинский район,District,19825,19137,18007
Krasnokamskij Rajon [Krasnokamsky Raion],Краснокамский район,District,27552,27986,27821
