Name,Status,"Population
Census
2000-12-05","Population
Census
2010-12-31","Population
Estimate
2014-12-31"
Bezirk Aarau,District,63191,70594,74350
Bezirk Baden,District,116537,131565,138320
Bezirk Bremgarten,District,61661,69329,73796
Bezirk Brugg,District,43873,46672,49087
Bezirk Kulm,District,35904,37887,39323
Bezirk Laufenburg,District,26011,29282,30884
Bezirk Lenzburg,District,46398,53169,57487
Bezirk Muri,District,28254,32339,34285
Bezirk Rheinfelden,District,37257,43805,46559
Bezirk Zofingen,District,58244,64710,68295
Bezirk Zurzach,District,30163,32114,32891
Bezirk Hinterland,District,24248,23577,23883
Bezirk Mittelland,District,15623,16195,16775
Bezirk Vorderland,District,13633,13245,13406
Appenzell Innerrhoden,Canton,14618,15688,15854
Bezirk Arlesheim,District,141599,148996,152563
Bezirk Laufen,District,17182,18901,19468
Bezirk Liestal,District,54421,57229,58648
Bezirk Sissach,District,31029,33688,34755
Bezirk Waldenburg,District,15143,15590,15867
Basel-Stadt [Basel City],Canton,188079,184950,190580
Arrondissement administratif Jura bernois [Bernese Jura],District,51408,51668,53318
Verwaltungskreis Bern-Mittelland,District,385319,388546,402520
Verwaltungskreis Biel/Bienne,District,88584,93859,97928
Verwaltungskreis Emmental,District,91806,93677,95573
Verwaltungskreis Frutigen-Niedersimmental,District,38488,39171,39587
Verwaltungskreis Interlaken-Oberhasli,District,46371,46510,47155
Verwaltungskreis Oberaargau,District,75228,77181,79196
Verwaltungskreis Obersimmental-Saanen,District,16743,16810,16777
Verwaltungskreis Seeland,District,64714,68288,71126
Verwaltungskreis Thun,District,98439,104092,106238
Bezirk See / District du Lac [Lake District],District,28051,32911,34901
Bezirk Sense,District,38299,41113,42950
District de la Broye,District,21309,26525,30035
District de la Glâne,District,17774,20708,22917
District de la Gruyère,District,38070,46415,51580
District de la Sarine,District,85127,94849,103330
District de la Veveyse,District,12614,15972,17664
Genève [Geneva],Canton,413673,457715,477385
Glarus,Canton,38183,38608,39794
Bezirk Albula,District,8213,8227,8177
Bezirk Hinterrhein,District,12325,12672,13171
Bezirk Imboden,District,16859,18773,19781
Bezirk Inn,District,8888,9670,9426
Bezirk Landquart,District,22075,24093,25224
Bezirk Maloja / Distretto di Maloggia,District,18813,18652,18853
Bezirk Plessur,District,39892,40067,40673
Bezirk Prättigau-Davos,District,26431,26198,26312
Bezirk Surselva,District,21618,21777,21279
Distretto di Bernina,District,4427,4629,4652
Distretto di Moesa,District,7471,7863,8338
District de Delémont,District,34484,35921,37660
District de Porrentruy,District,24201,24145,24488
District des Franches-Montagnes,District,9539,9966,10262
Wahlkreis Entlebuch,District,22468,22802,23152
Wahlkreis Hochdorf,District,60551,66081,69693
Wahlkreis Luzern-Land [Lucerne Country],District,86603,95438,98681
Wahlkreis Luzern-Stadt [Lucerne City],District,75425,77491,81057
Wahlkreis Sursee,District,58215,66624,70296
Wahlkreis Willisau,District,46807,49174,51725
District de Boudry,District,36721,38866,40028
District de la Chaux-de-Fonds,District,38238,38688,40192
