Name,Status,"Population
Census
1990-04-01","Population
Census
2000-04-01","Population
Census
2010-04-01","Population
Estimate
2014-07-01"
Alabama,Federal State,4040389,4447207,4780127,4849377
Autauga,County,34222,43751,54571,55395
Baldwin,County,98280,140416,182265,200111
Barbour,County,25417,29042,27457,26887
Bibb,County,16598,19856,22919,22506
Blount,County,39248,50982,57322,57719
Bullock,County,11042,11603,10915,10764
Butler,County,21892,21394,20946,20296
Calhoun,County,116032,111882,118586,115916
Chambers,County,36876,36600,34170,34076
Cherokee,County,19543,23909,25986,26037
Chilton,County,32458,39604,43631,43931
Choctaw,County,16018,15953,13858,13323
Clarke,County,27240,27870,25840,24945
Clay,County,13252,14240,13932,13552
Cleburne,County,12730,14141,14972,15080
Coffee,County,40240,43639,49948,50909
Colbert,County,51666,54979,54428,54543
Conecuh,County,14054,14077,13228,12670
Coosa,County,11063,11842,11758,10886
Covington,County,36478,37640,37765,37914
Crenshaw,County,13635,13657,13906,13977
Cullman,County,67613,77426,80410,81289
Dale,County,49633,49120,50251,49484
Dallas,County,48130,46361,43820,41711
DeKalb,County,54651,64436,71115,71065
Elmore,County,49210,65819,79296,80977
Escambia,County,35518,38452,38319,37733
Etowah,County,99840,103448,104427,103531
Fayette,County,17962,18522,17241,16874
Franklin,County,27814,31257,31709,31601
Geneva,County,23647,25700,26790,26712
Greene,County,10153,9923,9045,8553
Hale,County,15498,18270,15760,15184
Henry,County,15374,16297,17302,17190
Houston,County,81331,88831,101547,104193
Jackson,County,47796,53871,53226,52665
Jefferson,County,651520,662041,658350,660793
Lamar,County,15715,15902,14564,14086
Lauderdale,County,79661,87952,92709,93096
Lawrence,County,31513,34834,34339,33477
Lee,County,87146,115014,140296,154255
Limestone,County,54135,65668,82782,90787
Lowndes,County,12658,13483,11299,10580
Macon,County,24928,24086,21450,19425
Madison,County,238912,276998,334811,350299
Marengo,County,23084,22533,21029,20110
Marion,County,29830,31162,30777,30271
Marshall,County,70832,82303,93019,94636
Mobile,County,378643,399887,413143,415123
Monroe,County,23968,24320,23070,21947
Montgomery,County,209085,223518,229363,226189
Morgan,County,100043,111076,119486,119607
Perry,County,12759,11876,10581,9826
Pickens,County,20699,20914,19746,20365
Pike,County,27595,29688,32899,33389
Randolph,County,19881,22344,22914,22539
Russell,County,46860,49854,52949,59608
Shelby,County,99363,143429,195218,206655
St. Clair,County,49811,64740,83593,86697
Sumter,County,16174,14772,13763,13166
Talladega,County,74109,80734,82291,81322
Tallapoosa,County,38826,41771,41618,41165
Tuscaloosa,County,150500,164932,194653,202212
Walker,County,67670,70688,67023,65471
Washington,County,16694,18077,17583,16834
Wilcox,County,13568,12995,11665,11098
Winston,County,22053,24806,24483,24150
Alaska,Federal State,550043,626933,710249,736732
Aleutians East,Borough,2464,2697,3141,3360
Aleutians West,Census Area,9478,5464,5561,5750
Anchorage,Municipality,226338,260299,291826,301010
Bethel,Census Area,13660,16046,17013,17868
Bristol Bay,Borough,1410,1258,997,957
Denali,Borough,1682,1893,1826,1921
Dillingham,Census Area,4010,4922,4847,4988
Fairbanks North Star,Borough,77720,82849,97581,99357
Haines,Borough,2117,2392,2508,2566
Hoonah-Angoon,Census Area,...,2574,2149,2082
Juneau,City and Borough,26752,30704,31275,32406
Kenai Peninsula,Borough,40802,49673,55400,57477
Ketchikan Gateway,Borough,13828,14074,13477,13787
Kodiak Island,Borough,13309,13916,13606,13986
Lake and Peninsula,Borough,1666,1823,1635,1631
Matanuska-Susitna,Borough,39683,59318,88995,97882
Nome,Census Area,8288,9196,9492,9817
North Slope,Borough,5986,7385,9430,9703
Northwest Arctic,Borough,6106,7208,7523,7717
Petersburg,Census Area,...,4256,3207,3160
Prince of Wales-Hyder,Census Area,...,6124,6172,6396
Sitka,City and Borough,8588,8835,8881,8900
Skagway,Municipality,...,860,968,1036
Southeast Fairbanks,Census Area,5925,6174,7029,6931
Valdez-Cordova,Census Area,9920,10195,9636,9488
Wade Hampton,Census Area,5789,7028,7459,8010
Wrangell,City and Borough,...,2452,2365,2364
Yakutat,City and Borough,725,808,662,635
Yukon-Koyukuk,Census Area,6798,6510,5588,5547
Arizona,Federal State,3665339,5130247,6392310,6731484
Apache,County,61591,69430,71518,71828
Cochise,County,97624,117743,131357,127448
Coconino,County,96591,116320,134437,137682
Gila,County,40216,51298,53597,53119
Graham,County,26554,33475,37220,37957
Greenlee,County,8008,8539,8437,9346
La Paz,County,13844,19670,20489,20231
Maricopa,County,2122101,3072415,3817357,4087191
Mohave,County,93497,154981,200186,203361
Navajo,County,77674,97452,107494,108101
Pima,County,666957,843702,980263,1004516
Pinal,County,116397,179469,375770,401918
Santa Cruz,County,29676,38381,47420,46695
Yavapai,County,107714,167377,211015,218844
Yuma,County,106895,159995,195750,203247
Arkansas,Federal State,2350624,2673293,2915958,2966369
Arkansas,County,21653,20751,19018,18594
Ashley,County,24319,24217,21853,20948
Baxter,County,31186,38365,41513,40857
Benton,County,97530,153323,221344,242321
Boone,County,28297,33940,36903,37196
Bradley,County,11793,12618,11508,11148
Calhoun,County,5826,5731,5368,5202
Carroll,County,18623,25345,27446,27744
Chicot,County,15713,14101,11800,11180
Clark,County,21437,23541,22995,22576
Clay,County,18107,17594,16083,15118
Cleburne,County,19411,24005,25969,25634
Cleveland,County,7781,8562,8689,8449
Columbia,County,25691,25612,24552,23933
Conway,County,19151,20320,21271,21083
Craighead,County,68956,82139,96443,102518
Crawford,County,42493,53252,61948,61697
Crittenden,County,49939,50855,50902,49548
Cross,County,19225,19529,17866,17227
Dallas,County,9614,9196,8116,7755
Desha,County,16798,15351,13008,12264
Drew,County,17369,18690,18509,18622
Faulkner,County,60006,86036,113237,120768
Franklin,County,14897,17766,18125,17805
Fulton,County,10037,11627,12245,12125
Garland,County,73397,88122,96024,97322
Grant,County,13948,16457,17853,18144
Greene,County,31804,37383,42090,43694
Hempstead,County,21621,23597,22609,22327
Hot Spring,County,26115,30413,32923,33368
Howard,County,13569,14304,13789,13500
Independence,County,31192,34246,36647,36959
Izard,County,11364,13261,13696,13486
Jackson,County,18944,18420,17998,17534
Jefferson,County,85487,84295,77435,72297
Johnson,County,18221,22779,25540,26005
Lafayette,County,9643,8550,7645,7111
Lawrence,County,17455,17762,17412,16931
Lee,County,13053,12578,10424,9860
Lincoln,County,13690,14482,14134,13970
Little River,County,13966,13628,13168,12532
Logan,County,20557,22480,22353,21958
Lonoke,County,39268,52849,68354,71557
Madison,County,11618,14228,15720,15740
Marion,County,12001,16147,16653,16367
Miller,County,38467,40455,43462,43428
Mississippi,County,57525,51999,46480,44235
Monroe,County,11333,10255,8150,7582
Montgomery,County,7841,9222,9487,9082
Nevada,County,10101,9940,8997,8723
Newton,County,7666,8603,8330,7904
Ouachita,County,30574,28776,26121,24828
Perry,County,7969,10199,10441,10245
Phillips,County,28830,26438,21757,19930
Pike,County,10086,11301,11291,11024
Poinsett,County,24664,25617,24583,24246
Polk,County,17347,20234,20662,20225
Pope,County,45883,54492,61754,63201
Prairie,County,9518,9523,8715,8304
Pulaski,County,349569,361370,382796,392702
Randolph,County,16558,18191,17969,17571
Saline,County,64183,83559,107118,115719
Scott,County,10205,10986,11233,10693
Searcy,County,7841,8240,8195,7929
Sebastian,County,99590,115101,125744,126776
Sevier,County,13637,15750,17058,17426
Sharp,County,14109,17120,17267,16906
St. Francis,County,28497,29330,28258,26899
Stone,County,9775,11496,12394,12494
Union,County,46719,45633,41639,40227
Van Buren,County,14008,16182,17294,16851
Washington,County,113409,157805,203060,220792
White,County,54676,67164,77076,78592
Woodruff,County,9520,8738,7264,6910
Yell,County,17759,21127,22185,21951
California,Federal State,29811427,33871653,37254503,38802500
Alameda,County,1304347,1443705,1510261,1610921
Alpine,County,1113,1206,1175,1116
Amador,County,30039,35101,38091,36742
Butte,County,182120,203125,220000,224241
Calaveras,County,31998,40535,45578,44624
Colusa,County,16275,18799,21419,21419
Contra Costa,County,803731,948865,1049197,1111339
Del Norte,County,23460,27505,28610,27212
El Dorado,County,125995,156314,181057,183087
Fresno,County,667479,798766,930452,965974
Glenn,County,24798,26432,28122,27955
Humboldt,County,119118,126508,134623,134809
Imperial,County,109303,142334,174528,179091
Inyo,County,18281,17955,18546,18410
Kern,County,544981,661632,839631,874589
Kings,County,101469,129470,152982,150269
Lake,County,50631,58331,64665,64184
Lassen,County,27598,33828,34895,31749
Los Angeles,County,8863052,9519315,9818664,10116705
Madera,County,88090,123179,150865,154548
Marin,County,230096,247301,252409,260750
Mariposa,County,14302,17112,18250,17682
Mendocino,County,80345,86253,87840,87869
Merced,County,178403,211178,255798,266353
Modoc,County,9678,9431,9686,9023
Mono,County,9956,12839,14202,13997
Monterey,County,355660,401752,415057,431344
Napa,County,110765,124344,136530,141667
Nevada,County,78510,92055,98748,98893
Orange,County,2410668,2846282,3010269,3145515
Placer,County,172796,248270,348494,371694
Plumas,County,19739,20817,20007,18606
Riverside,County,1170413,1545320,2189757,2329271
Sacramento,County,1066789,1223578,1418742,1482026
San Benito,County,36697,53214,55269,58267
San Bernardino,County,1418380,1709479,2035215,2112619
San Diego,County,2498016,2813839,3095308,3263431
San Francisco,County,723959,776764,805195,852469
San Joaquin,County,480628,563660,685308,715597
San Luis Obispo,County,217162,246746,269593,279083
San Mateo,County,649623,707099,718498,758581
Santa Barbara,County,369608,399293,423939,440668
Santa Clara,County,1497577,1682781,1781672,1894605
Santa Cruz,County,229734,255614,262362,271804
Shasta,County,147036,163242,177223,179804
Sierra,County,3318,3559,3240,3003
Siskiyou,County,43531,44305,44900,43628
Solano,County,339469,394495,413344,431131
Sonoma,County,388222,458586,483880,500292
Stanislaus,County,370522,446850,514451,531997
Sutter,County,64409,78947,94737,95847
Tehama,County,49625,56060,63461,63067
Trinity,County,13063,13011,13786,13170
Tulare,County,311932,368011,442182,458198
Tuolumne,County,48456,54522,55365,53831
Ventura,County,669016,753230,823420,846178
Yolo,County,141212,168660,200850,207590
Yuba,County,58234,60249,72155,73966
Colorado,Federal State,3294473,4302086,5029324,5355866
Adams,County,265038,348076,441687,480718
Alamosa,County,13617,14965,15445,16177
Arapahoe,County,391572,488829,572158,618821
Archuleta,County,5345,9894,12084,12244
Baca,County,4556,4517,3788,3645
Bent,County,5048,5996,6499,5630
Boulder,County,225339,269784,294571,313333
"Broomfield (formerly included in Adams, Boulder, Jefferson & Weld)",County,...,39202,55860,62138
Chaffee,County,12684,16250,17809,18363
Cheyenne,County,2397,2229,1836,1871
Clear Creek,County,7619,9263,9088,9187
Conejos,County,7453,8400,8256,8265
Costilla,County,3190,3661,3524,3568
Crowley,County,3946,5514,5823,5360
Custer,County,1926,3508,4255,4361
Delta,County,20980,27824,30952,29870
Denver,County,467549,553805,600025,663862
Dolores,County,1504,1844,2064,1978
Douglas,County,60391,175732,285465,314638
Eagle,County,21928,41623,52197,52921
Elbert,County,9646,19855,23086,24195
El Paso,County,397014,516934,622261,663519
Fremont,County,32273,46140,46824,46502
Garfield,County,29974,43786,56389,57461
Gilpin,County,3070,4746,5441,5851
Grand,County,7966,12433,14843,14546
Gunnison,County,10273,14000,15324,15725
Hinsdale,County,467,792,843,786
Huerfano,County,6009,7859,6711,6462
Jackson,County,1605,1577,1394,1396
Jefferson,County,438430,525449,534583,558503
Kiowa,County,1688,1622,1398,1402
Kit Carson,County,7140,8013,8270,8072
Lake,County,6007,7814,7310,7357
La Plata,County,32284,43957,51334,53989
Larimer,County,186136,251489,299630,324122
Las Animas,County,13765,15212,15507,14052
Lincoln,County,4529,6089,5469,5510
Logan,County,17567,20566,22709,22524
Mesa,County,93145,116939,146723,148255
Mineral,County,558,831,712,698
Moffat,County,11357,13178,13795,12928
Montezuma,County,18672,23822,25535,25772
Montrose,County,24423,33438,41278,40873
Morgan,County,21939,27172,28159,28328
Otero,County,20185,20311,18831,18488
Ouray,County,2295,3747,4434,4629
Park,County,7174,14519,16201,16345
Phillips,County,4189,4485,4442,4363
Pitkin,County,12661,14889,17148,17626
Prowers,County,13347,14483,12551,12034
Pueblo,County,123051,141490,159063,161875
Rio Blanco,County,6051,5992,6666,6707
Rio Grande,County,10770,12425,11982,11607
Routt,County,14088,19679,23509,23865
Saguache,County,4619,5904,6108,6196
San Juan,County,745,558,699,720
San Miguel,County,3653,6593,7359,7840
Sedgwick,County,2690,2747,2379,2348
Summit,County,12881,23560,27994,29404
Teller,County,12468,20541,23350,23389
Washington,County,4812,4922,4814,4780
Weld,County,131821,180766,252837,277670
Yuma,County,8954,9846,10043,10202
Connecticut,Federal State,3287116,3405650,3574096,3596677
Fairfield,County,827645,882622,916828,945438
Hartford,County,851783,857184,894029,897985
Litchfield,County,174092,182183,189927,184993
Middlesex,County,143196,155088,165676,164943
New Haven,County,804219,823993,862474,861277
