,name,pop
0,"Алексеевский район, Белгородская область",62742
1,"г. Белгород, Белгородская область",384425
2,"Белгородский район, Белгородская область",114487
3,"Борисовский район, Белгородская область",25638
4,"Чернянский район, Белгородская область",31613
5,"Грайворонский район, Белгородская область",29544
6,"Губкинский городской округ, Белгородская область",119817
7,"Ивнянский район, Белгородская область",22531
8,"Яковлевский район, Белгородская область",57432
9,"Корочанский район, Белгородская область",38967
10,"Красненский район, Белгородская область",12345
11,"Красногвардейский район, Белгородская область",37994
12,"Краснояружский район, Белгородская область",14505
13,"Новооскольский район, Белгородская область",42180
14,"Прохоровский район, Белгородская область",27684
15,"Ракитянский район, Белгородская область",34842
16,"Ровеньский район, Белгородская область",23786
17,"Шебекинский район, Белгородская область",91123
18,"Старооскольский городской округ, Белгородская область",257948
19,"Валуйский район, Белгородская область",67009
20,"Вейделевский район, Белгородская область",19942
21,"Волоконовский район, Белгородская область",31382
22,"Брасовский район, Брянская область",20190
23,"г. Брянск, Брянская область",426060
24,"Брянский район, Брянская область",57544
25,"Дятьковский район, Брянская область",61372
26,"Дубровский район, Брянская область",18316
27,"г. Фокино, Брянская область",13238
28,"Гордеевский район, Брянская область",10940
29,"Карачевский район, Брянская область",33964
30,"Клетнянский район, Брянская область",19066
31,"Климовский район, Брянская область",27707
32,"Клинцовский район, Брянская область",18458
33,"г. Клинцы, Брянская область",69181
34,"Комаричский район, Брянская область",17275
35,"Красногорский район, Брянская область",12407
36,"Мглинский район, Брянская область",18293
37,"Навлинский район, Брянская область",27434
38,"г. Новозыбков, Брянская область",40765
39,"Новозыбковский район, Брянская область",11368
40,"Почепский район, Брянская область",39606
41,"Погарский район, Брянская область",25751
42,"Рогнединский район, Брянская область",6704
43,"г. Сельцо, Брянская область",16957
44,"Севский район, Брянская область",15551
45,"г. Стародуб, Брянская область",18868
46,"Стародубский район, Брянская область",19839
47,"Суражский район, Брянская область",23608
48,"Суземский район, Брянская область",15800
49,"Трубчевский район, Брянская область",35314
50,"Унечский район, Брянская область",37064
51,"Выгоничский район, Брянская область",19960
52,"Жирятинский район, Брянская область",7089
53,"Злынковский район, Брянская область",12142
54,"Жуковский район, Брянская область",35109
55,"Центральный, г. Москва",760690
56,"Юго-Восточный, г. Москва",1363859
57,"Юго-Западный, г. Москва",1414510
58,"Южный, г. Москва",1760813
59,"Новомосковский, г. Москва",183591
60,"Северный, г. Москва",1151160
61,"Северо-Восточный, г. Москва",1402928
62,"Северо-Западный, г. Москва",979614
63,"Троицкий, г. Москва",108063
64,"Восточный, г. Москва",1495835
65,"Западный, г. Москва",1344044
66,"Зеленоградский, г. Москва",232489
67,"Фурмановский район, Ивановская область",41478
68,"Гаврилово-Посадский район, Ивановская область",16589
69,"Ильинский район, Ивановская область",8821
70,"г. Иваново, Ивановская область",409285
71,"Ивановский район, Ивановская область",37225
72,"Юрьевецкий район, Ивановская область",13957
73,"Южский район, Ивановская область",24088
74,"Кинешемский район, Ивановская область",22295
75,"г. Кинешма, Ивановская область",85344
76,"г. Кохма, Ивановская область",29258
77,"Комсомольский район, Ивановская область",20390
78,"Лежневский район, Ивановская область",19088
79,"Лухский район, Ивановская область",8584
80,"Палехский район, Ивановская область",9998
81,"Пестяковский район, Ивановская область",6386
82,"Приволжский район, Ивановская область",24976
83,"Пучежский район, Ивановская область",12067
84,"Родниковский район, Ивановская область",34143
85,"Савинский район, Ивановская область",11312
86,"г. Шуя, Ивановская область",58795
87,"Шуйский район, Ивановская область",22011
88,"г. Тейково, Ивановская область",33276
89,"Тейковский район, Ивановская область",11732
90,"Верхнеландеховский район, Ивановская область",4918
91,"г. Вичуга, Ивановская область",35792
92,"Вичугский район, Ивановская область",18655
93,"Заволжский район, Ивановская область",16446
94,"Большесельский район, Ярославская область",9530
95,"Борисоглебский район, Ярославская область",12495
96,"Брейтовский район, Ярославская область",6669
97,"Даниловский район, Ярославская область",25628
98,"Гаврилов-Ямский район, Ярославская область",26669
99,"г. Ярославль, Ярославская область",603961
100,"Ярославский район, Ярославская область",58523
101,"Любимский район, Ярославская область",11083
102,"Мышкинский район, Ярославская область",9967
103,"Некоузский район, Ярославская область",14884
104,"Некрасовский район, Ярославская область",20176
105,"г. Переславль-Залесский, Ярославская область",40028
106,"Переславский район, Ярославская область",20704
107,"Первомайский район, Ярославская область",10303
108,"Пошехонский район, Ярославская область",13625
109,"Ростовский район, Ярославская область",64451
110,"г. Рыбинск, Ярославская область",193341
111,"Рыбинский район, Ярославская область",27339
112,"Тутаевский район, Ярославская область",56579
113,"Угличский район, Ярославская область",45674
114,"Бабынинский район, Калужская область",19044
115,"Барятинский район, Калужская область",6041
116,"Боровский район, Калужская область",60516
117,"Хвастовичский район, Калужская область",10485
118,"Думиничский район, Калужская область",14540
119,"Дзержинский район, Калужская область",54299
120,"Ферзиковский район, Калужская область",17153
121,"Износковский район, Калужская область",6683
122,"Юхновский район, Калужская область",11294
123,"г. Калуга, Калужская область",359196
124,"Кировский район, Калужская область",41109
125,"Козельский район, Калужская область",37501
126,"Куйбышевский район, Калужская область",7678
127,"Людиновский район, Калужская область",43475
128,"Малоярославецкий район, Калужская область",50808
129,"Медынский район, Калужская область",12653
130,"Мещовский район, Калужская область",12884
131,"Мосальский район, Калужская область",8564
132,"г. Обнинск, Калужская область",109365
133,"Перемышльский район, Калужская область",13540
134,"Спас-Деменский район, Калужская область",7379
135,"Сухиничский район, Калужская область",24029
136,"Тарусский район, Калужская область",15132
137,"Ульяновский район, Калужская область",7102
138,"Жиздринский район, Калужская область",10445
139,"Жуковский район, Калужская область",49571
140,"Антроповский район, Костромская область",6112
141,"г. Буй, Костромская область",24315
142,"Буйский район, Костромская область",10798
143,"Чухломский район, Костромская область",10376
144,"г. Галич, Костромская область",16869
145,"Галичский район, Костромская область",7849
146,"Кадыйский район, Костромская область",7571
147,"Кологривский район, Костромская область",5676
148,"г. Кострома, Костромская область",276090
149,"Костромской район, Костромская область",47290
150,"Красносельский район, Костромская область",18216
151,"Макарьевский район, Костромская область",14130
152,"г. Мантурово, Костромская область",16077
153,"Мантуровский район, Костромская область",4303
154,"Межевской район, Костромская область",3889
155,"Нейский район, Костромская область",12904
156,"Нерехтский район, Костромская область",33175
157,"Октябрьский район, Костромская область",4346
158,"Островский район, Костромская область",11650
159,"Парфеньевский район, Костромская область",5913
160,"Павинский район, Костромская область",4364
161,"Поназыревский район, Костромская область",7458
162,"Пыщугский район, Костромская область",4673
163,"Шарьинский район, Костромская область",9354
164,"г. Шарья, Костромская область",36737
165,"Солигаличский район, Костромская область",9290
166,"Судиславский район, Костромская область",12461
167,"Сусанинский район, Костромская область",7123
168,"Вохомский район, Костромская область",8572
169,"г. Волгореченск, Костромская область",16809
170,"Беловский район, Курская область",15836
171,"Большесолдатский район, Курская область",11517
172,"Черемисиновский район, Курская область",9363
173,"Хомутовский район, Курская область",9632
174,"Дмитриевский район, Курская область",15584
175,"Фатежский район, Курская область",18669
176,"Глушковский район, Курская область",20280
177,"Горшеченский район, Курская область",16785
178,"Касторенский район, Курская область",15826
179,"Конышёвский район, Курская область",9034
180,"Кореневский район, Курская область",16547
181,"г. Курчатов, Курская область",39395
182,"Курчатовский район, Курская область",18647
183,"г. Курск, Курская область",435117
184,"Курский район, Курская область",57275
185,"г. Льгов, Курская область",19905
186,"Льговский район, Курская область",12820
187,"Мантуровский район, Курская область",12767
188,"Медвенский район, Курская область",16318
189,"Обоянский район, Курская область",29708
190,"Октябрьский район, Курская область",24532
191,"Поныровский район, Курская область",11227
192,"Пристенский район, Курская область",15678
193,"Рыльский район, Курская область",31975
194,"Щигровский район, Курская область",10590
195,"г. Щигры, Курская область",15963
196,"Солнцевский район, Курская область",14058
197,"Советский район, Курская область",17592
198,"Суджанский район, Курская область",26370
