Name,Native,Status,"Population
Census
2000-11-01","Population
Census
2010-11-01"
Ānhuī Shĕng,安徽省,Province,58999948,59500468
Ānqìng Shì,安庆市,Prefecture-level City,5180000,5311379
Bèngbù Shì,蚌埠市,Prefecture-level City,3288329,3164467
Bózhōu Shì,亳州市,Prefecture-level City,5078908,4850657
Chízhōu Shì,池州市,Prefecture-level City,1389469,1402518
Chúzhōu Shì,滁州市,Prefecture-level City,4001488,3937868
Fùyáng Shì,阜阳市,Prefecture-level City,8003963,7599913
Héféi Shì,合肥市,Prefecture-level City,6392122,7457027
Huáibĕi Shì,淮北市,Prefecture-level City,1878164,2114276
Huáinán Shì,淮南市,Prefecture-level City,2040649,2333896
Huángshān Shì,黄山市,Prefecture-level City,1370377,1358980
Lù'ān Shì,六安市,Prefecture-level City,5954653,5611701
Mă'ānshān Shì,马鞍山市,Prefecture-level City,2193546,2202899
Sùzhōu Shì,宿州市,Prefecture-level City,5516423,5352924
Tónglíng Shì,铜陵市,Prefecture-level City,684716,723958
Wúhú Shì,芜湖市,Prefecture-level City,3367502,3545067
Xuānchéng Shì,宣城市,Prefecture-level City,2659639,2532938
Bĕijīng Shì,北京市,Municipal Province,13569194,19612368
Bĕijīng Shì,北京市,Province-level City,13569194,19612368
Chóngqìng Shì,重庆市,Municipal Province,30512763,28846170
Chóngqìng Shì,重庆市,Provincial City,30512763,28846170
Fújiàn Shĕng,福建省,Province,34097947,36894217
Fúzhōu Shì,福州市,Prefecture-level City,6386015,7115369
Lóngyán Shì,龙岩市,Prefecture-level City,2684310,2559545
Nánpíng Shì,南平市,Prefecture-level City,2816581,2645548
Níngdé Shì,宁德市,Prefecture-level City,2991258,2821996
Pútián Shì,莆田市,Prefecture-level City,2727923,2778508
Quánzhōu Shì,泉州市,Prefecture-level City,7283040,8128533
Sānmíng Shì,三明市,Prefecture-level City,2574075,2503388
Xiàmén Shì,厦门市,Sub-provincial City,2053070,3531347
Zhāngzhōu Shì,漳州市,Prefecture-level City,4581675,4809983
Gānsù Shĕng,甘肃省,Province,25124282,25575263
Báiyín Shì,白银市,Prefecture-level City,1719735,1708752
Dìngxī Shì,定西市,Prefecture-level City,2820249,2698624
Gānnán Zàngzú Zìzhìzhōu,甘南藏族自治州,Tibetan Autonomous Prefecture,640106,689132
Jiāyùguān Shì,嘉峪关市,Prefecture-level City,159541,231853
Jīnchāng Shì,金昌市,Prefecture-level City,451570,464050
Jiŭquán Shì,酒泉市,Prefecture-level City,980492,1095947
Lánzhōu Shì,兰州市,Prefecture-level City,3142523,3616163
Línxià Huízú Zìzhìzhōu,临夏回族自治州,Hui Autonomous Prefecture,1828462,1946677
Lŏngnán Shì,陇南市,Prefecture-level City,2585479,2567718
Píngliáng Shì,平凉市,Prefecture-level City,2067102,2068033
Qìngyáng Shì,庆阳市,Prefecture-level City,2420960,2211191
Tiānshuĭ Shì,天水市,Prefecture-level City,3219323,3262549
Wŭwēi Shì,武威市,Prefecture-level City,1836986,1815059
Zhāngyè Shì,张掖市,Prefecture-level City,1251754,1199515
Guăngdōng Shĕng,广东省,Province,85225007,104320459
Cháozhōu Shì,潮州市,Prefecture-level City,2402068,2669466
Dōngguān Shì,东莞市,Prefecture-level City,6445777,8220207
Fóshān Shì,佛山市,Prefecture-level City,5337709,7197394
Guăngzhōu Shì,广州市,Sub-provincial City,9942022,12701948
Héyuán Shì,河源市,Prefecture-level City,2266429,2950195
Huìzhōu Shì,惠州市,Prefecture-level City,3216075,4598402
Jiāngmén Shì,江门市,Prefecture-level City,3956827,4450703
Jiēyáng Shì,揭阳市,Prefecture-level City,5237405,5884347
Màomíng Shì,茂名市,Prefecture-level City,5238426,5817494
Méizhōu Shì,梅州市,Prefecture-level City,3802186,4238461
Qīngyuăn Shì,清远市,Prefecture-level City,3146713,3698412
Shàntóu Shì,汕头市,Prefecture-level City,4671279,5389328
Shànwĕi Shì,汕尾市,Prefecture-level City,2453479,2935469
Sháoguān Shì,韶关市,Prefecture-level City,2735433,2826246
Shēnzhèn Shì,深圳市,Sub-provincial City,7008831,10358381
Yángjiāng Shì,阳江市,Prefecture-level City,2168904,2421748
Yúnfú Shì,云浮市,Prefecture-level City,2152884,2367154
Zhànjiāng Shì,湛江市,Prefecture-level City,6070702,6994832
Zhàoqìng Shì,肇庆市,Prefecture-level City,3373099,3916467
Zhōngshān Shì,中山市,Prefecture-level City,2363322,3121275
Zhūhăi Shì,珠海市,Prefecture-level City,1235437,1562530
Guăngxī Zhuàngzú Zìzhìqū,广西壮族自治区,Province,43854538,46023761
Băisè Shì [Bose],百色市,Prefecture-level City,3332096,3466758
Bĕihăi Shì,北海市,Prefecture-level City,1423236,1539251
Chóngzuŏ Shì,崇左市,Prefecture-level City,2004191,1994285
Fángchénggăng Shì,防城港市,Prefecture-level City,735952,866927
Guìgăng Shì,贵港市,Prefecture-level City,3827945,4118808
Guìlín Shì,桂林市,Prefecture-level City,4614670,4747963
