,name,pop
0,Eisenstadt (Stadt),13101
1,Eisenstadt-Umgebung,40936
2,Güssing,26624
3,Jennersdorf,17573
4,Mattersburg,39050
5,Neusiedl am See,55337
6,Oberpullendorf,37583
7,Oberwart,53585
8,Rust (Stadt),1896
9,Feldkirchen,30285
10,Hermagor,18718
11,Klagenfurt Land,58499
12,Klagenfurt (Stadt),94483
13,Sankt Veit an der Glan,56061
14,Spittal an der Drau,78043
15,Villach Land,64499
16,Villach (Stadt),59324
17,Völkermarkt,42237
18,Wolfsberg,54024
19,Amstetten,112355
20,Baden,139039
21,Bruck an der Leitha,42910
22,Gänserndorf,95841
23,Gmünd,37761
24,Hollabrunn,50301
25,Horn,31429
26,Korneuburg,75281
27,Krems an der Donau (Stadt),24032
28,Krems (Land),55874
29,Lilienfeld,26369
30,Melk,76344
31,Mistelbach,73962
32,Mödling,114086
33,Neunkirchen,85460
34,Sankt Pölten (Land),96522
35,Sankt Pölten (Stadt),51955
36,Scheibbs,41020
37,Tulln,70963
38,Waidhofen an der Thaya,26738
39,Waidhofen an der Ybbs (Stadt),11455
40,Wiener Neustadt (Land),75064
41,Wiener Neustadt (Stadt),41305
42,Wien Umgebung,114920
43,Zwettl,43707
44,Braunau am Inn,97826
45,Eferding,31741
46,Freistadt,65113
47,Gmunden,99403
48,Grieskirchen,62555
49,Kirchdorf an der Krems,55557
50,Linz-Land,139116
51,Linz (Stadt),189889
52,Perg,65738
53,Ried im Innkreis,58553
54,Rohrbach,56688
55,Schärding,56426
56,Steyr-Land,58700
57,Steyr (Stadt),38205
58,Urfahr-Umgebung,81400
59,Vöcklabruck,130316
60,Wels-Land,67945
61,Wels (Stadt),58591
62,Hallein,57651
63,Salzburg (Stadt),145270
64,Salzburg-Umgebung,143081
65,Sankt Johann im Pongau,78138
66,Tamsweg,20502
67,Zell am See,84424
68,Bruck-Mürzzuschlag,101979
69,Deutschlandsberg,60689
70,Graz (Stadt),261726
71,Graz-Umgebung,143258
72,Hartberg-Fürstenfeld,90117
73,Leibnitz,79446
74,Leoben,61912
75,Liezen,80144
76,Murau,29186
77,Murtal,73684
78,Südoststeiermark,86598
79,Voitsberg,52063
80,Weiz,87773
81,Imst,56557
82,Innsbruck-Land,166762
83,Innsbruck-Stadt,119617
84,Kitzbühel,61705
85,Kufstein,101047
86,Landeck,43591
87,Lienz,49319
88,Reutte,31618
89,Schwaz,79103
90,Bludenz,61025
91,Bregenz,126930
92,Dornbirn,82386
93,Feldkirch,100099
94,Alsergrund (9. Bezirk),39291
95,Brigittenau (20. Bezirk),83356
96,Döbling (19. Bezirk),68307
97,Donaustadt (22. Bezirk),161419
98,Favoriten (10. Bezirk),177989
99,Floridsdorf (21. Bezirk),143962
100,Hernals (17. Bezirk),52520
101,Hietzing (13. Bezirk),50626
102,Innere Stadt (1. Bezirk),16374
103,Josefstadt (8. Bezirk),23529
104,Landstraße (3. Bezirk),84527
105,Leopoldstadt (2. Bezirk),96113
106,Liesing (23. Bezirk),94456
107,Margareten (5. Bezirk),52595
108,Mariahilf (6. Bezirk),29375
109,Meidling (12. Bezirk),88503
110,Neubau (7. Bezirk),30019
111,Ottakring (16. Bezirk),95694
112,Penzing (14. Bezirk),84871
113,Rudolfsheim-Fünfhaus (15. Bezirk),71286
114,Simmering (11. Bezirk),91087
115,Währing (18. Bezirk),47627
116,Wieden (4. Bezirk),30701
