,naiseki
0,63949551.2222
1,-1466770.37383
2,5544147.86726
3,305069.555556
4,-334704.444444
5,-3529058.55556
6,5640388.16815
7,-4614556.98408
8,2527664.51939
9,2812010.82265
10,-848930.166913
11,7008480.59639
12,-720710.18001
13,4525193.61062
14,6374997.39618
15,-1773104.92771
16,-1139428.72451
17,-494526.259432
18,-1880670.7205
19,-2581249.33355
20,74979.2316285
21,-2474119.75326
22,7879392.39011
23,-3853334.38177
24,-1627184.76348
25,-1527235.81342
26,6472475.21183
27,-4235006.54545
28,3974338.44203
29,2895031.0468
30,-760853.166038
31,8512542.40511
32,-2969257.72129
33,-4050171.33258
34,-1078855.14239
35,6348951.22286
36,-305227.041875
37,-1688120.69759
38,-18752472.7013
39,-10536964.9915
40,-4858624.8173
41,-394219.654456
42,680239.159091
43,-6853976.3092
44,-12472041.6447
45,-94325.9035945
46,3507368.74289
47,12635547.5018
48,-3110699.35918
49,1058437.85397
50,2597598.08715
51,2669773.03577
52,2541443.7521
53,2746048.10511
54,-2609438.27561
55,-665467.666364
56,-1675232.26706
57,6904506.46834
58,1107199.18632
59,-12053222.3491
60,6252036.81231
61,4984917.38256
62,-4000356.66483
63,7688546.47688
64,-13154925.8319
65,-1732815.51026
66,10669547.7132
67,-2272271.92777
68,2654612.62369
69,-2989998.24871
70,8067493.16707
71,9065899.23817
72,-2810723.7617
73,-3694748.69907
74,-2059935.53059
75,-2994867.83244
76,713510.378657
77,-9038506.01592
78,-1249636.84421
79,-1541075.23477
80,305403.74141
81,3140597.94412
82,-1904490.82047
83,-6302898.12555
84,-1517985.45539
85,-3764502.44513
86,-240491.107261
87,-2276609.14039
88,-3449831.12416
89,-5379540.26994
90,933302.717575
91,-1341086.36743
92,-9674903.40012
93,8520083.62741
94,1394678.13339
95,-3233421.39082
96,-1737457.72585
97,-1872085.40908
98,5008465.96108
99,4753487.54391
100,3192644.96515
101,373092.016117
102,-3234390.63538
103,-2182645.04508
104,-22549.5914156
105,3489451.5075
106,-5338719.63765
107,4808126.76676
108,2370714.01527
109,10449423.1347
110,4865501.8805
111,-17095988.6204
112,-4903263.39
113,3559113.87419
114,9829545.33049
115,-3625718.82305
116,-2159151.52913
117,6311075.36486
118,-72225.7035231
119,-5339426.17201
120,2954513.7641
121,-4951588.75006
122,4814861.4017
123,-4462387.2754
124,-688225.505957
125,-3118679.55006
126,-7430848.17536
127,3276921.39812
128,-789006.764407
129,1011981.06864
130,-1219732.85964
131,-23612.7003413
132,-2895261.62056
133,2823770.81737
134,-5225408.62327
135,-4457867.84683
136,-5485603.37134
137,1623578.30896
138,-4517146.64911
139,-3446771.16098
140,-30299.1776088
