x,y,pop
31037723.3059,17935772.7173,5311379.0
31076145.8837,18254653.8566,3164467.0
30945384.9497,18300316.3227,4850657.0
31083311.3981,17953825.2099,1402518.0
31172129.1194,18147608.3813,3937868.0
30908787.4499,18228193.9448,7599913.0
31056409.8475,18095852.0182,7457027.0
31011587.1477,18361514.1681,2114276.0
31035855.6486,18199331.5362,2333896.0
31171323.3524,17839203.0735,1358980.0
30982475.7174,18085470.2818,5611701.0
31190181.3396,18077071.7536,2202899.0
31067170.9924,18362483.459,5352924.0
31117755.4038,17987138.4432,723958.0
31168320.5184,18006502.5869,3545067.0
31216896.7117,17988657.0501,2532938.0
30969625.9524,19139819.8936,19612368.0
29941248.76,17820698.4547,28846170.0
31272668.0304,17409298.2262,7115369.0
31036437.715,17295885.2987,2559545.0
31155866.2107,17475136.836,2645548.0
31296806.2544,17477923.1602,2821996.0
31242991.5967,17334708.0217,2778508.0
31198864.1458,17273479.8702,8128533.0
31097998.6649,17430246.4596,2503388.0
31151887.8337,17226734.3759,3531347.0
31102054.0921,17229033.1039,4809983.0
29690198.9052,18693543.1768,1708752.0
29739656.3088,18568107.6472,2698624.0
29534766.2054,18432324.4348,689132.0
29073238.7404,19128616.0726,231853.0
29485330.9327,18952989.2627,464050.0
28895877.1553,19217754.2527,1095947.0
29627286.6085,18658612.2685,3616163.0
29595548.5451,18578953.3542,1946677.0
29772194.9679,18289894.9913,2567718.0
29954892.119,18562895.6669,2068033.0
30068823.405,18646940.5504,2211191.0
29853165.5651,18440185.6861,3262549.0
29532352.614,18874276.0611,1815059.0
29303771.8444,19007053.9696,1199515.0
30993585.3017,17130503.7845,2669466.0
30693903.5168,17060886.8542,8220207.0
30627254.0884,17058614.7971,7197394.0
30642340.5867,17070550.3587,12701948.0
30792074.7906,17139788.169,2950195.0
30763036.8266,17067833.0362,4598402.0
30623537.3727,17007802.9919,4450703.0
30934896.1635,17093564.3475,5884347.0
30396897.7476,16905876.4963,5817494.0
30941047.7504,17204694.6769,4238461.0
30620580.5952,17133547.9728,3698412.0
30988017.0209,17094644.5155,5389328.0
30861258.0984,17030298.9119,2935469.0
30677172.5601,17263061.4356,2826246.0
30725464.9008,17004141.2982,10358381.0
30506541.3497,16926087.2078,2421748.0
30490536.3303,17041216.1518,2367154.0
30344086.8113,16853026.1952,6994832.0
30560195.9407,17061639.4403,3916467.0
30653480.4832,17001552.2529,3121275.0
30674632.2861,16972663.2387,1562530.0
29949298.6242,17158007.3274,3466758.0
30208481.8821,16884180.8008,1539251.0
30025207.2307,16988299.8133,1994285.0
30083569.87,16935552.3738,866927.0
30309745.9733,17096258.2541,4118808.0
30331564.3686,17316414.1744,4747963.0
30076078.1389,17237700.8214,3369251.0
30460068.4252,17215487.0061,1954072.0
30227245.0065,17154507.1775,2099711.0
30239808.9912,17206523.3857,3758704.0
30124463.3929,17036791.2436,6658742.0
30183312.3205,16958810.2969,3079721.0
30409360.3989,17112395.6226,2882200.0
30317465.2181,17014456.0422,5487368.0
29860848.9543,17399253.7928,2297612.0
29782831.7725,17525454.1365,6537498.0
29957546.1397,17468086.528,4322611.0
29754187.9587,17415156.8488,2851332.0
30136133.1481,17448899.9704,3481891.0
30015638.6215,17433432.5377,3232714.0
29835202.3953,17330661.0554,2804612.0
30153856.2748,17629317.2131,3093204.0
29970758.2101,17656642.4364,6127082.0
30348785.0386,16698921.1067,2046170.0
30278581.4852,16640231.1177,5939463.0
30545715.4681,16370004.9415,444.0
30249864.3023,16526066.4651,685408.0
30859220.351,19029474.5886,11194382.0
31016340.8457,18911868.6817,7134062.0
31052354.8257,19345532.0869,3473201.0
30770269.8166,18697626.586,9174683.0
30897514.2255,18848259.355,4340773.0
30985359.8703,19023575.5068,4358839.0
31279482.9388,19154558.8221,2987605.0
30782551.0461,18897065.2227,10163788.0
31156879.127,19102757.6021,7577289.0
30798596.0524,18789045.105,7104103.0
30847894.6074,19269619.6894,4345485.0
31807544.6293,20075154.9775,2904532.0
31820723.0598,21007734.1502,511560.0
32120545.3851,19916339.272,10635971.0
32421231.4622,20214316.3852,1058665.0
32098610.745,20521963.1391,1673899.0
32430612.882,20133494.185,2552097.0
32647496.7082,19970194.8872,1862165.0
32383601.2416,19817264.6354,2798723.0
31825710.8771,20250145.127,5367003.0
32496486.7408,19976507.696,920471.0
32511937.1117,20108484.6983,1462626.0
32029834.5555,20131473.1936,5418153.0
32277776.8468,20310768.027,1148126.0
30754909.6197,18635232.9038,5173188.0
30750235.3773,18589503.7248,1569208.0
30641755.1035,18520165.8136,3540101.0
30571502.3822,18505721.5732,675757.0
30756045.8122,18467679.2985,4676483.0
30722746.4731,18313062.1432,2544266.0
30554774.8213,18449826.839,6549941.0
30530791.1038,18246642.0379,10263660.0
30646363.6328,18333871.3917,4904701.0
30826701.6207,18591457.8912,3598740.0
30426240.4853,18464088.3498,2234018.0
