,lt_x,lt_y,rb_x,rb_y,target
0,29148936.1143,17377301.5352,32194146.363,18975458.2635,0.073870281277
1,28970241.0923,17236287.7062,32552841.385,19116472.0925,0.0729426919853
2,29193936.1143,17467301.5352,32239146.363,19065458.2635,0.0715540788417
3,29060241.0923,17371287.7062,32642841.385,19251472.0925,0.0694026674562
4,29238936.1143,17557301.5352,32284146.363,19155458.2635,0.0693260607117
5,29060241.0923,17416287.7062,32642841.385,19296472.0925,0.068149556647
6,28925241.0923,17416287.7062,32507841.385,19296472.0925,0.0678167248949
7,29752465.7031,16858055.1741,31590616.7742,19764704.6246,0.0665173303275
8,29752465.7031,16768055.1741,31590616.7742,19674704.6246,0.066359812593
9,29283936.1143,17377301.5352,32329146.363,18975458.2635,0.0661422590589
10,29238936.1143,17377301.5352,32284146.363,18975458.2635,0.0659721431423
11,28925241.0923,17371287.7062,32507841.385,19251472.0925,0.0657741437293
12,29328936.1143,17467301.5352,32374146.363,19065458.2635,0.065524393724
13,29797465.7031,16768055.1741,31635616.7742,19674704.6246,0.0642908500547
14,28970241.0923,17281287.7062,32552841.385,19161472.0925,0.0637063654429
15,29015241.0923,17281287.7062,32597841.385,19161472.0925,0.0635327955215
16,29148936.1143,17557301.5352,32194146.363,19155458.2635,0.0634980185281
17,29376353.4041,16712347.075,31966729.0732,19820412.7237,0.0630752572806
18,29238936.1143,17467301.5352,32284146.363,19065458.2635,0.0625321564016
19,28970241.0923,17416287.7062,32552841.385,19296472.0925,0.0620544514628
20,29283936.1143,17422301.5352,32329146.363,19020458.2635,0.0612394247034
21,29660631.5793,16900451.9987,31862450.898,19542307.8,0.0606739601315
22,29932465.7031,16858055.1741,31770616.7742,19764704.6246,0.0604405329184
23,29752465.7031,16723055.1741,31590616.7742,19629704.6246,0.0601608539987
24,28970241.0923,17371287.7062,32552841.385,19251472.0925,0.0601558974116
25,29108272.5677,17190518.738,32414809.9096,19522241.0607,0.0600047589087
26,28880241.0923,17371287.7062,32462841.385,19251472.0925,0.0597922630172
27,29328936.1143,17512301.5352,32374146.363,19110458.2635,0.0596563849334
28,29015241.0923,17236287.7062,32597841.385,19116472.0925,0.0591715292678
29,29376353.4041,16802347.075,31966729.0732,19910412.7237,0.05840035329
30,29932465.7031,16768055.1741,31770616.7742,19674704.6246,0.057886919859
31,29060241.0923,17281287.7062,32642841.385,19161472.0925,0.0578054830976
32,29193936.1143,17377301.5352,32239146.363,18975458.2635,0.0577370483741
33,28880241.0923,17236287.7062,32462841.385,19116472.0925,0.0577106301592
34,29328936.1143,17377301.5352,32374146.363,18975458.2635,0.0576123159673
35,29238936.1143,17512301.5352,32284146.363,19110458.2635,0.0574694725892
36,29932465.7031,16813055.1741,31770616.7742,19719704.6246,0.0574013300237
37,29015241.0923,17326287.7062,32597841.385,19206472.0925,0.0573014339201
38,29310896.3019,15998647.9667,32122186.1754,20444111.832,0.056889374151
39,29283936.1143,17557301.5352,32329146.363,19155458.2635,0.0564729446668
40,29887465.7031,16813055.1741,31725616.7742,19719704.6246,0.0560280268871
41,29797465.7031,16903055.1741,31635616.7742,19809704.6246,0.0559696035545
42,29148936.1143,17422301.5352,32194146.363,19020458.2635,0.0558292293466
43,29032797.0537,16156137.2277,32400285.4236,20196622.571,0.0557878895882
44,29797465.7031,16813055.1741,31635616.7742,19719704.6246,0.0555218416746
45,29060241.0923,17326287.7062,32642841.385,19206472.0925,0.0553600136614
46,28880241.0923,17326287.7062,32462841.385,19206472.0925,0.0552677368358
47,28880241.0923,17416287.7062,32462841.385,19296472.0925,0.0549994049955
48,29193936.1143,17557301.5352,32239146.363,19155458.2635,0.0547672566827
49,29060241.0923,17236287.7062,32642841.385,19116472.0925,0.0547366863984
50,28925241.0923,17281287.7062,32507841.385,19161472.0925,0.0547209108181
51,29063272.5677,17100518.738,32369809.9096,19432241.0607,0.0543395550601
52,28880241.0923,17281287.7062,32462841.385,19161472.0925,0.0541894556251
53,28925241.0923,17326287.7062,32507841.385,19206472.0925,0.0537539649367
54,29660631.5793,16990451.9987,31862450.898,19632307.8,0.0537000903858
55,29198272.5677,17100518.738,32504809.9096,19432241.0607,0.05366079472
56,29466353.4041,16757347.075,32056729.0732,19865412.7237,0.0536576866348
57,29266262.8683,17365397.9122,32076819.609,19347361.8865,0.0535923621405
58,29032797.0537,16291137.2277,32400285.4236,20331622.571,0.0534814464692
59,29015241.0923,17371287.7062,32597841.385,19251472.0925,0.0530290616429
60,28987797.0537,16156137.2277,32355285.4236,20196622.571,0.0529410982416
61,29015241.0923,17416287.7062,32597841.385,19296472.0925,0.0527310098675
62,29310896.3019,16133647.9667,32122186.1754,20579111.832,0.0526714509004
63,29063272.5677,17055518.738,32369809.9096,19387241.0607,0.0523666892469
64,29310896.3019,15953647.9667,32122186.1754,20399111.832,0.052353993206
65,29283936.1143,17467301.5352,32329146.363,19065458.2635,0.0522178352674
66,29511353.4041,16757347.075,32101729.0732,19865412.7237,0.0519209058908
67,29148936.1143,17467301.5352,32194146.363,19065458.2635,0.0519002756519
68,29752465.7031,16903055.1741,31590616.7742,19809704.6246,0.0518930133623
69,28970241.0923,17326287.7062,32552841.385,19206472.0925,0.0518078743148
70,29148936.1143,17512301.5352,32194146.363,19110458.2635,0.0516944699577
71,29446262.8683,17185397.9122,32256819.609,19167361.8865,0.0516011300739
72,29797465.7031,16723055.1741,31635616.7742,19629704.6246,0.0515951591597
73,29932465.7031,16723055.1741,31770616.7742,19629704.6246,0.0515736729422
74,29750631.5793,16900451.9987,31952450.898,19542307.8,0.0515041004008
75,29193936.1143,17422301.5352,32239146.363,19020458.2635,0.0514570352419
76,29108272.5677,17145518.738,32414809.9096,19477241.0607,0.0513078551379
77,28925241.0923,17236287.7062,32507841.385,19116472.0925,0.0513009652062
78,29725275.9027,16646586.105,31887806.5746,20066173.6937,0.0511070267889
79,29167797.0537,16156137.2277,32535285.4236,20196622.571,0.0508268829424
80,29570631.5793,16945451.9987,31772450.898,19587307.8,0.0506369929248
81,29032797.0537,16336137.2277,32400285.4236,20376622.571,0.0505273035129
82,29797465.7031,16858055.1741,31635616.7742,19764704.6246,0.0504716989038
83,29274591.9284,16984697.9775,32248490.5489,19728061.8212,0.0502341843301
84,29466353.4041,16712347.075,32056729.0732,19820412.7237,0.0501778680602
85,29167797.0537,16201137.2277,32535285.4236,20241622.571,0.0501513888279
86,29842465.7031,16903055.1741,31680616.7742,19809704.6246,0.0501343266709
87,29198272.5677,17055518.738,32504809.9096,19387241.0607,0.0499400704121
88,29032797.0537,16201137.2277,32400285.4236,20241622.571,0.0498174513981
89,29265896.3019,16043647.9667,32077186.1754,20489111.832,0.0496328994297
90,29265896.3019,15953647.9667,32077186.1754,20399111.832,0.0495087324933
91,29752465.7031,16813055.1741,31590616.7742,19719704.6246,0.0493824546083
92,29400896.3019,15953647.9667,32212186.1754,20399111.832,0.0493127372721
93,29445896.3019,16043647.9667,32257186.1754,20489111.832,0.0490482592576
94,29445896.3019,15953647.9667,32257186.1754,20399111.832,0.0489823130819
95,29587634.3249,17010450.2658,32115448.1524,19342309.5329,0.0488121692514
96,29310896.3019,16088647.9667,32122186.1754,20534111.832,0.0487962209852
97,29400896.3019,16043647.9667,32212186.1754,20489111.832,0.0487705987866
98,29466353.4041,16622347.075,32056729.0732,19730412.7237,0.0485128951914
99,29401262.8683,17185397.9122,32211819.609,19167361.8865,0.0484995633886
100,29265896.3019,16133647.9667,32077186.1754,20579111.832,0.0484924354474
101,29077797.0537,16246137.2277,32445285.4236,20286622.571,0.0483696097247
102,29265896.3019,16088647.9667,32077186.1754,20534111.832,0.0483625784399
103,29283936.1143,17512301.5352,32329146.363,19110458.2635,0.0483342431384
104,29842465.7031,16723055.1741,31680616.7742,19629704.6246,0.0482415660462
105,29265896.3019,15998647.9667,32077186.1754,20444111.832,0.0482205516837
106,29193936.1143,17512301.5352,32239146.363,19110458.2635,0.0481385024858
107,28522851.0484,16999260.0482,33180231.4289,19443499.7505,0.0481126169211
108,29077797.0537,16336137.2277,32445285.4236,20376622.571,0.0480999248231
109,29167797.0537,16336137.2277,32535285.4236,20376622.571,0.0480031525696
110,29167797.0537,16246137.2277,32535285.4236,20286622.571,0.0479744807935
111,29725275.9027,16601586.105,31887806.5746,20021173.6937,0.0479434668206
112,29184591.9284,16984697.9775,32158490.5489,19728061.8212,0.0479334844634
113,29932465.7031,16903055.1741,31770616.7742,19809704.6246,0.0478179828787
114,29511353.4041,16802347.075,32101729.0732,19910412.7237,0.0477924082142
115,29122797.0537,16156137.2277,32490285.4236,20196622.571,0.0477592597218
116,29356262.8683,17275397.9122,32166819.609,19257361.8865,0.0475994051523
117,29570631.5793,16855451.9987,31772450.898,19497307.8,0.0475282256559
118,28342851.0484,17044260.0482,33000231.4289,19488499.7505,0.0475278186939
119,29635275.9027,16556586.105,31797806.5746,19976173.6937,0.0475169034514
120,29887465.7031,16723055.1741,31725616.7742,19629704.6246,0.0473199482684
121,29376353.4041,16757347.075,31966729.0732,19865412.7237,0.047228850936
122,29842465.7031,16813055.1741,31680616.7742,19719704.6246,0.0471889903935
123,29887465.7031,16768055.1741,31725616.7742,19674704.6246,0.0470613289805
124,29198272.5677,17145518.738,32504809.9096,19477241.0607,0.0469874438761
125,29063272.5677,17190518.738,32369809.9096,19522241.0607,0.0469207927128
126,28477851.0484,16954260.0482,33135231.4289,19398499.7505,0.0469199477776
127,29310896.3019,16043647.9667,32122186.1754,20489111.832,0.0469198209623
128,29660631.5793,16855451.9987,31862450.898,19497307.8,0.0468719824649
129,29570631.5793,17035451.9987,31772450.898,19677307.8,0.0468581848058
130,28342851.0484,16999260.0482,33000231.4289,19443499.7505,0.0468411995109
131,29018272.5677,17010518.738,32324809.9096,19342241.0607,0.0467942602036
132,29077797.0537,16291137.2277,32445285.4236,20331622.571,0.0467793987877
133,29018272.5677,17190518.738,32324809.9096,19522241.0607,0.0463777333896
134,29077797.0537,16201137.2277,32445285.4236,20241622.571,0.0463685546849
135,29635275.9027,16646586.105,31797806.5746,20066173.6937,0.0463549459976
136,29311262.8683,17275397.9122,32121819.609,19257361.8865,0.0461950917678
137,29229591.9284,16849697.9775,32203490.5489,19593061.8212,0.046056001827
138,29446262.8683,17230397.9122,32256819.609,19212361.8865,0.0460102801722
139,29445896.3019,16133647.9667,32257186.1754,20579111.832,0.0456362688725
140,29770275.9027,16466586.105,31932806.5746,19886173.6937,0.0455155734145
141,29445896.3019,15998647.9667,32257186.1754,20444111.832,0.0455061694659
142,28522851.0484,17044260.0482,33180231.4289,19488499.7505,0.0454387422352
143,29400896.3019,16088647.9667,32212186.1754,20534111.832,0.0453417329531
144,29108272.5677,17100518.738,32414809.9096,19432241.0607,0.045205391272
145,29356262.8683,17365397.9122,32166819.609,19347361.8865,0.0451783240062
