1,3,4,9,12,27(Ⅰ),27(Ⅱ),27(Ⅲ),36(Ⅰ),36(Ⅱ),81(Ⅰ),81(Ⅱ),81(Ⅲ),81(Ⅳ),81(Ⅴ),81(Ⅵ),108(Ⅰ),108(Ⅱ),108(Ⅲ),108(Ⅳ),108(Ⅴ),108(Ⅵ),324(Ⅰ),324(Ⅱ),324(Ⅲ),324(Ⅳ),324(Ⅴ),324(Ⅵ),324(Ⅶ),324(Ⅷ),324(Ⅸ),324(Ⅹ),324(ⅩⅠ),324(ⅩⅡ),324(ⅩⅢ),324(ⅩⅣ),324(ⅩⅤ)
2732481.85494,48355.691358,279340.947531,-187617.37963,260963.469136,-540747.111149,257640.19031,-657399.662495,718691.867284,327143.32716,-556054.862849,-587968.417815,-378072.848966,402971.013326,682232.271654,-1215820.73868,-406330.845431,304900.843318,590308.918779,544131.556389,-1944089.73479,1018706.06729,-2109887.74473,-122885.141599,598148.738184,1637752.79604,-1329619.77456,592346.972188,-75241.648062,422396.561728,-434373.731313,208905.880175,-684825.396254,-568182.71177,-583998.29469,425984.607928,329712.47007
2732481.85494,65461.2098769,-424612.608025,-1206824.09259,-456081.123456,-62077.5639853,40429.0168337,94459.6582624,200594.561728,-594205.135803,-964516.344474,583747.449655,-203900.74407,897664.758468,10006.4121256,596479.634963,-943416.342268,-187158.166544,-582359.454151,699246.873076,923129.193117,-299067.881008,-1418652.62106,-451024.461588,318182.795615,2152383.30525,-1302924.53407,-886079.875811,-57307.7935598,1263595.39606,-308624.465396,-782241.320079,-302610.535456,506918.648654,1000982.73278,-236795.210485,-415283.227519
2732481.85494,-113816.901235,279340.947531,13133.1296295,-285453.827161,465883.167116,-104697.635305,-325252.865144,-564157.993828,782259.345679,-1004311.64689,797068.61832,-134574.749204,-562464.46104,48776.4617448,62394.7770722,-1221328.43157,312215.152285,272694.464469,505251.376794,1072568.05493,148292.494204,-698551.45298,-236877.996522,138573.745798,1264995.15127,-574062.478284,-24897.0852724,-178009.728849,-107766.740994,690328.614615,-780986.003818,-419268.199046,-272451.245145,-154853.825289,98551.6005934,900970.310588
2732481.85494,48355.691358,-424612.608025,-187617.37963,505250.91358,280752.435325,-412895.932556,-210514.086102,-810813.243827,516795.660494,-656820.105831,-300561.584756,-439037.105709,685012.926715,127633.077866,405133.458382,-1090879.23952,-474477.388877,-72544.5660463,78843.2065357,-1117084.18891,638958.871267,-36439.0689157,16889.0366421,693716.717459,-49242.530087,-175073.697335,669770.890377,-338841.198361,-451627.495162,-598653.327108,1285589.46005,-538975.318359,-200496.260553,-299619.780648,1007147.69585,-805505.790512
2732481.85494,65461.2098769,279340.947531,-1206824.09259,24490.3580249,-227936.152692,454070.974219,411682.372917,-292715.938271,-620191.78395,-84636.8752885,-895085.722455,63838.9588542,1864272.88683,-515476.223233,-595535.441372,-574283.976053,340136.59941,-214674.762246,-157085.442468,331690.652143,-639990.487453,487824.005876,-285389.794146,22797.3901209,-489507.360676,-346325.167362,-556968.886389,580087.609618,66595.3154099,642550.695502,555025.020276,-298696.755938,611524.588676,657665.477618,-1257822.77958,1184567.72433
2732481.85494,-113816.901235,-424612.608025,13133.1296295,-49169.7901239,-201618.450101,-19406.8414654,-309599.291767,472036.617285,-411801.41358,444507.152057,-3931.58555846,-576796.53872,412.056976382,-218945.172033,70583.5872787,140551.13175,-6773.57487842,620107.119055,114603.065624,-326038.825544,744741.445105,811003.907274,-434176.491082,495562.463437,217883.084625,-469771.820136,-618872.912188,559278.78103,-504441.384383,153944.95842,-930033.868858,-149131.002063,-487402.715405,-1232486.94265,850734.611953,-952736.836642
2732481.85494,48355.691358,279340.947531,-187617.37963,260963.469136,259994.675824,155255.742246,867913.748597,718691.867284,327143.32716,683019.605028,900087.135924,124328.296085,-924426.295139,-158770.197266,-192220.377965,781461.4362,-142904.084736,-606319.01813,261383.367903,685420.810575,-463318.789589,894120.369543,-80224.5827263,442163.676146,1037415.54451,-223078.783058,815270.602953,-227908.160638,-760286.749436,-198628.217206,-965962.49699,-31405.9661778,-61604.0251267,510706.000755,-1002960.37545,1047806.32957
2732481.85494,65461.2098769,-424612.608025,-1206824.09259,-456081.123456,290013.716677,-494499.991053,-506142.03118,200594.561728,-594205.135803,519297.856109,322895.406152,-552719.873374,-1051149.67209,85657.5346215,513949.831916,1111856.66673,53271.6649095,134989.733172,-370290.934841,-551733.879704,15720.38862,727148.320667,-54364.0935251,51210.2913771,709447.850626,61088.9273596,289600.831998,-673579.056163,-831746.259908,-817386.470389,1166145.13624,-29355.9421516,330487.489096,-255865.794591,277323.009161,-788085.323133
2732481.85494,-113816.901235,279340.947531,13133.1296295,-285453.827161,-264264.717015,124104.476771,634852.156911,-564157.993828,782259.345679,29949.1311853,-781579.899409,18589.6293352,-1312293.21404,-61114.1654796,355035.268411,1033789.37939,-64590.8543555,210064.076818,-948519.628867,-1196191.07491,9750.9630368,330227.053982,-417297.255528,703584.41451,-893313.824329,215785.148549,-1197496.79653,-591077.672016,-875665.771588,136455.644494,556547.97148,480662.962725,-11542.542989,-352851.792848,729936.073903,554678.30285
2732481.85494,48355.691358,-424612.608025,-187617.37963,505250.91358,-540747.111149,257640.19031,-657399.662495,-810813.243827,516795.660494,-556054.862849,-587968.417815,-378072.848966,402971.013326,682232.271654,-1215820.73868,626953.050723,327484.797543,-348780.153821,-497247.894716,2072919.34432,-356289.116269,-248768.867815,-317112.380336,95042.655558,-2526555.98221,571454.046588,-171583.261853,693031.73785,-194921.946821,946804.605473,-557759.420729,330313.308109,-290398.240919,1016178.33267,-568791.812513,-388593.523054
