,D,norm
0,1,2.41913209637e+15
1,3,2.11439482833e+12
2,4,8.67740796391e+13
3,9,1.07728832636e+14
4,12,5.12829469012e+13
5,27(Ⅰ),1.11142496174e+14
6,27(Ⅱ),4.36246802458e+13
7,27(Ⅲ),4.61962953305e+13
8,36(Ⅰ),7.85224567133e+13
9,36(Ⅱ),6.3360173425e+13
10,81(Ⅰ),8.07619120186e+13
11,81(Ⅱ),1.23395867609e+14
12,81(Ⅲ),2.5453192176e+13
13,81(Ⅳ),3.10510354117e+14
14,81(Ⅴ),1.18703755784e+14
15,81(Ⅵ),1.55228447894e+14
16,108(Ⅰ),2.1199178063e+14
17,108(Ⅱ),9.42235270066e+13
18,108(Ⅲ),3.30307903319e+13
19,108(Ⅳ),5.87510423652e+13
20,108(Ⅴ),2.51730435886e+14
21,108(Ⅵ),8.16810858217e+13
22,324(Ⅰ),7.35989910024e+14
23,324(Ⅱ),2.54348407847e+13
24,324(Ⅲ),7.26239370648e+13
25,324(Ⅳ),5.79906273899e+14
26,324(Ⅴ),1.10218577452e+14
27,324(Ⅵ),1.32607019731e+14
28,324(Ⅶ),2.91294009567e+14
29,324(Ⅷ),1.91808632861e+14
30,324(Ⅸ),1.66541434144e+14
31,324(Ⅹ),2.31718415896e+14
32,324(ⅩⅠ),1.37903159559e+14
33,324(ⅩⅡ),1.06314895403e+14
34,324(ⅩⅢ),1.70124424305e+14
35,324(ⅩⅣ),1.25850883445e+14
36,324(ⅩⅤ),2.1665549618e+14
