,name,pop,lat,lon
0,"České Budějovice, Jihočeský kraj",189861,48.9747357,14.474285
1,"Český Krumlov, Jihočeský kraj",61110,48.8111744,14.3151514
2,"Jindřichův Hradec, Jihočeský kraj",91778,49.1443265,15.003354
3,"Písek, Jihočeský kraj",70634,49.3089887,14.147769
4,"Prachatice, Jihočeský kraj",50800,49.0131904,13.9974631
5,"Strakonice, Jihočeský kraj",70653,49.2616735,13.9023123
6,"Tábor, Jihočeský kraj",102464,49.4140896,14.6584713
7,"Blansko, Jihomoravský kraj",107925,49.3634438,16.6434481
8,"Břeclav, Jihomoravský kraj",115049,48.7594008,16.8813137
9,"Brno-město, Jihomoravský kraj",377440,49.191596,16.6111292
10,"Brno-venkov, Jihomoravský kraj",213149,49.1761559,16.3881798326
11,"Hodonín, Jihomoravský kraj",155431,48.8492027,17.1324031
12,"Vyškov, Jihomoravský kraj",90460,49.2778194,16.9994446
13,"Znojmo, Jihomoravský kraj",113399,48.8554341,16.0489457
14,"Cheb, Karlovarský kraj",92019,50.0799007,12.3738533
15,"Karlovy Vary, Karlovarský kraj",117016,50.2304694,12.8710769
16,"Sokolov, Karlovarský kraj",90258,50.1815641,12.640035
17,"Hradec Králové, Královéhradecký kraj",162808,50.2094963,15.832719
18,"Jičín, Královéhradecký kraj",79375,50.4375086,15.3515976
19,"Náchod, Královéhradecký kraj",111130,50.4169725,16.1628404
20,"Rychnov nad Kněžnou, Královéhradecký kraj",78926,50.1631069,16.274837
21,"Trutnov, Královéhradecký kraj",119351,50.5609724,15.9132232
22,"Česká Lípa, Liberecký kraj",102816,50.6865452,14.5372974
23,"Jablonec nad Nisou, Liberecký kraj",90003,50.7240899,15.1710958
24,"Liberec , Liberecký kraj",171756,50.7702648,15.0583947
25,"Semily, Liberecký kraj",74276,50.602249,15.33526
26,"Bruntál, Moravskoslezský kraj",94573,49.9887133,17.4646617
27,"Frýdek-Místek, Moravskoslezský kraj",212987,49.685635,18.3483416
28,"Karviná, Moravskoslezský kraj",255945,49.8542719,18.5416556
29,"Nový Jičín, Moravskoslezský kraj",151724,49.5947705,18.0103694
30,"Opava, Moravskoslezský kraj",176807,49.9324379,17.9011842152
31,"Ostrava-město, Moravskoslezský kraj",325640,49.8349139,18.2820084
32,"Jeseník, Olomoucký kraj",39584,50.2296385,17.2046012
33,"Olomouc, Olomoucký kraj",233192,49.5940777,17.25112
34,"Přerov, Olomoucký kraj",131646,49.4553775,17.4508621
35,"Prostějov, Olomoucký kraj",109037,49.4721467,17.1117979
36,"Šumperk, Olomoucký kraj",122252,49.9655521,16.9705651
37,"Chrudim, Pardubický kraj",104148,49.9513601,15.7955263
38,"Pardubice, Pardubický kraj",169248,50.0410187,15.7765409
39,"Svitavy, Pardubický kraj",104495,49.7562053,16.4688995
40,"Ústí nad Orlicí, Pardubický kraj",138481,49.9737051,16.3940676
41,"Domažlice, Plzeňský kraj",61016,49.4407069,12.9298338
42,"Klatovy, Plzeňský kraj",86859,49.3951096,13.2935526
43,"Plzeň-jih, Plzeňský kraj",62226,49.6860541,13.3743759
44,"Plzeň-město, Plzeňský kraj",187245,49.7477415,13.3775249
45,"Plzeň-sever, Plzeňský kraj",77022,49.8814234,13.2812881231
46,"Rokycany, Plzeňský kraj",47887,49.7429636,13.5945245
47,"Tachov, Plzeňský kraj",52868,49.7955449,12.6335852
48,"Praha, Praha (Hlavni mĕsto Praha)",1259079,50.0874401,14.4212556
49,"Benešov, Středočeský kraj",96718,49.7818921,14.6869121
50,"Beroun, Středočeský kraj",89172,49.9640905,14.0719375
51,"Kladno, Středočeský kraj",161621,50.1478497,14.1025379
52,"Kolín, Středočeský kraj",98125,50.0288894,15.2011571
53,"Kutná Hora, Středočeský kraj",74244,49.9486561,15.2681123
54,"Mělník, Středočeský kraj",104973,50.3507641,14.4740503
55,"Mladá Boleslav, Středočeský kraj",125931,50.4116187,14.9031301
56,"Nymburk, Středočeský kraj",96689,50.186331,15.0417306
57,"Praha-východ, Středočeský kraj",164002,50.0828112,14.7192179487
58,"Praha-západ, Středočeský kraj",134351,49.99844205,14.2634282909
59,"Příbram, Středočeský kraj",114084,49.6901444,14.0103663
60,"Rakovník, Středočeský kraj",55389,50.1039674,13.7333385
61,"Chomutov, Ústecký kraj",124644,50.4607421,13.4177224
62,"Děčín, Ústecký kraj",131699,50.7824196,14.2147221
63,"Litoměřice, Ústecký kraj",118966,50.5340795,14.1317985
64,"Louny, Ústecký kraj",86463,50.3572555,13.7966137
65,"Most, Ústecký kraj",113857,50.5032737,13.636112
66,"Teplice, Ústecký kraj",128851,50.6406644,13.8244461
67,"Ústí nad Labem, Ústecký kraj",119492,50.6684322,14.0408798
68,"Havlíčkův Brod, Vysočina",94885,49.607079,15.5794883
69,"Jihlava, Vysočina",112417,49.396064,15.5903065
70,"Pelhřimov, Vysočina",72061,49.4317154,15.2233722
71,"Třebíč, Vysočina",112076,49.2151907,15.8816091
72,"Žďár nad Sázavou, Vysočina",118456,49.5629014,15.9391924
73,"Kroměříž, Zlínský kraj",106468,49.2984191,17.3929804
74,"Uherské Hradiště, Zlínský kraj",142989,49.0681068,17.4663639
75,"Vsetín, Zlínský kraj",144011,49.3389775,17.9961534
76,"Zlín, Zlínský kraj",191793,49.226766,17.6667415
