,name,pop,lat,lon
0,Abilene TX US,"120,958",32.4464534,-99.7333478
1,Akron OH US,"197,859",41.0830643,-81.5184854
2,Albuquerque NM US,"557,169",35.0841034,-106.6509851
3,Alexandria VA US,"150,575",33.7237617,-116.2673236
4,Allentown PA US,"119,104",40.6022059,-75.4712794
5,Amarillo TX US,"197,254",35.2072185,-101.8338246
6,Anaheim CA US,"346,997",33.8347516,-117.911732
7,Anchorage AK US,"301,010",61.2163129,-149.8948522
8,Ann Arbor MI US,"117,770",42.2681569,-83.7312291
9,Antioch CA US,"108,930",38.0049214,-121.805789
10,Arlington TX US,"383,204",32.7355816,-97.1071186
11,Arlington VA US,"226,908",38.8903961,-77.0841585
12,Arvada CO US,"113,574",39.8027644,-105.0874842
13,Athens GA US,"119,648",33.9595974,-83.376678
14,Atlanta GA US,"456,002",33.7490987,-84.3901849
15,Augusta GA US,"196,741",33.4709714,-81.9748429
16,Aurora CO US,"353,108",43.6963371,-98.5722461
17,Aurora IL US,"200,456",41.7605849,-88.3200715
18,Austin TX US,"912,791",30.2711286,-97.7436995
19,Bakersfield CA US,"368,759",35.3738712,-119.0194639
20,Baltimore MD US,"622,793",39.2908608,-76.6108073
21,Baton Rouge LA US,"228,895",30.4507462,-91.154551
22,Beaumont TX US,"117,585",30.0860459,-94.1018461
23,Bellevue WA US,"136,426",47.6144219,-122.1923372
24,Berkeley CA US,"118,853",37.8708393,-122.2728639
25,Billings MT US,"108,869",45.7874957,-108.49607
26,Birmingham AL US,"212,247",33.570499,-86.7657829
27,Boise City ID US,"216,282",43.5988375,-116.243254954
28,Boston MA US,"655,884",42.3604823,-71.0595678
29,Boulder CO US,"105,112",40.102555,-105.3632079
30,Brandon FL US,"111,000",27.937801,-82.2859247
31,Bridgeport CT US,"147,612",37.519995,-120.8379839
32,Broken Arrow OK US,"104,726",36.0525993,-95.7908195
33,Brownsville TX US,"183,046",25.9140256,-97.4890856
34,Buffalo NY US,"258,703",42.8864468,-78.8783689
35,Burbank CA US,"105,368",34.1816482,-118.3258554
36,Cambridge MA US,"109,694",42.3785931,-71.1317136636
37,Cape Coral FL US,"169,854",26.6069232,-81.9802626
38,Carlsbad CA US,"112,299",33.1580933,-117.3505939
39,Carrollton TX US,"128,353",32.9537349,-96.8902816
40,Cary NC US,"155,227",35.7882973,-78.7811925
41,Cedar Rapids IA US,"129,195",41.9758872,-91.6704053
42,Centennial CO US,"107,201",39.579155,-104.8769227
43,Chandler AZ US,"254,276",33.3067132,-111.8408489
44,Charleston SC US,"130,113",32.7876012,-79.9402728
45,Charlotte NC US,"809,958",35.2270869,-80.8431268
46,Chattanooga TN US,"173,778",35.0456297,-85.3096801
47,Chesapeake VA US,"233,371",36.7183708,-76.2466798
48,Chicago IL US,"2,722,389",41.8755546,-87.6244212
49,Chula Vista CA US,"260,988",32.6400541,-117.0841955
50,Cincinnati OH US,"298,165",39.1014537,-84.5124602
51,Clarksville TN US,"146,806",36.5285918,-87.3098696
52,Clearwater FL US,"110,703",27.9658533,-82.8001026
53,Cleveland OH US,"389,521",41.5051613,-81.6934446
54,Clovis CA US,"102,189",36.8252277,-119.7029194
55,College Station TX US,"103,483",30.6262616,-96.3347249
56,Colorado Springs CO US,"445,830",38.8339578,-104.8253485
57,Columbia SC US,"132,067",34.0007493,-81.0343313
58,Columbia MD US,"107,000",39.2156213,-76.8582049
59,Columbia MO US,"116,906",38.951883,-92.3337366
60,Columbus GA US,"200,887",32.4609764,-84.9877094
61,Columbus OH US,"835,957",39.9622601,-83.0007065
62,Concord CA US,"127,522",37.9779777,-122.0310733
63,Coral Springs FL US,"127,952",26.271192,-80.2706044
64,Corona CA US,"161,486",37.0066161,-121.9969063
65,Corpus Christi TX US,"320,434",27.8002542,-97.3955744
66,Costa Mesa CA US,"112,784",33.6633386,-117.903317
67,Dallas TX US,"1,281,047",32.7762719,-96.7968558
68,Daly City CA US,"106,094",37.7057671,-122.4619205
69,Davenport IA US,"102,448",41.5236436,-90.5776368
70,Dayton OH US,"141,003",39.7589478,-84.1916069
71,Denton TX US,"128,205",33.1458225246,-97.1019635948
72,Denver CO US,"663,862",39.7348381,-104.9653271
73,Des Moines IA US,"209,220",41.5910641,-93.6037149
74,Detroit MI US,"680,250",42.3486635,-83.0567375
75,Downey CA US,"114,172",33.9400143,-118.1325688
76,Durham NC US,"251,893",35.9940329,-78.898619
77,Edison NJ US,"101,970",40.5382375,-74.3945172451
78,El Cajon CA US,"103,091",32.7947731,-116.9625269
79,Elgin IL US,"111,117",42.0372487,-88.2811895
80,Elizabeth NJ US,"128,705",40.6639916,-74.2107006
81,Elk Grove CA US,"163,553",38.4087993,-121.3716178
82,El Monte CA US,"116,631",34.0751571,-118.036849
83,El Paso TX US,"679,036",31.8111305,-106.501349296
84,Enterprise NV US,"115,000",35.955464,-115.1752959
85,Escondido CA US,"150,243",33.1216751,-117.0814849
86,Eugene OR US,"160,561",44.0505054,-123.0950506
87,Evansville IN US,"120,346",37.9747645,-87.5558483
88,Everett WA US,"106,736",47.9673056,-122.2013998
89,Fairfield CA US,"111,125",38.2493581,-122.0399663
90,Fargo ND US,"115,863",46.8772292,-96.789821
91,Fayetteville NC US,"203,948",35.0529931,-78.8787058
92,Fontana CA US,"204,950",34.0922335,-117.435048
93,Fort Collins CO US,"156,480",40.5508527,-105.0668085
94,Fort Lauderdale FL US,"176,013",26.1254381,-80.1381515
95,Fort Wayne IN US,"258,522",41.0799898,-85.1386015
96,Fort Worth TX US,"812,238",32.753177,-97.3327459
97,Fremont CA US,"228,758",37.5482697,-121.9885719
98,Fresno CA US,"515,986",36.7295295,-119.708861161
99,Frisco TX US,"145,035",33.1506744,-96.8236116
100,Fullerton CA US,"139,677",33.8708215,-117.9294165
101,Gainesville FL US,"128,460",29.67360855,-82.3234140624
102,Garden Grove CA US,"175,078",33.7746292,-117.9463717
103,Garland TX US,"235,501",32.912624,-96.6388833
104,Gilbert AZ US,"239,277",33.3624385,-111.745916583
105,Glendale CA US,"200,167",34.1423455,-118.2483671
106,Glendale AZ US,"237,517",33.558997,-112.404682964
107,Grand Prairie TX US,"185,453",32.7459645,-96.9977846
108,Grand Rapids MI US,"193,792",42.9632405,-85.6678639
109,Green Bay WI US,"104,891",44.5299412,-88.0248317
110,Greensboro NC US,"282,586",36.0726355,-79.7919754
111,Gresham OR US,"109,892",45.5067406,-122.4367058
112,Hampton VA US,"136,879",37.0300969,-76.3452057
113,Hartford CT US,"124,705",42.314365,-71.0725119
114,Hayward CA US,"154,612",37.6688205,-122.0807964
115,Henderson NV US,"277,440",36.0391456,-114.9819235
116,Hialeah FL US,"235,563",25.8670435,-80.2914631206
117,Highlands Ranch CO US,"106,000",39.5538771,-104.9694264
118,High Point NC US,"108,629",35.9556924,-80.0053176
119,Hollywood FL US,"148,047",26.0112014,-80.1494901
