x,y,pop
0,0,0.0
1,0,0.0
2,0,0.0
3,0,685408.0
4,0,0.0
5,0,0.0
6,0,0.0
7,0,0.0
8,0,0.0
9,0,0.0
10,0,0.0
11,0,0.0
12,0,0.0
13,0,0.0
14,0,0.0
15,0,0.0
16,0,0.0
17,0,0.0
0,1,0.0
1,1,0.0
2,1,0.0
3,1,5939463.0
4,1,2046170.0
5,1,0.0
6,1,0.0
7,1,0.0
8,1,0.0
9,1,0.0
10,1,0.0
11,1,0.0
12,1,0.0
13,1,0.0
14,1,0.0
15,1,0.0
16,1,0.0
17,1,0.0
0,2,0.0
1,2,0.0
2,2,0.0
3,2,0.0
4,2,0.0
5,2,0.0
6,2,0.0
7,2,0.0
8,2,0.0
9,2,0.0
10,2,0.0
11,2,0.0
12,2,0.0
13,2,0.0
14,2,0.0
15,2,0.0
16,2,0.0
17,2,0.0
0,3,0.0
1,3,0.0
2,3,1994285.0
3,3,866927.0
4,3,4618972.0
5,3,12812326.0
6,3,0.0
7,3,0.0
8,3,0.0
9,3,0.0
10,3,0.0
11,3,0.0
12,3,0.0
13,3,0.0
14,3,0.0
15,3,0.0
16,3,0.0
17,3,0.0
0,4,3517946.0
1,4,0.0
2,4,0.0
3,4,6658742.0
4,4,0.0
5,4,5487368.0
6,4,2421748.0
7,4,0.0
8,4,1562530.0
9,4,0.0
10,4,0.0
11,4,0.0
12,4,0.0
13,4,0.0
14,4,0.0
15,4,0.0
16,4,0.0
17,4,0.0
0,5,0.0
1,5,0.0
2,5,3466758.0
3,5,0.0
4,5,2099711.0
5,5,4118808.0
6,5,5249354.0
7,5,8367170.0
8,5,41599205.0
9,5,7533871.0
10,5,0.0
11,5,0.0
12,5,0.0
13,5,0.0
14,5,0.0
15,5,0.0
16,5,0.0
17,5,0.0
0,6,5855055.0
1,6,0.0
2,6,2804612.0
3,6,3369251.0
4,6,0.0
5,6,3758704.0
6,6,0.0
7,6,1954072.0
8,6,3698412.0
9,6,2950195.0
10,6,5884347.0
11,6,8058794.0
12,6,0.0
13,6,0.0
14,6,0.0
15,6,0.0
16,6,0.0
17,6,0.0
0,7,0.0
1,7,2851332.0
2,7,2297612.0
3,7,7555325.0
4,7,0.0
5,7,0.0
6,7,4747963.0
7,7,0.0
8,7,0.0
9,7,2826246.0
10,7,0.0
11,7,4238461.0
12,7,8341330.0
13,7,0.0
14,7,0.0
15,7,0.0
16,7,0.0
17,7,0.0
0,8,0.0
1,8,5213521.0
2,8,6537498.0
3,8,0.0
4,8,3481891.0
5,8,0.0
6,8,0.0
7,8,5194275.0
8,8,4583531.0
9,8,0.0
10,8,8368447.0
11,8,0.0
12,8,2559545.0
13,8,8128533.0
14,8,0.0
15,8,0.0
16,8,0.0
17,8,0.0
0,9,0.0
1,9,0.0
2,9,4471896.0
3,9,4218427.0
4,9,6127082.0
5,9,3093204.0
6,9,4741673.0
7,9,7071735.0
8,9,7148344.0
9,9,3857100.0
10,9,4810339.0
11,9,0.0
12,9,0.0
13,9,5281896.0
14,9,7115369.0
15,9,0.0
16,9,0.0
17,9,0.0
0,10,0.0
1,10,4743017.0
2,10,5629444.0
3,10,3702847.0
4,10,28846170.0
5,10,0.0
6,10,2549558.0
7,10,0.0
8,10,3784634.0
9,10,9793123.0
10,10,7274106.0
11,10,1138874.0
12,10,0.0
13,10,2645548.0
14,10,2821996.0
15,10,0.0
16,10,0.0
17,10,0.0
0,11,0.0
1,11,0.0
2,11,17712682.0
3,11,3252619.0
4,11,3205476.0
5,11,0.0
6,11,0.0
7,11,1478149.0
8,11,5714623.0
9,11,4307933.0
10,11,5476084.0
11,11,0.0
12,11,8954873.0
13,11,1125156.0
14,11,6579747.0
15,11,2116957.0
16,11,0.0
17,11,0.0
