,name,pop,lat,lon
0,Alb-Donau-Kreis,"189,129",48.4011324,9.8362713
1,Baden-Baden,"53,342",48.7580777,8.2415239
2,Biberach,"190,438",48.6085862,8.212817
3,Böblingen,"374,279",48.684969,9.0113444
4,Bodenseekreis,"209,386",47.7145053,9.3789822
5,Breisgau-Hochschwarzwald,"252,749",47.941164,7.8471664
6,Calw,"152,766",48.7153344,8.7381796
7,Emmendingen,"159,708",48.1206565,7.850993
8,Enzkreis,"193,728",48.9099929,8.7397318
9,Esslingen,"516,779",48.7427584,9.3071685
10,Freiburg im Breisgau,"222,203",48.0021322,7.823903
11,Freudenstadt,"115,147",48.4637727,8.4111727
12,Göppingen,"250,117",48.7052936,9.6607959
13,Heidelberg,"154,715",49.4093608,8.6948125
14,Heidenheim,"128,894",48.6767637,10.152923
15,Heilbronn,"329,250",49.1422908,9.2186549
16,Heilbronn Stadt,"119,841",49.1422908,9.2186549
17,Hohenlohekreis,"108,816",49.2725125,9.6057331
18,Karlsruhe,"431,315",49.0140679,8.4044366
19,Karlsruhe Stadt,"300,051",49.01585255,8.40979805628
20,Konstanz,"275,785",47.659216,9.1750718
21,Lörrach,"223,692",47.6120896,7.6607218
22,Ludwigsburg,"526,377",48.8956194,9.1895147
23,Main-Tauber-Kreis,"130,299",49.5712667,9.7000589
24,Mannheim,"299,844",49.4895914,8.4672361
25,Neckar-Odenwald-Kreis,"141,651",49.4221407,9.2186222
26,Ortenaukreis,"415,639",48.4111059,8.0062094
27,Ostalbkreis,"308,205",48.8777738,10.0337317
28,Pforzheim,"119,291",48.8908846,8.7029532
29,Rastatt,"224,687",48.8574209,8.2088088
30,Ravensburg,"275,339",47.7811014,9.612468
31,Rems-Murr-Kreis,"414,016",48.8934,9.4672129
32,Reutlingen,"278,031",48.4919508,9.2114144
33,Rhein-Neckar-Kreis,"534,729",49.3684797,8.7352403
34,Rottweil,"135,912",48.165531,8.6251283
35,Schwäbisch Hall,"188,974",49.1123963,9.7369047
36,Schwarzwald-Baar-Kreis,"206,116",48.048325,8.396666
37,Sigmaringen,"127,716",48.0854402,9.2179178
38,Stuttgart,"612,441",48.7784485,9.1800132
39,Tübingen,"218,355",48.5236164,9.0535531
40,Tuttlingen,"134,607",47.9844382,8.818666
41,Ulm,"120,714",48.398312,9.9910464
42,Waldshut,"165,211",47.6221367,8.2170582
43,Zollernalbkreis,"186,360",48.247988,8.8893344
44,Aichach-Friedberg,"129,294",48.4335,11.0772281
45,Altötting,"107,465",48.2268085,12.6757914
46,Amberg,"41,535",49.4454211,11.858728
47,Amberg-Sulzbach,"103,045",49.4801852,11.7836407
48,Ansbach,"179,419",49.3027671,10.5722194
49,Ansbach Stadt,"40,010",49.3027671,10.5722194
50,Aschaffenburg,"172,776",49.9740542,9.1493636
51,Aschaffenburg Stadt,"68,167",49.9740542,9.1493636
52,Augsburg,"242,697",48.3668041,10.8986971
53,Augsburg Stadt,"281,111",48.34336385,10.8951546142
54,Bad Kissingen,"102,901",50.1996726,10.0780665
55,Bad Tölz-Wolfratshausen,"123,340",47.7825524,11.4873095
56,Bamberg,"144,695",49.8926723,10.8876149
57,Bamberg Stadt,"71,952",49.8926723,10.8876149
58,Bayreuth,"104,615",49.9427202,11.5763079
59,Bayreuth Stadt,"71,601",49.9427202,11.5763079
60,Berchtesgadener Land,"102,976",47.7494467,12.9216667
61,Cham,"125,844",49.2178194,12.6663832
62,Coburg,"86,715",50.258112,10.964463
63,Coburg Stadt,"41,062",50.258112,10.964463
64,Dachau,"146,279",48.2588318,11.4339286
65,Deggendorf,"115,699",48.8333535,12.96205
66,Dillingen an der Donau,"93,478",48.5811652,10.4954947
67,Dingolfing-Landau,"93,450",48.6366667,12.5877667
68,Donau-Ries,"130,203",48.8148705,10.69735
69,Ebersberg,"134,873",48.0765786,11.9647521
70,Eichstätt,"127,189",48.8928801,11.1872697
71,Erding,"131,839",48.3064441,11.9076579
72,Erlangen,"106,423",49.5981208,11.0036532
73,Erlangen-Höchstadt,"132,830",49.64042,10.930096
74,Forchheim,"113,900",49.7187128,11.059642
75,Freising,"170,357",48.4008273,11.7439565
76,Freyung-Grafenau,"77,927",48.81666,13.481332
77,Fürstenfeldbruck,"210,278",48.1813797,11.2382125
78,Fürth,"113,847",49.4772631,10.9896165
79,Fürth Stadt,"121,519",49.4772631,10.9896165
80,Garmisch-Partenkirchen,"85,931",47.4938359,11.103992
81,Günzburg,"121,828",48.4539028,10.2785509
82,Haßberge,"84,152",50.0591577,10.6106885
83,Hof,"96,608",50.3219015,11.9178807
84,Hof Stadt,"44,325",47.4309503,7.6586578
85,Ingolstadt,"131,002",48.7630165,11.4250395
86,Kaufbeuren,"42,014",47.8803788,10.622246
87,Kelheim,"116,495",48.9187285,11.8727886
88,Kempten (Allgäu),"65,624",47.7267063,10.3168835
89,Kitzingen,"88,492",49.7339751,10.161216
90,Kronach,"67,998",50.2397846,11.3277669
91,Kulmbach,"72,541",50.1008448,11.4479149
92,Landsberg am Lech,"116,118",48.0514973,10.8737728
93,Landshut,"151,819",48.536217,12.1516551
94,Landshut Stadt,"67,509",47.1374503,7.54830064655
95,Lichtenfels,"66,540",50.1453156,11.0680042
96,Lindau (Bodensee),"79,387",47.57286685,9.69619185108
97,Main-Spessart,"125,915",49.9690725,9.6403768
98,Memmingen,"42,201",47.9867696,10.181319
99,Miesbach,"96,773",47.790025,11.8335417
100,Miltenberg,"127,941",49.7034965,9.2512498
101,Mühldorf am Inn,"110,296",48.240507,12.5252449
102,München,"332,800",48.1371079,11.5753822
103,München Stadt,"1,429,584",48.1288049,11.5935351
104,Neuburg-Schrobenhausen,"93,505",48.6536944,11.2250111
105,Neumarkt in der Oberpfalz,"128,975",49.2159263,11.5329526
106,Neustadt an der Aisch-Bad Windsheim,"97,808",49.583431,10.4145486608
107,Neustadt an der Waldnaab,"95,184",49.7314121,12.1732938
108,Neu-Ulm,"167,847",48.3954965,10.00589
109,Nürnberg,"501,072",49.4538723,11.0772978
110,Nürnberger Land,"165,918",49.5091089,11.3569617862
111,Oberallgäu,"150,981",47.6130964,10.270825
112,Ostallgäu,"135,894",47.8025889,10.6259267
113,Passau,"186,284",48.5740136,13.4606445
114,Passau Stadt,"49,952",48.5740136,13.4606445
115,Pfaffenhofen an der Ilm,"121,594",48.6046333,11.5185333
116,Regen,"76,265",48.9700463,13.1261867
117,Regensburg,"187,205",49.0195333,12.0974869
118,Regensburg Stadt,"142,292",49.0195333,12.0974869
119,Rhön-Grabfeld,"79,676",50.4690931,10.0953931
120,Rosenheim,"251,850",47.8539273,12.127262
121,Rosenheim Stadt,"60,889",47.8539273,12.127262
122,Roth,"123,890",49.2458557,11.0909712
123,Rottal-Inn,"118,164",48.411799,12.8459952151
124,Schwabach,"39,941",49.3295535,11.0195132
125,Schwandorf,"143,614",49.3261854,12.1092708
126,Schweinfurt,"113,747",50.0499945,10.233302
127,Schweinfurt Stadt,"51,610",50.0469079,10.2445285
128,Starnberg,"131,873",48.0001038,11.3508972
129,Straubing,"46,027",48.8818792,12.5695073
130,Straubing-Bogen,"97,967",48.9270243,12.6265811
131,Tirschenreuth,"73,250",49.8780269,12.3372014
132,Traunstein,"171,978",47.8701474,12.6423403
133,Unterallgäu,"138,712",48.033975,10.35
134,Weiden in der Oberpfalz,"41,817",49.6752749,12.1631636
135,Weilheim-Schongau,"131,190",47.7906545,11.0631242
136,Weißenburg-Gunzenhausen,"92,518",49.03156455,10.929762487
137,Wunsiedel im Fichtelgebirge,"73,403",50.0373442,12.0027487
138,Würzburg,"159,253",49.79245,9.9329662
139,Würzburg Stadt,"124,219",49.79245,9.9329662
140,Berlin,"3,469,849",52.5170365,13.3888599
141,Barnim,"174,981",52.8020302,13.6771959674
142,Brandenburg an der Havel,"71,032",52.4108261,12.5497933
143,Cottbus,"99,491",51.7567447,14.3357307
144,Dahme-Spreewald,"161,952",52.2280614,13.7663971246
145,Elbe-Elster,"104,997",51.6273649,13.4806024253
146,Frankfurt (Oder),"57,649",52.3412273,14.549452
147,Havelland,"155,408",52.728493,13.3816348
148,Märkisch-Oderland,"188,422",52.63829305,14.1778995399
149,Oberhavel,"204,898",52.91888095,13.2279803025
150,Oberspreewald-Lausitz,"112,896",51.63100315,14.0338552466
151,Oder-Spree,"177,823",52.1176893,14.0641556
152,Ostprignitz-Ruppin,"98,886",53.0019582,12.703458911
153,Potsdam,"164,042",52.4009309,13.0591397
154,Potsdam-Mittelmark,"207,498",52.3940842,13.1732342
155,Prignitz,"77,550",52.9990183,11.7570644847
156,Spree-Neiße,"118,030",51.8445872,14.1306236
157,Teltow-Fläming,"161,488",52.3931335,13.3591516652
158,Uckermark,"120,829",53.2452696,13.9151266547
159,Bremen,"551,767",53.0758196,8.8071646
160,Bremerhaven,"110,121",53.5522264,8.5865509
161,Hamburg,"1,762,791",53.5503414,10.000654
162,Bergstraße,"263,822",49.6408048,8.6372164
163,Darmstadt,"151,879",49.8727746,8.6511775
164,Darmstadt-Dieburg,"287,966",49.882598,8.8481024
165,Frankfurt am Main,"717,624",50.1106529,8.6820934
166,Fulda,"217,326",50.5521486,9.676511
167,Gießen,"259,834",50.5843976,8.67487
168,Groß-Gerau,"260,793",49.9201916,8.4721534
169,Hersfeld-Rotenburg,"119,394",50.9981232,9.7332906
170,Hochtaunuskreis,"230,798",50.2431313,8.5092694
171,Kassel,"233,451",51.3090209,9.4762981
172,Kassel Stadt,"194,747",50.9760839,8.86945538928
173,Lahn-Dill-Kreis,"251,440",50.603569,8.391651
174,Limburg-Weilburg,"170,385",50.4411601,8.1577966
175,Main-Kinzig-Kreis,"407,619",50.2119793,9.1521552
176,Main-Taunus-Kreis,"229,976",50.0999917,8.4708325
177,Marburg-Biedenkopf,"241,598",50.8330156,8.7332066
178,Odenwaldkreis,"96,082",49.6841067,8.973222
179,Offenbach,"341,669",50.0887662,8.7662861
180,Offenbach am Main,"120,988",50.0887662,8.7662861
181,Rheingau-Taunus-Kreis,"182,117",50.1241483,8.0912155
182,Schwalm-Eder-Kreis,"179,466",51.0606947,9.4001823
183,Vogelsbergkreis,"105,763",50.6412263,9.258772
184,Waldeck-Frankenberg,"156,460",51.2794889,8.9351428
185,Werra-Meißner-Kreis,"100,206",51.2486593,9.9249155
186,Wetteraukreis,"297,369",50.344664,8.8920004
187,Wiesbaden,"275,116",50.0833,8.25
188,Landkreis Rostock,"211,878",53.9210095,12.2936902491
189,Ludwigslust-Parchim,"212,631",53.3300229,11.4993644
190,Mecklenburgische Seenplatte,"261,733",53.58372785,13.0637987031
191,Nordwestmecklenburg,"155,424",53.8104827,11.2325183
192,Rostock,"204,167",54.0924445,12.1286127
193,Schwerin,"92,138",53.6288297,11.4148038
194,Vorpommern-Greifswald,"237,697",54.095791,13.3815238
195,Vorpommern-Rügen,"223,470",54.45297925,13.3882259142
196,Ammerland,"119,917",53.2138834,8.0055549
197,Aurich,"187,998",53.4695604,7.4823808
198,Braunschweig,"248,502",52.2639962,10.5252669
199,Celle,"176,157",52.6240562,10.0810524
200,Cloppenburg,"162,350",52.8461339,8.0438783
201,Cuxhaven,"196,787",53.8687798,8.6982859
202,Delmenhorst,"74,804",53.048095,8.6286066
203,Diepholz,"211,093",52.6113677,8.372661
204,Emden,"50,016",53.3670442,7.2058004
205,Emsland,"315,757",52.6987679,7.36603218585
206,Friesland,"96,937",53.1524736,5.59859730509
207,Gifhorn,"172,541",52.4827905,10.5445691
208,Goslar,"137,256",51.9059936,10.4266284
209,Göttingen,"250,220",51.5327604,9.9352051
210,Grafschaft Bentheim,"134,329",52.4647463,7.0102561
211,Hameln-Pyrmont,"147,813",52.0895789,9.3875409
212,Harburg,"245,199",53.4541741,9.9890136
213,Heidekreis,"136,200",52.8217435,9.6601426
214,Soltau-Fallingbostel,"90,908",52.9859666,9.8433909
215,Helmstedt,"274,554",52.2277037,11.0104702
216,Hildesheim,"71,438",52.1521636,9.9513046
217,Holzminden,"165,809",51.828966,9.4463346
218,Leer,"48,728",53.2473626,7.46314234562
219,Lüchow-Dannenberg,"178,122",53.0244717,11.0348965
220,Lüneburg,"119,631",53.248706,10.4078555
221,Nienburg/Weser,"133,905",52.6410849,9.2181918
222,Northeim,"126,798",51.705401,9.9972782
223,Oldenburg,"160,907",53.1389753,8.2146017
224,Oldenburg Stadt,"351,316",53.1389753,8.2146017
225,Osnabrück,"156,897",52.2668373,8.0497412
226,Osnabrück Stadt,"111,484",52.2668373,8.0497412
227,Osterholz,"73,793",53.055514,8.9507122
228,Osterode am Harz,"130,601",51.7277337,10.2509867
229,Peine,"1,128,037",52.3213442,10.2324587
230,Region Hannover,"161,842",52.3797179,9.7273217
231,Rotenburg (Wümme),"98,966",53.1108906,9.4049292
232,Salzgitter,"155,847",52.1503721,10.3593147
233,Schaumburg,"197,448",42.0333608,-88.083406
234,Stade,"92,533",53.5997939,9.4754378
235,Uelzen,"136,184",52.9668375,10.5586149
236,Vechta,"133,215",52.7310837,8.2873269
237,Verden,"88,765",52.9223406,9.2281533
238,Wesermarsch,"75,534",53.3367145,8.4316607
239,Wilhelmshaven,"56,539",53.5278793,8.106301
240,Wittmund,"120,035",53.5820786,7.7853342
241,Wolfenbüttel,"123,027",52.1625283,10.5348215
242,Bielefeld,"329,782",52.010877,8.540868
243,Bochum,"361,876",51.482321,7.2187465
244,Bonn,"313,958",50.7358511,7.1006599
245,Borken,"365,191",51.8443183,6.8582247
246,Bottrop,"116,017",51.5215805,6.9292036
247,Coesfeld,"215,996",51.9452704,7.1676886
248,Dortmund,"580,511",51.5142273,7.4652789
249,Duisburg,"485,465",51.4349994,6.7595621
250,Düren,"259,073",50.8031684,6.4820806
251,Düsseldorf,"604,527",51.2254018,6.7763137
252,Ennepe-Ruhr-Kreis,"322,916",51.3481444,7.3351844
253,Essen,"573,784",51.4572062,7.0114963
254,Euskirchen,"188,158",50.661098,6.7876887
255,Gelsenkirchen,"257,651",51.5109791,7.0959263
256,Gütersloh,"354,463",51.9063997,8.3782078
257,Hagen,"186,716",51.357862,7.4727227
258,Hamm,"176,580",51.6615566,7.81666112944
259,Heinsberg,"249,310",51.0653377,6.0985832
260,Herford,"249,219",52.1152245,8.6711118
261,Herne,"154,608",51.5380394,7.219985
262,Hochsauerlandkreis,"261,561",51.2958333,8.4208325
263,Höxter,"142,770",51.7747369,9.3816877
264,Kleve,"304,963",51.7854839,6.13136741533
265,Köln,"1,046,680",50.9383611,6.9599738
266,Krefeld,"222,500",51.3331205,6.5623343
267,Leverkusen,"161,540",51.0324743,6.9881194
268,Lippe,"345,127",51.6711151,7.7158528
269,Märkischer Kreis,"413,820",51.2655533,7.6986113
270,Mettmann,"477,760",51.2527778,6.9777778
271,Minden-Lübbecke,"309,216",52.2881045,8.9168852
272,Mönchengladbach,"256,853",51.1946983,6.4353641
273,Mülheim an der Ruhr,"167,108",51.4272809,6.8828707
274,Münster,"302,178",51.9501317,7.61330165026
275,Oberbergischer Kreis,"270,618",51.0128184,7.5179457
276,Oberhausen,"209,292",51.51399325,6.84932276128
277,Olpe,"134,759",51.0297603,7.8424193
278,Paderborn,"299,071",51.71895955,8.76486977818
279,Recklinghausen,"613,092",51.6143815,7.1978546
280,Remscheid,"109,009",51.1798706,7.1943544
281,Rhein-Erft-Kreis,"459,448",50.90334,6.763334
282,Rheinisch-Bergischer Kreis,"279,497",51.0350162,7.1726234
283,Rhein-Kreis Neuss,"442,522",51.1520625,6.6354162
284,Rhein-Sieg-Kreis,"585,781",50.752824,7.3813805717
285,Siegen-Wittgenstein,"275,909",50.9175238,8.137557212
286,Soest,"296,742",51.5725501,8.1061259
287,Solingen,"156,771",51.1712468,7.0838996
288,Städteregion Aachen,"547,661",50.7611222,6.2055544
289,Steinfurt,"437,127",52.1294289,7.3903454
290,Unna,"391,774",51.5348835,7.689014
291,Viersen,"295,067",51.2561445,6.3904284
292,Warendorf,"273,412",51.9532449,7.9912335
293,Wesel,"457,244",51.6576909,6.617087
294,Wuppertal,"345,425",51.264018,7.1780374
295,Ahrweiler,"126,643",50.4365274,7.0050227
296,Altenkirchen (Westerwald),"128,228",50.68765685,7.63860730956
297,Alzey-Worms,"125,998",49.7543078,8.1422038
298,Bad Dürkheim,"131,530",49.4632944,8.1705063
299,Bad Kreuznach,"155,944",49.8489566,7.8628083
300,Bernkastel-Wittlich,"110,981",49.9294731,6.9384263
301,Birkenfeld,"80,591",49.6488236,7.1647477
302,Bitburg-Prüm,"96,408",49.9732762,6.524947
303,Cochem-Zell,"62,041",50.1410231,7.1894684
304,Donnersbergkreis,"74,962",49.639283,7.9104292
305,Frankenthal (Pfalz),"47,724",49.5445804,8.3540061
306,Germersheim,"126,266",49.2222749,8.36659
307,Kaiserslautern,"104,288",49.4432174,7.7689951
308,Kaiserslautern Stadt,"97,382",49.4432174,7.7689951
309,Koblenz,"111,434",50.3533278,7.5943951
310,Kusel,"70,883",49.5399844,7.4008479
311,Landau in der Pfalz,"44,465",49.2071402,8.1133294
312,Ludwigshafen am Rhein,"163,832",49.487297,8.39006577268
313,Mainz,"206,991",49.9999952,8.2710237
314,Mainz-Bingen,"204,514",49.9076453,8.1207846
315,Mayen-Koblenz,"210,441",50.3023567,7.3735478
316,Neustadt an der Weinstraße,"52,564",49.3536748,8.1360914
317,Neuwied,"179,317",50.4302589,7.4663112
318,Pirmasens,"40,046",49.1996961,7.6087847
319,Rhein-Hunsrück-Kreis,"101,945",50.0215164,7.4890547
320,Rhein-Lahn-Kreis,"121,487",50.2649233,7.8606742
321,Rhein-Pfalz-Kreis,"150,051",49.42944735,8.31405471508
322,Speyer,"49,855",49.3165553,8.433615
323,Südliche Weinstraße,"109,735",49.1848072,8.063071
324,Südwestpfalz,"96,410",49.2225957,7.6196712
325,Trier,"108,472",49.7596208,6.6441878
326,Trier-Saarburg,"145,227",49.6084378,6.5487406
327,Vulkaneifel,"60,775",50.2127575,6.8278962
328,Westerwaldkreis,"199,131",50.5568937,7.8657066
329,Worms,"81,010",49.6615131,8.32120408589
330,Zweibrücken,"34,011",49.248655,7.3641981
331,Merzig-Wadern,"102,987",49.4427023,6.6374902
332,Neunkirchen,"133,021",49.3533493,6.5564888
333,Saarlouis,"195,632",49.3164661,6.749846
334,Saarpfalz-Kreis,"143,532",49.2615862,7.19865332574
335,Stadtverband Saarbrücken,"325,604",49.2447573,6.97166287625
336,St. Wendel,"88,259",49.4669906,7.1696192
337,Bautzen,"306,570",51.1813907,14.4275735
338,Chemnitz,"243,521",50.8322608,12.9252977
339,Dresden,"536,308",51.0493286,13.7381437
340,Erzgebirgskreis,"349,582",50.6985565,13.1792348
341,Görlitz,"260,188",51.1517428,14.9844025
342,Leipzig,"257,647",51.3391827,12.3810549
343,Leipzig Stadt,"544,479",51.3391827,12.3810549
