,name,pop
0,Alb-Donau-Kreis,"189,129"
1,Baden-Baden,"53,342"
2,Biberach,"190,438"
3,Böblingen,"374,279"
4,Bodenseekreis,"209,386"
5,Breisgau-Hochschwarzwald,"252,749"
6,Calw,"152,766"
7,Emmendingen,"159,708"
8,Enzkreis,"193,728"
9,Esslingen,"516,779"
10,Freiburg im Breisgau,"222,203"
11,Freudenstadt,"115,147"
12,Göppingen,"250,117"
13,Heidelberg,"154,715"
14,Heidenheim,"128,894"
15,Heilbronn,"329,250"
16,Heilbronn Stadt,"119,841"
17,Hohenlohekreis,"108,816"
18,Karlsruhe,"431,315"
19,Karlsruhe Stadt,"300,051"
20,Konstanz,"275,785"
21,Lörrach,"223,692"
22,Ludwigsburg,"526,377"
23,Main-Tauber-Kreis,"130,299"
24,Mannheim,"299,844"
25,Neckar-Odenwald-Kreis,"141,651"
26,Ortenaukreis,"415,639"
27,Ostalbkreis,"308,205"
28,Pforzheim,"119,291"
29,Rastatt,"224,687"
30,Ravensburg,"275,339"
31,Rems-Murr-Kreis,"414,016"
32,Reutlingen,"278,031"
33,Rhein-Neckar-Kreis,"534,729"
34,Rottweil,"135,912"
35,Schwäbisch Hall,"188,974"
36,Schwarzwald-Baar-Kreis,"206,116"
37,Sigmaringen,"127,716"
38,Stuttgart,"612,441"
39,Tübingen,"218,355"
40,Tuttlingen,"134,607"
41,Ulm,"120,714"
42,Waldshut,"165,211"
43,Zollernalbkreis,"186,360"
44,Aichach-Friedberg,"129,294"
45,Altötting,"107,465"
46,Amberg,"41,535"
47,Amberg-Sulzbach,"103,045"
48,Ansbach,"179,419"
49,Ansbach Stadt,"40,010"
50,Aschaffenburg,"172,776"
51,Aschaffenburg Stadt,"68,167"
52,Augsburg,"242,697"
53,Augsburg Stadt,"281,111"
54,Bad Kissingen,"102,901"
55,Bad Tölz-Wolfratshausen,"123,340"
56,Bamberg,"144,695"
57,Bamberg Stadt,"71,952"
58,Bayreuth,"104,615"
59,Bayreuth Stadt,"71,601"
60,Berchtesgadener Land,"102,976"
61,Cham,"125,844"
62,Coburg,"86,715"
63,Coburg Stadt,"41,062"
64,Dachau,"146,279"
65,Deggendorf,"115,699"
66,Dillingen an der Donau,"93,478"
67,Dingolfing-Landau,"93,450"
68,Donau-Ries,"130,203"
69,Ebersberg,"134,873"
70,Eichstätt,"127,189"
71,Erding,"131,839"
72,Erlangen,"106,423"
73,Erlangen-Höchstadt,"132,830"
74,Forchheim,"113,900"
75,Freising,"170,357"
76,Freyung-Grafenau,"77,927"
77,Fürstenfeldbruck,"210,278"
78,Fürth,"113,847"
