,name,pop,
0,"Агаповский район, Челябинская область",34779,
1,"Аргаяшский район, Челябинская область",41387,
2,"Ашинский район, Челябинская область",64779,
3,"Брединский район, Челябинская область",28498,
4,"Чебаркуль, Челябинская область",42844,
5,"Чебаркульский район, Челябинская область",29606,
6,"Челябинск, Челябинская область",1130132,
7,"Чесменский район, Челябинская область",20185,
8,"Еманжелинский район, Челябинская область",53004,
9,"Еткульский район, Челябинская область",30697,
10,"Южноуральский городской округ, Челябинская область",38030,
11,"Карабашский городской округ, Челябинская область",13424,
12,"Карталинский район, Челябинская область",49387,
13,"Каслинский район, Челябинская область",34712,
14,"Катав-Ивановский район, Челябинская область",33111,
15,"Кизильский район, Челябинская область",25876,
16,"Копейский городской округ, Челябинская область",139756,
17,"Коркинский район, Челябинская область",63863,
18,"Красноармейский район, Челябинская область",41710,
19,"Кунашакский район, Челябинская область",30112,
20,"Кусинский район, Челябинская область",29392,
21,"Кыштымский городской округ, Челябинская область",41791,
22,"Локомотивный, Челябинская область",8498,
23,"Магнитогорск, Челябинская область",407775,
24,"Миасский городской округ, Челябинская область",166452,
25,"Нагайбакский район, Челябинская область",20927,
26,"Нязепетровский район, Челябинская область",18261,
27,"Октябрьский район, Челябинская область",21097,
28,"Озерский городской округ, Челябинская область",93044,
29,"Пластовский район, Челябинская область",26000,
30,"Саткинский район, Челябинская область",86176,
31,"Снежинский городской округ, Челябинская область",49186,
32,"Сосновский район, Челябинская область",60941,
33,"Трёхгорный, Челябинская область",33670,
34,"Троицк, Челябинская область",78372,
35,"Троицкий район, Челябинская область",28059,
36,"Уйский район, Челябинская область",26184,
37,"Усть-Катавский городской округ, Челябинская область",26917,
38,"Увельский район, Челябинская область",31867,
39,"Варненский район, Челябинская область",27357,
40,"Верхнеуральский район, Челябинская область",36198,
41,"Верхнеуфалейский городской округ, Челябинская область",35006,
42,"Златоустовский городской округ, Челябинская область",177155,
43,"Альменевский район, Курганская область",12412,
44,"Белозерский район, Курганская область",16934,
45,"Частоозерский район, Курганская область",5924,
46,"Целинный район, Курганская область",17187,
47,"Далматовский район, Курганская область",29476,
