,lt_x,lt_y,rb_x,rb_y,target
0,19381753.1253,20886417.5,20257437.7671,20202301.6921,0.103837738381
1,19336753.1253,20886417.5,20212437.7671,20202301.6921,0.102035720305
2,19295851.4113,20826341.2563,20253339.4811,20262377.9358,0.0980503371961
3,19351091.1076,20658804.9109,20198099.7848,20159914.2812,0.0955215666011
4,19351091.1076,20793804.9109,20198099.7848,20294914.2812,0.0951359325046
5,19351091.1076,20703804.9109,20198099.7848,20204914.2812,0.0942599626889
6,19387273.3931,20801949.2803,20161917.4993,20196769.9118,0.0919478689079
7,19340851.4113,20826341.2563,20298339.4811,20262377.9358,0.0907938415734
8,19426753.1253,20841417.5,20302437.7671,20157301.6921,0.0905360344512
9,19475146.4428,20985641.0382,20254044.4496,20193078.1539,0.0893911119624
10,19396091.1076,20658804.9109,20243099.7848,20159914.2812,0.0875011475283
11,19475851.4113,20826341.2563,20433339.4811,20262377.9358,0.0869670707941
12,19471753.1253,20841417.5,20347437.7671,20157301.6921,0.0867420942874
13,19432273.3931,20891949.2803,20206917.4993,20286769.9118,0.0860704742903
14,19387273.3931,20846949.2803,20161917.4993,20241769.9118,0.0851847250436
15,19430851.4113,20826341.2563,20388339.4811,20262377.9358,0.084678882716
16,19485203.3406,20943084.091,20153987.5518,20055635.1011,0.0846447984008
17,19441091.1076,20703804.9109,20288099.7848,20204914.2812,0.0836371233149
18,19426753.1253,20886417.5,20302437.7671,20202301.6921,0.0835979256556
19,19336753.1253,20931417.5,20212437.7671,20247301.6921,0.0834479533034
20,19385146.4428,20940641.0382,20164044.4496,20148078.1539,0.0834115623445
21,19531091.1076,20703804.9109,20378099.7848,20204914.2812,0.0827467862554
22,19500981.7802,21027934.8947,20048209.1122,20060784.2974,0.0822988763347
23,19477273.3931,20846949.2803,20251917.4993,20241769.9118,0.0818782429383
24,19440203.3406,20988084.091,20108987.5518,20100635.1011,0.0818057740648
25,19531091.1076,20658804.9109,20378099.7848,20159914.2812,0.0816011820473
26,19385851.4113,20826341.2563,20343339.4811,20262377.9358,0.080803786634
27,19522273.3931,20801949.2803,20296917.4993,20196769.9118,0.0807755908149
28,19530203.3406,20988084.091,20198987.5518,20100635.1011,0.0806442091561
29,19295851.4113,20736341.2563,20253339.4811,20172377.9358,0.0804235648907
30,19500981.7802,20937934.8947,20048209.1122,19970784.2974,0.0800825590455
31,19441091.1076,20748804.9109,20288099.7848,20249914.2812,0.0798679110568
32,19577552.5878,20837137.7448,20061638.3046,19981581.4473,0.0796861632084
33,19396091.1076,20703804.9109,20243099.7848,20204914.2812,0.0796238337117
34,19295851.4113,20691341.2563,20253339.4811,20127377.9358,0.079506061669
35,19351091.1076,20748804.9109,20198099.7848,20249914.2812,0.0794854732713
36,19432273.3931,20711949.2803,20206917.4993,20106769.9118,0.0791715269857
37,19406330.804,20671268.5655,20142860.0884,20237450.6266,0.0788878257681
38,19430146.4428,20895641.0382,20209044.4496,20103078.1539,0.0786602902894
39,19475146.4428,20850641.0382,20254044.4496,20058078.1539,0.0784038344067
40,19485203.3406,20898084.091,20153987.5518,20010635.1011,0.0782536899885
41,19486091.1076,20793804.9109,20333099.7848,20294914.2812,0.0776880546237
42,19471753.1253,20886417.5,20347437.7671,20202301.6921,0.0769233066551
43,19387273.3931,20891949.2803,20161917.4993,20286769.9118,0.0768681796643
44,19486091.1076,20658804.9109,20333099.7848,20159914.2812,0.0766772361805
45,19522273.3931,20846949.2803,20296917.4993,20241769.9118,0.0764953695446
46,19440203.3406,21033084.091,20108987.5518,20145635.1011,0.0763976634886
47,19381753.1253,20841417.5,20257437.7671,20157301.6921,0.076199254006
48,19340851.4113,20691341.2563,20298339.4811,20127377.9358,0.0760247621367
49,19500981.7802,20982934.8947,20048209.1122,20015784.2974,0.0754221365246
50,19471753.1253,20931417.5,20347437.7671,20247301.6921,0.0753574086507
51,19485203.3406,21033084.091,20153987.5518,20145635.1011,0.0751852328779
52,19430146.4428,20985641.0382,20209044.4496,20193078.1539,0.0750352166621
53,19430146.4428,20940641.0382,20209044.4496,20148078.1539,0.07458758171
