,lt_x,lt_y,rb_x,rb_y,target_norm
0,18826584.0689,20408929.7818,19268882.9311,20502795.2182,1.52618342317e+12
1,18826624.0689,20409019.7818,19268922.9311,20502885.2182,1.52618342317e+12
2,18826644.0689,20408919.7818,19268942.9311,20502785.2182,1.52618342317e+12
3,18826634.0689,20408999.7818,19268932.9311,20502865.2182,1.52618342317e+12
4,18826614.0689,20408969.7818,19268912.9311,20502835.2182,1.52618342317e+12
5,18826634.0689,20408929.7818,19268932.9311,20502795.2182,1.52618342317e+12
6,18826614.0689,20408979.7818,19268912.9311,20502845.2182,1.52618342317e+12
7,18826594.0689,20408939.7818,19268892.9311,20502805.2182,1.52618342317e+12
8,18826564.0689,20408919.7818,19268862.9311,20502785.2182,1.52618342317e+12
9,18826594.0689,20408959.7818,19268892.9311,20502825.2182,1.52618342317e+12
10,18826574.0689,20408929.7818,19268872.9311,20502795.2182,1.52618342317e+12
11,18826554.0689,20408999.7818,19268852.9311,20502865.2182,1.52618342317e+12
12,18826594.0689,20409009.7818,19268892.9311,20502875.2182,1.52618342317e+12
13,18826624.0689,20408969.7818,19268922.9311,20502835.2182,1.52618342317e+12
14,18826624.0689,20408949.7818,19268922.9311,20502815.2182,1.52618342317e+12
15,18826604.0689,20408979.7818,19268902.9311,20502845.2182,1.52618342317e+12
16,18826624.0689,20408999.7818,19268922.9311,20502865.2182,1.52618342317e+12
17,18826614.0689,20408949.7818,19268912.9311,20502815.2182,1.52618342317e+12
18,18826544.0689,20408999.7818,19268842.9311,20502865.2182,1.52618342317e+12
19,18826594.0689,20408969.7818,19268892.9311,20502835.2182,1.52618342317e+12
20,18826604.0689,20408939.7818,19268902.9311,20502805.2182,1.52618342317e+12
21,18826644.0689,20409019.7818,19268942.9311,20502885.2182,1.52618342317e+12
22,18826634.0689,20408979.7818,19268932.9311,20502845.2182,1.52618342317e+12
23,18826614.0689,20409009.7818,19268912.9311,20502875.2182,1.52618342317e+12
24,18826614.0689,20408959.7818,19268912.9311,20502825.2182,1.52618342317e+12
25,18826544.0689,20409009.7818,19268842.9311,20502875.2182,1.52618342317e+12
26,18826574.0689,20409019.7818,19268872.9311,20502885.2182,1.52618342317e+12
27,18826614.0689,20408919.7818,19268912.9311,20502785.2182,1.52618342317e+12
28,18826644.0689,20408989.7818,19268942.9311,20502855.2182,1.52618342317e+12
29,18826604.0689,20408949.7818,19268902.9311,20502815.2182,1.52618342317e+12
30,18826624.0689,20408929.7818,19268922.9311,20502795.2182,1.52618342317e+12
31,18826644.0689,20408999.7818,19268942.9311,20502865.2182,1.52618342317e+12
32,18826584.0689,20408919.7818,19268882.9311,20502785.2182,1.52618342317e+12
33,18826584.0689,20409019.7818,19268882.9311,20502885.2182,1.52618342317e+12
34,18826604.0689,20408959.7818,19268902.9311,20502825.2182,1.52618342317e+12
35,18826624.0689,20408979.7818,19268922.9311,20502845.2182,1.52618342317e+12
36,18826584.0689,20408939.7818,19268882.9311,20502805.2182,1.52618342317e+12
37,18826564.0689,20408999.7818,19268862.9311,20502865.2182,1.52618342317e+12
