1,3,4,9,12,27(Ⅰ),27(Ⅱ),27(Ⅲ),36(Ⅰ),36(Ⅱ),81(Ⅰ),81(Ⅱ),81(Ⅲ),81(Ⅳ),81(Ⅴ),81(Ⅵ),108(Ⅰ),108(Ⅱ),108(Ⅲ),108(Ⅳ),108(Ⅴ),108(Ⅵ),324(Ⅰ),324(Ⅱ),324(Ⅲ),324(Ⅳ),324(Ⅴ),324(Ⅵ),324(Ⅶ),324(Ⅷ),324(Ⅸ),324(Ⅹ),324(ⅩⅠ),324(ⅩⅡ),324(ⅩⅢ),324(ⅩⅣ),324(ⅩⅤ)
2574902.9321,37287.8271605,-253719.41358,-614094.453704,755868.061728,-415220.449796,-503170.633133,571891.19404,-1155507.79938,-168755.709877,-410262.768249,-155487.199346,-639258.124998,608703.465503,-865076.985402,774060.195825,113851.296695,-511193.48286,305728.760239,-426055.781117,-152094.193461,-159718.155051,170133.150874,-959952.33929,125327.540268,49140.6257167,-435637.053873,17596.7594011,71070.1353328,809821.322931,667516.081543,1004976.52474,200536.934118,192243.918877,396028.012164,-701187.251824,-920292.944313
2574902.9321,58110.0030865,-252586.32716,-414525.62963,-536594.645061,-962226.114365,-111539.446429,758147.921905,-1099684.9321,429472.265431,186249.006809,-1053866.62273,-238108.995194,1657417.16672,-1231953.34767,-20022.1246101,-738417.468236,-448370.939345,351226.713136,501445.575128,948010.920424,39393.837782,-22426.8453482,-285778.967812,-325212.705359,-276186.037792,54726.2882734,-414.836278558,-472787.694507,405958.974746,-5242.01770091,158714.941926,-676269.591776,-103035.558897,-464629.879492,1143222.18689,472881.993121
2574902.9321,-95397.830247,-253719.41358,355708.203704,-201864.280865,-930313.209168,283267.244112,-383461.923832,-202156.530864,-1219063.6358,613596.157688,-415089.153824,-554743.198309,16792.4919213,-900137.377782,552849.663639,-1311116.49968,507286.192444,-772568.581656,827230.441735,1372863.51154,-551596.619937,-282376.878918,-52592.2257269,286764.132422,-1051150.70778,730636.314978,-34383.909155,-813157.346165,1262374.01509,185480.405795,-434614.385931,360388.173001,54606.978579,933424.891508,190520.334918,-649188.375947
2574902.9321,37287.8271605,-252586.32716,-614094.453704,386693.641975,-54184.8735287,339662.375156,-221902.723849,639549.003086,149109.820988,671818.203057,705135.356375,-360814.679802,-311713.556357,-554336.15576,-985801.500845,-1470308.88403,381549.626766,456321.664676,182055.372443,-1013222.44391,604872.441841,-578363.139332,-807750.502843,-200298.53375,-1438498.66678,1013208.10662,67889.4393697,1255182.90848,673439.882995,398482.56385,-636310.93217,-109085.289236,-550580.973389,-1153069.47631,795471.426229,665698.51959
2574902.9321,58110.0030865,-253719.41358,-414525.62963,-554003.780864,860628.377433,-227978.896242,-1095337.95341,583726.135802,370516.753086,333672.400823,455407.777022,-408646.872289,-66712.7412881,1535545.85567,-752820.753267,-1251421.60437,-685696.661723,-128444.039459,-561516.983673,511611.975433,213148.786018,-874685.315294,-778673.527585,-66052.0737868,-913681.877622,665340.951527,478234.30281,-309783.567072,-729368.651849,143107.824324,681119.029085,-11561.0845448,823534.875283,762888.01249,-692480.541374,-274384.023057
2574902.9321,-95397.830247,-252586.32716,355708.203704,149901.003086,968462.386104,-430793.096972,-439704.094687,-313802.265433,438720.506174,-242619.070078,-751546.211314,-512680.274164,-1105363.68854,361568.225027,1869605.76907,-829411.505948,-166503.83756,46446.6675822,-149204.096934,-897929.610641,-137948.033166,-1135602.57913,-33613.578,215333.083059,230076.011148,190042.360104,809250.269969,-369835.200934,-375070.741452,-126044.023177,167870.741913,1276917.57439,-267390.675531,-770567.908932,-998281.065258,747089.981834
2574902.9321,37287.8271605,-253719.41358,-614094.453704,755868.061728,469405.323324,163508.257978,-349988.470191,-1155507.79938,-168755.709877,-787403.025644,-920989.353164,-269329.241563,-423105.689248,1637991.8191,-332767.676144,-428152.004578,832825.339925,365436.849838,965997.564758,-1217512.46183,1550442.48967,-1329644.4581,-321447.158254,-350020.44846,1168638.28613,217863.935792,388812.368208,393740.906726,-71679.5697819,-1692575.40582,23817.0260473,-685207.220249,-414058.534044,166264.296612,44409.8163701,28744.9921551
2574902.9321,58110.0030865,-252586.32716,-414525.62963,-536594.645061,101597.736932,339518.342671,337190.031508,-1099684.9321,429472.265431,-1045768.99847,227117.64957,-622646.17888,245450.439488,611800.410272,-644812.98865,-212494.767349,-267473.010151,-805288.555834,790801.299718,307160.092561,-820945.836724,-1433406.63784,-966543.554475,234766.25713,1329554.35999,659366.251479,-593941.618765,-306389.604034,-1267875.93083,1207775.88293,-548470.553804,1134809.36291,383725.391997,50713.0881453,136645.561731,678972.410103
2574902.9321,-95397.830247,-253719.41358,355708.203704,-201864.280865,-38149.1769355,147525.85286,823166.01852,-202156.530864,-1219063.6358,-896824.678447,795294.169003,-201978.57389,-621467.888202,-595402.443449,-460290.585015,-213896.118287,-557213.892586,491085.42754,-690515.518154,-775210.373102,1497222.66903,-1434373.86811,-454670.346974,-95825.4238055,894207.792424,823980.519019,-1176500.68249,863570.973206,-1569598.32245,280689.22511,143407.294796,822013.542604,-107918.970152,129595.9336,1101306.76532,118361.234567
2574902.9321,37287.8271605,-252586.32716,-614094.453704,386693.641975,-415220.449796,-503170.633133,571891.19404,639549.003086,149109.820988,-410262.768249,-155487.199346,-639258.124998,608703.465503,-865076.985402,774060.195825,-324075.222309,262331.528751,120844.156521,-970523.032458,1343516.65284,-96182.3055647,-1332429.48666,12654.3498882,-174116.289152,538077.759134,346513.308696,-887849.329248,-844867.989279,-680417.582623,586831.980145,-6370.96878839,-951706.927907,465288.797567,-46560.5822423,258781.270552,493218.773253
