1,3,4,9,12,27(Ⅰ),27(Ⅱ),27(Ⅲ),36(Ⅰ),36(Ⅱ),81(Ⅰ),81(Ⅱ),81(Ⅲ),81(Ⅳ),81(Ⅴ),81(Ⅵ),108(Ⅰ),108(Ⅱ),108(Ⅲ),108(Ⅳ),108(Ⅴ),108(Ⅵ),324(Ⅰ),324(Ⅱ),324(Ⅲ),324(Ⅳ),324(Ⅴ),324(Ⅵ),324(Ⅶ),324(Ⅷ),324(Ⅸ),324(Ⅹ),324(ⅩⅠ),324(ⅩⅡ),324(ⅩⅢ),324(ⅩⅣ),324(ⅩⅤ)
0.0,925.925925926,0.0,2777.77777778,308.641975309,2777.77777778,2777.77777778,2777.77777778,308.641975309,617.28395062,2777.77777778,2777.77777778,2777.77777778,5555.55555555,5555.55555555,5555.55555555,308.641975309,308.641975309,308.641975309,617.28395062,617.28395062,617.28395062,308.641975309,308.641975309,308.641975309,617.28395062,617.28395062,617.28395062,617.28395062,617.28395062,617.28395062,617.28395062,617.28395062,617.28395062,617.28395062,617.28395062,617.28395062
0.0,0.0,0.0,925.925925926,1234.56790123,1978.85003945,560.249218857,238.678519474,308.641975309,2469.13580247,2488.94375694,1757.5903428,383.095529894,2394.68224788,1020.18743498,288.83402084,453.058985729,1505.98309925,818.735692798,1637.47138559,906.117971456,3011.9661985,308.641975309,308.641975309,308.641975309,906.117971456,1637.47138559,906.117971456,1637.47138559,2469.13580247,3011.9661985,1637.47138559,2469.13580247,2469.13580247,906.117971456,3011.9661985,3011.9661985
0.0,0.0,0.0,925.925925926,1234.56790123,560.249218857,238.678519474,1978.85003945,308.641975309,2469.13580247,1757.5903428,383.095529894,2488.94375694,288.83402084,2394.68224788,1020.18743498,818.735692798,453.058985729,1505.98309925,3011.9661985,1637.47138559,906.117971456,308.641975309,308.641975309,308.641975309,1637.47138559,3011.9661985,1637.47138559,3011.9661985,2469.13580247,906.117971456,3011.9661985,2469.13580247,2469.13580247,1637.47138559,906.117971456,906.117971456
0.0,925.925925926,0.0,2777.77777778,308.641975309,0.0,0.0,0.0,308.641975309,617.28395062,925.925925926,925.925925926,925.925925926,1851.85185185,1851.85185185,1851.85185185,1234.56790123,1234.56790123,1234.56790123,2469.13580247,2469.13580247,2469.13580247,308.641975309,308.641975309,308.641975309,2469.13580247,2469.13580247,2469.13580247,2469.13580247,617.28395062,2469.13580247,2469.13580247,617.28395062,617.28395062,2469.13580247,2469.13580247,2469.13580247
0.0,0.0,0.0,925.925925926,1234.56790123,238.678519474,1978.85003945,560.249218857,308.641975309,2469.13580247,383.095529894,2488.94375694,1757.5903428,1020.18743498,288.83402084,2394.68224788,1505.98309925,818.735692798,453.058985729,906.117971456,3011.9661985,1637.47138559,308.641975309,308.641975309,308.641975309,3011.9661985,906.117971456,3011.9661985,906.117971456,2469.13580247,1637.47138559,906.117971456,2469.13580247,2469.13580247,3011.9661985,1637.47138559,1637.47138559
0.0,0.0,0.0,925.925925926,1234.56790123,238.678519474,1978.85003945,560.249218857,308.641975309,2469.13580247,383.095529894,2488.94375694,1757.5903428,1020.18743498,288.83402084,2394.68224788,1505.98309925,818.735692798,453.058985729,906.117971456,3011.9661985,1637.47138559,308.641975309,308.641975309,308.641975309,3011.9661985,906.117971456,3011.9661985,906.117971456,2469.13580247,1637.47138559,906.117971456,2469.13580247,2469.13580247,3011.9661985,1637.47138559,1637.47138559
0.0,925.925925926,0.0,2777.77777778,308.641975309,0.0,0.0,0.0,308.641975309,617.28395062,925.925925926,925.925925926,925.925925926,1851.85185185,1851.85185185,1851.85185185,1234.56790123,1234.56790123,1234.56790123,2469.13580247,2469.13580247,2469.13580247,308.641975309,308.641975309,308.641975309,2469.13580247,2469.13580247,2469.13580247,2469.13580247,617.28395062,2469.13580247,2469.13580247,617.28395062,617.28395062,2469.13580247,2469.13580247,2469.13580247
0.0,0.0,0.0,925.925925926,1234.56790123,560.249218857,238.678519474,1978.85003945,308.641975309,2469.13580247,1757.5903428,383.095529894,2488.94375694,288.83402084,2394.68224788,1020.18743498,818.735692798,453.058985729,1505.98309925,3011.9661985,1637.47138559,906.117971456,308.641975309,308.641975309,308.641975309,1637.47138559,3011.9661985,1637.47138559,3011.9661985,2469.13580247,906.117971456,3011.9661985,2469.13580247,2469.13580247,1637.47138559,906.117971456,906.117971456
0.0,0.0,0.0,925.925925926,1234.56790123,1978.85003945,560.249218857,238.678519474,308.641975309,2469.13580247,2488.94375694,1757.5903428,383.095529894,2394.68224788,1020.18743498,288.83402084,453.058985729,1505.98309925,818.735692798,1637.47138559,906.117971456,3011.9661985,308.641975309,308.641975309,308.641975309,906.117971456,1637.47138559,906.117971456,1637.47138559,2469.13580247,3011.9661985,1637.47138559,2469.13580247,2469.13580247,906.117971456,3011.9661985,3011.9661985
0.0,925.925925926,0.0,2777.77777778,308.641975309,2777.77777778,2777.77777778,2777.77777778,308.641975309,617.28395062,2777.77777778,2777.77777778,2777.77777778,5555.55555555,5555.55555555,5555.55555555,308.641975309,308.641975309,308.641975309,617.28395062,617.28395062,617.28395062,308.641975309,308.641975309,308.641975309,617.28395062,617.28395062,617.28395062,617.28395062,617.28395062,617.28395062,617.28395062,617.28395062,617.28395062,617.28395062,617.28395062,617.28395062
0.0,0.0,0.0,925.925925926,1234.56790123,1978.85003945,560.249218857,238.678519474,308.641975309,2469.13580247,2488.94375694,1757.5903428,383.095529894,2394.68224788,1020.18743498,288.83402084,453.058985729,1505.98309925,818.735692798,1637.47138559,906.117971456,3011.9661985,308.641975309,308.641975309,308.641975309,906.117971456,1637.47138559,906.117971456,1637.47138559,2469.13580247,3011.9661985,1637.47138559,2469.13580247,2469.13580247,906.117971456,3011.9661985,3011.9661985
0.0,0.0,0.0,925.925925926,1234.56790123,560.249218857,238.678519474,1978.85003945,308.641975309,2469.13580247,1757.5903428,383.095529894,2488.94375694,288.83402084,2394.68224788,1020.18743498,818.735692798,453.058985729,1505.98309925,3011.9661985,1637.47138559,906.117971456,308.641975309,308.641975309,308.641975309,1637.47138559,3011.9661985,1637.47138559,3011.9661985,2469.13580247,906.117971456,3011.9661985,2469.13580247,2469.13580247,1637.47138559,906.117971456,906.117971456
