,naiseki
0,482398.5
1,-26795.6936219
2,-247022.399304
3,301851.277778
4,-168975.166667
5,-100955.5
6,-56826.1650655
7,12548.4637867
8,138493.58061
9,-68174.9469761
10,-29835.1921209
11,169140.124477
12,-118182.881129
13,-176521.729859
14,-18483.0248697
15,238597.379334
16,49267.7828303
17,-184946.749829
18,82213.5787445
19,-48389.8462719
20,322976.368324
21,-186461.246438
22,116035.832894
23,235418.626568
24,28686.7531121
25,5166.31788697
26,36436.5523441
27,-120690.615499
28,-285488.958246
29,152689.982841
30,-246181.644211
31,23026.9487497
32,-83326.7313389
33,-137766.657375
34,199595.201816
35,-172752.290754
36,-48513.4963133
37,36143.1737344
38,-116021.491401
39,75534.03066
40,112535.808524
41,148456.769172
42,230521.996117
43,128323.460397
44,154408.315083
45,-139035.48729
46,-67374.2733391
47,39616.6182308
48,321858.979042
49,90343.8497693
50,-70986.9997353
51,189273.433252
52,-69291.6326599
53,-104092.359406
54,34629.9582852
55,63738.0744502
56,160175.992775
57,-59100.5109462
58,-5799.79823138
59,-29164.2229928
60,54642.3514478
61,-136181.904307
62,235066.361312
63,70941.9630114
64,91015.0234934
65,81155.474918
66,-250695.006234
67,-81863.7587414
68,63334.0711824
69,-158993.641456
70,-209373.747948
71,-59649.5788445
72,-25117.8395373
73,-316355.992687
74,132156.830986
75,-89177.3921786
76,-163811.576919
77,-76750.3520736
78,-25903.3560442
79,-36097.2934078
80,225239.873114
81,24584.792352
82,-218669.482938
83,126550.84261
84,-109635.557345
85,-137699.778847
86,340317.49001
87,-104038.258409
88,-291718.247993
89,6745.29711489
90,-93316.8628883
91,-167133.545868
92,106041.444899
93,-242502.027144
94,-146774.238145
95,164266.430408
96,-167614.485368
97,-166037.071193
98,23529.4506184
99,-45868.8345209
100,-151798.529232
101,52832.1371948
102,-71672.2401962
103,-53628.517808
104,26500.7734988
105,-145439.736816
106,-97839.3864277
107,21615.272255
108,62080.7426407
109,-7601.70994011
110,2267.77781142
111,134439.357131
112,-124830.038493
113,-23252.157608
114,-21147.8273627
115,-299822.906014
116,-73653.4276856
117,111110.036281
118,176131.482684
119,-82391.7967075
120,-30393.9601089
121,-106690.310982
122,108764.846392
123,180207.967464
124,32521.1149707
125,66896.8143741
126,-164329.685251
127,234456.623155
128,-31887.1419315
129,41965.1988713
130,-44689.3471756
131,-29007.0009753
132,64614.067557
133,265649.587151
134,-236608.328837
135,193116.580677
136,-213377.700429
137,224876.043937
138,-13589.1945176
139,279510.148918
140,-65932.4394518
141,59271.4883878
142,-244984.50859
143,102766.357994
144,3008.14717448
145,-110988.336724
146,-300058.035314
147,109019.636968
148,-112462.895806
149,-95808.6688665
150,-126005.438892
151,-26917.082122
152,-216836.062184
153,-36272.452482
154,302266.166862
155,-112914.174001
156,41632.6070079
157,176417.215268
158,57533.6625045
159,-109586.873757
160,250564.319875
161,-20847.2136724
162,-168539.791098
163,121406.906583
164,-252230.631991
165,9533.31129401
166,234540.682484
167,47627.7678862
168,65212.4974584
169,313987.486874
170,-320503.937745
171,-56304.7393834
172,-65091.2893678
173,71007.1551163
174,61258.093544
175,-132201.95956
176,-129937.709123
177,67912.2542444
178,-23485.3472142
179,247762.03738
180,-128007.389638
181,158799.203503
182,96547.0500327
183,-156792.387176
184,-93838.1329189
185,-246028.464515
186,-105882.10062
187,70403.6902152
188,-58276.7894924
189,194591.407554
190,44481.9872569
191,144159.858478
192,98358.1085181
193,-88698.5411595
194,-58806.4141417
195,37268.0336369
196,-67274.8979736
197,-276721.409664
198,-62162.7564525
199,253260.813568
200,163505.216514
201,-135886.312356
202,10565.9349665
203,-94000.202983
204,-132752.801404
205,160102.483416
206,-180863.320678
207,-77672.0129832
208,-500.376913163
209,134297.394349
210,175814.18158
211,-258135.683081
212,-102548.467802
213,151270.014899
214,23439.5000106
215,-349645.861555
216,-106213.108248
217,50555.460258
218,172177.595
219,-364281.560351
220,207538.581319
221,-127989.761714
222,76777.1194803
223,214195.71087
224,-111300.272751
225,75332.2316752
226,-86321.4851994
227,264377.574426
228,-7886.88334426
229,-293665.947153
230,-13394.3869725
231,-23207.1928409
232,-50098.8996375
233,118849.80128
234,-19178.0076141
235,313327.115895
236,360966.678969
237,50744.4199951
238,15051.4879595
239,-64515.3004799
240,57972.880743
241,-306791.242187
242,-75409.8631512
243,215629.305044
244,320430.653651
245,-28189.8206699
246,121551.266533
247,107717.032134
248,-75981.6309492
249,-106191.487651
250,222340.36117
251,31556.1785552
252,189036.839408
253,85887.0150403
254,-125847.616271
255,-18891.7160563
256,-202325.403464
257,60354.6712877
258,-56848.7646778
259,-21096.3199537
260,-46638.471057
261,-71541.931563
262,196456.824633
263,70925.5154498
264,107078.598311
265,-37127.5323726
266,11290.3522518
267,-56041.8292576
268,113134.532777
269,-227710.243602
270,-62784.4552337
271,228978.418547
272,-190027.985475
273,-7383.65661174
274,18727.3761276
275,202114.539758
276,148756.488144
277,243870.64589
278,107788.777536
279,-385303.126295
280,195498.845987
281,64467.4051489
282,178525.278931
283,192912.372988
284,-52047.0897757
285,257656.774055
286,-83593.0312791
287,62915.0054743
288,-23501.0900264
289,180526.988564
290,-308493.519339
291,55601.4204231
292,-68008.1019648
293,-62043.9826609
294,-255552.656994
295,-124955.08187
296,-120755.636613
297,175888.37238
298,177815.38322
299,-72848.7640273
300,-33406.1908941
301,-193429.45323
302,48848.7457691
303,210603.390162
304,20218.8033008
305,163534.398668
306,273151.721848
307,285171.141221
308,987.117943589
309,-199489.557658
310,118668.314947
311,33103.7943453
312,243469.133533
313,98003.6798056
314,106521.036219
315,-220923.777935
316,44259.5818856
317,70798.2645635
318,109107.253752
319,43563.0835362
320,-120876.299295
321,27792.0557931
322,-153587.14509
323,40088.8583701
