x,y,pop
19402160.2984,19975028.5412,79656.0
19353978.9355,20041848.3124,295351.0
19441107.1636,20061093.0094,59336.0
19393775.2754,20034047.3437,80927.0
19163283.1199,20481479.8416,68570.0
19186768.1099,20565430.0059,162873.0
19151411.9989,20611432.6051,134597.0
19155301.3199,20536128.3025,100627.0
19216419.6648,20608957.3334,68822.0
19080394.3867,20062226.5154,117852.0
19156301.0602,20096535.2506,106705.0
19165411.6862,20029599.0512,120164.0
19503014.0035,19771635.3826,7569.0
19488576.34,19693043.7201,8125.0
19459524.3953,19728699.7758,48128.0
19412013.5487,19709335.0693,75739.0
19531492.9932,19665947.4258,504632.0
19567487.4589,19672020.584,506694.0
19256618.1097,19794423.2003,84091.0
19288531.2977,19822826.1422,78201.0
19313000.3965,19871837.8065,123731.0
19301072.0574,20597076.3705,171608.0
19264287.0696,20556615.2706,33951.0
19324545.2715,20587933.036,62096.0
19298848.1239,20538625.3735,22475.0
18976206.2704,19566443.5692,50114.0
18976061.574,19587709.2372,61058.0
18927811.4573,19569040.2774,26033.0
19299728.381,20353907.8393,30396.0
19173774.8606,20395411.5048,51441.0
19233774.0865,20363946.9856,210294.0
19053476.3477,19601788.801,141890.0
19039740.8922,19578990.0557,41489.0
19121938.1589,19597455.8654,126391.0
19129612.5209,19729988.1019,67612.0
19076902.1239,19766489.8189,132566.0
19020921.357,19766601.0346,63630.0
19621843.3278,20446049.4342,120445.0
19590962.4912,20402749.766,89604.0
19577321.8803,20434125.8232,88251.0
19590285.7921,20365061.4892,134907.0
19618539.4378,20412165.2633,264424.0
19616090.3827,20409347.0979,264115.0
19638606.812,20481222.852,64374.0
19377221.6155,19647327.5894,381986.0
19291905.4566,19668651.7325,180948.0
19329256.827,19645031.015,292703.0
19369121.4922,19613716.4015,980082.0
18734639.0538,20519194.6731,63022.0
18769607.3226,20504227.9413,389973.0
18831584.5358,20498407.1037,140504.0
18715095.3785,20449429.5645,54886.0
19063319.5462,19851302.7116,82116.0
19051676.5351,19894105.0442,28649.0
19131215.5389,19866806.1381,40013.0
18824411.2612,19958408.0739,185150.0
18774041.2298,19964929.9922,90108.0
18878330.4706,20013197.4539,64370.0
18762870.9793,19927936.6175,51675.0
18687644.6441,20034905.211,184728.0
18706768.6812,20002548.2431,161340.0
18742199.4496,19972231.5915,108989.0
18753775.9848,20002067.4047,50292.0
19058682.5228,20175092.2025,174031.0
19069728.9225,20120364.3588,67344.0
19024223.105,20196783.7985,73053.0
18968227.114,19885308.8839,121150.0
18993038.1844,19901523.1613,76997.0
19049518.3148,19942982.1515,34429.0
19721003.9244,19419229.0697,84921.0
19745515.5085,19376424.3905,33672.0
19313542.7572,20166402.3759,92131.0
19334798.6938,20212157.3653,350448.0
19260959.2412,20259365.1731,64176.0
18594059.7375,20388614.7672,112076.0
18478859.1803,20405627.6513,84588.0
18446602.5161,20432581.5268,93105.0
18519602.5772,20398101.9119,252604.0
19034476.6526,20004124.6263,39993.0
19003554.4279,20036349.5807,84477.0
18756517.7031,20138652.4768,91673.0
18759483.1532,20059807.9728,190708.0
18782183.6503,20109004.7243,62011.0
18858962.1383,19840228.1248,103105.0
18877178.9182,19940460.9428,41782.0
18883089.6626,19890116.9681,173821.0
18935092.9407,19845312.696,69585.0
19437496.1804,20199277.1759,229712.0
19518311.298,20241288.9697,177604.0
19472009.9325,20148049.2037,91746.0
19351826.9373,19821998.7841,37733.0
19343879.8226,19767147.2268,120700.0
19319189.1861,19851993.9727,279345.0
19033835.6335,20385317.1231,125148.0
19062764.6991,20416568.8554,471435.0
19042792.3263,20430165.6877,537655.0
18870600.6145,20489489.9851,144580.0
18926885.7892,20478031.8893,229505.0
18956557.2075,20514530.7668,166969.0
18963357.9056,20387516.1681,194340.0
18947110.6179,20328367.2158,56886.0
18951280.0113,20433156.8738,120298.0
18893324.9037,20367673.783,36141.0
18339281.924,20378624.7312,353541.0
18380551.423,20348050.4853,81534.0
18407493.5571,20408887.8038,121331.0
18379356.6539,20316789.2562,296012.0
19234887.5318,19733582.392,133761.0
19184801.6582,19714088.159,31595.0
19263599.741,19691769.8972,457769.0
18869124.676,19664149.0663,73410.0
18847161.3488,19709030.074,62242.0
18850252.0081,19645088.8783,36683.0
18685186.2269,19810871.8673,110269.0
18738681.9841,19880660.9932,71045.0
18747413.0852,19838425.4313,797455.0
18782352.6195,19796034.3346,107937.0
18710016.074,19907518.7809,68985.0
18782658.7618,19849064.145,131643.0
19795707.198,19529473.5602,68815.0
19722377.6727,19509203.8938,23877.0
19764136.9116,19472713.2457,48911.0
18946597.2948,19637265.7051,154872.0
18883745.9684,19586709.7165,71959.0
18958928.4286,19658088.4286,819507.0
19161645.819,19905603.0414,45196.0
19214018.1418,19868651.4372,92153.0
19238975.7999,19883079.0064,71764.0
19345036.5472,20334898.7273,69223.0
19365094.8726,20296443.0007,46842.0
19324985.4524,20417590.6261,78808.0
19502409.4928,19847193.2507,32124.0
19443522.8135,19797259.8672,89295.0
19486779.2754,20268415.0216,106461.0
19451321.3398,20258845.857,123271.0
19448893.2453,19995575.1663,229039.0
19477597.0744,20022620.4802,161410.0
19443443.9139,20032697.9785,130874.0
19484894.5028,20067253.2817,110356.0
18797595.8409,19572029.3719,38633.0
18824016.8779,19580708.2349,44896.0
18816181.3208,19604631.1474,138839.0
18917760.9736,20029141.761,40120.0
18940145.2556,19986218.9201,278439.0
18893730.5614,19984181.9891,35334.0
19564537.0029,20258878.6611,61242.0
19576846.8419,20329559.3679,139255.0
19561524.888,20303283.2238,76314.0
19574963.0515,20278373.5343,304295.0
19573390.6592,20347518.9243,49311.0
19550111.4079,20287809.2043,77608.0
19047921.2317,20435952.3589,380371.0
19042097.4013,20448976.3517,292409.0
19038640.9782,20457992.1845,756101.0
19144121.9579,19620194.2446,255669.0
19154811.1515,19676375.537,68981.0
19213096.5488,19659066.826,571791.0
18680340.4111,20342471.4433,152761.0
18590431.0956,20264040.0353,81106.0
18632476.927,20334813.8287,492551.0
18597431.4931,20418838.3398,141115.0
18985203.5468,20132871.429,130115.0
19015828.5839,20154744.6276,34852.0
19015873.0857,20098880.0017,33275.0
18919094.2533,20106720.9855,32897.0
18833119.7613,20188321.73,80579.0
18912244.3304,20182397.936,48773.0
18880005.7846,20222717.6994,424651.0
19405810.1724,19888862.9646,696326.0
19376692.0235,19946002.6386,212987.0
19317381.8399,19939824.5248,184693.0
19381931.1961,20176862.4042,78388.0
19388834.8263,20112928.9612,121063.0
19420759.7066,20069475.0269,51406.0
18697961.4494,19673050.2499,174367.0
18755674.4455,19699553.4078,152967.0
19232800.3535,19952042.0404,160289.0
19233694.9361,20016412.8658,152659.0
19266445.7184,19927147.2845,415576.0
18684971.3975,20219153.9435,48720.0
18664272.0424,20273710.7519,102392.0
18644993.1213,20196286.3559,715358.0
18576693.2995,20204726.7425,267796.0
19093945.461,20317253.3619,158426.0
19007448.9107,20302234.3086,402580.0
19043589.6192,20344595.4189,57120.0
18947384.1701,20253278.7218,160506.0
18990352.1274,20217818.807,86448.0
18919423.3832,20285540.6337,68014.0
18958118.9523,19780894.9732,69887.0
19020387.3137,19804307.2585,50095.0
18952430.3203,19823084.0273,40215.0
18872556.3038,19744680.9904,105380.0
18825185.3367,19788406.1719,76169.0
18843507.6714,19735182.239,36981.0
18881648.2159,19774480.7288,86850.0
19183556.7763,19762518.6946,12524.0
19173638.5756,19790930.531,60985.0
18750388.6812,20235683.5147,367131.0
18716056.0922,20172201.874,183478.0
18799886.8041,20202625.3643,129222.0
18716389.1091,20268321.9571,53111.0
18666129.9196,20425286.2548,117431.0
18636820.5349,20575964.7425,190973.0
18656982.5866,20482721.9505,76861.0
18694058.1478,20493555.3581,96206.0
19263894.0238,20468200.8348,100112.0
19221291.1615,20482056.5723,109827.0
19229312.4375,20516270.7277,291933.0
19319678.4663,20489520.5244,14313.0
19287119.5363,20431621.9049,49044.0
18734180.8591,20290327.7166,58152.0
18727318.4393,20328509.4191,140207.0
18739890.901,20355648.0569,86979.0
19428377.143,20514719.3549,157050.0
19487343.004,20409988.8712,76782.0
19454160.8912,20426330.3388,415106.0
19423897.0725,20423712.212,64841.0
19347408.8968,20439142.4285,64400.0
19392268.1887,20437481.7271,43845.0
19370874.3161,20500459.1399,83953.0
18455644.0238,20278535.2017,281621.0
18498792.1922,20327453.5408,114237.0
18519640.4858,20264284.2881,248015.0
19486521.1353,20504502.0002,74628.0
19488381.0291,20446978.5483,28480.0
19528549.6425,20504810.3757,176036.0
19449680.7371,20515891.8811,211863.0
19453428.6305,20492572.3471,123776.0
19545015.939,20433119.3262,62098.0
19546850.3898,20492562.9775,99980.0
19450938.931,20532517.0026,127541.0
19450859.0073,20522992.673,119045.0
19218939.9918,20172641.8314,28141.0
19175704.062,20233482.869,26739.0
19113900.9588,20226038.8401,45074.0
19138202.008,20161804.833,125244.0
19218589.1491,20656316.5331,238466.0
19146111.533,20664659.0566,158845.0
19129443.0711,20696442.272,246987.0
19056417.2534,20806057.3746,379702.0
19128868.7682,20739176.2873,1182026.0
19176518.2925,20694660.197,348994.0
19026054.5673,20545641.0678,209540.0
19059620.7818,20536146.9527,120328.0
19103339.5657,20541953.9173,173943.0
19078088.8682,20508070.2522,262630.0
18817543.3663,20385027.9585,101487.0
18805683.1435,20434261.805,119446.0
18865500.9033,20399103.7796,71404.0
19053792.5837,20452285.388,2125246.0
19098200.7234,20683485.2273,251082.0
19084687.5368,20720977.4836,279783.0
18976443.9411,20754921.9377,163159.0
19003903.954,20791785.7625,118311.0
19103931.3287,20706081.6058,368921.0
18992362.9661,20711754.4588,106789.0
19043504.0114,20759213.5131,153523.0
19199085.1273,19943587.1168,28014.0
19130049.6297,19977529.6658,352752.0
19147632.8928,19942522.3467,57549.0
19133364.4389,19994868.364,109659.0
19178848.9197,19989274.5215,56292.0
18653888.8866,19642068.1653,248840.0
18744119.3619,19598807.9555,73117.0
18769509.3328,19613656.162,278061.0
19095240.6022,19498140.4583,66624.0
19109416.0401,19527886.2981,287272.0
19061200.8018,19516917.5672,38907.0
19312961.558,19974544.883,1406043.0
19301899.3804,20008903.1622,172826.0
19257213.2791,20155239.7935,94988.0
19315101.5137,20130459.8208,193091.0
19254639.5478,20076675.4379,102205.0
