1,3,4,9,12,27(Ⅰ),27(Ⅱ),27(Ⅲ),36(Ⅰ),36(Ⅱ),81(Ⅰ),81(Ⅱ),81(Ⅲ),81(Ⅳ),81(Ⅴ),81(Ⅵ),108(Ⅰ),108(Ⅱ),108(Ⅲ),108(Ⅳ),108(Ⅴ),108(Ⅵ),324(Ⅰ),324(Ⅱ),324(Ⅲ),324(Ⅳ),324(Ⅴ),324(Ⅵ),324(Ⅶ),324(Ⅷ),324(Ⅸ),324(Ⅹ),324(ⅩⅠ),324(ⅩⅡ),324(ⅩⅢ),324(ⅩⅣ),324(ⅩⅤ)
39302.2222222,-1706.2037037,10050.7407407,-7596.93518518,-17761.6111111,49180.3663187,-3531.67793754,4848.97828552,-4099.73148148,-5521.14814815,103375.863922,49270.1467277,-6182.18657519,16550.5177659,-24717.9788091,22697.1369691,-51526.0284141,15527.0215689,-17753.789451,-20711.4470018,27949.0811029,-16649.8378048,-49150.2154146,28805.2844945,21964.8661052,-60281.4469648,-76155.8063923,27597.8523993,-6671.15962901,-41751.0442359,-1877.3656284,8276.21879075,-6015.22326638,-7518.16768293,9509.08672545,-10847.796007,3121.41670602
39302.2222222,-3986.15740741,2311.80246914,-28438.2314815,-18060.4598765,2134.6953398,-706.532560385,-8305.99611275,8823.2808642,47.5432098768,72444.4130456,-15550.1938226,-27115.6266304,-42784.8621243,-7552.26817935,20558.5377111,-47491.5585731,-6653.98844238,174.954422912,41345.8538154,24714.3265357,-5211.75442512,-43943.5091551,17056.4509224,1750.22489934,-21930.9872787,-41508.643978,39951.9577945,2656.21873326,4617.83675395,11407.9537306,-32253.8830266,25835.2474263,5423.9158198,-2516.61804394,11212.3158131,22241.519589
39302.2222222,5692.36111111,10050.7407407,-1238.44444444,-21027.9166667,-34647.4279724,20671.1786723,9506.36041121,-210.037037037,5606.96296296,21708.9436544,-45524.3733769,3444.84638919,9952.04361792,-9289.93852332,-19577.7717613,-29001.8305448,-10108.5377406,4285.34976685,68666.5104688,-31385.7693584,-36161.7225919,-39873.0223999,-22664.8899739,27103.0697813,38393.1969068,3434.12069139,11466.1136586,18648.5481653,-5935.60770256,-16639.6895166,2928.01700723,7472.51942883,4759.84753299,9388.25666319,-8590.78990557,9396.55966291
39302.2222222,-1706.2037037,2311.80246914,-7596.93518518,4776.36419753,-21689.3885769,-16181.6972298,12612.5024733,-22166.367284,-14920.882716,-25090.854262,8886.04386014,-33056.615524,37613.5365344,4267.22764719,2640.16174437,-8799.52898596,5089.1780678,-9049.34352628,31617.4851588,19565.3258699,-13164.5332509,-37429.7159258,2879.02052047,8474.89910903,94022.6773735,-14877.6278307,-21592.6992245,-15027.7560287,-45484.3666743,-4193.14356701,8614.64627006,21187.2767327,-4884.78042875,-20966.5213438,12582.0492774,21436.5417405
39302.2222222,-3986.15740741,10050.7407407,-28438.2314815,38789.5277778,1799.19911368,1555.74342173,2015.14079792,-35089.3796296,-4298.16666667,-46056.8351368,57756.763013,4983.22027191,-8724.65642934,20596.0745005,-4058.73288595,1001.54351863,14772.2678016,21977.5868279,10576.2631043,5029.13932748,-26065.7728022,-36908.2885528,33729.0544011,11662.067485,118613.325023,-48560.1793879,-34609.5357117,10158.7159336,-32309.7842234,-13952.1335489,19351.5052927,49047.9420863,-6315.54675178,-9331.66737979,2093.17806256,10818.8472722
39302.2222222,5692.36111111,2311.80246914,-1238.44444444,13284.095679,-8949.71210383,-11545.5460543,15395.8692692,-26056.0617284,19085.691358,-31378.7835076,20318.9684203,-30006.8238016,349.555375666,5310.7735736,-3250.44006038,-5094.40432083,-17230.7346662,-18007.4536055,47605.2437344,-31396.9801696,-23157.94875,-38371.6321175,-2528.96042194,25407.2129099,101846.699581,-37033.6348502,-14677.3545215,-3851.20007552,-30308.7343026,42354.3708647,-17066.9520687,9851.54059268,13285.8788951,-1681.89042641,-19625.8624801,11057.2684211
39302.2222222,-1706.2037037,10050.7407407,-7596.93518518,-17761.6111111,-27490.9777418,19713.3751673,-17461.4807589,-4099.73148148,-5521.14814815,12075.2771398,-41553.7603463,-2286.88716386,-9756.17446094,23236.2214414,13525.3233899,-23283.8801285,-2042.53026123,-4489.80257326,71390.1221709,-6065.28431627,-3896.87489169,-41643.2457895,-20786.7179029,1161.25998873,54386.7557933,-17683.0535343,29296.0734419,-16521.0165224,-18832.1315843,-12896.850382,-6166.35442264,28882.7815793,-7206.44629134,-15712.1987098,22718.3689813,6722.77535464
39302.2222222,-3986.15740741,2311.80246914,-28438.2314815,-18060.4598765,-3933.89445347,-849.210861369,6290.85531484,8823.2808642,47.5432098768,63972.7088905,-25604.1389488,-19393.2829046,-30487.0092735,-11913.1604518,15039.299355,-42358.5246081,12273.7822669,14763.2886374,31118.0595487,-3378.5597821,-13925.7960629,-46328.524676,21812.1495499,24563.0695706,-514.801233032,-44333.6941431,48774.7607047,12014.7192092,-11481.4416684,-4471.73279096,-9669.86446744,34671.8232267,-4111.32600274,23465.4949051,-31965.3258209,-4039.72303023
39302.2222222,5692.36111111,10050.7407407,-1238.44444444,-21027.9166667,43597.1400762,-9125.63261799,-24902.2296804,-210.037037037,5606.96296296,100030.126653,41807.8351981,-14963.7118507,27287.0489942,63.0488009301,-47573.5144618,-49274.9617829,1683.5143509,-11543.2933088,-18629.1013693,22653.5209236,7365.15451986,-51862.3549959,25275.4756231,12955.3701135,-41360.9982328,-68184.202153,11005.2623925,-6455.64857378,-34720.4967632,-10709.8254157,25368.0462374,-10760.3889831,10737.7283388,791.790057194,32244.4675383,-975.05851686
39302.2222222,-1706.2037037,2311.80246914,-7596.93518518,4776.36419753,49180.3663187,-3531.67793754,4848.97828552,-22166.367284,-14920.882716,103375.863922,49270.1467277,-6182.18657519,16550.5177659,-24717.9788091,22697.1369691,-35754.6477762,-14528.5581666,15332.1503873,-21270.3310807,-7212.85401191,12936.5739815,-57577.275142,-18526.1923522,7337.58786462,-58234.4994881,-9086.40672372,-42101.8908668,18765.2639307,11553.4259442,3646.87444634,2109.75660289,9375.78642692,-12161.4994081,12914.4592595,-12218.507965,-16790.382529
