,D,norm
0,1,5.004713536e+11
1,3,5529984153.24
2,4,14805099133.5
3,9,1.04144308327e+11
4,12,98784507172.4
5,27(Ⅰ),3.62638499383e+11
6,27(Ⅱ),39424846525.7
7,27(Ⅲ),76227679838.1
8,36(Ⅰ),5.45757183066e+11
9,36(Ⅱ),56026221958.8
10,81(Ⅰ),7.7899483998e+11
11,81(Ⅱ),3.90361936968e+11
12,81(Ⅲ),1.20217135473e+11
13,81(Ⅳ),2.50168017852e+11
14,81(Ⅴ),63893874682.5
15,81(Ⅵ),99490057437.5
16,108(Ⅰ),1.01593633684e+12
17,108(Ⅱ),27140734718.9
18,108(Ⅲ),66189405796.7
19,108(Ⅳ),5.13341649022e+11
20,108(Ⅴ),1.53715004327e+11
21,108(Ⅵ),1.20985384757e+11
22,324(Ⅰ),1.52106323039e+12
23,324(Ⅱ),2.01996651327e+11
24,324(Ⅲ),98995087165.7
25,324(Ⅳ),1.21910649151e+12
26,324(Ⅴ),7.34143863687e+11
27,324(Ⅵ),4.99104402248e+11
28,324(Ⅶ),96555844349.7
29,324(Ⅷ),2.80183877174e+11
30,324(Ⅸ),99395225494.3
31,324(Ⅹ),1.16721166824e+11
32,324(ⅩⅠ),1.58483208323e+11
33,324(ⅩⅡ),54094253633.7
34,324(ⅩⅢ),61363653504.0
35,324(ⅩⅣ),1.20792577265e+11
36,324(ⅩⅤ),88003771089.6
