,name,pop
0,"Belley, Ain",79656
1,"Bourg-en-Bresse, Ain",295351
2,"Gex, Ain",59336
3,"Nantua, Ain",80927
4,"Château-Thierry, Aisne",68570
5,"Laon, Aisne",162873
6,"Saint-Quentin, Aisne",134597
7,"Soissons, Aisne",100627
8,"Vervins, Aisne",68822
9,"Montluçon, Allier",117852
10,"Moulins, Allier",106705
11,"Vichy, Allier",120164
12,"Barcelonnette, Alpes-de-Haute-Provence",7569
13,"Castellane, Alpes-de-Haute-Provence",8125
14,"Digne-les-Bains, Alpes-de-Haute-Provence",48128
15,"Forcalquier, Alpes-de-Haute-Provence",75739
16,"Grasse, Alpes-Maritimes",504632
17,"Nice, Alpes-Maritimes",506694
18,"Largentière, Ardèche",84091
19,"Privas, Ardèche",78201
20,"Tournon-sur-Rhône, Ardèche",123731
21,"Charleville-Mézières, Ardennes",171608
22,"Rethel, Ardennes",33951
23,"Sedan, Ardennes",62096
24,"Vouziers, Ardennes",22475
25,"Foix, Ariège",50114
26,"Pamiers, Ariège",61058
27,"Saint-Girons, Ariège",26033
28,"Bar-sur-Aube, Aube",30396
29,"Nogent-sur-Seine, Aube",51441
30,"Troyes, Aube",210294
31,"Carcassonne, Aude",141890
32,"Limoux, Aude",41489
33,"Narbonne, Aude",126391
34,"Millau, Aveyron",67612
35,"Rodez, Aveyron",132566
36,"Villefranche-de-Rouergue, Aveyron",63630
37,"Haguenau, Bas-Rhin",120445
38,"Molsheim, Bas-Rhin",89604
39,"Saverne, Bas-Rhin",88251
40,"Sélestat-Erstein, Bas-Rhin",134907
41,"Strasbourg-Campagne, Bas-Rhin",264424
42,"Strasbourg-Ville, Bas-Rhin",264115
43,"Wissembourg, Bas-Rhin",64374
44,"Aix-en-Provence, Bouches-du-Rhône",381986
45,"Arles, Bouches-du-Rhône",180948
46,"Istres, Bouches-du-Rhône",292703
47,"Marseille, Bouches-du-Rhône",980082
48,"Bayeux, Calvados",63022
49,"Caen, Calvados",389973
50,"Lisieux, Calvados",140504
51,"Vire, Calvados",54886
52,"Aurillac, Cantal",82116
53,"Mauriac, Cantal",28649
54,"Saint-Flour, Cantal",40013
55,"Angoulême, Charente",185150
56,"Cognac, Charente",90108
57,"Confolens, Charente",64370
58,"Jonzac, Charente-Maritime",51675
59,"La Rochelle, Charente-Maritime",184728
60,"Rochefort, Charente-Maritime",161340
61,"Saintes, Charente-Maritime",108989
62,"Saint-Jean-d'Angély, Charente-Maritime",50292
63,"Bourges, Cher",174031
64,"Saint-Amand-Montrond, Cher",67344
65,"Vierzon, Cher",73053
66,"Brive-la-Gaillarde, Corrèze",121150
67,"Tulle, Corrèze",76997
68,"Ussel, Corrèze",34429
69,"Ajaccio, Corse-du-Sud",84921
70,"Sartène, Corse-du-Sud",33672
71,"Beaune, Côte-d'Or",92131
72,"Dijon, Côte-d'Or",350448
73,"Montbard, Côte-d'Or",64176
74,"Dinan, Côtes-d'Armor",112076
75,"Guingamp, Côtes-d'Armor",84588
76,"Lannion, Côtes-d'Armor",93105
77,"Saint-Brieuc, Côtes-d'Armor",252604
78,"Aubusson, Creuse",39993
79,"Guéret, Creuse",84477
80,"Bressuire, Deux-Sèvres",91673
81,"Niort, Deux-Sèvres",190708
82,"Parthenay, Deux-Sèvres",62011
83,"Bergerac, Dordogne",103105
84,"Nontron, Dordogne",41782
85,"Périgueux, Dordogne",173821
86,"Sarlat-la-Canéda, Dordogne",69585
87,"Besançon, Doubs",229712
88,"Montbéliard, Doubs",177604
89,"Pontarlier, Doubs",91746
90,"Die, Drôme",37733
91,"Nyons, Drôme",120700
92,"Valence, Drôme",279345
93,"Étampes, Essonne",125148
94,"Évry, Essonne",471435
95,"Palaiseau, Essonne",537655
96,"Bernay, Eure",144580
97,"Évreux, Eure",229505
98,"Les Andelys, Eure",166969
99,"Chartres, Eure-et-Loir",194340
100,"Châteaudun, Eure-et-Loir",56886
101,"Dreux, Eure-et-Loir",120298
102,"Nogent-le-Rotrou, Eure-et-Loir",36141
103,"Brest, Finistère",353541
104,"Châteaulin, Finistère",81534
105,"Morlaix, Finistère",121331
106,"Quimper, Finistère",296012
107,"Alès, Gard",133761
108,"Le Vigan, Gard",31595
109,"Nîmes, Gard",457769
110,"Auch, Gers",73410
111,"Condom, Gers",62242
112,"Mirande, Gers",36683
113,"Arcachon, Gironde",110269
114,"Blaye, Gironde",71045
115,"Bordeaux, Gironde",797455
116,"Langon, Gironde",107937
117,"Lesparre-Médoc, Gironde",68985
118,"Libourne, Gironde",131643
119,"Bastia, Haute-Corse",68815
120,"Calvi, Haute-Corse",23877
121,"Corte, Haute-Corse",48911
122,"Muret, Haute-Garonne",154872
123,"Saint-Gaudens, Haute-Garonne",71959
124,"Toulouse, Haute-Garonne",819507
125,"Brioude, Haute-Loire",45196
126,"Le Puy-en-Velay, Haute-Loire",92153
127,"Yssingeaux, Haute-Loire",71764
128,"Chaumont, Haute-Marne",69223
129,"Langres, Haute-Marne",46842
130,"Saint-Dizier, Haute-Marne",78808
131,"Briançon, Hautes-Alpes",32124
132,"Gap, Hautes-Alpes",89295
133,"Lure, Haute-Saône",106461
