1,3,4,9,12,27(Ⅰ),27(Ⅱ),27(Ⅲ),36(Ⅰ),36(Ⅱ),81(Ⅰ),81(Ⅱ),81(Ⅲ),81(Ⅳ),81(Ⅴ),81(Ⅵ),108(Ⅰ),108(Ⅱ),108(Ⅲ),108(Ⅳ),108(Ⅴ),108(Ⅵ),324(Ⅰ),324(Ⅱ),324(Ⅲ),324(Ⅳ),324(Ⅴ),324(Ⅵ),324(Ⅶ),324(Ⅷ),324(Ⅸ),324(Ⅹ),324(ⅩⅠ),324(ⅩⅡ),324(ⅩⅢ),324(ⅩⅣ),324(ⅩⅤ)
27860.3580247,-17563.191358,21855.0987654,-4467.72222222,-24379.6728395,36477.7003425,10689.1156903,-35507.9271439,-8821.98765432,28834.8950617,25547.4738675,31695.3317437,-5061.32412976,-336.95983266,-50939.6926523,-18393.1623299,-14109.6905603,13680.3679818,45504.2855415,-25234.4739844,45968.4396017,-30832.2619136,-15328.3023607,18224.8260907,-9849.91261882,3200.5522822,-49329.2810173,-2171.42724421,-10166.9021036,-18194.0057718,-27555.6316601,7292.39571561,-19007.751071,26666.8123984,74456.7417526,-13783.4398867,-16919.6745052
27860.3580247,23254.1790123,-27860.3580247,12897.9907407,-23254.1790123,4707.81934796,-12384.3484735,12058.0846811,-2300.13271605,-10597.8580247,30560.4661144,-1097.50545018,-1520.99770125,-11482.1916332,7028.10422165,40198.0411152,-14164.6421258,-21917.9067217,-24932.0252265,34302.2551952,20224.2058786,2106.55744478,-11391.9898793,13409.9658923,13476.0980611,16276.2389556,-8846.71331868,37104.9894583,-1984.66081102,-33208.1848371,1856.8570406,-12312.4604421,1089.77555498,-23638.1370141,-44036.5641755,-24394.1187323,12912.9875805
27860.3580247,-5690.98765432,21855.0987654,-744.398148148,-26695.2839506,-17642.5752692,9297.10394597,-13079.500899,-5165.99691358,-11418.7901235,27126.5344096,-27656.7180602,6436.75772466,17201.0016071,-699.600471121,-22407.9752101,-8655.13426619,2792.16219867,-8386.2038584,62718.2375983,-20101.7326555,-6942.35679473,-8957.00975,-30544.1568557,-22905.7408017,24982.5380774,11261.5884211,24826.5547866,35392.109017,12678.8592597,-3881.11005739,-10887.5726077,6945.26056893,-67.1568657023,-22403.6451952,-726.328392839,-15714.1896045
27860.3580247,-17563.191358,-27860.3580247,-4467.72222222,17563.191358,-15511.5200654,-23487.8715623,33169.9471832,-14553.7160494,19021.4382716,16852.4535617,-4087.79860626,-12059.2568073,-6542.48248806,-5809.98013751,11647.0644774,-730.515147491,14035.8432821,1799.5051987,9452.02828014,13712.0148667,-32439.4320357,-8317.056513,-10464.190025,9508.45950097,27729.1353109,-22139.097874,-28078.971038,9023.19738168,-28092.5505775,38584.5839741,14551.9886313,108.192581268,25598.2561444,-26360.9130627,-22027.3477547,20376.3133203
27860.3580247,23254.1790123,21855.0987654,12897.9907407,51074.9567901,-12109.4472615,31744.3596896,8298.47646085,-21075.5709877,-44793.7901235,4545.58018319,30656.8138293,14744.1245061,-12471.1301683,69373.9115644,-9769.96658131,5526.98129499,-3536.30121609,-5786.84674556,-17339.3256161,20175.693913,17703.1872587,-9549.31797334,26516.2334274,-3771.1376763,25405.7168898,-47040.1154125,-36601.2920939,-18178.5573645,-70780.1713573,-58853.6780438,10880.8872875,36177.9730344,-36624.3572326,-67231.3085561,55309.2223212,-18489.4305832
27860.3580247,-5690.98765432,-27860.3580247,-744.398148148,5690.98765432,-21346.7838329,-18849.6980871,18771.5096977,-18209.7067901,18954.1049383,-4035.56289657,19154.5716417,-17133.7402266,17338.5272843,-15429.2013322,105.405529378,7057.49402617,-13658.0652531,39082.6360418,32507.7633402,-17735.8522089,-25829.0037239,-12505.1652127,-6406.89968697,-15839.81473,18913.4418709,-17516.7519294,1973.39649433,-38032.8715879,-31705.7777614,49117.1241614,-12747.6719547,4886.76513733,18720.9478092,19875.3776266,-8371.00567601,29638.9054392
27860.3580247,-17563.191358,21855.0987654,-4467.72222222,-24379.6728395,-20966.1802771,12798.755872,2337.97996071,-8821.98765432,28834.8950617,-4875.7634617,-19584.7275838,15973.6669714,-10355.6836581,29051.3458455,-10208.8381134,3271.18805677,5747.40554098,-31556.0750792,53518.2714095,-45227.0391835,-3242.08407779,-16828.0794303,-31953.2390026,15930.0684328,8383.21247753,17296.607193,22806.2748985,-12661.1668133,-17212.946749,-14989.7215902,-11850.4666479,25052.3773731,25011.8193759,14060.5942883,901.497538114,-23946.8313441
27860.3580247,23254.1790123,-27860.3580247,12897.9907407,-23254.1790123,7401.62791358,-19360.0112161,-20356.5611419,-2300.13271605,-10597.8580247,2418.11766997,-21536.5028254,-14370.0407705,-15638.9052413,-22468.4776783,39898.2255122,-3690.98993064,17271.5308848,-14925.7261394,2088.4803313,7524.0982258,24047.5510725,-21996.653372,9842.04464821,-20675.5394243,-5127.54706902,-123.268587176,21861.4699139,51398.1361166,-41977.4697294,2202.51280431,11694.4581771,36100.8464445,-57620.7007892,18257.4217543,-8504.82169714,36366.6941426
27860.3580247,-5690.98765432,21855.0987654,-744.398148148,-26695.2839506,38989.359102,9552.59414115,-5692.00879874,-5165.99691358,-11418.7901235,14433.1924545,16524.9519722,9550.06853624,22287.8241301,-10106.4093601,-31068.7943996,-10003.6263986,-19755.899833,23487.433639,-30381.9889964,26938.4068092,-33134.2696646,-27387.4807406,20873.0342818,3637.6223848,-17873.0029423,-32696.8233304,19551.5062845,27306.7525082,-32664.7518687,-29292.57364,9102.04456403,-9007.5781175,37342.2096158,87120.6392253,-48099.6181393,-29532.8134189
27860.3580247,-17563.191358,-27860.3580247,-4467.72222222,17563.191358,36477.7003425,10689.1156903,-35507.9271439,-14553.7160494,19021.4382716,25547.4738675,31695.3317437,-5061.32412976,-336.95983266,-50939.6926523,-18393.1623299,-12015.2714519,-965.731233575,-7613.33064788,-9723.38445672,-28864.3696947,47523.1985958,-32350.3481952,-24753.2718645,2993.30524492,-24478.4243144,-8523.29188225,-8713.98434958,-16442.9946791,3565.20188527,23351.2523269,-6942.05987923,30880.6185127,25493.9388613,-28540.7791124,44537.4984541,37411.672325
27860.3580247,23254.1790123,21855.0987654,12897.9907407,51074.9567901,4707.81934796,-12384.3484735,12058.0846811,-21075.5709877,-44793.7901235,30560.4661144,-1097.50545018,-1520.99770125,-11482.1916332,7028.10422165,40198.0411152,-8041.14539655,10351.3179435,23782.716342,918.379070274,8852.96760853,-13849.3466788,-36286.6606767,-19938.4116661,-20332.705435,-21791.4501324,52685.033918,-48952.6084261,-36891.0929112,24397.2184188,29139.6078585,-7544.44184621,935.522375207,-65630.8241274,31202.2237079,-9513.36067709,-32633.6337135
27860.3580247,-5690.98765432,-27860.3580247,-744.398148148,5690.98765432,-17642.5752692,9297.10394597,-13079.500899,-18209.7067901,18954.1049383,27126.5344096,-27656.7180602,6436.75772466,17201.0016071,-699.600471121,-22407.9752101,758.856005188,6231.27729832,-29903.901822,-15528.3812443,47546.4770912,12320.6448938,-38721.640806,24015.7110818,16049.1334278,-12154.4597944,61815.8734466,-32092.7485417,-22283.6198129,10760.9110451,-50168.8092816,3641.00697836,-20843.4259407,37175.3667475,-43175.6678374,33697.4862063,32284.8830813
27860.3580247,-17563.191358,21855.0987654,-4467.72222222,-24379.6728395,-15511.5200654,-23487.8715623,33169.9471832,-8821.98765432,28834.8950617,16852.4535617,-4087.79860626,-12059.2568073,-6542.48248806,-5809.98013751,11647.0644774,10838.5025036,-19427.7735227,-13948.2104623,-28283.7974251,-741.400418139,34074.3459914,-39361.5940429,3935.74425116,-16365.0668749,-2560.16796493,3680.31343832,28794.1353083,34405.0868651,13463.746691,31999.5718406,2788.20782526,11764.6748604,26562.4951153,-61278.0831342,-6030.68022808,-31798.3839503
27860.3580247,23254.1790123,-27860.3580247,12897.9907407,-23254.1790123,-12109.4472615,31744.3596896,8298.47646085,-2300.13271605,-10597.8580247,4545.58018319,30656.8138293,14744.1245061,-12471.1301683,69373.9115644,-9769.96658131,17855.6320565,4646.37583688,39857.7513659,-36390.7355265,-27748.3041044,-26154.1085173,-38129.3325826,-33044.6792013,-3085.46969761,327.299976039,-32448.0150135,44963.1810794,20152.5529978,61969.204939,-19751.2233441,2387.865372,-34152.6751042,-52644.6039089,-1460.11048558,-35548.5364362,23385.2080765
27860.3580247,-5690.98765432,21855.0987654,-744.398148148,-26695.2839506,-21346.7838329,-18849.6980871,18771.5096977,-5165.99691358,-11418.7901235,-4035.56289657,19154.5716417,-17133.7402266,17338.5272843,-15429.2013322,105.405529378,18658.7606647,16963.7376344,-15101.2297806,-32336.2486019,-6836.67415374,40076.6264594,-35173.4853433,-121.546086881,8983.2073561,-4657.1400673,8369.59837585,10122.596418,-4709.85117006,55145.5480662,28027.6116077,15.6649366035,-18784.9305091,18387.2620726,-37477.7411233,-708.907756814,-27417.8867763
27860.3580247,-17563.191358,-27860.3580247,-4467.72222222,17563.191358,-20966.1802771,12798.755872,2337.97996071,-14553.7160494,19021.4382716,-4875.7634617,-19584.7275838,15973.6669714,-10355.6836581,29051.3458455,-10208.8381134,12745.7865994,-13070.1120486,5813.82544918,271.356176577,15152.354828,-15083.7665601,-30850.5711257,25424.7932287,-22786.6758067,-12274.3077913,59014.7501421,-12636.027575,-4157.22065079,2584.14286249,-51390.0548913,-5840.06564498,-13179.5099315,27148.9318838,27662.4392685,-3597.52812272,14876.9041543
27860.3580247,23254.1790123,21855.0987654,12897.9907407,51074.9567901,7401.62791358,-19360.0112161,-20356.5611419,-21075.5709877,-44793.7901235,2418.11766997,-21536.5028254,-14370.0407705,-15638.9052413,-22468.4776783,39898.2255122,2514.16410157,-6815.01672739,-17995.8695964,16420.9465458,-29028.6615215,-3853.84057989,-25681.9971839,-16370.4904221,13818.9320504,-15090.2586201,35773.0784138,-18375.7399316,-14496.3780276,33166.503311,45405.9236847,-5106.3085483,-34075.5485143,-31648.2603523,63268.3377549,22651.6152215,-21541.8255029
27860.3580247,-5690.98765432,-27860.3580247,-744.398148148,5690.98765432,38989.359102,9552.59414115,-5692.00879874,-18209.7067901,18954.1049383,14433.1924545,16524.9519722,9550.06853624,22287.8241301,-10106.4093601,-31068.7943996,-7816.35003135,7426.7879548,-9178.73421976,-16979.382096,-29810.6248823,13508.3588301,-20291.1698153,-27401.4800556,-10494.2297587,-9211.37714429,-31233.4849837,-24381.3054417,2327.48104563,56104.5221735,6197.75720974,10876.5280834,-4890.58725431,-233.999734014,-3938.96269578,24208.3737587,10741.1012791
27860.3580247,23254.1790123,5593.19753086,-34884.0092593,4138.41358025,10359.2824146,3003.03638816,-9859.26324719,-13074.8919753,-12887.2469136,13719.1264618,64.1378517347,-10963.6069062,-62525.8364925,1711.12185781,38261.4738939,-9840.80711574,-16886.7697466,-35425.756471,21393.5091485,2653.48743292,34603.2811964,-13481.5385762,30790.944422,-12169.378068,28378.0124415,-70292.2186212,10581.8875734,33011.3324147,-16767.4053375,-55371.5485599,-16358.1832144,67587.3835124,-10771.4781749,-18187.1078738,15972.3495663,46810.5318289
27860.3580247,-5690.98765432,412.061728395,-9172.48148148,29165.4938272,8794.46650894,-24493.234157,41692.5454258,3578.38271605,-46152.8271605,21887.0122604,-1673.38470375,3668.64096184,-46218.9621219,12381.7174875,-29035.6905508,-13955.6022155,11580.6940154,-16090.3695777,-4837.47146152,24214.4158476,-26905.4443861,-6993.74946306,53352.6625674,28649.8368956,34122.9471518,-48811.7908244,56198.8674216,-21999.6775542,-36888.5930951,58784.7952172,9202.35915134,-10299.6237487,-14823.6442673,-38062.295397,20957.7659954,-44399.193384
27860.3580247,-17563.191358,5593.19753086,14764.8888889,4022.78395062,2744.16471273,39580.0996651,-22581.7366001,12262.191358,12799.2160494,23097.0042132,-16510.514761,1822.76980704,34675.9520491,42053.4647617,4470.49059662,-11921.5649618,15397.1288812,37542.4823769,19823.1374923,-18439.5141988,57334.6915213,-2084.21124875,9945.38076228,7671.1638198,30997.6167747,10914.7943679,56631.070218,-22868.115398,10445.4749482,-5626.27915444,16272.8371878,23453.8020827,19923.1674136,68506.2400975,13266.3020807,31378.256048
27860.3580247,23254.1790123,412.061728395,-34884.0092593,-31959.191358,13586.7336196,-4415.41205597,3556.15065859,4292.72530865,11023.8765432,16782.933638,-19925.873398,-9340.37505476,29816.5672762,-55285.0975607,8993.84509925,-5668.29256932,-22537.5793872,-17238.2484139,11950.4087926,8707.09313019,12059.1462254,654.913300961,2458.85338278,-1006.85927633,20666.8417776,20687.9511082,-7964.40606347,-18202.5888048,40613.597124,2643.08036054,-3694.17432874,2559.67702632,-9316.07044658,-21960.8439349,30036.4549553,-29218.4261808
27860.3580247,-5690.98765432,5593.19753086,-9172.48148148,-8161.19753086,24755.1458246,-12038.5448318,-25713.4898817,-12360.5493827,1931.66049382,5899.2243299,-6274.88494755,13485.3458028,-21521.4432485,22273.3443374,-13861.5862741,1064.30590141,440.244862754,19804.2270136,-32104.4475635,-4815.78701684,28608.3456915,893.245340218,48466.1788609,33267.3165396,7687.18197904,-14380.4527463,-64231.3738258,29205.0286988,-1461.18036535,-35187.4884556,-27867.5549484,-26645.2046194,-2532.80020047,92593.73486,-40862.6178724,1055.98675504
27860.3580247,-17563.191358,412.061728395,14764.8888889,2793.69753086,8484.51466979,-11754.0073427,-21792.5628827,-21044.3580247,33285.3209877,-4461.5151668,1881.412225,-18249.8322434,13923.0600218,-4183.63963736,11090.5148007,4574.12693984,12940.036308,-26549.3669515,-24055.6860131,-31652.73589,49296.9033845,-1397.96149232,39974.5297832,-10565.7442168,-3490.55540148,-19648.3234505,-60715.5782547,48264.5518745,29804.0440953,13960.3090825,11383.2256754,-16409.4576833,18334.0339584,-20179.2851444,-29155.5149615,-158.273864339
27860.3580247,23254.1790123,5593.19753086,-34884.0092593,4138.41358025,-23946.0160342,1412.37566779,6303.11258862,-13074.8919753,-12887.2469136,-9451.37969482,-8936.9239444,18567.0721577,48960.2265445,-53071.8642559,3932.86919293,2995.68871735,4805.70451681,-14734.0876786,1877.64615967,16158.8378034,5126.73825917,-5942.35383805,-3083.67691946,22316.225202,-10808.7589006,16779.1318162,-23251.6847863,-29583.0961161,75402.4616875,19578.5124242,22458.2261874,-46848.8257351,-34837.7192858,14265.8860288,13523.8214885,-29968.1492532
27860.3580247,-5690.98765432,412.061728395,-9172.48148148,29165.4938272,-33549.6123335,36531.7789887,-15979.0555441,3578.38271605,-46152.8271605,-6735.55618532,-20850.3898394,-18890.8965679,21078.783415,34405.3627208,-9007.30354319,-2800.06831302,-23469.5610309,50203.2960106,-32918.4018764,-9026.49557688,31008.1196755,-12191.810912,20361.9304133,15771.1860542,-14684.8170067,29870.4428989,21108.1421822,-33214.2073026,22653.6655911,-36215.8553203,-4056.48389354,-19508.8140462,24901.3984551,-35662.0077317,-8316.46471078,29183.6953289
27860.3580247,-17563.191358,5593.19753086,14764.8888889,4022.78395062,-11228.6793825,-27826.0923225,44374.2994828,12262.191358,12799.2160494,2415.19135856,-14169.5569547,14690.1526332,-18188.3474437,-284.409711289,-14844.6132154,-9629.27011061,10257.544175,-26200.8944347,-57162.2895948,7329.00382143,10346.9339215,-19392.5559588,55277.5631407,-7083.20162633,-16453.5804755,-1504.01288258,58639.1539714,-10664.2284289,14110.8570596,43930.36446,-27982.9120135,-54878.9073413,22093.4391706,-37024.5851539,58491.8033556,-47177.6139437
27860.3580247,23254.1790123,412.061728395,-34884.0092593,-31959.191358,10359.2824146,3003.03638816,-9859.26324719,4292.72530865,11023.8765432,13719.1264618,64.1378517347,-10963.6069062,-62525.8364925,1711.12185781,38261.4738939,-13541.8062357,15776.6951258,1354.85185068,-9034.63621756,18920.5527922,-16978.7128709,-26676.0728543,19705.8838175,34476.7908886,-16962.454254,-12808.2100742,51192.5405492,22139.3176699,52810.3237897,-16885.1411937,9883.27840031,-31229.6220105,-61814.7758533,-42820.6596475,-6355.66380838,45078.0479138
27860.3580247,-5690.98765432,5593.19753086,-9172.48148148,-8161.19753086,8794.46650894,-24493.234157,41692.5454258,-12360.5493827,1931.66049382,21887.0122604,-1673.38470375,3668.64096184,-46218.9621219,12381.7174875,-29035.6905508,-11760.6524754,-14886.3663967,-7891.03668343,12830.049297,-7181.70061516,2895.92909594,-33163.8619675,-2855.83432784,-6342.42407507,-16471.1696435,32106.6082355,-4832.01059485,39375.3375265,11341.0988177,13422.6932281,16489.6375536,3973.15739764,40044.7530439,23490.2699722,-35067.680974,-42519.9075258
27860.3580247,-17563.191358,412.061728395,14764.8888889,2793.69753086,2744.16471273,39580.0996651,-22581.7366001,-21044.3580247,33285.3209877,23097.0042132,-16510.514761,1822.76980704,34675.9520491,42053.4647617,4470.49059662,-4095.40969439,-8074.4223736,-11800.2327468,-29406.2172712,22961.1076837,-29836.1311532,-38073.4001818,40551.4474773,14636.2490008,-15369.0828195,66383.9852991,-39706.9078754,-26248.0313067,-20940.899123,-57822.7192071,-875.195556871,-53485.0972335,27441.977838,-29824.1107796,3634.97813188,40087.6396698
27860.3580247,23254.1790123,5593.19753086,-34884.0092593,4138.41358025,13586.7336196,-4415.41205597,3556.15065859,-13074.8919753,-12887.2469136,16782.933638,-19925.873398,-9340.37505476,29816.5672762,-55285.0975607,8993.84509925,6845.11839839,12081.0652297,50159.8441496,-23271.1553081,-18812.3252363,-39730.0194556,-40812.5247315,48037.9748568,23314.2720969,-14374.3161049,22862.8159308,-17473.1297293,-16230.9299061,-4570.67867172,44394.5423073,-16650.277557,33798.0844755,-63270.1835816,95797.3297837,-47690.5565719,-18174.4225971
27860.3580247,-5690.98765432,412.061728395,-9172.48148148,29165.4938272,24755.1458246,-12038.5448318,-25713.4898817,3578.38271605,-46152.8271605,5899.2243299,-6274.88494755,13485.3458028,-21521.4432485,22273.3443374,-13861.5862741,16755.6705285,11888.8670155,-34112.9264328,37755.8733379,-15187.9202707,-4102.6752894,-41050.8567707,2030.64937865,-10959.903719,-13675.0072847,-47793.3042561,8334.64560181,7952.48245632,-24086.3139121,10234.6729766,5404.35932624,20318.7382683,27753.9089771,-18151.8048101,57140.1956913,16547.5380764
27860.3580247,-17563.191358,5593.19753086,14764.8888889,4022.78395062,8484.51466979,-11754.0073427,-21792.5628827,12262.191358,12799.2160494,-4461.5151668,1881.412225,-18249.8322434,13923.0600218,-4183.63963736,11090.5148007,21550.8350724,-25654.6730562,-11341.5879421,37339.1521025,11110.5103774,-67681.6254428,-38759.6499382,10522.2984564,32873.1570374,-11975.8508748,-45495.1627929,514.357958465,-926.364966177,-40299.4682701,-14101.9786035,1159.84024167,-13621.8374675,29031.1112932,60394.4529951,16217.7770567,14467.3178743
27860.3580247,23254.1790123,412.061728395,-34884.0092593,-31959.191358,-23946.0160342,1412.37566779,6303.11258862,4292.72530865,11023.8765432,-9451.37969482,-8936.9239444,18567.0721577,48960.2265445,-53071.8642559,3932.86919293,19210.098805,6760.88426144,15883.3965632,-2915.77257497,-27627.6459224,4919.56664552,-34215.2575925,53580.505159,-8.81238138567,-6899.32495964,22770.5298401,-13085.2075436,8865.96474241,-39359.5432353,5640.55466169,4361.13051246,83206.587237,-37748.5347424,-27094.6043564,-5486.4056298,-14527.5817116
27860.3580247,-5690.98765432,5593.19753086,-9172.48148148,-8161.19753086,-33549.6123335,36531.7789887,-15979.0555441,-12360.5493827,1931.66049382,-6735.55618532,-20850.3898394,-18890.8965679,21078.783415,34405.3627208,-9007.30354319,10696.346574,14446.1215339,-11913.1903302,19274.3982665,11997.487632,-31504.2747874,-27965.8005185,30134.8978263,6536.22676632,3020.86480416,49008.4966924,-16578.270785,-21318.9638248,-48201.1598685,-11038.8176461,827.682810755,13182.3476951,319.71032153,-24207.8968934,6148.80187037,40131.8807494
27860.3580247,-17563.191358,412.061728395,14764.8888889,2793.69753086,-11228.6793825,-27826.0923225,44374.2994828,-21044.3580247,33285.3209877,2415.19135856,-14169.5569547,14690.1526332,-18188.3474437,-284.409711289,-14844.6132154,-478.717245447,-4865.61393439,38349.5996984,53461.9032843,8691.62820633,-19460.7722313,-20765.0554717,-4780.73490113,29390.6144469,16291.4527966,-10651.2805411,-15362.0960177,12442.1882253,-24606.2812345,19660.3034225,42.204465549,24847.6121906,25271.7060809,-41872.7120148,-62455.3456634,-38597.325784
27860.3580247,-5690.98765432,21855.0987654,9916.87962963,-26695.2839506,-23596.1200607,18637.981594,-27128.1115332,-11518.4598765,-15727.6049383,-1582.15707201,-14765.1545746,-3577.47539041,4871.3820315,16957.0609512,-1903.65594563,-4352.89382504,12435.4716555,-11670.4759786,46886.194927,-14748.4338774,3536.3870985,-11533.6239318,-5853.82086485,-11680.4163145,39382.8735811,-38045.7694274,1604.07258667,16502.4688521,-13018.9316918,-11856.9628036,-5483.21262481,-846.144911979,-21239.5622851,39501.3155138,29726.4653593,-7158.75103718
27860.3580247,-17563.191358,-27860.3580247,-10297.1666667,17563.191358,-14096.3025702,9881.65997129,4214.64259892,3716.56172839,6580.60493826,6775.38241684,-17439.3620952,12.4056042503,-17399.2345917,29686.3450424,-1635.53637663,-11353.072653,3208.46533913,49333.2739805,-13090.1253104,-35236.9714103,7138.43005406,-2725.18537771,6653.27045744,-13065.5110057,41402.4190169,-48739.0014368,7231.1176286,-5205.8061307,27681.5395886,22692.9982249,10786.0916377,-33918.0367564,15373.9230938,6290.12858882,-37170.7273029,2712.77977346
27860.3580247,23254.1790123,21855.0987654,21986.0185185,51074.9567901,-10190.5692844,-21750.1623546,-41159.8239165,22531.7901235,67576.0432099,11140.2679214,-1221.177514,9258.45588893,16423.9973301,-46221.1860751,10619.6424487,-12447.3513204,-23289.7368012,-28306.6341006,-46285.7750125,-23579.2256744,-29129.1659797,4735.82946833,-9377.43300391,-16550.9797978,30277.6590538,8792.31286086,13405.2281538,11279.5281228,10414.5709947,-8106.62236183,-24085.3991874,-32482.5713631,15128.6948129,-10904.8475956,-4429.47619987,11903.5060423
27860.3580247,-5690.98765432,-27860.3580247,9916.87962963,5690.98765432,10105.771997,6851.84663931,47214.8813637,26111.9969136,-36028.8765432,9470.1210037,7085.54640173,-11708.3155536,24753.1080111,26137.582595,-19687.542458,-8184.30117836,13740.496428,-7044.99154595,-20592.3430673,-3060.78045105,-39030.5801853,9949.51210309,-16317.1194406,-9825.83710691,10418.9594091,52135.2178741,155.905472451,-258.853048408,11947.6716853,-44395.3471014,9231.57303889,16879.0998609,-24650.1604351,355.716103208,-53435.641865,1758.80345049
27860.3580247,-17563.191358,21855.0987654,-10297.1666667,-24379.6728395,41899.803025,-14971.2866316,-26928.5163934,10876.9753087,-8352.40123455,2546.42196823,-6247.74323874,18450.2749742,-22345.8867137,-9469.40063772,17066.3336477,-1562.92919639,11605.3567867,3119.25759483,-16837.1908245,29681.8577457,-26006.3521064,12287.0154551,2123.71182736,-16643.8846898,-10644.1937457,28961.3810757,-6703.76049382,-47129.6641968,16091.7687094,47263.4227573,6087.07735556,-22411.8609987,8553.24969668,-68769.444933,31353.4997885,19581.6823922
27860.3580247,23254.1790123,-27860.3580247,21986.0185185,-23254.1790123,48101.4555233,37147.3959026,60952.2596852,-7938.25308641,-14047.7654321,-6391.153458,-19185.0700512,-17262.5635278,-21305.7674981,-24634.589238,-3929.02289361,3491.72152878,-13640.5363439,-9150.03703672,-23506.8595587,-38951.4184866,-64443.981214,11466.4021221,2658.96477539,-12923.1724531,-25755.1404149,-7222.93767857,-268.217840448,20826.1899416,11585.834173,-433.873600794,16526.1052758,17366.8982079,747.795396916,19314.3259111,33022.8314449,5796.16140571
27860.3580247,-5690.98765432,21855.0987654,9916.87962963,-26695.2839506,13490.3480637,-25489.8282333,-20086.7698305,-11518.4598765,-15727.6049383,-13160.614403,-10344.8668605,19697.0275597,1243.32058673,7125.00135981,-4559.86824284,4064.87090768,-7718.41472441,42915.590113,-6644.67803042,36161.4058069,-36692.5240728,7586.65018316,-15967.7578906,-11805.586737,-30840.9362696,5982.24226276,-10271.7698283,26844.3777343,32817.2342515,8654.54927604,-32016.4431983,25772.9068118,1735.38671449,-38459.4455816,17685.5183062,12283.0739651
