,name,pop,lat,lon
0,"Belley, Ain",79656,45.760758,5.6861466
1,"Bourg-en-Bresse, Ain",295351,46.2051192,5.2250324
2,"Gex, Ain",59336,46.3324378,6.0588831
3,"Nantua, Ain",80927,46.1534255,5.6058987
4,"Château-Thierry, Aisne",68570,49.04,3.4
5,"Laon, Aisne",162873,49.5638915,3.6247604
6,"Saint-Quentin, Aisne",134597,49.8486111,3.2863888
7,"Soissons, Aisne",100627,49.3816667,3.3236111
8,"Vervins, Aisne",68822,49.8333336,3.9085372
9,"Montluçon, Allier",117852,46.3399276,2.6067229
10,"Moulins, Allier",106705,46.566142,3.333179
11,"Vichy, Allier",120164,46.1239268,3.4203712
12,"Barcelonnette, Alpes-de-Haute-Provence",7569,44.3862043,6.6513554
13,"Castellane, Alpes-de-Haute-Provence",8125,43.8462177,6.5131814
14,"Digne-les-Bains, Alpes-de-Haute-Provence",48128,44.0918144,6.2351431
15,"Forcalquier, Alpes-de-Haute-Provence",75739,43.9585575,5.780446
16,"Grasse, Alpes-Maritimes",504632,43.6589011,6.9239103
17,"Nice, Alpes-Maritimes",506694,43.7009358,7.2683912
18,"Largentière, Ardèche",84091,44.5418516,4.2932518
19,"Privas, Ardèche",78201,44.7352708,4.5986733
20,"Tournon-sur-Rhône, Ardèche",123731,45.0675156,4.832852
21,"Charleville-Mézières, Ardennes",171608,49.7599365,4.7186932
22,"Rethel, Ardennes",33951,49.5091447,4.3666467
23,"Sedan, Ardennes",62096,49.7033759,4.9433409
24,"Vouziers, Ardennes",22475,49.3972222,4.6974093
25,"Foix, Ariège",50114,42.9660039,1.6096025
26,"Pamiers, Ariège",61058,43.1147515,1.6082177
27,"Saint-Girons, Ariège",26033,42.9841865,1.1464455
28,"Bar-sur-Aube, Aube",30396,48.2332047,4.7058337
29,"Nogent-sur-Seine, Aube",51441,48.4971,3.50041
30,"Troyes, Aube",210294,48.2971626,4.0746257
31,"Carcassonne, Aude",141890,43.2130358,2.3491069
32,"Limoux, Aude",41489,43.0538068,2.2176533
33,"Narbonne, Aude",126391,43.182806,3.0043128
34,"Millau, Aveyron",67612,44.1006693,3.0777594
35,"Rodez, Aveyron",132566,44.3510012,2.5733006
36,"Villefranche-de-Rouergue, Aveyron",63630,44.3517623,2.0375431
37,"Haguenau, Bas-Rhin",120445,48.8172236,7.7885978
38,"Molsheim, Bas-Rhin",89604,48.5436171,7.4930563
39,"Saverne, Bas-Rhin",88251,48.7420277,7.3625104
40,"Sélestat-Erstein, Bas-Rhin",134907,48.304258,7.48658002901
41,"Strasbourg-Campagne, Bas-Rhin",264424,48.6032392,7.7569783
42,"Strasbourg-Ville, Bas-Rhin",264115,48.585401,7.7335399
43,"Wissembourg, Bas-Rhin",64374,49.0383877,7.9490308
44,"Aix-en-Provence, Bouches-du-Rhône",381986,43.5298424,5.4474738
45,"Arles, Bouches-du-Rhône",180948,43.6776223,4.6309653
46,"Istres, Bouches-du-Rhône",292703,43.5139051,4.9884323
47,"Marseille, Bouches-du-Rhône",980082,43.2961743,5.3699525
48,"Bayeux, Calvados",63022,49.2760487,-0.7022888
49,"Caen, Calvados",389973,49.1825099,-0.367629
50,"Lisieux, Calvados",140504,49.1460831,0.2255168
51,"Vire, Calvados",54886,48.8385198,-0.8893293
52,"Aurillac, Cantal",82116,44.9285441,2.4433101
53,"Mauriac, Cantal",28649,45.2178285,2.331882
54,"Saint-Flour, Cantal",40013,45.0334949,3.0931009
55,"Angoulême, Charente",185150,45.6496755,0.1568658
56,"Cognac, Charente",90108,45.6932909,-0.3251948
57,"Confolens, Charente",64370,46.0150236,0.6728934
58,"Jonzac, Charente-Maritime",51675,45.4454469,-0.4320984
59,"La Rochelle, Charente-Maritime",184728,46.1591126,-1.1520434
60,"Rochefort, Charente-Maritime",161340,45.9442,-0.969019
61,"Saintes, Charente-Maritime",108989,45.7420801,-0.6299329
62,"Saint-Jean-d'Angély, Charente-Maritime",50292,45.941,-0.519141
63,"Bourges, Cher",174031,47.0805693,2.398932
64,"Saint-Amand-Montrond, Cher",67344,46.7227062,2.5046503
65,"Vierzon, Cher",73053,47.2217489,2.0691421
66,"Brive-la-Gaillarde, Corrèze",121150,45.1584982,1.5332389
67,"Tulle, Corrèze",76997,45.2678158,1.7706904
68,"Ussel, Corrèze",34429,45.5463792,2.311227
69,"Ajaccio, Corse-du-Sud",84921,41.9263991,8.7376029
70,"Sartène, Corse-du-Sud",33672,41.6208848,8.9721882
71,"Beaune, Côte-d'Or",92131,47.0239064,4.8380426
72,"Dijon, Côte-d'Or",350448,47.3215806,5.0414701
73,"Montbard, Côte-d'Or",64176,47.6269585,4.3347981
74,"Dinan, Côtes-d'Armor",112076,48.4539775,-2.047687
75,"Guingamp, Côtes-d'Armor",84588,48.5618483,-3.1502007
76,"Lannion, Côtes-d'Armor",93105,48.7322804,-3.4589094
77,"Saint-Brieuc, Côtes-d'Armor",252604,48.5141594,-2.7602707
78,"Aubusson, Creuse",39993,45.9546896,2.1672725
79,"Guéret, Creuse",84477,46.1686865,1.8713349
80,"Bressuire, Deux-Sèvres",91673,46.8425572,-0.4929017
81,"Niort, Deux-Sèvres",190708,46.3239455,-0.4645212
82,"Parthenay, Deux-Sèvres",62011,46.6481266,-0.2472687
83,"Bergerac, Dordogne",103105,44.8534568,0.487531
84,"Nontron, Dordogne",41782,45.5294784,0.6618726
85,"Périgueux, Dordogne",173821,45.1909365,0.7184407
86,"Sarlat-la-Canéda, Dordogne",69585,44.8879431,1.2161321
87,"Besançon, Doubs",229712,47.237953,6.0243246
88,"Montbéliard, Doubs",177604,47.5102368,6.7977564
89,"Pontarlier, Doubs",91746,46.9040348,6.3546345
90,"Die, Drôme",37733,44.72964575,5.20443694882
91,"Nyons, Drôme",120700,44.3555,5.12838
92,"Valence, Drôme",279345,44.9332277,4.8920811
93,"Étampes, Essonne",125148,48.4330421,2.1611377
94,"Évry, Essonne",471435,48.6311001,2.438
95,"Palaiseau, Essonne",537655,48.7170283,2.2468567
96,"Bernay, Eure",144580,49.0902278,0.5989157
97,"Évreux, Eure",229505,49.0183639,1.1375865
98,"Les Andelys, Eure",166969,49.2469193,1.4215534
99,"Chartres, Eure-et-Loir",194340,48.4470039,1.4866387
100,"Châteaudun, Eure-et-Loir",56886,48.0701283,1.3311459
101,"Dreux, Eure-et-Loir",120298,48.7359121,1.3710486
102,"Nogent-le-Rotrou, Eure-et-Loir",36141,48.3208851,0.8163959
103,"Brest, Finistère",353541,48.3905283,-4.4860088
104,"Châteaulin, Finistère",81534,48.1958514,-4.0910438
105,"Morlaix, Finistère",121331,48.5824932,-3.8331972
106,"Quimper, Finistère",296012,47.9960325,-4.1024782
107,"Alès, Gard",133761,44.1253665,4.0852818
108,"Le Vigan, Gard",31595,43.9912933,3.6059407
109,"Nîmes, Gard",457769,43.8374249,4.3600687
110,"Auch, Gers",73410,43.6464483,0.5847904
111,"Condom, Gers",62242,43.9564563,0.3745929
112,"Mirande, Gers",36683,43.5143067,0.4041717
113,"Arcachon, Gironde",110269,44.6539428,-1.1755714
114,"Blaye, Gironde",71045,45.1271231,-0.6635964
115,"Bordeaux, Gironde",797455,44.841225,-0.5800364
116,"Langon, Gironde",107937,44.5528404,-0.2456516
117,"Lesparre-Médoc, Gironde",68985,45.3081854,-0.9379402
118,"Libourne, Gironde",131643,44.9133742,-0.2427217
119,"Bastia, Haute-Corse",68815,42.7065505,9.452542
120,"Calvi, Haute-Corse",23877,42.5638369,8.7507502
121,"Corte, Haute-Corse",48911,42.3060908,9.1504022
122,"Muret, Haute-Garonne",154872,43.4599858,1.3262332
123,"Saint-Gaudens, Haute-Garonne",71959,43.1077682,0.7247218
124,"Toulouse, Haute-Garonne",819507,43.6044622,1.4442469
125,"Brioude, Haute-Loire",45196,45.2952895,3.3843304
126,"Le Puy-en-Velay, Haute-Loire",92153,45.0459739,3.8855537
127,"Yssingeaux, Haute-Loire",71764,45.1434478,4.1244081
128,"Chaumont, Haute-Marne",69223,48.1118812,5.1394503
129,"Langres, Haute-Marne",46842,47.8655638,5.3314162
130,"Saint-Dizier, Haute-Marne",78808,48.6375625,4.9475536
131,"Briançon, Hautes-Alpes",32124,44.9006928,6.64557
132,"Gap, Hautes-Alpes",89295,44.5611978,6.0820018
133,"Lure, Haute-Saône",106461,47.6852975,6.4959828
