,naiseki
0,501486.444444
1,-223542.930754
2,212702.666559
3,247034.666667
4,-54047.3333333
5,200404.444444
6,-124881.500086
7,-104294.782516
8,32608.3863493
9,124672.495935
10,35408.2935005
11,-204545.457468
12,-137372.305673
13,-61159.6763944
14,-129550.447595
15,-330937.767368
16,-43379.8225145
17,-179394.777203
18,-10837.7386389
19,-137861.680392
20,344170.089604
21,28072.7602471
22,130952.975972
23,149872.322862
24,-51112.5771627
25,-97735.6846519
26,149756.428575
27,61253.3508396
28,37406.3799987
29,303133.498914
30,133983.637154
31,149874.363045
32,-360701.590196
33,-41238.786152
34,-225224.176207
35,117932.185491
36,-92475.4248436
37,21616.6108972
38,-148762.067435
39,-21352.3381707
40,128951.920988
41,-95294.4046222
42,308876.49854
43,-197011.915681
44,-36726.7333777
45,116874.681422
46,-93790.1720521
47,-89115.5667461
48,-4320.65813531
49,-34196.5098024
50,215332.871052
51,-102827.946409
52,-22363.5090337
53,56909.2673597
54,80146.618961
55,65420.9070227
56,159201.544799
57,50786.5818496
58,85818.0924904
59,-94248.227161
60,130212.372759
61,-163374.977972
62,34037.8812671
63,130069.02124
64,239165.458117
65,-49496.2722468
66,-95945.8146921
67,-211940.537826
68,-4865.94385552
69,34914.8316789
70,36391.6194967
71,-5941.4600576
72,-160395.448099
73,-185082.564624
74,39077.9405445
75,200050.895531
76,62602.1347898
77,29923.6733682
78,195041.569571
79,167642.159629
80,-4890.41377903
81,-189470.109067
82,-135724.581515
83,206255.099003
84,-294584.993409
85,6865.13480388
86,-115571.418651
87,101671.085615
88,-131976.419906
89,265707.353638
90,177070.94455
91,189507.394228
92,-222801.901818
93,-13238.6399794
94,-60492.648674
95,78902.4732426
96,-20085.9012964
97,106270.227025
98,19823.936839
99,122603.94773
100,68873.4061237
101,81220.8599337
102,-51847.7998797
103,196725.932459
104,-136824.486093
105,-19948.5712588
106,-114045.892291
107,182041.944184
108,34414.3314901
109,-22250.363239
110,-47743.1330782
111,-55068.8197871
112,-166258.240174
113,21711.0056727
114,-32654.0730922
115,-46000.7248483
116,125861.27775
117,-146092.428812
118,80915.4527846
119,7094.12499234
120,196999.561768
121,85998.0056954
122,141038.877704
123,-165442.985769
124,241136.560358
125,-49945.8712405
126,-21729.5239566
127,246442.282462
128,-64291.1529995
129,19566.8227413
130,-219199.428949
131,-123350.642364
132,-200740.924879
133,20385.7671365
134,182612.985783
135,276472.55118
136,2165.62686826
137,161603.20449
138,216550.069912
139,96295.1852902
140,75688.1068087
141,-27819.8754567
142,236292.739446
143,48608.1767782
144,155539.466418
145,103523.008812
146,33161.5275456
147,185978.402301
148,-132149.193598
149,-79683.5501534
150,-21386.6348421
151,-100211.557978
152,251517.755115
153,-66081.2750944
154,-45727.978839
155,-134883.256906
156,-370095.781539
157,3990.37815955
158,-358686.435957
159,-38575.6509673
160,151948.44945
161,61542.7247114
162,-160917.9861
163,141843.685905
164,-303425.074133
165,-86441.7768151
166,269245.622453
167,-23743.1528329
168,125064.855056
169,234543.119502
170,-41546.7744957
171,-318991.523421
172,148446.085504
173,-29185.9695749
174,-144770.696546
175,75844.0864286
176,-43635.1821302
177,-168853.623583
178,63036.9585529
179,-161475.721606
180,-49212.3859415
181,210638.430298
182,32754.091542
183,-38288.548001
184,-46229.4127322
185,-62436.633901
186,-86199.1624874
187,-103864.942183
188,105109.957982
189,225479.130551
190,84513.291638
191,28319.1929814
192,-16211.9400659
193,-171959.501262
194,-18476.7647114
195,-23116.4949609
196,-181941.131101
197,-274394.083258
198,-104076.937683
199,38502.3999695
200,-120922.082213
201,-225032.324663
202,-186230.388356
203,-73813.6520266
204,-85901.0011019
205,228206.762983
206,-80734.5656275
207,-217991.781924
208,-14868.0712687
209,200911.068567
210,295610.415342
211,159866.626769
212,11460.2304417
213,183251.58849
214,-153204.764512
215,-279652.869966
216,29784.5410811
217,27342.6944783
218,3629.635506
219,225568.108675
220,-131972.596981
221,-191940.133139
222,-199128.887236
223,-248703.101067
224,45487.4918766
225,86876.6501588
226,122796.278174
227,316444.6434
228,-147709.964901
229,-222860.333408
230,185356.971559
231,-143245.773313
232,-151967.395982
233,166678.129718
234,-58234.639209
235,-70064.5342504
236,-117887.117036
237,-375105.832116
238,58870.2581234
239,-48181.3565177
240,-260530.977984
241,-184380.977749
242,23234.3983096
243,-72947.7877146
244,-22317.9894569
245,-216180.382893
246,-18696.4866159
247,26442.7336511
248,-67976.3595957
249,21905.5027238
250,-4438.51677805
251,-287057.238043
252,44667.0558374
253,-77746.9299192
254,48281.8403867
255,-127775.804229
256,83359.0041068
257,217165.042658
258,53429.3580897
259,56607.6626983
260,-46052.3167763
261,-935.311902464
262,-90867.8973354
263,-231895.502003
264,122562.999543
265,119624.919521
266,-182903.771098
267,-47405.56122
268,-236419.577294
269,6677.61360862
270,-47004.5338217
271,-61118.3794793
272,48288.2832519
273,298010.734276
274,53547.4252251
275,146283.286417
276,278495.772428
277,-216819.60356
278,-206319.570824
279,154132.795725
280,-72258.1071874
281,-66857.8406214
282,53453.2159192
283,-247519.772656
284,239694.181921
285,5926.21445949
286,46347.6175741
287,215521.757852
288,190268.898345
289,-45345.9805218
290,124719.63252
291,-264928.479236
292,-22700.1171389
293,317112.326914
294,349636.948028
295,123663.485785
296,167487.764408
297,-210377.968245
298,138266.479807
299,97472.1214808
300,-72581.487012
301,123781.195771
302,215120.652455
303,-280813.120767
304,-17301.1644416
305,-99171.0960887
306,-218331.229817
307,-166026.229496
308,-295360.114499
309,-8183.38922558
310,213018.7947
311,5985.16736368
312,359293.218879
313,53409.7514787
314,-163910.771905
315,132148.930245
316,-169230.488146
