,D,norm
0,1,2.51488653962e+11
1,3,95213866251.4
2,4,1.04109182129e+11
3,9,86171920246.1
4,12,1.82979075814e+11
5,27(Ⅰ),1.77974825021e+11
6,27(Ⅱ),1.31632875915e+11
7,27(Ⅲ),2.36854144299e+11
8,36(Ⅰ),57314678598.4
9,36(Ⅱ),2.27833803518e+11
10,81(Ⅰ),54875257690.5
11,81(Ⅱ),1.21373170417e+11
12,81(Ⅲ),56726764729.0
13,81(Ⅳ),2.69374429062e+11
14,81(Ⅴ),3.25507465806e+11
15,81(Ⅵ),1.45115802548e+11
16,108(Ⅰ),35104576738.0
17,108(Ⅱ),46964051277.9
18,108(Ⅲ),1.5410926168e+11
19,108(Ⅳ),3.05603312522e+11
20,108(Ⅴ),2.15276413569e+11
21,108(Ⅵ),3.92418890673e+11
22,324(Ⅰ),2.1861012839e+11
23,324(Ⅱ),1.97021480483e+11
24,324(Ⅲ),87174522153.1
25,324(Ⅳ),1.43416379088e+11
26,324(Ⅴ),2.56809702005e+11
27,324(Ⅵ),4.02414877879e+11
28,324(Ⅶ),3.3312501754e+11
29,324(Ⅷ),3.45926429005e+11
30,324(Ⅸ),2.43536974676e+11
31,324(Ⅹ),1.51020215651e+11
32,324(ⅩⅠ),2.42324859181e+11
33,324(ⅩⅡ),3.70795959453e+11
34,324(ⅩⅢ),4.63544248468e+11
35,324(ⅩⅣ),3.63807626195e+11
36,324(ⅩⅤ),3.15685861155e+11
