x,y,pop
0,0,0.0
1,0,0.0
2,0,115.0
3,0,0.0
4,0,0.0
5,0,0.0
6,0,0.0
7,0,0.0
8,0,0.0
9,0,2308.0
10,0,0.0
11,0,0.0
12,0,0.0
13,0,0.0
14,0,0.0
15,0,0.0
16,0,0.0
17,0,0.0
0,1,0.0
1,1,800.0
2,1,0.0
3,1,0.0
4,1,0.0
5,1,0.0
6,1,0.0
7,1,960.0
8,1,3551.0
9,1,464.0
10,1,0.0
11,1,2429.0
12,1,0.0
13,1,4162.0
14,1,0.0
15,1,0.0
16,1,0.0
17,1,0.0
0,2,0.0
1,2,0.0
2,2,0.0
3,2,0.0
4,2,0.0
5,2,0.0
6,2,0.0
7,2,0.0
8,2,0.0
9,2,0.0
10,2,3033.0
11,2,0.0
12,2,0.0
13,2,0.0
14,2,0.0
15,2,3143.0
16,2,0.0
17,2,0.0
0,3,0.0
1,3,0.0
2,3,6404.0
3,3,4679.0
4,3,0.0
5,3,0.0
6,3,2937.0
7,3,0.0
8,3,0.0
9,3,0.0
10,3,0.0
11,3,0.0
12,3,0.0
13,3,4740.0
14,3,0.0
15,3,0.0
16,3,9153.0
17,3,0.0
0,4,0.0
1,4,1718.0
2,4,10329.0
3,4,0.0
4,4,0.0
5,4,0.0
6,4,0.0
7,4,7946.0
8,4,1646.0
9,4,0.0
10,4,0.0
11,4,13344.0
12,4,8681.0
13,4,0.0
14,4,96801.0
15,4,0.0
16,4,7305.0
17,4,0.0
0,5,0.0
1,5,4880.0
2,5,0.0
3,5,26551.0
4,5,13887.0
5,5,2709.0
6,5,0.0
7,5,0.0
8,5,0.0
9,5,0.0
10,5,0.0
11,5,5602.0
12,5,2907.0
13,5,7582.0
14,5,0.0
15,5,0.0
16,5,0.0
17,5,0.0
0,6,18071.0
1,6,2374.0
2,6,0.0
3,6,16506.0
4,6,0.0
5,6,7142.0
6,6,0.0
7,6,0.0
8,6,1078.0
9,6,170.0
10,6,0.0
11,6,0.0
12,6,0.0
13,6,0.0
14,6,0.0
15,6,7539.0
16,6,6133.0
17,6,0.0
0,7,2353.0
1,7,0.0
2,7,0.0
3,7,0.0
4,7,0.0
5,7,0.0
6,7,0.0
7,7,0.0
8,7,1675.0
9,7,0.0
10,7,0.0
11,7,0.0
12,7,0.0
13,7,2912.0
14,7,0.0
15,7,5478.0
16,7,0.0
17,7,0.0
0,8,315.0
1,8,0.0
2,8,0.0
3,8,0.0
4,8,10221.0
5,8,0.0
6,8,0.0
7,8,0.0
8,8,0.0
9,8,0.0
10,8,0.0
11,8,2283.0
12,8,0.0
13,8,0.0
14,8,6075.0
15,8,0.0
16,8,0.0
17,8,0.0
0,9,3181.0
1,9,6248.0
2,9,18653.0
3,9,0.0
4,9,0.0
5,9,0.0
6,9,0.0
7,9,2619.0
8,9,0.0
9,9,0.0
10,9,0.0
11,9,0.0
12,9,0.0
13,9,3768.0
14,9,0.0
15,9,0.0
16,9,0.0
17,9,0.0
0,10,1309.0
1,10,9727.0
2,10,0.0
3,10,0.0
4,10,0.0
5,10,-1159.0
6,10,1537.0
7,10,0.0
8,10,0.0
9,10,0.0
10,10,0.0
11,10,0.0
12,10,147.0
13,10,0.0
14,10,0.0
15,10,0.0
16,10,0.0
17,10,3743.0
0,11,886.0
1,11,1803.0
2,11,3081.0
3,11,0.0
4,11,0.0
5,11,0.0
6,11,0.0
7,11,0.0
8,11,0.0
9,11,0.0
10,11,0.0
11,11,1585.0
12,11,0.0
13,11,0.0
14,11,0.0
15,11,0.0
16,11,0.0
17,11,0.0
0,12,3842.0
1,12,0.0
2,12,0.0
3,12,0.0
4,12,-531.0
5,12,-465.0
6,12,0.0
7,12,-325.0
8,12,0.0
9,12,0.0
10,12,0.0
11,12,0.0
12,12,0.0
13,12,1472.0
14,12,546.0
15,12,0.0
16,12,2539.0
17,12,0.0
0,13,0.0
1,13,6647.0
2,13,9743.0
3,13,8380.0
4,13,5365.0
5,13,0.0
6,13,0.0
7,13,0.0
8,13,0.0
9,13,0.0
10,13,0.0
11,13,333.0
12,13,0.0
13,13,0.0
14,13,21725.0
15,13,0.0
16,13,0.0
17,13,0.0
0,14,1891.0
1,14,5995.0
2,14,5917.0
3,14,0.0
4,14,0.0
5,14,972.0
6,14,0.0
7,14,0.0
8,14,0.0
9,14,1080.0
10,14,773.0
11,14,0.0
12,14,0.0
13,14,0.0
14,14,5139.0
15,14,1951.0
16,14,0.0
17,14,0.0
0,15,0.0
1,15,0.0
2,15,0.0
3,15,54367.0
4,15,16887.0
5,15,0.0
6,15,0.0
7,15,0.0
8,15,-1593.0
9,15,0.0
10,15,0.0
11,15,0.0
12,15,0.0
13,15,0.0
14,15,1162.0
15,15,0.0
16,15,0.0
17,15,0.0
0,16,0.0
1,16,-311.0
2,16,0.0
3,16,0.0
4,16,0.0
5,16,0.0
6,16,6757.0
7,16,0.0
8,16,0.0
9,16,0.0
10,16,0.0
11,16,130.0
12,16,0.0
13,16,0.0
14,16,2402.0
15,16,0.0
16,16,0.0
17,16,0.0
0,17,-927.0
1,17,0.0
2,17,0.0
3,17,0.0
4,17,0.0
5,17,4796.0
6,17,0.0
7,17,0.0
8,17,0.0
9,17,0.0
10,17,-1119.0
11,17,0.0
12,17,0.0
13,17,-423.0
14,17,0.0
15,17,0.0
16,17,0.0
17,17,0.0
