1,3,4,9,12,27(Ⅰ),27(Ⅱ),27(Ⅲ),36(Ⅰ),36(Ⅱ),81(Ⅰ),81(Ⅱ),81(Ⅲ),81(Ⅳ),81(Ⅴ),81(Ⅵ),108(Ⅰ),108(Ⅱ),108(Ⅲ),108(Ⅳ),108(Ⅴ),108(Ⅵ),324(Ⅰ),324(Ⅱ),324(Ⅲ),324(Ⅳ),324(Ⅴ),324(Ⅵ),324(Ⅶ),324(Ⅷ),324(Ⅸ),324(Ⅹ),324(ⅩⅠ),324(ⅩⅡ),324(ⅩⅢ),324(ⅩⅣ),324(ⅩⅤ)
1769.55555556,1257.51851852,725.148148148,128.481481481,1696.59259259,1634.58477599,646.322701509,1171.78696695,-1385.09259259,-1757.42592593,-2142.53871948,709.023757654,-700.29985299,-1987.03055859,1746.74298722,-2861.89761381,-1274.69901526,-145.713037334,-1075.74535481,-1120.37408582,-1428.74054209,-842.200186908,-230.347905683,993.517899966,-725.669994283,1983.34097266,-225.41644264,7.69338603342,-62.246521133,-1480.34849311,-900.353710784,2462.13469354,3189.50851625,90.2844213051,-864.7695936,1560.68601957,-562.01324809
1769.55555556,-581.203703704,-691.987654321,341.564814815,-245.401234569,986.995697771,1176.78574121,-818.531438985,-603.410493829,402.104938274,-1904.80860758,1603.95656539,803.148338489,-906.089781467,-1734.39233003,825.019148537,-753.723414266,-102.676473232,465.705443054,-1898.03543352,-319.079925416,763.004247821,-207.900052423,-1377.65614377,517.315455455,-175.302534646,97.652480845,3005.9686601,-1419.26229592,-335.841443726,424.157423162,321.233330932,1473.82193841,-525.295309502,620.915207072,-52.9174372414,-945.389278746
1769.55555556,-676.314814815,725.148148148,-175.407407407,-1401.72222222,-162.139596687,-706.589997225,2206.89626058,166.11111111,-214.148148146,-1562.71529289,1384.57485435,-1161.92437627,1558.49827946,729.87431518,1487.69222017,-59.6856635637,-343.401224482,-1134.11681566,-592.812318758,-893.277978239,1530.23844515,-181.230213457,-18.4796163343,-1231.91054058,-2045.46158394,736.95659329,1121.70172993,225.088970713,611.415227258,-560.525534924,-157.997960019,314.044756825,545.604830732,-100.977020143,572.221306408,-2189.7842791
1769.55555556,1257.51851852,-691.987654321,128.481481481,-535.975308642,-908.218266386,-307.323798678,-991.596823825,153.950617284,865.456790123,-1276.3280393,413.451577942,1027.75609098,2137.91112199,-1681.17037512,-1570.03704317,571.454304194,903.990589936,1434.04584661,59.8208766657,-749.744461734,-446.428266784,-153.555164967,1880.65737317,205.073717724,-2137.10952522,815.181722579,-1504.18267608,-831.121811756,-838.221446282,77.7498554897,-2119.74463588,4419.54625245,-328.695176535,-53.3278984046,96.4083609105,-1093.24228053
1769.55555556,-581.203703704,725.148148148,341.564814815,-294.87037037,-1075.97976328,-1026.4295527,1397.57598264,-627.73148148,-427.90740741,-1179.65062559,295.565714506,-1122.42434817,1524.15156253,-180.303851772,779.578215166,944.122007879,-727.616679906,489.71689425,-1401.51805401,183.688973304,2356.2179696,-128.212926243,-138.082509003,-247.287898088,-495.418197036,-362.517239336,-143.355531426,1907.28853214,-438.94568673,1042.35188712,1291.30872464,391.424913567,256.965217607,-1098.45082508,-1320.07167368,-2678.24678845
1769.55555556,-676.314814815,-691.987654321,-175.407407407,781.376543211,-1014.20957161,1892.41048472,-1305.28424645,-1397.25308642,1131.91975308,-1317.9194881,1225.7476602,728.912568642,-5.90695785759,-1543.21890226,421.635119379,982.609422474,89.4731982211,-1807.27706514,-1391.46839371,2059.00566444,-247.148381846,-108.260145286,-1336.11849506,-991.213952245,1383.17727109,-2040.80354049,486.1410002,108.505608591,517.053488069,990.78934254,206.079069712,1258.62391371,-294.890364739,1288.71567579,-132.809681933,-844.239189942
1769.55555556,1257.51851852,725.148148148,128.481481481,1696.59259259,-726.3665096,-338.998902831,-180.190143125,-1385.09259259,-1757.42592593,-1626.43708937,1666.68232317,-600.28227084,-1287.13631426,2101.35282413,-2164.17947283,754.598868573,61.4251089056,857.457504003,891.86723665,1197.19175697,1071.90396934,-96.1034219515,1098.69491863,600.908503324,1942.95551223,-2453.25072688,-1724.06227496,-1682.22774748,-2.95587424145,-1662.43146846,1187.63578454,2143.19946892,-3.96581690501,-2208.66241553,545.442631467,-1798.84373937
1769.55555556,-581.203703704,-691.987654321,341.564814815,-245.401234569,88.9840655096,-150.356188516,-579.04454366,-603.410493829,402.104938274,-1960.84461497,889.635378868,46.4499768405,-509.200891069,-604.700903002,1903.91105333,429.158101942,342.060042203,-377.245921921,1344.11469773,-618.872179961,411.979704456,-93.2090364871,1451.12908019,-1094.43856223,930.229236198,-1005.75608142,-1153.52324347,895.98055608,167.796728881,-1097.9783108,-1724.06171026,-1174.44333571,723.69290313,2429.04562328,13.177473036,-314.891320427
1769.55555556,-676.314814815,725.148148148,-175.407407407,-1401.72222222,1176.34916829,-1185.8204875,-901.612014129,166.11111111,-214.148148146,-2164.66906715,178.835144218,160.185774783,-525.196460747,1165.81623567,1178.27837323,190.107793526,-396.213055266,839.818224703,-215.960889705,715.634135067,-233.525097213,-99.9260944968,-1106.0834333,-89.1386203488,-541.123501799,701.018891529,1758.45028425,-623.690737781,279.820209997,912.193869209,-66.8295065371,123.463735025,-1196.94135243,-1596.76104961,1333.35489829,36.9424079991
1769.55555556,1257.51851852,-691.987654321,128.481481481,-535.975308642,1634.58477599,646.322701509,1171.78696695,153.950617284,865.456790123,-2142.53871948,709.023757654,-700.29985299,-1987.03055859,1746.74298722,-2861.89761381,146.205204731,-251.390959839,350.120940293,186.816955869,-358.168555636,-201.944696529,-115.444419651,-570.407009117,65.9995769166,-1191.98851069,755.989370954,854.496794527,821.868597143,190.182650968,670.971765403,-422.407319815,-1363.18505079,739.743140565,1483.03448373,-893.300980296,247.113576824
