,naiseki
0,31852.0
1,16005.5976944
2,698.921073277
3,3923.77777778
4,298.444444444
5,8830.44444444
6,-543.175859081
7,-6052.48503029
8,1250.04693801
9,-8603.22034911
10,928.431203698
11,-9851.4394972
12,7734.49110746
13,-4310.28545072
14,6473.48401434
15,-3529.1703883
16,7386.12316659
17,-294.210934661
18,15904.8189299
19,-365.930926823
20,1236.94185589
21,-1183.02179059
22,3663.10684569
23,212.620678544
24,10962.1088905
25,2777.20312948
26,-4070.47346053
27,8494.73665741
28,1334.70954128
29,-11504.7033151
30,14366.0006553
31,-4274.94150558
32,-1250.24575897
33,-10225.9787053
34,1798.65829154
35,8538.32318606
36,-12052.8315039
37,10386.7210473
38,-7834.9395541
39,8170.88540949
40,2258.42049169
41,4553.19318355
42,-1221.72338305
43,3812.49470187
44,5356.60885346
45,3654.4345721
46,-5669.54288784
47,8985.06858342
48,-4454.73343777
49,-7279.40722587
50,-11868.3944851
51,-5550.54375713
52,-4510.59487348
53,-2423.56597635
54,-14538.6115377
55,9243.31201164
56,-21405.411385
57,3723.20495564
58,8673.95708774
59,6670.54643064
60,2039.1584042
61,1294.0683995
62,11833.3937659
63,-1078.36690203
64,-4848.153043
65,-7915.25916782
66,2874.07992573
67,11008.9905004
68,-1157.50282746
69,14558.5826969
70,-10629.9390467
71,-954.599304015
72,-8446.78244655
73,-444.843223974
74,-951.697193585
75,7912.57082051
76,-1745.60850637
77,16613.7384626
78,1421.16072605
79,-9787.25402886
80,-12492.7262896
81,7024.18761761
82,-3075.11637318
83,-14363.7989225
84,2915.41529902
85,-2534.01257593
86,278.885492396
87,-9634.24242104
88,7135.67935691
89,2992.56240328
90,6278.07072266
91,-4500.60042912
92,7477.83535016
93,132.042812343
94,-1853.47761864
95,15300.9933233
96,-16253.9063587
97,2415.48121473
98,2288.97262883
99,1489.10577465
100,-5846.29825069
101,1071.35951052
102,-11731.0358253
103,-1384.48435795
104,-10530.4496962
105,-4981.84974383
106,5646.70772584
107,-198.066118012
108,5752.94506267
109,-1182.60359629
110,-14795.524147
111,6780.71351099
112,-7181.69063357
113,-3874.90327285
114,8970.89152493
115,5903.13537564
116,-8298.3613443
117,-11538.4096793
118,-2527.15436314
119,5803.2810294
120,3789.5153063
121,5428.86328508
122,-12863.6728433
123,8744.06423285
124,-4617.84549691
125,-9476.00898974
126,-3255.61357342
127,736.084170678
128,-2309.78719951
129,-4355.66733948
130,4321.50530968
131,3110.15531107
132,-2685.5076215
133,575.256329522
134,-9762.56226799
135,-2361.49444663
136,-568.068691133
137,7170.34936956
138,-10726.579628
139,3659.81138379
140,-3503.43500319
141,1677.32311702
142,-1573.69819883
143,-7695.73270732
144,2056.59932465
145,4537.36878529
146,-7868.38486009
147,-12050.7913602
148,3430.60009987
149,2776.02311712
150,-2719.96043777
151,780.73434496
152,2914.48253352
153,186.996748823
154,-9966.16842216
155,7429.57981294
156,-5008.18582455
157,-11202.281296
158,739.102738346
159,10994.4058826
160,3321.27107358
161,1375.38901796
162,13301.8252842
163,457.041346678
164,-2200.60888313
165,-11615.5502608
166,-14033.0665916
167,-249.394471874
168,11170.4276558
169,-8524.4985349
170,2692.66122102
171,-7246.8301118
172,-1217.67047944
173,10259.9627402
174,-5683.71865704
175,9770.93709259
176,-4198.11682921
177,2526.49973829
178,645.564356745
179,-999.366220256
180,-162.128516103
181,-6847.4750741
182,1518.0051784
183,-143.073968639
184,14570.9352345
185,9024.94408672
186,5198.26474557
187,-8805.74065142
188,3680.91526151
189,1623.95378642
190,437.817417231
191,1279.25973826
192,-5630.36934236
193,-1859.64405632
194,12778.3357967
195,-9335.0740949
196,1479.40900418
197,-151.031076148
198,-7995.52214353
199,11035.6225929
200,-5398.07266383
201,-752.77615856
202,1897.13643553
203,4174.1852148
204,3998.9050143
205,-1821.00939459
206,91.4623843658
207,6496.81514211
208,2232.22144437
209,-9088.48590917
210,-1780.18863098
211,8604.68620588
212,5395.48232576
213,2073.24722258
214,-9839.96172
215,-11466.2837697
216,3955.40492435
217,-1065.0338143
218,-3304.3690525
219,-12653.2247622
220,-7691.4092451
221,8817.39532549
222,878.800365415
223,-8495.69218183
224,3337.82872162
225,8308.150579
226,2031.47541663
227,6860.84684526
228,1154.7689888
229,1419.86667962
230,-4217.15063876
231,8651.59653755
232,-4892.88909328
233,3288.79539563
234,-7198.99636169
235,-5633.11346622
236,-369.817089816
237,-9565.46498914
238,-3317.67604923
239,-2529.83831206
240,-5120.55401171
241,2159.41618971
242,-4784.03713935
243,-3251.17575145
244,5370.69257879
245,-5172.18295691
246,3959.70014647
247,10328.3709635
248,-4054.96309238
249,-2713.22717074
250,-6830.47034034
251,1920.69308086
252,2020.63370504
253,-1680.81358412
254,6948.15937705
255,11906.2179095
256,4239.9188885
257,2396.89934271
258,4995.99212957
259,1035.94987565
260,6032.58614256
261,3354.14955662
262,7100.56824126
263,-13599.1331185
264,5567.49629219
265,-4615.25495405
266,206.993761133
267,11144.40527
268,12457.293084
269,-9029.39816217
270,6055.1550714
271,9972.79688149
272,15122.7963625
273,10121.6069138
274,1186.08123765
275,-4510.04285411
276,-620.519170427
277,-5644.2680379
278,-2999.692037
279,-4235.45544363
280,7707.85605752
281,-6241.92283978
282,5902.78222856
283,7833.21927128
284,1670.31264644
285,2498.44490151
286,-10511.6066474
287,-4039.0687732
288,8250.92210191
289,-12889.163681
290,1572.10454318
291,-11336.4577832
292,-9194.04210266
293,3362.43813612
294,-8343.03479697
295,-1461.35227577
296,2362.50912425
297,10081.6450105
298,-5655.17885808
299,6707.6263447
300,10540.3856916
301,3928.3979528
302,6768.59356261
303,12676.6807571
304,-2579.8579401
305,-1492.55816655
306,1119.82959164
307,3240.35352616
308,-2811.73120889
309,-3979.7723541
310,6827.0703225
311,-3970.19369554
312,-5869.42769554
313,7477.70793692
314,-2299.44068263
315,-14892.0337809
316,3926.61868463
317,-7824.77210643
318,3865.41845903
319,6083.59179617
320,-5969.40029908
321,-7517.38661428
322,-807.029285552
323,5734.42802553
