,D,norm
0,1,31852.0
1,3,16020.8504213
2,4,9667.5669236
3,9,14505.8084037
4,12,13689.5335121
5,27(Ⅰ),16416.1595893
6,27(Ⅱ),18728.3112306
7,27(Ⅲ),20172.4809858
8,36(Ⅰ),20177.6212387
9,36(Ⅱ),21015.9922369
10,81(Ⅰ),29809.3551647
11,81(Ⅱ),15270.257982
12,81(Ⅲ),21369.5393999
13,81(Ⅳ),30546.9556545
14,81(Ⅴ),22822.1696795
15,81(Ⅵ),24899.3092681
16,108(Ⅰ),19130.3971311
17,108(Ⅱ),18904.6602938
18,108(Ⅲ),19921.9719044
19,108(Ⅳ),14965.2941813
20,108(Ⅴ),21369.7851614
21,108(Ⅵ),21353.6619316
22,324(Ⅰ),22669.3688833
23,324(Ⅱ),19077.7896317
24,324(Ⅲ),12377.3479171
25,324(Ⅳ),21577.2648225
26,324(Ⅴ),22896.3407574
27,324(Ⅵ),22091.3437247
28,324(Ⅶ),23000.4427678
29,324(Ⅷ),17981.657074
30,324(Ⅸ),17788.7410586
31,324(Ⅹ),23015.1061782
32,324(ⅩⅠ),30037.7619474
33,324(ⅩⅡ),19738.1602718
34,324(ⅩⅢ),26776.2495277
35,324(ⅩⅣ),20971.3420779
36,324(ⅩⅤ),23910.3144971
