,naiseki
0,1040483.33333
1,294973.718562
2,-22507.7488738
3,26989.2222222
4,101960.444444
5,61379.8888889
6,27983.7508655
7,116874.817505
8,-71530.5684314
9,182737.310081
10,38378.1026978
11,198540.601405
12,100866.150328
13,-215633.276913
14,126176.801858
15,12438.9852035
16,192764.890307
17,-59721.6217913
18,279240.705102
19,-6296.72939644
20,7993.23422014
21,-118261.77738
22,26749.5040177
23,-4484.25146518
24,158896.737744
25,126804.56348
26,112455.683412
27,-232225.70358
28,-136342.447435
29,167654.10467
30,225083.345221
31,-149256.084629
32,104248.286374
33,123435.924815
34,-34192.7421936
35,-191656.594477
36,-84418.3359091
37,-158630.860901
38,-144834.757089
39,-230620.207738
40,96641.6587146
41,-12663.5217633
42,-335520.478473
43,-16385.3853443
44,-101196.801315
45,-3293.61112483
46,21747.7368785
47,-91807.2157663
48,-46889.5077392
49,171676.29894
50,-15727.5083109
51,22137.0594261
52,146401.705716
53,36187.1965083
54,-470135.638464
55,-139954.958224
56,-220609.493318
57,-251529.284804
58,220915.871399
59,-81103.233919
60,233888.201184
61,60961.7237453
62,134595.480544
63,-129187.541636
64,-41427.6379758
65,92428.7330893
66,-46957.9031226
67,-166366.954409
68,143019.665111
69,-186784.066496
70,-102288.907778
71,-33105.3546999
72,-241496.95835
73,222143.263101
74,-23238.2173191
75,-278956.031663
76,13458.2858451
77,-157398.749428
78,-95540.6725817
79,283466.272862
80,-194738.437067
81,-128332.565244
82,-44666.7269603
83,70231.9834966
84,171873.568417
85,-15414.2410443
86,-29080.9243405
87,330570.239511
88,101382.119103
89,-170555.93936
90,165618.935661
91,-67210.2397169
92,12894.3662541
93,-44841.2256554
94,2360.39204943
95,-80427.1870136
96,-170977.067192
97,-201395.080533
98,102845.480746
99,-25647.0690622
100,-219598.944818
101,-41478.4957573
102,-36512.6290286
103,-37122.0566196
104,-259067.306947
105,85131.2345365
106,-98693.5488399
107,51267.099122
108,-43403.8145545
109,-71900.2027946
110,-83754.1269144
111,1988.56802038
112,-271973.792257
113,37476.3934795
114,31417.6760153
115,187624.482218
116,46740.268719
117,55061.1691767
118,-152760.134673
119,-277151.657992
120,-156750.870507
121,95411.9341078
122,-166428.658778
123,-237305.222264
124,-256545.543372
125,31984.9533395
126,-155529.170229
127,2819.14018974
128,-20584.5458501
129,139714.249417
130,-125424.509388
131,50305.8985299
132,108924.561834
133,978.163567718
134,69084.6133852
135,-7078.77011883
136,-62672.7347606
137,-31366.6285923
138,-42869.1993568
139,-217782.160264
140,43247.8355426
141,26258.130399
142,40090.9693878
143,59741.3327061
144,9470.00330722
145,-194989.328414
146,-174294.296706
147,-19967.8363423
148,-126053.037754
149,19645.8644411
150,-23234.3478646
151,214464.265783
152,-5319.00489866
153,-27046.8325941
154,-87820.0788357
155,-183637.415347
156,-221069.765591
157,185674.673025
158,-87482.3513972
159,161724.096969
160,54729.0502677
161,-3950.40664177
162,-92845.0751065
163,121104.450439
164,282318.783915
165,-192019.636236
166,-176727.203368
167,-46064.7474278
168,-12127.7464605
169,30309.1862595
170,230580.291616
171,22974.4666874
172,-42887.9655111
173,-191065.082404
174,-148844.689605
175,63591.7877016
176,-69212.3156046
177,-193320.527888
178,-31120.1816842
179,134396.221803
180,84938.6727472
181,20228.6649419
182,-42017.4063818
183,29059.8429402
184,46968.6992302
185,-153651.387637
186,306830.611032
187,112166.24138
188,-35783.313224
189,-99316.9649766
190,-28278.1939785
191,12199.5123308
192,-16147.7412444
193,-13647.8772676
194,-93091.3643339
195,-43656.6936809
196,-173438.366911
197,184329.072459
198,99551.5183915
199,90129.7136805
200,-77251.8229859
201,-28954.877769
202,260484.548709
203,-128155.047089
204,134551.23807
205,54067.2263462
206,-248914.641605
207,-190841.589785
208,-83065.5350308
209,178068.680587
210,104074.48156
211,-144028.98397
212,105505.455533
213,-21746.2478101
214,105163.323263
215,124891.521837
216,7160.05117796
217,153351.312535
218,99115.7534556
219,54705.958646
220,85207.5143877
221,-143973.34182
222,-164120.805054
223,261674.08021
224,181581.828632
225,34371.9087197
226,-83191.6913475
227,-301753.023287
228,-45541.7578687
229,-216712.258608
230,5558.1521144
231,-15415.8557283
232,-125267.416026
233,-132879.981491
234,-22373.6610397
235,-14508.2545249
236,-39775.2827783
237,-41632.8178585
238,-39274.2596689
239,211770.644024
240,-99097.1940783
241,-25927.9621738
242,-72915.7360679
243,-30321.6766062
244,29545.1218859
245,173226.662046
246,-15087.9208273
247,-30767.6989436
248,-38567.4451553
249,96089.9699385
250,-155931.554816
251,37091.2313142
252,128981.485779
253,-71320.4893739
254,69547.0871529
255,-304723.717222
256,39536.5349555
257,45676.8935659
258,61771.3117089
259,59264.4700362
260,-97467.8387932
261,-47536.911825
262,158734.447566
263,277966.926706
264,304831.609443
265,191195.889183
266,11375.6562268
267,-9092.73264907
268,44157.4914869
269,108515.976261
270,333306.507943
271,-192869.018341
272,73037.0722539
273,9175.74327131
274,-12721.3709134
275,100734.939439
276,1215.82771804
277,-5954.21865225
278,-116633.624575
279,-189737.622936
280,101484.283489
281,172004.104762
282,112081.880631
283,-193900.800156
284,-31081.7300012
285,-193743.922652
286,42107.7357525
287,-72345.8425413
288,-181170.268929
289,183681.095801
290,-86509.137173
291,68513.3034737
292,-154385.224586
293,-43245.9892444
294,-74612.1362489
295,10859.3673433
296,211056.633567
297,-264376.507445
298,74235.125655
299,-230877.84908
300,-106792.935683
301,-143712.677935
302,152519.07201
303,3454.01506128
304,-63488.3975551
305,6962.46638916
306,-78121.1534443
307,-11709.3277932
308,233820.869409
309,38501.632658
310,102614.613377
311,287269.2326
312,-118246.742844
313,-162069.93145
314,-41021.2667499
315,27918.591105
316,63911.919436
317,162729.221516
318,102777.118241
319,-183238.470438
320,-132488.887617
321,65828.498852
322,-32422.6788589
323,-205729.70846
