x,y,pop
0,0,0.0
0,1,0.0
0,2,0.0
0,3,0.0
0,4,0.0
0,5,0.0
0,6,731366.0
0,7,126266.0
0,8,49855.0
0,9,150051.0
0,10,47724.0
0,11,125998.0
0,12,204514.0
0,13,0.0
0,14,182117.0
0,15,0.0
0,16,0.0
0,17,199131.0
1,0,0.0
1,1,186360.0
1,2,0.0
1,3,0.0
1,4,152766.0
1,5,119291.0
1,6,193728.0
1,7,0.0
1,8,0.0
1,9,163832.0
1,10,299844.0
1,11,81010.0
1,12,0.0
1,13,206991.0
1,14,275116.0
1,15,0.0
1,16,170385.0
1,17,0.0
2,0,127716.0
2,1,0.0
2,2,0.0
2,3,218355.0
2,4,374279.0
2,5,0.0
2,6,0.0
2,7,0.0
2,8,0.0
2,9,689444.0
2,10,0.0
2,11,263822.0
2,12,0.0
2,13,260793.0
2,14,229976.0
2,15,0.0
2,16,0.0
2,17,0.0
3,0,0.0
3,1,0.0
3,2,0.0
3,3,278031.0
3,4,0.0
3,5,612441.0
3,6,526377.0
3,7,0.0
3,8,0.0
3,9,0.0
3,10,0.0
3,11,0.0
3,12,0.0
3,13,151879.0
3,14,0.0
3,15,948422.0
3,16,0.0
3,17,0.0
4,0,0.0
4,1,0.0
4,2,0.0
4,3,0.0
4,4,0.0
4,5,516779.0
4,6,0.0
4,7,0.0
4,8,449091.0
4,9,0.0
4,10,0.0
4,11,0.0
4,12,96082.0
4,13,287966.0
4,14,0.0
4,15,462657.0
4,16,0.0
4,17,0.0
5,0,0.0
5,1,0.0
5,2,0.0
5,3,0.0
5,4,0.0
5,5,250117.0
5,6,414016.0
5,7,0.0
5,8,0.0
5,9,0.0
5,10,141651.0
5,11,0.0
5,12,127941.0
5,13,0.0
5,14,240943.0
5,15,0.0
5,16,0.0
5,17,297369.0
6,0,0.0
6,1,0.0
6,2,0.0
6,3,189129.0
6,4,0.0
6,5,0.0
6,6,0.0
6,7,0.0
6,8,0.0
6,9,0.0
6,10,108816.0
6,11,0.0
6,12,0.0
6,13,0.0
6,14,0.0
6,15,0.0
6,16,407619.0
6,17,0.0
7,0,0.0
7,1,42201.0
7,2,0.0
7,3,0.0
7,4,288561.0
7,5,0.0
7,6,0.0
7,7,0.0
7,8,0.0
7,9,188974.0
7,10,0.0
7,11,0.0
7,12,130299.0
7,13,0.0
7,14,0.0
7,15,0.0
7,16,0.0
7,17,0.0
8,0,0.0
8,1,138712.0
8,2,0.0
8,3,0.0
8,4,121828.0
8,5,0.0
8,6,128894.0
8,7,308205.0
8,8,0.0
8,9,0.0
8,10,0.0
8,11,0.0
8,12,0.0
8,13,0.0
8,14,0.0
8,15,125915.0
8,16,0.0
8,17,0.0
9,0,135894.0
9,1,42014.0
9,2,0.0
9,3,0.0
9,4,0.0
9,5,0.0
9,6,93478.0
9,7,0.0
9,8,0.0
9,9,0.0
9,10,0.0
9,11,0.0
9,12,0.0
9,13,0.0
9,14,283472.0
9,15,0.0
9,16,0.0
9,17,0.0
10,0,0.0
10,1,0.0
10,2,116118.0
10,3,0.0
10,4,0.0
10,5,0.0
10,6,0.0
10,7,0.0
10,8,0.0
10,9,0.0
10,10,0.0
10,11,0.0
10,12,0.0
10,13,0.0
10,14,88492.0
10,15,0.0
10,16,0.0
10,17,102901.0
11,0,0.0
11,1,131190.0
11,2,0.0
11,3,0.0
11,4,281111.0
11,5,242697.0
11,6,0.0
11,7,0.0
11,8,130203.0
11,9,0.0
11,10,0.0
11,11,219429.0
11,12,0.0
11,13,97808.0
11,14,0.0
11,15,0.0
11,16,165357.0
11,17,0.0
12,0,0.0
12,1,0.0
12,2,0.0
12,3,0.0
12,4,210278.0
12,5,129294.0
12,6,0.0
12,7,0.0
12,8,0.0
12,9,0.0
12,10,92518.0
12,11,0.0
12,12,0.0
12,13,0.0
12,14,0.0
12,15,0.0
12,16,0.0
12,17,0.0
13,0,0.0
13,1,123340.0
13,2,0.0
13,3,131873.0
13,4,0.0
13,5,146279.0
13,6,0.0
13,7,93505.0
13,8,0.0
13,9,127189.0
13,10,0.0
13,11,0.0
13,12,39941.0
13,13,0.0
13,14,0.0
13,15,0.0
13,16,0.0
13,17,84152.0
14,0,0.0
14,1,0.0
14,2,0.0
14,3,0.0
14,4,1762384.0
14,5,0.0
14,6,0.0
14,7,0.0
14,8,131002.0
14,9,0.0
14,10,0.0
14,11,0.0
14,12,123890.0
14,13,736438.0
14,14,239253.0
14,15,113900.0
14,16,216647.0
14,17,0.0
15,0,0.0
15,1,0.0
15,2,96773.0
15,3,0.0
15,4,0.0
15,5,0.0
15,6,170357.0
15,7,121594.0
15,8,0.0
15,9,0.0
15,10,0.0
15,11,0.0
15,12,0.0
15,13,0.0
15,14,165918.0
15,15,0.0
15,16,0.0
15,17,0.0
16,0,0.0
16,1,0.0
16,2,0.0
16,3,312739.0
16,4,134873.0
16,5,0.0
16,6,131839.0
16,7,0.0
16,8,0.0
16,9,0.0
16,10,0.0
16,11,0.0
16,12,128975.0
16,13,0.0
16,14,0.0
16,15,0.0
16,16,0.0
16,17,0.0
17,0,0.0
17,1,0.0
17,2,0.0
17,3,0.0
17,4,0.0
17,5,0.0
17,6,0.0
17,7,0.0
17,8,0.0
17,9,0.0
17,10,116495.0
17,11,0.0
17,12,0.0
17,13,0.0
17,14,0.0
17,15,0.0
17,16,0.0
17,17,0.0
