1,3,4,9,12,27(Ⅰ),27(Ⅱ),27(Ⅲ),36(Ⅰ),36(Ⅱ),81(Ⅰ),81(Ⅱ),81(Ⅲ),81(Ⅳ),81(Ⅴ),81(Ⅵ),108(Ⅰ),108(Ⅱ),108(Ⅲ),108(Ⅳ),108(Ⅴ),108(Ⅵ),324(Ⅰ),324(Ⅱ),324(Ⅲ),324(Ⅳ),324(Ⅴ),324(Ⅵ),324(Ⅶ),324(Ⅷ),324(Ⅸ),324(Ⅹ),324(ⅩⅠ),324(ⅩⅡ),324(ⅩⅢ),324(ⅩⅣ),324(ⅩⅤ)
67355.7253086,27641.9228395,14572.0030864,213.990740741,40975.4969136,28123.6501806,11498.8285386,27655.2990586,-12789.6697531,-33982.8024691,-44708.3375884,29043.8559818,-1143.15728231,-54326.2587285,41225.4402632,-61094.7093125,-35225.9210582,-6282.73550417,-52545.5101043,-19073.8708,-22471.1408867,-35665.2660911,-263.85700203,16885.4930234,-23109.6082436,33396.8029523,-1961.12777273,11263.3873939,11201.2962241,-24981.707385,-33684.0528801,36813.6497202,70493.4416404,7545.46018909,-21444.0685333,24308.3977862,-15460.3404461
67355.7253086,-14933.0679012,33.1018518524,-16069.6574074,-9289.6851852,14563.4188699,195.696753682,-43633.9489569,-24538.5648148,11471.7037037,-42090.1192981,10642.5858546,24069.7371472,10340.6228021,-8305.28827377,20298.7951013,-34505.5625163,25665.1870246,13446.6532694,7346.97723529,-45048.1759761,47940.1987409,7484.05179808,43122.3641511,3273.15812485,40483.0180598,-12267.538128,-46751.7641914,82693.3815188,-24002.0778145,671.248569551,-54626.3831729,-39088.8813631,-56479.8371187,35572.1359799,28861.394912,-23900.6046589
67355.7253086,-12708.8549383,14572.0030864,-3396.89814817,-41539.4290124,-6851.32606165,-26320.7272963,6248.41446903,-25273.4290124,26765.5493827,-29711.8750536,-5586.73310414,11079.4137133,1184.42349875,9234.97991521,20972.9576972,-21669.2512936,-8960.03198142,31696.2369788,30588.3978853,24253.8964571,-54760.2758238,17494.9404255,17721.7852688,-3407.38310167,18652.9094893,-22155.5798739,-33335.5050673,-18972.7166119,20243.8668727,27645.8904559,-8141.54544372,-4828.76876768,28380.2815246,-45957.6165036,-16768.7761699,16255.0508362
67355.7253086,27641.9228395,33.1018518524,213.990740741,-6030.4537037,-23308.7253121,-10035.7786025,-30627.8849743,-14259.3981481,-37268.2222222,-13365.5229058,7178.15369924,10280.3414288,-51713.5014295,69631.7798684,-2122.00066104,-2856.95456781,-31698.2892321,-17564.1265705,7144.22561387,27110.3165096,44150.5504691,28561.3479667,306.442610297,-19554.9665029,-19908.2975672,-19226.7396157,-7964.13526165,-17506.1762392,-5967.26764711,-296.89656401,17665.5322893,46129.508204,49103.7409246,-6303.27404186,-36159.2732708,-28768.7952845
67355.7253086,-14933.0679012,14572.0030864,-16069.6574074,563.932098788,-27211.2834644,39038.8714576,3630.32867342,-2510.50308641,47349.9012346,-699.70269407,27840.671321,24772.4295212,-42292.5907667,-33242.6180529,-28189.1059953,13497.2856342,43484.8426552,10896.6031921,-4778.96216543,-9435.06858346,1261.38260071,39348.5023496,31755.3065248,11865.1077923,-50059.6165054,-10642.9356513,-13700.3381453,-69873.6212577,-21872.6357788,5074.16368899,54907.3064177,-27072.9097416,-69066.1211462,-9995.81094278,-27400.7447219,41832.930451
67355.7253086,-12708.8549383,33.1018518524,-3396.89814817,15320.1388889,-19560.4201874,-6159.85614281,13269.3874413,-1775.63888888,-14336.1296296,2359.10753955,22251.8015797,-1664.71467478,31930.6069053,6044.20488152,16677.1604354,20567.2950497,-18454.780213,-38127.7555774,19429.5761251,-16021.1322643,-5433.75867567,48555.313554,38248.5733664,-20125.6554389,-52632.8551292,-5744.52068127,18756.0948697,5888.62988054,83.286340042,-28034.7099365,-54993.8132835,-22365.1433995,4860.90335574,-22282.2733169,33832.157293,-21644.1541404
67355.7253086,27641.9228395,14572.0030864,213.990740741,40975.4969136,-4814.92486849,-1463.04993611,2972.58591572,-12789.6697531,-33982.8024691,-5620.34350812,-351.710133678,33528.775864,96002.5716303,-14078.2173167,4823.67346417,16229.1633175,5282.54814384,18291.8440942,20316.0615922,37277.8903753,45709.8813658,55071.3042706,4544.62154359,-2533.03692535,-28173.7341919,50.5604198652,68817.5406988,102214.659881,3337.47791248,21125.3983851,-18630.5801048,34993.1297339,52350.9756869,27007.1410301,3792.00073318,49305.1242599
67355.7253086,-14933.0679012,33.1018518524,-16069.6574074,-9289.6851852,12647.8645944,-39234.5682113,40003.6202835,-24538.5648148,11471.7037037,-20904.3820101,-2612.95762815,-6176.20665801,55939.9054904,-26722.0574604,-17727.7184004,3912.21015376,-27936.0996569,38950.028392,-5073.81905508,15302.4511808,-10512.5765702,58110.5498534,9756.61433041,2504.27100138,5671.43119674,12127.9258139,32277.8251903,-20165.9573292,3793.39289417,-29233.4368305,9269.17298607,-17824.7258516,-33519.57445,14043.6884949,61429.9526995,-5860.37999945
67355.7253086,-12708.8549383,14572.0030864,-3396.89814817,-41539.4290124,26411.746249,32480.5834391,-19517.8019103,-25273.4290124,26765.5493827,-36341.4364883,19205.2310719,33251.260972,-47065.7794022,-43788.2238245,46360.9476712,-9174.42694563,45799.8411008,-38721.6271182,-2807.6112451,-59089.1923547,15462.1554517,57306.4724304,41650.4600544,-22805.9510033,29469.3585492,20705.6747127,-42894.4910977,-20872.7662808,-6147.56956577,21698.241065,56526.5866606,-47052.7403291,-13378.7826977,3896.32582603,-51661.4613928,35175.3097356
67355.7253086,27641.9228395,33.1018518524,213.990740741,-6030.4537037,28123.6501806,11498.8285386,27655.2990586,-14259.3981481,-37268.2222222,-44708.3375884,29043.8559818,-1143.15728231,-54326.2587285,41225.4402632,-61094.7093125,-15589.4249247,-21183.2424667,5157.63035432,9020.06060724,1653.25907102,29037.2729143,52756.0556058,25361.85089,10934.2509115,35688.4594759,14524.7823547,-38008.5615173,-39569.3608973,-6372.21626583,11081.6699399,-38846.3894155,48220.6847002,14039.9297138,42638.5619111,-15652.6745411,11197.1238007
