,D,norm
0,1,1212403.05556
1,3,352203.691317
2,4,164542.69811
3,9,360027.889852
4,12,404838.497161
5,27(Ⅰ),347663.865529
6,27(Ⅱ),454911.724368
7,27(Ⅲ),440268.109922
8,36(Ⅰ),394886.236352
9,36(Ⅱ),504210.996224
10,81(Ⅰ),743213.957989
11,81(Ⅱ),369701.93061
12,81(Ⅲ),382806.272704
13,81(Ⅳ),708308.869421
14,81(Ⅴ),553541.886634
15,81(Ⅵ),550183.129321
16,108(Ⅰ),353698.339096
17,108(Ⅱ),441828.722817
18,108(Ⅲ),500562.393956
19,108(Ⅳ),326986.616794
20,108(Ⅴ),447555.317737
21,108(Ⅵ),545353.39643
22,324(Ⅰ),496468.680944
23,324(Ⅱ),362999.252024
24,324(Ⅲ),343639.227311
25,324(Ⅳ),452394.751558
26,324(Ⅴ),486889.612146
27,324(Ⅵ),556722.440493
28,324(Ⅶ),635974.10893
29,324(Ⅷ),426219.460377
30,324(Ⅸ),354437.580598
31,324(Ⅹ),582332.460005
32,324(ⅩⅠ),656676.161035
33,324(ⅩⅡ),510971.260059
34,324(ⅩⅢ),622281.611186
35,324(ⅩⅣ),555455.24092
36,324(ⅩⅤ),508611.117066
