1,3,4,9,12,27(Ⅰ),27(Ⅱ),27(Ⅲ),36(Ⅰ),36(Ⅱ),81(Ⅰ),81(Ⅱ),81(Ⅲ),81(Ⅳ),81(Ⅴ),81(Ⅵ),108(Ⅰ),108(Ⅱ),108(Ⅲ),108(Ⅳ),108(Ⅴ),108(Ⅵ),324(Ⅰ),324(Ⅱ),324(Ⅲ),324(Ⅳ),324(Ⅴ),324(Ⅵ),324(Ⅶ),324(Ⅷ),324(Ⅸ),324(Ⅹ),324(ⅩⅠ),324(ⅩⅡ),324(ⅩⅢ),324(ⅩⅣ),324(ⅩⅤ)
79624.3888889,20155.3796296,9414.06790123,-332.657407408,37639.867284,17959.9074216,-33119.7465035,-11151.3553625,41357.6265432,15751.882716,-36241.7879969,1448.69981729,-10435.7821907,-27282.7957885,42274.032473,-9246.53298078,-8001.07775645,-7896.03049855,8079.61751426,4890.71494343,-53228.5445497,-76275.0407641,-24339.3998221,-21076.4759253,48728.9313029,-2824.08268592,-7690.81260774,30069.3988492,-6683.53843708,14877.7890356,47974.4359378,26186.259149,-9041.47225055,11303.3498816,1832.67145399,10949.5619066,8955.55087854
79624.3888889,-8209.54629626,-19894.5,6901.10185182,15288.1759259,38898.5413091,21562.0123471,-29716.831434,41726.3425926,-18730.0740741,-27153.6962154,-16206.1534703,27614.8311672,38485.5918015,23031.6612141,-5499.15116372,-16126.3517406,-50934.9951843,-12413.9678899,-11764.4655887,-38125.4384524,1915.6077448,-17410.9663903,-25413.6499758,-17745.3095598,-24534.2995355,-24770.8267327,-7058.98670663,-51886.3449228,28893.3295403,14856.0796435,16424.22787,-2073.46728637,59040.5358942,3479.16675947,-19914.5291532,27841.9572224
79624.3888889,-11945.8333334,9414.06790123,6247.11111114,-18348.4382717,1023.63589536,40481.93557,29726.5952014,27052.2839506,-2227.35802466,-25433.932271,25830.8921906,-27636.793253,26260.5657958,49213.5407035,2098.39350074,-21161.0234547,47441.5805063,-16514.6311257,-5662.84305547,-46258.1133156,-18161.3584437,-11975.1566251,-49443.2905749,54934.8175704,-24220.0979264,3647.82871139,-34840.7768326,8111.96360221,3255.46289949,-32004.7545647,846.747540435,-7855.35862628,-55261.8635325,11548.2537571,-31537.2741011,13728.8320358
79624.3888889,20155.3796296,-19894.5,-332.657407408,5700.21296296,-37054.1395706,-12902.9600595,-22622.511481,12009.5092593,-6779.77777778,-31887.1928262,58085.0582252,38151.6808972,-14697.9378886,-29513.3038561,4567.1954484,-21432.7050532,4650.74124234,16944.9452924,-8760.54188096,8072.8138,-17378.197845,-8687.60940811,-36760.7099244,10056.6434066,-3061.16558877,39417.9326112,-11943.6140223,41276.9941099,-16951.9881312,-25651.46741,-37995.5348682,12006.6902828,-22852.9706701,-24109.5489127,53953.4869667,6597.36155866
79624.3888889,-8209.54629626,9414.06790123,6901.10185182,-19291.4290123,-17085.5030889,-34687.8555219,55469.7474997,11640.7932099,16931.0679012,-43493.9255472,27249.7668725,-30238.582066,25039.722981,9686.13243647,-1420.69801005,-16877.8872194,-14892.1265401,10794.1248707,-15723.185864,9974.64018885,50399.934564,-7944.8514527,-17135.6833614,6133.86814742,21219.3354355,24184.0606477,12787.997893,35876.1993341,8060.85196314,-1216.32180664,9528.62051225,12059.36843,68252.0296069,35813.692787,-47099.0122444,3614.09410819
79624.3888889,-11945.8333334,-19894.5,6247.11111114,-20988.3888889,24739.3975311,-13054.9469335,-19765.4505976,26314.8518518,-4945.74074073,-54823.2111995,-15713.3834646,32504.5946641,26971.3799522,-59771.1802728,4987.1336539,-9063.9831505,-33879.3131955,-5682.09254294,23461.1056227,24046.4168172,-8447.68910658,-9836.47033028,-36633.9642106,57022.082689,28278.1322792,-21997.5077522,-4619.55175982,-31787.6493066,5301.77834846,23463.2022125,17677.7751149,5375.4045864,-26475.7199719,-45488.0230262,78069.9113638,-9270.06690352
79624.3888889,20155.3796296,9414.06790123,-332.657407408,37639.867284,19094.232149,46022.706563,33773.8668435,41357.6265432,15751.882716,-60573.9511154,200.962362428,-17023.7427286,-17969.1734475,-25788.6621225,-12234.0996152,-523.92552876,57145.5411153,-12674.3285495,47727.3811439,82774.1930875,62644.7776204,-14134.3088869,-49487.3088994,-17020.4099915,11396.7856673,-26743.647366,-20865.8895883,-71514.5519303,-35012.649969,-1416.44669998,18551.5481883,26737.5231806,-31601.1232116,34525.4090195,-61984.3982308,-16655.8646152
79624.3888889,-8209.54629626,-19894.5,6901.10185182,15288.1759259,-21813.0382202,13125.8431748,-25752.9160658,41726.3425926,-18730.0740741,-58055.3101758,48691.1070028,13315.9068767,-20762.8587971,-11024.7874124,366.109172439,6293.53670014,-8863.86429104,-6376.48722391,-7044.33866161,5682.28696556,34493.7553998,-20319.9843632,-25525.1082859,45531.0556121,-18006.9621159,19680.1362849,-5074.29298394,19078.080735,-22454.1108649,31451.7887883,-32534.0592787,12670.3907119,28648.4794123,-25323.9734963,11157.5085509,-12335.7820399
79624.3888889,-11945.8333334,9414.06790123,6247.11111114,-18348.4382717,-25763.0334265,-27426.9886364,-9961.14460374,27052.2839506,-2227.35802466,-48445.7884679,49617.2116789,5824.35456677,-36044.4946088,1892.56683674,16381.6499942,9983.01532429,-41522.6119505,22097.5781077,-33326.3133096,-16156.1318101,32259.4080827,-27647.413006,-20993.748536,23739.1430234,-40833.0620969,45775.8586176,9438.81293913,55125.1970923,6850.82153888,-13605.2461066,-7087.88189367,9003.84756997,6793.96052076,9812.55373257,-8001.83822338,-37596.5051722
79624.3888889,20155.3796296,-19894.5,-332.657407408,5700.21296296,17959.9074216,-33119.7465035,-11151.3553625,12009.5092593,-6779.77777778,-36241.7879969,1448.6998173,-10435.7821907,-27282.7957885,42274.032473,-9246.53298078,10624.8331686,22605.229445,3877.6133123,37884.7930331,-15346.2482963,51641.4182261,-35232.7987796,-46529.6738753,-5425.17549324,-45523.2929987,9903.02531929,15840.5548455,22697.3195246,-21243.53464,-31926.6376371,6160.01124976,20420.193545,-6192.95520131,3057.40152775,-20813.9690537,-1165.3016664
