x,y,pop
19835802.69,20380293.4724,187000.0
19669169.1244,20436669.3296,53084.0
19666169.569,20413010.2021,184548.0
19749606.9008,20425090.0779,367830.0
19788021.0079,20272949.6895,200948.0
19627963.1024,20308226.4004,243043.0
19721064.1832,20429897.4295,160115.0
19628362.94,20336272.1444,152953.0
19721226.371,20460784.2831,193873.0
19780517.266,20434241.6025,505340.0
19625532.333,20317741.7463,208294.0
19686895.5583,20390158.1272,121682.0
19817467.4404,20428307.4817,257651.0
19716532.7982,20540574.4907,141509.0
19868889.3103,20423791.539,137055.0
19771268.5682,20497801.3573,324043.0
19771268.5682,20497801.3573,120163.0
19811713.9833,20518628.3455,108920.0
19686191.7099,20477347.4525,422952.0
19686751.9232,20477631.775,279578.0
19766714.6135,20264367.8741,268859.0
19608481.6921,20257060.2477,219149.0
19768223.7378,20458499.5043,503229.0
19821569.9921,20566618.2357,137508.0
19692753.5671,20553469.4017,308385.0
19771265.1514,20542627.1035,150091.0
19644581.3469,20381863.2951,411491.0
19856435.1303,20455663.7223,315345.0
19717383.4118,20457747.0151,118002.0
19665750.7562,20452430.7487,224309.0
19812417.7063,20283298.6057,270572.0
19797240.1458,20458146.7721,412959.0
19770512.0156,20394599.6116,279177.0
19720757.0587,20534012.0576,527796.0
19709251.5656,20343299.0964,141761.0
19825419.973,20493027.913,186967.0
19685379.7677,20324958.5766,211321.0
19771191.5493,20330761.8792,133671.0
19767230.9355,20439898.7406,587152.0
19754017.2457,20399593.7486,211058.0
19729474.1269,20314979.0751,133866.0
19851974.9858,20379849.599,118347.0
19666612.7278,20258617.6425,166114.0
19736858.1975,20356227.1828,193196.0
19965469.0286,20385389.2348,124501.0
20132501.3137,20352904.5508,109023.0
20047127.1738,20546367.6032,44217.0
20039281.3767,20551956.5153,109083.0
19912701.1731,20523474.9768,183668.0
19912701.1731,20523474.9768,40412.0
19764028.3894,20631786.6389,174577.0
19764028.3894,20631786.6389,68361.0
19946814.5024,20374892.5709,238536.0
19946444.3516,20371206.7871,257836.0
19861067.6293,20668528.7885,109498.0
20008318.0251,20283524.236,117416.0
19945656.5344,20618575.8179,143107.0
19945656.5344,20618575.8179,69396.0
20017617.3792,20626697.5116,109249.0
20017617.3792,20626697.5116,74519.0
20158192.5787,20278377.87,100626.0
20131518.2603,20509874.3303,131416.0
19953686.3157,20678073.9875,92199.0
19953686.3157,20678073.9875,42798.0
20002740.3081,20357928.8867,131345.0
20162412.1894,20448609.438,116558.0
19904684.2857,20408678.0518,94435.0
20123303.7006,20417448.9833,91218.0
19925775.9447,20445676.0386,130335.0
20058205.5263,20329375.9062,120416.0
19976967.1656,20458064.1459,121031.0
20052239.8103,20365404.9001,117949.0
19957781.2606,20570946.2587,101912.0
19950095.3421,20577768.3748,129751.0
19963631.4745,20590411.2783,112838.0
20035134.8142,20380245.4547,155396.0
20216671.4478,20445959.9992,82553.0
19982290.128,20345782.3324,195869.0
19956314.5798,20551486.5861,113530.0
19956314.5798,20551486.5861,111257.0
19968265.5618,20238752.2542,87408.0
19882016.0443,20388602.9984,122114.0
19916720.771,20645625.5116,88412.0
20053307.9805,20688506.4209,108744.0
19578225.6475,20760398.5302,50654.0
20001811.4949,20437452.1641,117311.0
19917928.4026,20298750.7805,42246.0
20048596.3519,20462173.1953,110918.0
19886021.3795,20274844.7129,61505.0
19869755.8376,20592878.2433,89104.0
19991647.5779,20675079.2225,75458.0
20004201.7227,20652413.3034,78674.0
19944210.1871,20325454.4313,107609.0
20077734.8344,20401581.9194,144504.0
20077734.8344,20401581.9194,59513.0
19964505.2324,20659660.8719,70874.0
19821165.928,20250983.2157,77850.0
19815333.869,20630977.3122,132206.0
19871856.3801,20315343.0365,41101.0
20044495.4824,20284686.3241,92720.0
19774674.3768,20587952.5203,131369.0
20116770.8601,20355053.4092,109733.0
20017520.6537,20338847.5758,299883.0
20009706.9119,20344593.4525,1227958.0
19980910.7269,20420141.8138,90224.0
20013087.2271,20509571.4999,127312.0
19896226.3148,20568578.4371,99156.0
20079995.8406,20592463.9113,101043.0
19853525.9788,20379406.5213,161110.0
19965476.3114,20547725.9106,491307.0
19994698.1225,20556609.5097,168693.0
19881208.7728,20257216.2977,148315.0
19918312.9953,20286640.5535,132389.0
20214509.8315,20407548.5813,187355.0
20214509.8315,20407548.5813,50669.0
20011580.5688,20412385.5519,113111.0
20179562.6695,20470337.3514,82721.0
20072074.8532,20478218.2079,178095.0
20072074.8532,20478218.2079,127198.0
19862878.0685,20712632.3708,86717.0
20075186.0237,20294630.8085,240106.0
20075186.0237,20294630.8085,59310.0
19966905.0314,20514360.5259,124963.0
20150285.7407,20381972.4001,119107.0
19959438.4562,20527768.5044,38518.0
20073306.1412,20527228.5114,144370.0
19877288.0319,20644134.2847,116874.0
19878461.0777,20643632.0329,54568.0
19994064.4399,20317424.9918,126588.0
20121395.7941,20456316.0075,44316.0
20127359.3786,20463492.4066,96035.0
20097122.3823,20616200.7788,79804.0
20129006.0417,20297156.9322,168827.0
19889481.6896,20322715.9433,134920.0
20078937.3461,20583394.3113,43071.0
19963995.3261,20284784.2273,128543.0
19950060.4937,20480135.3809,95176.0
20062175.7532,20642076.032,85278.0
19845906.2436,20602337.1864,159311.0
19845906.2436,20602337.1864,129915.0
20207009.1303,21056403.2446,3388434.0
20237137.0784,21105498.6862,170653.0
20119335.8979,21038188.0125,77245.0
20305946.716,20926967.5665,111125.0
20246457.6184,21006946.0149,159568.0
20216595.2152,20905159.1404,129066.0
20328278.2415,21026275.4986,70308.0
20206254.1868,21092799.8589,151514.0
20289455.0954,21077252.8238,190471.0
20190198.9815,21125721.3936,194022.0
20274404.0509,20905771.5577,141959.0
20298910.1045,21010725.9674,195670.0
20135392.2644,21140132.3232,111878.0
20172556.9953,21036493.207,141907.0
20184478.6159,21035320.7574,198690.0
20036504.4545,21139621.8828,94015.0
20284515.2796,20941810.0471,145929.0
20203904.9464,21035157.9711,160414.0
20261998.2187,21182498.3474,148606.0
19728272.3571,21152967.9383,540950.0
19705220.6515,21236291.547,118701.0
19853946.3694,21234803.3395,1726363.0
19710514.6391,20577830.4634,264695.0
19711973.4205,20615349.1908,138457.0
19732549.907,20616941.995,288463.0
