1,3,4,9,12,27(Ⅰ),27(Ⅱ),27(Ⅲ),36(Ⅰ),36(Ⅱ),81(Ⅰ),81(Ⅱ),81(Ⅲ),81(Ⅳ),81(Ⅴ),81(Ⅵ),108(Ⅰ),108(Ⅱ),108(Ⅲ),108(Ⅳ),108(Ⅴ),108(Ⅵ),324(Ⅰ),324(Ⅱ),324(Ⅲ),324(Ⅳ),324(Ⅴ),324(Ⅵ),324(Ⅶ),324(Ⅷ),324(Ⅸ),324(Ⅹ),324(ⅩⅠ),324(ⅩⅡ),324(ⅩⅢ),324(ⅩⅣ),324(ⅩⅤ)
77738.4351852,20178.5925926,9409.42901235,-929.527777778,36655.0246914,16072.2781783,-31743.4812067,-10516.4636382,38447.1080247,15794.1604938,-32319.3803848,2276.87709804,-10608.1356021,-26812.7764066,39824.7877667,-9694.70580456,-10782.1557662,-5989.17081832,9533.67843638,3083.59782227,-50460.0762394,-71869.4289903,-20131.4768527,-19977.7481116,46095.6601495,-2137.13733173,-4393.50519426,30131.88244,-5642.15067928,13658.6596632,45689.9083814,24209.522994,-9393.44486973,10160.9611324,1556.10050598,10567.6320135,6182.46909257
77738.4351852,-7411.79629626,-18573.1388889,7507.30555553,14412.9444444,36063.3583131,22545.8647266,-26852.0841508,37374.1203704,-16736.537037,-23338.1855244,-14591.5151501,26049.5617856,37353.3795165,22955.9055855,-6500.72954641,-18740.3764084,-47277.9183006,-10839.8441799,-14478.7877621,-37128.2870294,2396.74145821,-13508.9495938,-24557.7094476,-18174.8502178,-23028.2998757,-21172.7433183,-6498.31887479,-50197.1930276,26701.6507438,13702.5299403,13548.6470803,-2026.19387962,56513.5801728,1995.1900444,-22244.6785477,27018.9221346
77738.4351852,-12766.7962963,9409.42901235,6997.36111114,-17566.6604939,987.490256753,40823.5615123,28188.3648976,23742.2006173,-3474.52469133,-22160.4008888,22571.9850882,-25739.6119772,26308.6078324,44863.9675072,3307.28577159,-23024.8193458,41719.0241152,-17812.0288435,-4952.17402607,-43757.3073739,-15136.555637,-8691.53008801,-46470.1002102,51409.8617797,-23978.8159278,5687.15694783,-34598.8939481,5456.38738063,-2084.7064483,-27604.3770084,2324.83138809,-4006.09276379,-52173.0433805,13243.510361,-29543.4018887,10762.3804731
77738.4351852,20178.5925926,-18573.1388889,-929.527777778,4851.2962963,-34726.2821788,-15883.0221728,-21088.6956484,11183.2685185,-6483.14814815,-29337.1249987,52347.1255205,34934.4994781,-13036.2678739,-25537.8171569,4306.33503076,-22200.8305403,6319.02733697,17214.9513514,-6808.37363766,6799.25270029,-17591.8049886,-6260.27022532,-34280.0454257,9070.40824358,-5128.17732952,39721.962257,-11702.5327676,40687.5027084,-17439.8444883,-25208.3161196,-35335.2121898,11116.9638156,-22416.073031,-26131.0171256,51824.4131032,7803.48857462
77738.4351852,-7411.79629626,9409.42901235,7507.30555553,-19088.3641975,-16059.8101292,-33466.021458,51954.5538093,12256.2561728,16265.9567901,-41510.2888825,25524.423034,-27306.3563737,23560.7697967,9448.24340794,-2336.45764905,-16540.7487946,-13476.6277657,9059.61730103,-16043.7860953,10504.4116107,50633.855966,-6508.41582671,-16601.2162611,4353.50245817,17848.6540202,24293.0694782,12194.9735179,36021.9239162,9409.37259897,-5538.72608458,10231.6146262,11709.7733956,65465.372524,37881.3521802,-42556.6355887,1744.38504551
77738.4351852,-12766.7962963,-18573.1388889,6997.36111114,-19264.2407407,23539.9793279,-12419.1321888,-19526.3471391,25888.1759259,-5365.9074074,-52983.9338695,-13566.1442122,28994.0780817,23281.1791932,-55969.9707524,6681.29155922,-7910.130766,-32371.412751,-4060.38240889,21436.3243673,23093.3007671,-9858.42143075,-9406.03687042,-34931.0639811,53919.6749256,25867.4019073,-21744.4508612,-5214.88492773,-28074.6331524,4842.50913264,23147.0275414,14049.4377968,8097.53239808,-25835.0044937,-45908.4268592,74677.9654186,-6501.21464132
77738.4351852,20178.5925926,9409.42901235,-929.527777778,36655.0246914,18654.0040005,47626.5033795,31605.1592866,38447.1080247,15794.1604938,-58389.4139548,-319.453258071,-14575.271676,-18276.7395929,-25477.5430589,-13525.9951259,1010.73943901,52040.8426335,-11072.1191095,46399.9706384,77858.7522977,60895.925212,-14603.6374943,-46244.0038387,-17303.2012597,11604.5933422,-28084.99749,-18796.3455507,-69802.2536762,-32787.6302416,1761.80848212,17256.4145062,24674.79866,-29411.1313813,34750.5749922,-59796.6754778,-16651.8969058
77738.4351852,-7411.79629626,-18573.1388889,7507.30555553,14412.9444444,-20003.5481839,10920.1567313,-25102.4696585,37374.1203704,-16736.537037,-55197.4449314,43371.6414766,11007.8867881,-18320.5126826,-9190.79995471,57.3959706451,7817.18073752,-6317.49029468,-8870.27377616,-6412.41899477,7040.98796806,31742.5421378,-21474.3103546,-23985.213338,42250.4033222,-15374.5800736,15833.5036736,-1566.72405784,13423.9908494,-18832.614699,30910.8762613,-29879.4852781,11322.1520465,27674.694134,-24650.8420076,8200.84075463,-9201.85789943
77738.4351852,-12766.7962963,9409.42901235,6997.36111114,-17566.6604939,-24527.4695846,-28404.4293235,-8662.01775849,23742.2006173,-3474.52469133,-44901.58458,45298.7084844,6496.62609556,-34057.6397827,-916.773344397,17705.5797937,11291.8650755,-38424.4367434,22513.4142605,-31586.9352335,-15938.9240111,29659.4888742,-29189.3509041,-20402.6702954,22231.8637921,-37405.5832961,41349.3269821,9709.07546308,53202.5469384,10156.6782252,-15684.7969757,-3852.67395138,10353.050416,4449.23432184,9025.42566631,-7748.40244525,-35818.6406038
77738.4351852,20178.5925926,-18573.1388889,-929.527777778,4851.2962963,16072.2781783,-31743.4812067,-10516.4636382,11183.2685185,-6483.14814815,-32319.3803848,2276.87709804,-10608.1356021,-26812.7764066,39824.7877667,-9694.70580456,11737.1114505,18810.4418693,3525.59482831,37921.1081402,-15189.7118376,49160.3444381,-36818.2113906,-43905.6649376,-6651.55885699,-42833.2208451,7264.01671418,12198.6390705,24561.8665484,-17036.9118435,-29017.3586663,3295.2344405,17722.2248191,-3829.15556815,2509.24946812,-18834.0354143,965.219795088
