,D,norm
0,1,1399291.83333
1,3,259828.698167
2,4,234230.270106
3,9,403007.81971
4,12,389156.56413
5,27(Ⅰ),546717.181124
6,27(Ⅱ),424687.591741
7,27(Ⅲ),493059.908144
8,36(Ⅰ),384581.235245
9,36(Ⅱ),403131.787429
10,81(Ⅰ),900839.29902
11,81(Ⅱ),394440.837057
12,81(Ⅲ),362807.780653
13,81(Ⅳ),450352.655972
14,81(Ⅴ),491056.171845
15,81(Ⅵ),302640.728049
16,108(Ⅰ),207462.504948
17,108(Ⅱ),440515.331096
18,108(Ⅲ),318728.245115
19,108(Ⅳ),428665.324862
20,108(Ⅴ),622277.191776
21,108(Ⅵ),564359.440647
22,324(Ⅰ),607714.78805
23,324(Ⅱ),507826.817338
24,324(Ⅲ),461218.187801
25,324(Ⅳ),441925.289224
26,324(Ⅴ),380896.771639
27,324(Ⅵ),594563.092037
28,324(Ⅶ),551570.494668
29,324(Ⅷ),348164.509912
30,324(Ⅸ),430201.976408
31,324(Ⅹ),496970.661085
32,324(ⅩⅠ),436867.15202
33,324(ⅩⅡ),602193.209917
34,324(ⅩⅢ),362823.303058
35,324(ⅩⅣ),658909.054756
36,324(ⅩⅤ),418836.074626
