,naiseki
0,1433239.0
1,256536.101043
2,27455.9903204
3,234939.333333
4,-94323.8888889
5,28837.7777778
6,253666.072469
7,87310.5649707
8,54371.797428
9,71497.2035226
10,-312271.907452
11,82504.7341372
12,-6497.80063087
13,-32180.3756202
14,209760.516063
15,168933.754966
16,275814.581758
17,-129823.840906
18,166756.517332
19,-242885.53575
20,-92652.0264849
21,246060.49608
22,154487.811043
23,-415779.542134
24,-129874.369618
25,58390.6670496
26,-259447.324037
27,288197.926682
28,-32223.8585341
29,86424.8542039
30,32423.6270809
31,-11249.4986274
32,51869.3537022
33,-456434.569382
34,-226226.562716
35,53257.0173012
36,100699.312411
37,109186.549616
38,339626.372566
39,163922.166994
40,86070.9623078
41,-4064.315856
42,165990.056336
43,41561.240921
44,-19618.0491047
45,-8811.63110146
46,-19488.8056985
47,-327830.589629
48,-108891.930145
49,-21815.5638978
50,33796.5221602
51,-112227.795255
52,148700.941982
53,-101214.957413
54,-169801.207637
55,603968.024035
56,-546040.295594
57,135569.368231
58,254558.850242
59,393164.263486
60,-100644.803521
61,-212622.79401
62,253432.955224
63,-94024.5514253
64,-134349.213338
65,212736.703248
66,-36476.1620891
67,235944.105849
68,45362.975985
69,181988.126347
70,-141712.636269
71,-169510.796826
72,-70095.7419749
73,88281.8756801
74,5179.71589991
75,37435.1510604
76,40774.8125965
77,13559.5025284
78,138405.972582
79,160306.993097
80,-166397.329762
81,235192.29156
82,-295120.727753
83,-76205.2145706
84,-162934.435263
85,77596.0302421
86,247264.70047
87,56792.735901
88,-10639.2597682
89,55075.4998006
90,107661.594503
91,-3234.22719255
92,156391.558914
93,207499.132528
94,200316.431679
95,236586.783794
96,43186.8403212
97,-33199.2347969
98,-101768.001041
99,-174972.479753
100,87112.2552369
101,53668.0502181
102,-114944.476922
103,-40336.6938316
104,92979.5643893
105,86195.5626979
106,-124255.333101
107,-18981.167502
108,-90965.3489278
109,-157251.767289
110,-27569.2223601
111,5544.43605332
112,16697.477197
113,85211.5562965
114,-63170.9195613
115,-240067.07798
116,-130937.910106
117,-268086.049268
118,93608.7688878
119,-273687.636454
120,-147474.118618
121,114544.364492
122,174215.50961
123,-39228.1973786
124,76095.3510151
125,-202217.173105
126,102010.322948
127,79816.7497579
128,-166494.750892
129,1104.83265259
130,-5737.91109021
131,149553.388077
132,170211.342883
133,214055.030584
134,-2950.11524592
135,76184.1234805
136,-34790.2499779
137,216671.527087
138,-22142.1752619
139,-92690.9457393
140,-308635.663264
141,73692.163031
142,-144200.706516
143,-233077.202869
144,-81010.3873708
145,-78296.2732469
146,-127771.646095
147,-483444.505882
148,6271.81203912
149,-11562.1352105
150,27025.0012483
151,-147969.672269
152,-281841.131048
153,176712.182437
154,-112283.126805
155,53574.1503673
156,-385949.588503
157,105949.923203
158,-173289.641893
159,107437.92658
160,-44484.2870706
161,64477.1410568
162,324285.563067
163,234367.028921
164,-379115.150413
165,-170954.520501
166,-254960.396609
167,-35691.2750464
168,-9007.83883782
169,32093.0701747
170,-430242.902765
171,-259804.723814
172,170990.998698
173,-104896.130701
174,43724.5133691
175,-148043.68471
176,275583.414455
177,-29492.9431212
178,300910.111933
179,221345.656793
180,-34612.4147031
181,-233911.122063
182,127456.894971
183,-54082.5786984
184,112421.478976
185,-20487.3184004
186,-273068.400089
187,15810.0914056
188,118281.308518
189,-62302.9748998
190,-86423.5719943
191,182713.460202
192,-14732.9371336
193,92702.5398503
194,67919.0600569
195,93337.7544011
196,-47049.0524864
197,325012.298681
198,-77891.6834339
199,18836.813917
200,-87260.9384371
201,7927.02923275
202,61127.4879742
203,65387.3753333
204,-69700.7585385
205,-46125.3288531
206,187936.716018
207,-347651.270168
208,162399.486611
209,109219.833116
210,14968.1306007
211,-277173.463121
212,104232.440216
213,266136.534033
214,-17115.049922
215,-181635.519796
216,61797.2614356
217,-207047.26028
218,-201850.587488
219,-28899.5858368
220,-180889.790768
221,13202.5724652
222,40113.8173594
223,-342468.214036
224,-21746.7195909
225,153517.088711
226,217508.46273
227,150158.801943
228,86572.2423881
229,136324.99221
230,263710.862175
231,-3681.98116878
232,-85908.441307
233,5501.8271678
234,-55280.6618572
235,106226.07306
236,-65127.7464575
237,-88849.0119129
238,45397.0843492
239,41720.4603061
240,160334.798051
241,43746.5939113
242,151550.678918
243,29738.6383418
244,253725.003987
245,15702.4471768
246,7924.49717728
247,96197.7640039
248,188677.344394
249,-68870.8800622
250,-151597.440973
251,-133329.075537
252,-194510.527353
253,71970.5785364
254,52167.7835976
255,213364.102088
256,-16748.9987419
257,288397.171529
258,199558.278829
259,-47934.8270813
260,153682.620708
261,63751.0932797
262,139147.508487
263,158972.28442
264,-85430.6370681
265,-149846.732776
266,-56145.8512389
267,-111040.868679
268,-6089.69862298
269,107767.155575
270,157844.375965
271,170161.360193
272,-79699.5127445
273,273789.517533
274,-45557.8304156
275,-146112.983844
276,-236331.111396
277,51583.7363862
278,159119.916511
279,189634.193507
280,-242447.026542
281,88095.1072099
282,268853.463993
283,252857.235252
284,101073.129043
285,250636.478276
286,93599.7847175
287,-85532.2467286
288,-126367.04205
289,-6269.20054004
290,59787.6009766
291,-144977.894223
292,187958.051935
293,30097.3917022
294,-140464.785872
295,100777.103437
296,-28667.3670836
297,167267.101929
298,71079.6415239
299,56188.2952628
300,-4817.25018954
301,97653.7921756
302,-148897.784933
303,155315.791198
304,17328.0227718
305,249646.693544
306,299744.294489
307,-192912.842663
308,56112.613861
309,-357871.213052
310,-80104.7254465
311,324903.992823
312,-27159.0997291
313,-112917.354407
314,142079.682653
315,120118.139883
316,-9722.77956507
317,103143.655901
318,76735.9421343
319,-152177.594018
320,152567.181449
321,-165409.536769
322,-220515.373343
323,146597.33208
