,name,pop,lat,lon
0,"Belley, Ain",96121,45.760758,5.6861466
1,"Bourg-en-Bresse, Ain",346620,46.2051192,5.2250324
2,"Gex, Ain",84742,46.3324378,6.0588831
3,"Nantua, Ain",84708,46.1534255,5.6058987
4,"Château-Thierry, Aisne",72638,49.0439711,3.40299
5,"Laon, Aisne",166248,49.564665,3.620686
6,"Saint-Quentin, Aisne",131621,49.8486111,3.2863888
7,"Soissons, Aisne",103510,49.3816667,3.3236111
8,"Vervins, Aisne",66871,49.8333336,3.9085372
9,"Montluçon, Allier",115585,46.3399276,2.6067229
10,"Moulins, Allier",105288,46.566142,3.333179
11,"Vichy, Allier",122038,46.1239268,3.4203712
12,"Barcelonnette, Alpes-de-Haute-Provence",8021,44.3862043,6.6513554
13,"Castellane, Alpes-de-Haute-Provence",9528,43.8462177,6.5131814
14,"Digne-les-Bains, Alpes-de-Haute-Provence",56077,44.0918144,6.2351431
15,"Forcalquier, Alpes-de-Haute-Provence",87615,43.9585575,5.780446
16,"Grasse, Alpes-Maritimes",559723,43.6589011,6.9239103
17,"Nice, Alpes-Maritimes",522291,43.7009358,7.2683912
18,"Largentière, Ardèche",96941,44.5418516,4.2932518
19,"Privas, Ardèche",86717,44.7352708,4.5986733
20,"Tournon-sur-Rhône, Ardèche",134749,45.0675156,4.832852
21,"Charleville-Mézières, Ardennes",163155,49.7599365,4.7186932
22,"Rethel, Ardennes",36864,49.5091447,4.3666467
23,"Sedan, Ardennes",60478,49.7033759,4.9433409
24,"Vouziers, Ardennes",22281,49.3972222,4.6974093
25,"Foix, Ariège",51961,42.9660039,1.6096025
26,"Pamiers, Ariège",72829,43.1147515,1.6082177
27,"Saint-Girons, Ariège",27576,42.9841865,1.1464455
28,"Bar-sur-Aube, Aube",28986,48.2332047,4.7058337
29,"Nogent-sur-Seine, Aube",54519,48.4971,3.50041
30,"Troyes, Aube",222101,48.2971626,4.0746257
31,"Carcassonne, Aude",161254,43.2130358,2.3491069
32,"Limoux, Aude",44712,43.0538068,2.2176533
33,"Narbonne, Aude",156373,43.182806,3.0043128
34,"Millau, Aveyron",70742,44.1006693,3.0777594
35,"Rodez, Aveyron",141635,44.3510012,2.5733006
36,"Villefranche-de-Rouergue, Aveyron",63852,44.3517623,2.0375431
37,"Haguenau, Bas-Rhin",130835,48.8172236,7.7885978
38,"Molsheim, Bas-Rhin",99024,48.5436171,7.4930563
39,"Saverne, Bas-Rhin",93471,48.7420277,7.3625104
40,"Sélestat-Erstein, Bas-Rhin",153829,48.304258,7.486580029
41,"Strasbourg-Campagne, Bas-Rhin",284815,48.71307065,7.7117076759
42,"Strasbourg-Ville, Bas-Rhin",274394,48.5854208,7.7334883
43,"Wissembourg, Bas-Rhin",68299,49.0383877,7.9490308
44,"Aix-en-Provence, Bouches-du-Rhône",422892,43.5298424,5.4474738
45,"Arles, Bouches-du-Rhône",201473,43.6776223,4.6309653
46,"Istres, Bouches-du-Rhône",309836,43.5139051,4.9884323
47,"Marseille, Bouches-du-Rhône",1050583,43.2961743,5.3699525
48,"Bayeux, Calvados",67775,49.2764624,-0.7024737
49,"Caen, Calvados",415237,49.1828008,-0.3690814
50,"Lisieux, Calvados",147544,49.1460831,0.2255168
51,"Vire, Calvados",57298,48.8517468,-0.8872593458
52,"Aurillac, Cantal",82620,44.9285441,2.4433101
53,"Mauriac, Cantal",26547,45.2178285,2.331882
54,"Saint-Flour, Cantal",38248,45.0334949,3.0931009
55,"Angoulême, Charente",196895,45.6496755,0.1568658
56,"Cognac, Charente",91933,45.6932909,-0.3251947
57,"Confolens, Charente",64829,46.0163885,0.6673127497
58,"Jonzac, Charente-Maritime",56749,45.4454469,-0.4320983
59,"La Rochelle, Charente-Maritime",205719,46.1591126,-1.1520433
60,"Rochefort, Charente-Maritime",185356,45.9442642,-0.9690431
61,"Saintes, Charente-Maritime",127317,45.7420801,-0.6299328
62,"Saint-Jean-d'Angély, Charente-Maritime",53592,45.941,-0.5191409
63,"Bourges, Cher",173748,47.0805693,2.398932
64,"Saint-Amand-Montrond, Cher",66638,46.7227062,2.5046503
65,"Vierzon, Cher",71511,47.2217489,2.0691421
66,"Brive-la-Gaillarde, Corrèze",129754,45.1584982,1.5332389
67,"Tulle, Corrèze",78401,45.2678158,1.7706904
68,"Ussel, Corrèze",33092,45.5463792,2.311227
69,"Ajaccio, Corse-du-Sud",107320,41.9263991,8.7376029
70,"Sartène, Corse-du-Sud",38109,41.6208848,8.9721882
71,"Beaune, Côte-d'Or",97399,47.0239064,4.8380426
72,"Dijon, Côte-d'Or",368677,47.3215806,5.0414701
73,"Montbard, Côte-d'Or",61327,47.6269585,4.3347981
74,"Dinan, Côtes-d'Armor",128604,48.4539775,-2.0476869
75,"Guingamp, Côtes-d'Armor",87804,48.5618483,-3.1502006
76,"Lannion, Côtes-d'Armor",100057,48.7322804,-3.4589093
77,"Saint-Brieuc, Côtes-d'Armor",279066,48.5141594,-2.7602706
78,"Aubusson, Creuse",37552,45.9546896,2.1672725
79,"Guéret, Creuse",83965,46.1686865,1.8713349
80,"Bressuire, Deux-Sèvres",96191,46.8425572,-0.4929016
81,"Niort, Deux-Sèvres",210947,46.3239455,-0.4645211
82,"Parthenay, Deux-Sèvres",64445,46.6481266,-0.2472686
83,"Bergerac, Dordogne",111727,44.8534568,0.487531
84,"Nontron, Dordogne",41106,45.5294784,0.6618726
85,"Périgueux, Dordogne",188523,45.1909365,0.7184407
86,"Sarlat-la-Canéda, Dordogne",75028,44.8879431,1.2161321
87,"Besançon, Doubs",245791,47.237953,6.0243246
88,"Montbéliard, Doubs",178123,47.5102368,6.7977564
89,"Pontarlier, Doubs",107148,46.9040348,6.3546345
90,"Die, Drôme",42241,44.72964575,5.2044369488
91,"Nyons, Drôme",138564,44.3555,5.12838
92,"Valence, Drôme",310529,44.9332277,4.8920811
93,"Étampes, Essonne",139843,48.4330421,2.1611377
94,"Évry, Essonne",515487,48.6311001,2.438
95,"Palaiseau, Essonne",582177,48.7170283,2.2468567
96,"Bernay, Eure",165189,49.0902278,0.5989157
97,"Évreux, Eure",245410,49.0183639,1.1375865
98,"Les Andelys, Eure",181017,49.2469193,1.4215534
99,"Chartres, Eure-et-Loir",206582,48.4470039,1.4866387
100,"Châteaudun, Eure-et-Loir",59577,48.0701283,1.3311459
101,"Dreux, Eure-et-Loir",128566,48.7359121,1.3710486
102,"Nogent-le-Rotrou, Eure-et-Loir",37382,48.3208851,0.8163959
103,"Brest, Finistère",368755,48.3905283,-4.4860087
104,"Châteaulin, Finistère",85720,48.1958514,-4.0910437
105,"Morlaix, Finistère",129175,48.5824932,-3.8331971
106,"Quimper, Finistère",317643,47.9960325,-4.1024781
107,"Alès, Gard",151265,44.1253665,4.0852818
108,"Le Vigan, Gard",36142,43.9912933,3.6059407
109,"Nîmes, Gard",538211,43.8374249,4.3600687
110,"Auch, Gers",85976,43.6464483,0.5847904
111,"Condom, Gers",65438,43.9564563,0.3745929
112,"Mirande, Gers",38116,43.5143067,0.4041717
113,"Arcachon, Gironde",141433,44.6539428,-1.1755713
114,"Blaye, Gironde",85964,45.1271231,-0.6635963
115,"Bordeaux, Gironde",893005,44.841225,-0.5800363
116,"Langon, Gironde",128665,44.5528404,-0.2456515
117,"Lesparre-Médoc, Gironde",84539,45.3081854,-0.9379401
118,"Libourne, Gironde",150106,44.9133742,-0.2427216
119,"Bastia, Haute-Corse",84673,42.7065505,9.452542
120,"Calvi, Haute-Corse",29440,42.5638369,8.7507502
121,"Corte, Haute-Corse",56715,42.3060908,9.1504022
122,"Muret, Haute-Garonne",209710,43.4599858,1.3262332
123,"Saint-Gaudens, Haute-Garonne",77638,43.1077682,0.7247218
124,"Toulouse, Haute-Garonne",992001,43.6044622,1.4442469
125,"Brioude, Haute-Loire",46105,45.2952895,3.3843304
126,"Le Puy-en-Velay, Haute-Loire",95732,45.0459739,3.8855537
127,"Yssingeaux, Haute-Loire",83849,45.1434478,4.1244081
128,"Chaumont, Haute-Marne",65487,48.1118812,5.1394503
129,"Langres, Haute-Marne",45069,47.8655638,5.3314162
130,"Saint-Dizier, Haute-Marne",71580,48.6375625,4.9475536
131,"Briançon, Hautes-Alpes",35631,44.9006928,6.64557
132,"Gap, Hautes-Alpes",103923,44.5611978,6.0820018
133,"Lure, Haute-Saône",109691,47.6852975,6.4959828
134,"Vesoul, Haute-Saône",130059,47.6236088,6.1566367
135,"Annecy, Haute-Savoie",266091,45.8977758,6.1333989
136,"Bonneville, Haute-Savoie",181210,46.0776168,6.4081056
137,"Saint-Julien-en-Genevois, Haute-Savoie",170897,46.1444789,6.0812467
138,"Thonon-les-Bains, Haute-Savoie",138303,46.3731303,6.4779448
139,"Argelès-Gazost, Hautes-Pyrénées",38962,43.00511,-0.099768
140,"Bagnères-de-Bigorre, Hautes-Pyrénées",46466,43.0658212,0.1530914
141,"Tarbes, Hautes-Pyrénées",143426,43.232858,0.0781021
142,"Bellac, Haute-Vienne",39938,46.1208934,1.0502585
143,"Limoges, Haute-Vienne",298127,45.8354243,1.2644847
144,"Rochechouart, Haute-Vienne",37804,45.8218406,0.8202782
145,"Altkirch, Haut-Rhin",68697,47.6238204,7.2401542
146,"Colmar, Haut-Rhin",148444,48.0777517,7.3579641
147,"Guebwiller, Haut-Rhin",84231,47.9094629,7.2113271
148,"Mulhouse, Haut-Rhin",322211,47.7494188,7.3399355
149,"Ribeauvillé, Haut-Rhin",50005,48.1924602,7.3248871
150,"Thann, Haut-Rhin",81614,47.8101008,7.1020957
151,"Antony, Hauts-de-Seine",417681,48.753554,2.2959423
152,"Boulogne-Billancourt, Hauts-de-Seine",321178,48.8356649,2.240206
153,"Nanterre, Hauts-de-Seine",847575,48.8924273,2.2071267
154,"Béziers, Hérault",304108,43.341279,3.2166203
155,"Lodève, Hérault",92176,43.73106,3.31892
156,"Montpellier, Hérault",681343,43.6112422,3.8767337
157,"Fougères-Vitré, Ille-et-Vilaine",176038,48.1602476,-1.221947723
158,"Redon, Ille-et-Vilaine",104433,47.6571027,-2.0824144
159,"Rennes, Ille-et-Vilaine",573594,48.1113387,-1.6800197
160,"Saint-Malo, Ille-et-Vilaine",153836,48.6454528,-2.0154179
161,"Châteauroux, Indre",127262,46.8047,1.6957099
162,"Issoudun, Indre",35643,46.9477963,1.9888033
163,"La Châtre, Indre",33328,46.5815678,1.9892292
164,"Le Blanc, Indre",32459,46.6331207,1.0630185
165,"Chinon, Indre-et-Loire",86383,47.1667182,0.2402095
166,"Loches, Indre-et-Loire",50910,47.1281605,0.9974621
167,"Tours, Indre-et-Loire",459644,47.3900474,0.6889268
168,"Grenoble, Isère",751263,45.182478,5.7210773
169,"La Tour-du-Pin, Isère",263082,45.5666202,5.4424054
170,"Vienne, Isère",210648,45.5252114,4.8747841
171,"Dole, Jura",83610,47.0921047,5.4925463
172,"Lons-le-Saunier, Jura",126003,46.6739021,5.5586167
173,"Saint-Claude, Jura",51319,46.3877989,5.8641501
174,"Dax, Landes",215905,43.7080596,-1.0533075
175,"Mont-de-Marsan, Landes",176979,43.8911318,-0.5009719
176,"Montbrison, Loire",185526,45.6070698,4.0653067
177,"Roanne, Loire",157208,46.0363902,4.0738682
178,"Saint-Étienne, Loire",411029,45.4401467,4.3873058
179,"Ancenis, Loire-Atlantique",61457,47.3657074,-1.1761743
180,"Châteaubriant, Loire-Atlantique",126603,47.7194057,-1.3757281
181,"Nantes, Loire-Atlantique",810693,47.2186371,-1.5541361
182,"Saint-Nazaire, Loire-Atlantique",314568,47.2733517,-2.2138904
183,"Montargis, Loiret",170115,47.9990047,2.7364119
184,"Orléans, Loiret",429477,47.9027336,1.9086066
185,"Pithiviers, Loiret",62705,48.1738051,2.2544871
186,"Blois, Loir-et-Cher",171397,47.5876861,1.3337639
187,"Romorantin-Lanthenay, Loir-et-Cher",89576,47.358297,1.7449838
188,"Vendôme, Loir-et-Cher",70683,47.7955178,1.0661684
