x,y,pop
19835802.69,20380293.4724,189129.0
19669169.1244,20436669.3296,53342.0
19666169.569,20413010.2021,190438.0
19749606.9008,20425090.0779,374279.0
19788021.0079,20272949.6895,209386.0
19627963.1024,20308226.4004,252749.0
19721064.1832,20429897.4295,152766.0
19628362.94,20336272.1444,159708.0
19721226.371,20460784.2831,193728.0
19780517.266,20434241.6025,516779.0
19625532.333,20317741.7463,222203.0
19686895.5583,20390158.1272,115147.0
19817467.4404,20428307.4817,250117.0
19716532.7982,20540574.4907,154715.0
19868889.3103,20423791.539,128894.0
19771268.5682,20497801.3573,329250.0
19771268.5682,20497801.3573,119841.0
19811713.9833,20518628.3455,108816.0
19686191.7099,20477347.4525,431315.0
19686751.9232,20477631.775,300051.0
19766714.6135,20264367.8741,275785.0
19608481.6921,20257060.2477,223692.0
19768223.7378,20458499.5043,526377.0
19821569.9921,20566618.2357,130299.0
19692753.5671,20553469.4017,299844.0
19771265.1514,20542627.1035,141651.0
19644581.3469,20381863.2951,415639.0
19856435.1303,20455663.7223,308205.0
19717383.4118,20457747.0151,119291.0
19665750.7562,20452430.7487,224687.0
19812417.7063,20283298.6057,275339.0
19797240.1458,20458146.7721,414016.0
19770512.0156,20394599.6116,278031.0
19720757.0587,20534012.0576,534729.0
19709251.5656,20343299.0964,135912.0
19825419.973,20493027.913,188974.0
19685379.7677,20324958.5766,206116.0
19771191.5493,20330761.8792,127716.0
19767230.9355,20439898.7406,612441.0
19754017.2457,20399593.7486,218355.0
19729474.1269,20314979.0751,134607.0
19851974.9858,20379849.599,120714.0
19666612.7278,20258617.6425,165211.0
19736858.1975,20356227.1828,186360.0
19965469.0286,20385389.2348,129294.0
20132501.3137,20352904.5508,107465.0
20047127.1738,20546367.6032,41535.0
20039281.3767,20551956.5153,103045.0
19912701.1731,20523474.9768,179419.0
19912701.1731,20523474.9768,40010.0
19764028.3894,20631786.6389,172776.0
19764028.3894,20631786.6389,68167.0
19946814.5024,20374892.5709,242697.0
19946444.3516,20371206.7871,281111.0
19861067.6293,20668528.7885,102901.0
20008318.0251,20283524.236,123340.0
19945656.5344,20618575.8179,144695.0
19945656.5344,20618575.8179,71952.0
20017617.3792,20626697.5116,104615.0
20017617.3792,20626697.5116,71601.0
20158192.5787,20278377.87,102976.0
20131518.2603,20509874.3303,125844.0
19953686.3157,20678073.9875,86715.0
19953686.3157,20678073.9875,41062.0
20002740.3081,20357928.8867,146279.0
20162412.1894,20448609.438,115699.0
19904684.2857,20408678.0518,93478.0
20123303.7006,20417448.9833,93450.0
19925775.9447,20445676.0386,130203.0
20058205.5263,20329375.9062,134873.0
19976967.1656,20458064.1459,127189.0
20052239.8103,20365404.9001,131839.0
19957781.2606,20570946.2587,106423.0
19950095.3421,20577768.3748,132830.0
19963631.4745,20590411.2783,113900.0
20035134.8142,20380245.4547,170357.0
20216671.4478,20445959.9992,77927.0
19982290.128,20345782.3324,210278.0
19956314.5798,20551486.5861,113847.0
19956314.5798,20551486.5861,121519.0
19968265.5618,20238752.2542,85931.0
19882016.0443,20388602.9984,121828.0
19916720.771,20645625.5116,84152.0
20053307.9805,20688506.4209,96608.0
19578225.6475,20760398.5302,44325.0
20001811.4949,20437452.1641,131002.0
19917928.4026,20298750.7805,42014.0
20048596.3519,20462173.1953,116495.0
19886021.3795,20274844.7129,65624.0
19869755.8376,20592878.2433,88492.0
19991647.5779,20675079.2225,67998.0
20004201.7227,20652413.3034,72541.0
19944210.1871,20325454.4313,116118.0
20077734.8344,20401581.9194,151819.0
20077734.8344,20401581.9194,67509.0
19964505.2324,20659660.8719,66540.0
19821165.928,20250983.2157,79387.0
19815333.869,20630977.3122,125915.0
19871856.3801,20315343.0365,42201.0
20044495.4824,20284686.3241,96773.0
19774674.3768,20587952.5203,127941.0
20116770.8601,20355053.4092,110296.0
20017520.6537,20338847.5758,332800.0
20009706.9119,20344593.4525,1429584.0
19980910.7269,20420141.8138,93505.0
20013087.2271,20509571.4999,128975.0
19896226.3148,20568578.4371,97808.0
20079995.8406,20592463.9113,95184.0
19853525.9788,20379406.5213,167847.0
19965476.3114,20547725.9106,501072.0
19994698.1225,20556609.5097,165918.0
19881208.7728,20257216.2977,150981.0
19918312.9953,20286640.5535,135894.0
20214509.8315,20407548.5813,186284.0
20214509.8315,20407548.5813,49952.0
20011580.5688,20412385.5519,121594.0
20179562.6695,20470337.3514,76265.0
20072074.8532,20478218.2079,187205.0
20072074.8532,20478218.2079,142292.0
19862878.0685,20712632.3708,79676.0
20075186.0237,20294630.8085,251850.0
20075186.0237,20294630.8085,60889.0
19966905.0314,20514360.5259,123890.0
20150285.7407,20381972.4001,118164.0
19959438.4562,20527768.5044,39941.0
20073306.1412,20527228.5114,143614.0
19877288.0319,20644134.2847,113747.0
19878461.0777,20643632.0329,51610.0
19994064.4399,20317424.9918,131873.0
20121395.7941,20456316.0075,46027.0
20127359.3786,20463492.4066,97967.0
20097122.3823,20616200.7788,73250.0
20129006.0417,20297156.9322,171978.0
19889481.6896,20322715.9433,138712.0
20078937.3461,20583394.3113,41817.0
19963995.3261,20284784.2273,131190.0
19950060.4937,20480135.3809,92518.0
20062175.7532,20642076.032,73403.0
19845906.2436,20602337.1864,159253.0
19845906.2436,20602337.1864,124219.0
20207009.1303,21056403.2446,3469849.0
20237137.0784,21105498.6862,174981.0
20119335.8979,21038188.0125,71032.0
20305946.716,20926967.5665,99491.0
20246457.6184,21006946.0149,161952.0
20216595.2152,20905159.1404,104997.0
20328278.2415,21026275.4986,57649.0
20206254.1868,21092799.8589,155408.0
20289455.0954,21077252.8238,188422.0
20190198.9815,21125721.3936,204898.0
20274404.0509,20905771.5577,112896.0
20298910.1045,21010725.9674,177823.0
20135392.2644,21140132.3232,98886.0
20172556.9953,21036493.207,164042.0
20184478.6159,21035320.7574,207498.0
20036504.4545,21139621.8828,77550.0
20284515.2796,20941810.0471,118030.0
20203904.9464,21035157.9711,161488.0
20261998.2187,21182498.3474,120829.0
19728272.3571,21152967.9383,551767.0
19705220.6515,21236291.547,110121.0
19853946.3694,21234803.3395,1762791.0
19710514.6391,20577830.4634,263822.0
19711973.4205,20615349.1908,151879.0
19732549.907,20616941.995,287966.0
19715203.7921,20654011.1866,717624.0
19819109.4955,20726279.0281,217326.0
19714449.0262,20731584.2661,259834.0
19693267.3708,20623040.5628,260793.0
19828128.4091,20783945.8589,119394.0
19697145.5847,20675625.9997,230798.0
19798189.4492,20851762.1127,233451.0
19799456.8311,20856989.2148,194747.0
19684855.7553,20734739.8486,251440.0
19660420.5423,20708048.1517,170385.0
19764320.0809,20670537.9313,407619.0
19693129.3513,20652274.3364,229976.0
19720544.5594,20772606.5854,241598.0
19745623.5292,20584820.4942,96082.0
19724001.0034,20650445.972,341669.0
19724001.0034,20650445.972,120988.0
19653463.5495,20656210.3201,182117.0
19790236.1852,20810366.0752,179466.0
19775460.364,20740941.926,105763.0
19741644.6716,20846827.4154,156460.0
19845065.034,20841679.277,100206.0
19737136.7652,20692232.4958,297369.0
19670054.7836,20649555.8142,275116.0
20092575.9455,21301438.1629,211878.0
20009577.6296,21197312.3672,212631.0
20173043.8099,21241834.1115,261733.0
19981695.1467,21281853.2062,155424.0
20075327.157,21331918.6819,204167.0
20000741.9768,21249776.812,92138.0
20260227.9677,21266668.2741,237697.0
20146855.2554,21356262.3467,223470.0
19644512.9589,21177019.8022,119917.0
19589847.0188,21221766.3612,187998.0
19907795.1532,21013078.569,248502.0
19861379.623,21074801.8638,176157.0
19648517.3327,21113125.0715,162350.0
19716895.7303,21292176.7964,196787.0
19709615.0097,21148147.3861,74804.0
19682871.5092,21072618.1334,211093.0
19560947.4086,21203792.5522,50016.0
19577689.8682,21087672.8358,315757.0
19646251.2901,21221491.2279,96937.0
19909812.0208,21050525.2053,172541.0
19897488.5147,20952202.9084,137256.0
19846140.1841,20889251.8193,250220.0
19540515.1797,21047429.91,134329.0
19788915.2979,20983359.2049,147813.0
19851762.5806,21219065.969,245199.0
19830099.0524,21124084.5934,136200.0
19958493.5622,21006884.9956,90908.0
19847822.4048,20994009.7563,274554.0
19795058.593,20939168.4651,71438.0
19587836.8119,21182863.8291,165809.0
19961045.8419,21144042.3843,48728.0
19895526.9531,21183098.4243,178122.0
19771220.1793,21077733.5512,119631.0
19852626.1404,20918305.5436,133905.0
19666356.0505,21163960.5937,126798.0
19666356.0505,21163960.5937,160907.0
19649129.9413,21013563.6369,351316.0
19649129.9413,21013563.6369,156897.0
19743271.5027,21149437.044,111484.0
19879135.8886,20922072.0092,73793.0
19877199.9163,21022875.7561,130601.0
19824418.6549,21032861.2199,1128037.0
19790732.1841,21159070.2779,161842.0
19890454.9733,20993704.6741,98966.0
20088795.9358,20408567.1287,155847.0
19798099.5574,21244662.4647,197448.0
19911279.6524,21134036.7597,92533.0
19673955.0342,21093246.8717,136184.0
19772261.0465,21126320.9669,133215.0
19689036.329,21198483.2441,88765.0
19655039.8184,21232010.5904,75534.0
19621502.3175,21241543.8296,56539.0
19908793.5038,20995775.047,120035.0
19935056.4698,21039855.3566,123027.0
19700447.2909,20969987.0404,329782.0
19562300.1337,20880784.1702,361876.0
19549961.3826,20756548.3964,313958.0
19524629.5703,20941764.5677,365191.0
19532046.0848,20887374.1549,116017.0
19556965.1447,20958857.8493,215996.0
19588060.0584,20886139.4361,580511.0
19514320.4136,20872848.4409,485465.0
19485326.6484,20767670.244,259073.0
19516070.7716,20837797.8634,604527.0
19574466.6138,20858304.4101,322916.0
19540644.767,20876571.4484,573784.0
19517259.334,20744216.7562,188158.0
19549466.7735,20885594.0753,257651.0
19683451.0888,20952271.687,354463.0
19588837.8536,20859930.2694,186716.0
19624775.6371,20910916.4808,176580.0
19445255.3875,20811138.023,249310.0
19714056.3357,20987721.7185,249219.0
19562429.5433,20890138.5878,154608.0
19687904.9012,20849558.1171,261561.0
19788303.7029,20930005.3001,142770.0
19448680.9775,20931820.36,304963.0
19535261.2323,20790054.6474,1046680.0
19493712.2775,20855791.4281,222500.0
19538202.138,20805675.7994,161540.0
19614242.2753,20912526.7576,345127.0
19612440.7282,20844499.9255,413820.0
19537121.5545,20842366.8127,477760.0
19739736.9532,21017195.6247,309216.0
19480445.2879,20832676.7992,256853.0
19527204.8063,20871554.8452,167108.0
19603526.8079,20959681.9383,302178.0
19593563.1598,20802410.6446,270618.0
19523699.4156,20886100.1387,209292.0
19627467.0827,20805224.8789,134759.0
19723853.0133,20920592.0051,299071.0
19560117.1599,20902974.0783,613092.0
19559751.4275,20830204.8957,109009.0
19514714.5357,20784249.8273,459448.0
19557480.777,20806098.1502,279497.0
19501348.5323,20825571.1923,442522.0
19579293.6057,20759351.0706,585781.0
19658305.7488,20786600.2952,275909.0
19655021.5224,20895938.244,296742.0
19548210.1156,20828767.6007,156771.0
19456432.7015,20760721.6926,547661.0
19580230.3317,20990139.0762,437127.0
19611437.9159,20889608.4461,391774.0
19475750.0014,20842928.8898,295067.0
19643016.53,20960209.7358,273412.0
19499433.3325,20910265.3404,457244.0
19558046.4805,20844243.5466,345425.0
19539968.347,20707288.1186,126643.0
19606170.971,20748595.7844,128228.0
19658791.2662,20596165.9823,125998.0
19661748.5662,20549240.5407,131530.0
19629597.509,20611488.5923,155944.0
19533009.7555,20624546.9727,110981.0
19556657.8529,20579124.433,80591.0
19489805.7158,20631660.2396,96408.0
19559240.8942,20658961.0138,62041.0
19634573.3693,20577584.9192,74962.0
19680922.2773,20562319.6149,47724.0
19682237.1564,20510587.1018,126266.0
19619795.0612,20546013.455,104288.0
19619795.0612,20546013.455,97382.0
19601551.2813,20693651.1733,111434.0
19581327.7274,20561579.5297,70883.0
19655774.2089,20508166.18,44465.0
19684690.1165,20553100.3452,163832.0
19672251.529,20636002.3674,206991.0
19656553.1953,20621004.7289,204514.0
19578475.1672,20685308.4864,210441.0
19658152.5876,20531636.8491,52564.0
19588167.9224,20706259.8372,179317.0
19603054.8363,20506975.7058,40046.0
19590544.368,20639501.5513,101945.0
19629374.519,20679187.2728,121487.0
19676747.7969,20543800.8837,150051.0
19689240.5319,20525684.7626,49855.0
19650522.7588,20504595.183,109735.0
19604192.3558,20510638.4245,96410.0
19502265.0681,20597025.3062,108472.0
19493123.6387,20572238.3534,145227.0
19521460.5756,20670664.9946,60775.0
19629900.3494,20727059.4101,199131.0
19677494.8275,20581172.5349,81010.0
19577498.2264,20514808.5925,34011.0
19501565.2425,20545930.6776,102987.0
19558703.0422,20530482.0472,133021.0
19513305.188,20525670.4648,195632.0
19560200.618,20516878.7391,143532.0
19536482.6123,20514184.7188,325604.0
19557166.8711,20549834.7952,88259.0
20315543.2786,20830458.2727,306570.0
20158571.9782,20772481.7123,243521.0
20243505.4462,20808476.6674,536308.0
20185105.6126,20750393.6382,349582.0
20373725.7855,20825517.9365,260188.0
20101704.5908,20856805.3266,257647.0
20101704.5908,20856805.3266,544479.0
20215538.9855,20827407.9029,243745.0
20202205.6663,20786503.7853,312711.0
20167052.5356,20876505.5958,197042.0
20262900.0096,20784295.4169,245954.0
20090052.1966,20713138.5027,232390.0
20113498.4526,20753685.0306,325137.0
19981471.0491,21086353.8328,86071.0
20082116.4031,20891549.0453,165076.0
20004740.2276,20999257.5776,172830.0
20046377.9984,20821741.1535,184055.0
20087271.6502,20939531.034,83061.0
20058810.8415,20880814.8916,232470.0
19919096.0254,20925815.7452,219618.0
20060745.2465,21012367.0467,91359.0
20024268.4177,20990506.7405,232305.0
20004655.5915,20899403.7491,142054.0
20046263.5908,20876125.1647,186510.0
20020166.5045,20942873.4016,196750.0
20047189.2089,21071545.5432,114668.0
20129046.5676,20953817.2854,128721.0
19778530.6375,21328710.3206,132685.0
19793699.3792,21456043.4858,84694.0
19906254.6404,21246147.1157,190703.0
19867244.946,21372872.5307,243148.0
19924458.1712,21291762.8119,214420.0
19851503.0299,21328205.1082,77588.0
19736307.3838,21424221.5202,162203.0
19941477.5071,21346938.5569,198355.0
19831685.4993,21255544.4697,304087.0
19896556.6922,21343622.0426,126865.0
19823703.7367,21373967.3089,268628.0
19795220.1748,21454423.0149,195593.0
19869757.4259,21301831.9278,264972.0
19802315.8767,21304974.2622,130218.0
19890381.8101,21266125.5197,236705.0
20094121.7894,20793228.2601,92705.0
19590441.8956,20879696.7503,100730.0
19886002.1953,20797509.7716,41884.0
19960402.1792,20796596.532,206219.0
20070208.0422,20779924.8977,94492.0
19925480.92,20791366.5837,135381.0
20082877.1875,20743418.6073,101382.0
19929156.0803,20705672.5714,64673.0
19950232.6327,20755820.4624,108899.0
20018348.9276,20789188.9786,108207.0
19940539.8168,20852696.5987,77148.0
19935719.5884,20884576.2072,85055.0
20042004.8154,20786448.661,83966.0
20038501.2077,20731922.7754,82887.0
19995189.5775,20742079.1107,109646.0
19900079.8942,20754265.9275,125056.0
19969713.9779,20827228.8541,70537.0
19975076.0923,20694341.2016,56809.0
19925284.1881,20735576.6851,36208.0
19912862.1192,20831572.8907,103922.0
19877736.9469,20781197.656,125835.0
19991785.3571,20797008.7593,63477.0
19978858.9518,20793112.4997,81641.0
20535873.2166,20292269.0127,13101.0
20549714.9238,20294734.9987,40936.0
20513734.1426,20171747.2005,26624.0
20494728.199,20153190.2614,17573.0
20519986.4135,20273953.2076,39050.0
20567878.0973,20309477.6795,55337.0
20532668.6575,20239899.7712,37583.0
20502040.2558,20206698.1153,53585.0
20550373.3577,20286289.9087,1896.0
20281189.9066,20120034.1305,30285.0
20176853.8238,20109878.0175,18718.0
20286627.7963,20098966.7468,58499.0
20302502.895,20108005.3328,94483.0
20308620.4746,20127156.8088,56061.0
20218238.6574,20131882.4654,78043.0
20237312.2382,20107270.6281,64499.0
20252785.8877,20103721.6327,59324.0
20343160.9198,20101545.1164,42237.0
20359142.1509,20138123.6982,54024.0
20347415.7388,20331438.2643,112355.0
20504242.2257,20318747.9193,139039.0
20561241.9172,20321393.2233,42910.0
20554914.9513,20370742.9421,95841.0
20222382.0226,20148435.574,37761.0
20488183.1228,20405736.6074,50301.0
20442714.2176,20432158.6415,31429.0
20502182.9089,20386477.7214,75281.0
20438709.1853,20381659.1937,24032.0
20425722.3238,20388143.808,55874.0
20437695.6876,20319748.298,26369.0
20410568.2631,20352967.0233,76344.0
20535692.4807,20406048.7927,73962.0
20508795.4797,20329632.2782,114086.0
20476504.3607,20265169.9506,85460.0
20460786.427,20339078.6808,96522.0
20440125.3075,20347652.9085,51955.0
20392517.8819,20317983.0058,41020.0
20476006.4527,20371909.2671,70963.0
20414888.1477,20450856.3794,26738.0
20348661.3142,20309802.086,11455.0
20474013.9955,20296502.8794,75064.0
20504605.6201,20287591.3889,41305.0
20531680.3227,20328856.4625,114920.0
20382468.9636,20404315.6454,43707.0
20170505.4896,20357035.007,97826.0
20272998.1151,20365690.278,31741.0
20323608.0637,20397650.2828,65113.0
20250000.5976,20304705.4073,99403.0
20252705.5253,20354191.1928,62555.0
20296559.752,20294601.9622,55557.0
20303514.4105,20344484.7374,139116.0
20302395.4882,20363588.6069,189889.0
20343743.867,20362905.5595,65738.0
20217408.9312,20350047.0376,58553.0
20269800.5654,20407370.3374,56688.0
20211495.8985,20389090.5754,56426.0
20326076.4707,20302915.9095,58700.0
20314595.6517,20326227.3554,38205.0
20300471.7639,20380115.2528,81400.0
20233881.3926,20318636.0623,130316.0
20263552.3197,20337734.7481,67945.0
20273443.8338,20341868.4196,58591.0
20176369.9662,20267926.8328,57651.0
20170667.7819,20286268.5821,145270.0
20185613.3306,20291394.4491,143081.0
20201940.8816,20206454.8176,78138.0
20251053.5228,20182082.4912,20502.0
20145086.5439,20212523.1945,84424.0
20414988.3363,20250204.3233,101979.0
20397547.6586,20134964.0637,60689.0
20421875.6555,20174232.131,261726.0
20404646.7425,20179573.48,143258.0
20472371.5593,20200803.744,90117.0
20431756.2731,20134625.4689,79446.0
20385199.8483,20221590.2133,61912.0
20296158.1966,20250180.6989,80144.0
20288545.0443,20179953.2501,29186.0
20345373.8089,20198486.8851,73684.0
20464209.3172,20141267.305,86598.0
20390765.2879,20170475.6662,52063.0
20440365.4129,20196117.9179,87773.0
19930305.3549,20199308.0477,56557.0
19997491.4065,20194439.5424,166762.0
19998509.423,20203528.559,119617.0
20102759.1356,20231413.4216,61705.0
20079569.4837,20252552.1537,101047.0
19912517.0321,20184587.1883,43591.0
20300771.0935,20365320.6522,49319.0
19928016.7636,20238021.3259,31618.0
20031422.1946,20215760.7738,79103.0
19834304.3281,20186219.3334,61025.0
19826573.8451,20239839.374,126930.0
19825993.7012,20226353.1497,82386.0
19810923.9733,20199217.7874,100099.0
20517295.074,20352611.7774,39291.0
20519356.6906,20355638.4075,83356.0
20514166.1649,20358308.5152,68307.0
20530639.4128,20350952.3862,161419.0
20519845.2275,20341335.247,177989.0
20522908.0843,20361222.787,143962.0
20509565.2339,20354295.0821,52520.0
20510560.8952,20346036.2506,50626.0
20518481.1557,20350089.7869,16374.0
20516139.8412,20350402.1935,23529.0
20521252.1254,20347704.4071,84527.0
20524450.421,20348800.894,96113.0
20510555.1146,20339473.6023,94456.0
20516769.5144,20346831.3658,52595.0
20516122.1272,20347992.0953,29375.0
20514188.775,20344307.0924,88503.0
20516317.6126,20349027.402,30019.0
20511409.3121,20351045.8292,95694.0
20503123.6756,20352724.6884,84871.0
20513958.328,20348012.1752,71286.0
20527701.4389,20342919.6208,91087.0
20513453.8848,20354049.1226,47627.0
20518767.148,20350010.4896,30701.0
19621843.3278,20446049.4342,130835.0
19590962.4912,20402749.766,99024.0
19577321.8803,20434125.8232,93471.0
19590285.7921,20365061.4892,153829.0
19618539.4378,20412165.2633,284815.0
19616090.3827,20409347.0979,274394.0
19638606.812,20481222.852,68299.0
19486521.1353,20504502.0002,79847.0
19488381.0291,20446978.5483,29818.0
19528549.6425,20504810.3757,167518.0
19449680.7371,20515891.8811,222352.0
19453428.6305,20492572.3471,119551.0
19545015.939,20433119.3262,64374.0
19546850.3898,20492562.9775,100236.0
19450938.931,20532517.0026,140845.0
19450859.0073,20522992.673,121927.0
19355098.3157,20721246.7593,107832.0
19390381.6397,20741586.476,604062.0
19420728.8092,20733037.4778,280203.0
19357070.4202,20750250.2848,75588.0
